類別,建築物名稱,電腦編號,村里別,地址,"地下樓 層數",可容納人數,派出所,備註,經度,緯度
大樓,查無該址,D401000025,中興里,新北市三重區中興里光復路2段266號,3.0,2812.0,二重派出所,,121.471814,25.054974
大樓,龍騰科技大樓,D401000026,中興里,新北市三重區中興里光復路1段138號,2.0,787.0,二重派出所,,121.471932,25.052637
公寓,弘爺國際企業股份有限公司,D401000027,中興里,新北市三重區中興里光復路2段42巷39號,1.0,442.0,二重派出所,,121.469332,25.054613
公寓,查無該址,D401000028,中興里,新北市三重區中興里中興北街17巷18號,1.0,297.0,二重派出所,,,
公寓,先嗇宮活動中心,D401000029,五谷里,新北市三重區五谷里五谷王北街46號,1.0,773.0,二重派出所,,121.475549,25.050969
公寓,四季紅大樓,D401000030,中興里,新北市三重區中興里中興北街119號,1.0,773.0,二重派出所,,121.469822,25.0489
公寓,贏翼,D401000031,中興里,新北市三重區中興里興德路111號,1.0,6500.0,二重派出所,,121.471427,25.053249
大樓,萬國財星大樓,D401000032,頂崁里,新北市三重區頂崁里光復路2段80號,2.0,1720.0,二重派出所,,121.471945,25.056961
大樓,愛菲爾大廈,D401000033,中興里,新北市三重區中興里重新路5段572號,1.0,477.0,二重派出所,,121.469722,25.045571
大樓,台灣莫仕股份有限公司,D401000034,中興里,新北市三重區中興里中興北街44號,1.0,1238.0,二重派出所,,121.469504,25.049675
大樓,台北科技城,D401000035,中興里,新北市三重區中興里光復路1段78號,1.0,5987.0,二重派出所,,121.471902,25.050119
大樓,豪邁大樓,D401000036,頂崁里,新北市三重區頂崁里中興北街177號,1.0,473.0,二重派出所,,121.469093,25.056103
大樓,前瞻企業大樓B棟,D401000037,頂崁里,新北市三重區頂崁里新北大道二段252號,1.0,959.0,二重派出所,,121.466757,25.061685
大樓,前瞻企業大樓A棟,D401000038,頂崁里,新北市三重區頂崁里新北大道二段260號,1.0,1499.0,二重派出所,,121.466037,25.061721
大樓,遠見科技總部,D401000039,谷王里,新北市三重區谷王里興德路82號,3.0,3397.0,二重派出所,,121.474034,25.053404
大樓,金陵女子高級中學,D401000040,中興里,新北市三重區中興里重新路5段656號,1.0,525.0,二重派出所,,121.4664,25.042508
公寓,誥銓企業有限公司,D401000041,頂崁里,新北市三重區頂崁里光復路2段88巷22弄4號,1.0,146.0,二重派出所,,121.471136,25.057204
公寓,威盛出風口有限公司,D401000042,頂崁里,新北市三重區頂崁里光復路2段5658號,1.0,280.0,二重派出所,,121.469518,25.063206
大樓,金陵科技大樓,D401000043,中興里,新北市三重區中興里重新路5段639號,1.0,1085.0,二重派出所,,121.466793,25.043408
大樓,金陵女子高級中學,D401000044,中興里,新北市三重區中興里重新路5段656號,1.0,238.0,二重派出所,,121.4664,25.042508
公寓,家樂福重新店,D401000045,中興里,新北市三重區中興里重新路5段654號,1.0,4463.0,二重派出所,,121.467123,25.04307
大樓,世紀登豐,D401000046,中興里,新北市三重區中興里重新路5段646號,1.0,4680.0,二重派出所,,121.468543,25.044137
大樓,鋐鍏企業股份有限公司,D401000047,谷王里,新北市三重區谷王里光復路2段9號,1.0,936.0,二重派出所,,121.472411,25.054182
公寓,萊爾富三重初戀店,D401000048,中興里,新北市三重區中興里中興北街153號,1.0,281.0,二重派出所,,121.469144,25.05316
大樓,查無該址,D401000049,五谷里,新北市三重區五谷里光復路1段61巷24弄63號,1.0,978.0,二重派出所,,121.473539,25.0509
公寓,統一實業有限公司,D401000050,中興里,新北市三重區中興里光復路2段42巷15號,1.0,464.0,二重派出所,,121.470937,25.054918
大樓,金陵女子高級中學,D401000051,中興里,新北市三重區中興里重新路5段656號,1.0,1695.0,二重派出所,,121.4664,25.042508
公寓,燦郁實業有限公司,D401000052,頂崁里,新北市三重區頂崁里光復路2段133號,1.0,1000.0,二重派出所,,121.472232,25.059149
大樓,美麗新境,D401000053,中興里,新北市三重區中興里重新路5段509號,1.0,913.0,二重派出所,,121.47187,25.046668
大樓,玉山金融希望園區,D401001362,中興里,新北市三重區中興里中興北街42巷17弄10號,3.0,2168.0,二重派出所,,121.468848,25.050327
公寓,和運銅品金屬有限公司,D401001363,頂崁里,新北市三重區頂崁里光華路39號,1.0,254.0,二重派出所,,121.46774,25.059947
大樓,寶石上城,D401001364,五谷里,新北市三重區五谷里重新路5段489號,1.0,361.0,二重派出所,,121.472808,25.046913
大樓,新濠漾,D401001365,頂崁里,新北市三重區頂崁里重化街2號,1.0,414.0,二重派出所,,121.46791,25.063769
大樓,年紀青,D401001366,五谷里,新北市三重區五谷里五谷王北街58巷26號,1.0,230.0,二重派出所,,121.47484,25.0517
大樓,紳公館,D401001367,五谷里,新北市三重區五谷里五谷王北街45巷1號,1.0,172.0,二重派出所,,121.475885,25.049167
大樓,辰光曜,D401001369,谷王里,新北市三重區興德路55號,1.0,513.0,二重派出所,,121.475648,25.054196
大樓,台明賓士汽車股份有限公司,D401001370,頂崁里,新北市三重區頂崁里光復路2段81號,1.0,2640.0,二重派出所,,121.472264,25.057363
大樓,大樓,D401001371,五谷里,新北市三重區五谷里五谷王北街36號,1.0,189.0,二重派出所,,121.475625,25.048936
公寓,"ONE BOY營運總部",D401001372,頂崁里,新北市三重區頂崁里重化街38號,1.0,699.0,二重派出所,,121.466534,25.063771
大樓,水丰景,D401001373,頂崁里,新北市三重區頂崁里神農街481號,1.0,676.0,二重派出所,,121.474226,25.058209
大樓,立瑾醞,D401001374,頂崁里,新北市三重區頂崁里神農街435號,1.0,784.0,二重派出所,,121.474227,25.057432
大樓,育達新莊大樓,D401001375,谷王里,新北市三重區谷王里神農街256號,1.0,582.0,二重派出所,,121.474055,25.053258
大樓,靖登實業,D401001376,谷王里,新北市三重區谷王里頂文路1號,1.0,2066.0,二重派出所,,121.476378,25.055866
大樓,國泰悅,D401001377,德厚里,新北市三重區德厚里2鄰重新路5段353號,1.0,1536.0,二重派出所,,121.476972,25.048344
大樓,金色山脈,D401001378,中興里,新北市三重區中興里29鄰中興北街50號,1.0,453.0,二重派出所,,121.469355,25.050182
大樓,川森,D401001379,德厚里,新北市三重區德厚里2鄰五谷王北街45巷51號,1.0,699.0,二重派出所,,121.477169,25.049169
大樓,群光智慧綠能大樓,D401001380,頂崁里,新北市三重區頂崁里光復路2段69號,1.0,1259.0,二重派出所,,121.47225,25.056943
大樓,三花棉業企業總部,D401001381,頂崁里,新北市三重區頂崁里新北大道2段88號,1.0,1482.0,二重派出所,,121.469275,25.061726
公寓,公寓,D401001382,中興里,新北市三重區中興里中興北街136巷18弄18號,1.0,1676.0,二重派出所,,121.468202,25.05527
公寓,台電三重服務所,D402000001,光明里,新北市三重區光明里光明路60-1號,1.0,704.0,中興橋派出所,,121.49184,25.05794
大樓,國泰名人公寓,D402000002,福民里,新北市三重區福民里成功路73巷40號,1.0,547.0,中興橋派出所,,121.489774,25.052537
大樓,老舊公寓,D402000003,福民里,新北市三重區福民里環河南路254巷43號,1.0,432.0,中興橋派出所,,121.489514,25.051523
公寓,老舊公寓,D402000005,福民里,新北市三重區福民里成功路41巷25弄10號,1.0,176.0,中興橋派出所,,121.490953,25.051816
公寓,老舊公寓,D402000006,福民里,新北市三重區福民里昌隆街17號,1.0,173.0,中興橋派出所,,121.491982,25.052563
大樓,玉昇理髮廳,D402000007,福民里,新北市三重區福民里環河南路254巷53號,1.0,508.0,中興橋派出所,,121.487937,25.052577
大樓,忠孝新星大樓,D402000008,福民里,新北市三重區福民里新興路30號,3.0,318.0,中興橋派出所,,121.491908,25.053362
大樓,國泰名人公寓,D402000009,福民里,新北市三重區福民里集美街115號,1.0,342.0,中興橋派出所,,121.489812,25.052825
大樓,羅馬宮廷,D402000013,成功里,新北市三重區成功里成功路70號,2.0,1315.0,中興橋派出所,,121.488403,25.050912
大樓,超越顛峰,D402000018,重明里,新北市三重區重明里重陽路1段60巷28號,3.0,2116.0,中興橋派出所,,121.485606,25.058157
大樓,華夏,D402000024,福祉里,新北市三重區福祉里重新路4段214巷5弄1號,2.0,445.0,中興橋派出所,,121.486488,25.054216
大樓,國際星鑽華夏,D402000029,福祉里,新北市三重區福祉里重新路4段99號,1.0,700.0,中興橋派出所,,121.485002,25.054797
大樓,國泰人壽大樓,D402000030,福祉里,新北市三重區福祉里重新路4段87號,2.0,239.0,中興橋派出所,,121.48616,25.055783
大樓,華夏,D402000031,光明里,新北市三重區光明里集美街148號,1.0,239.0,中興橋派出所,,121.489648,25.053127
大樓,宇利紡織有限公司,D402000032,光明里,新北市三重區光明里集美街247巷7號,1.0,277.0,中興橋派出所,,121.492376,25.054977
大樓,捷堃營造,D402000033,光明里,新北市三重區光明里集美街247巷15號,1.0,306.0,中興橋派出所,,121.492593,25.054842
大樓,豪正華厦管委會,D402000034,光明里,新北市三重區光明里集美街218號,1.0,446.0,中興橋派出所,,121.491734,25.055544
大樓,新北市農會三重大樓,D402000035,光明里,新北市三重區光明里重新路4段12號,1.0,102.0,中興橋派出所,,,
大樓,長生大樓,D402000036,光明里,新北市三重區光明里重新路4段98號,2.0,344.0,中興橋派出所,,121.487847,25.057138
大樓,台北都會大樓,D402000039,光明里,新北市三重區光明里重安街60號,3.0,215.0,中興橋派出所,,121.491069,25.057427
大樓,太平洋富貴紅社區,D402000042,光明里,新北市三重區光明里重安街55號,2.0,956.0,中興橋派出所,,121.491828,25.056379
大樓,集美華夏,D402000047,光明里,新北市三重區光明里集美街210號,2.0,249.0,中興橋派出所,,121.491234,25.054273
大樓,中正南路華夏,D402000057,光明里,新北市三重區光明里中正南路177號,1.0,523.0,中興橋派出所,,121.493502,25.055339
公寓,老舊公寓,D402000059,福德里,新北市三重區福德里重新路4段254號,1.0,251.0,中興橋派出所,,121.485757,25.053299
大樓,宏群富鼎,D402000062,福德里,新北市三重區福德里成功路171號,2.0,1227.0,中興橋派出所,,121.486278,25.052595
大樓,佳昌大都會,D402000064,福德里,新北市三重區福德里成功路110號,4.0,1566.0,中興橋派出所,,121.487095,25.05159
大樓,柯林頓大樓社區,D402000065,福德里,新北市三重區福德里成功路106號,3.0,1525.0,中興橋派出所,,121.487228,25.051461
大樓,珍珠大廈社區,D402000067,福德里,新北市三重區福德里成功路143號,1.0,105.0,中興橋派出所,,121.487027,25.052184
大樓,台北天下管理委員會,D402000069,光正里,新北市三重區光正里重安街103號,2.0,1973.0,中興橋派出所,,121.494056,25.055098
公寓,公寓,D402000070,光正里,新北市三重區光正里新興路31巷1號,1.0,163.0,中興橋派出所,,121.492325,25.05365
公寓,醫力耳鼻喉科,D402000071,光正里,新北市三重區光正里新興路33號,1.0,446.0,中興橋派出所,,121.492091,25.053557
公寓,公寓,D402000074,菜寮里,新北市三重區菜寮里光明路32巷23弄1號之1,1.0,417.0,中興橋派出所,,121.492195,25.058686
大樓,成功大第,D402000077,成功里,新北市三重區成功里成功路52號,2.0,2125.0,中興橋派出所,,121.488926,25.05065
大樓,華夏,D402000080,成功里,新北市三重區成功里成功路108巷2號,2.0,138.0,中興橋派出所,,121.487135,25.051214
大樓,成德社區,D402000081,成功里,新北市三重區成功里成功路108巷6號,2.0,772.0,中興橋派出所,,121.487087,25.051062
大樓,寶麗華夏,D402000082,光正里,新北市三重區光正里中正南路246號,1.0,125.0,中興橋派出所,,121.493536,25.054
大樓,建良汽車美容,D402000083,成功里,新北市三重區成功里環河南路254巷32號,1.0,154.0,中興橋派出所,,121.49011,25.05104
大樓,大樓,D402000084,重明里,新北市三重區重明里捷運路19巷13號,1.0,314.0,中興橋派出所,,121.485043,25.057052
公寓,重安街1號重新機械塔停車場,D402000085,光明里,新北市三重區光明里重安街1號,1.0,4680.0,中興橋派出所,,121.489944,25.058449
大樓,利百代大廈,D402000086,永春里,新北市三重區永春里中正南路155號,1.0,211.0,中興橋派出所,,121.493743,25.056327
大樓,太平洋旺厝,D402000087,光明里,新北市三重區光明里重安街35號,1.0,1686.0,中興橋派出所,,121.491198,25.056866
大樓,華夏,D402000088,光明里,新北市三重區光明里集美街142號,1.0,146.0,中興橋派出所,,121.489459,25.053211
大樓,賓陽建設企業大樓,D402000089,重明里,新北市三重區重明里三陽路2號,1.0,2370.0,中興橋派出所,,121.486283,25.058855
大樓,菜寮活動中心,D402000090,菜寮里,新北市三重區菜寮里中寮街57巷18號,1.0,293.0,中興橋派出所,,121.492768,25.057794
大樓,景第C棟,D402000091,光明里,新北市三重區光明里集美街207巷10弄1號,1.0,827.0,中興橋派出所,,121.492327,25.054527
大樓,景第,D402000092,光明里,新北市三重區光明里集美街247巷33號,1.0,503.0,中興橋派出所,,121.49306,25.054553
公寓,中興橋派出所,D402000093,成功里,新北市三重區成功里成功路21號,1.0,355.0,中興橋派出所,,,
大樓,富貴社區,D402000094,成功里,新北市三重區成功里成功路50巷39號,1.0,464.0,中興橋派出所,,121.488031,25.04969
大樓,泰瑞NO.1社區,D402000095,光正里,新北市三重區光正里中正南路248號,1.0,2011.0,中興橋派出所,,121.493501,25.053806
大樓,領袖城堡社區,D402000096,成功里,新北市三重區成功里成功路50巷57號,1.0,1256.0,中興橋派出所,,121.487791,25.050142
大樓,集美家園管委會,D402000097,光明里,新北市三重區光明里集美街126巷25號,1.0,110.0,中興橋派出所,,121.489878,25.053729
大樓,大家樂榮華社區,D402000098,成功里,新北市三重區成功里成功路50巷50號,1.0,1297.0,中興橋派出所,,121.488112,25.049553
大樓,成功御第,D402000099,成功里,新北市三重區成功里環河南路254巷10號,1.0,851.0,中興橋派出所,,121.490665,25.050735
大樓,大家有園華夏,D402000100,重明里,新北市三重區重明里朝陽街53號,1.0,341.0,中興橋派出所,,121.483458,25.057321
大樓,查無該址,D402000101,重明里,新北市三重區重明里朝陽街29巷30號,1.0,78.0,中興橋派出所,,121.484052,25.056847
大樓,華夏,D402000102,重明里,新北市三重區重明里朝陽街26巷32號,1.0,114.0,中興橋派出所,,,
大樓,華夏,D402000103,成功里,新北市三重區成功里成功路108巷4弄1號,1.0,248.0,中興橋派出所,,121.48709,25.051169
大樓,中正御品大樓,D402000104,重明里,新北市三重區重明里捷運路37巷2號,1.0,165.0,中興橋派出所,,121.483947,25.05605
大樓,大樓,D402000105,光明里,新北市三重區中正南路185號,1.0,595.0,中興橋派出所,,121.493439,25.055144
大樓,大樓,D402000106,福祉里,新北市三重區福祉里捷運路22巷21號,1.0,204.0,中興橋派出所,,121.484736,25.055057
大樓,長虹社區,D402000107,成功里,新北市三重區成功里成功路104巷2號,2.0,1091.0,中興橋派出所,,121.487481,25.051173
公寓,三重停管場,D402000108,成功里,新北市三重區成功里成功路21號,1.0,254.0,中興橋派出所,,121.490168,25.05049
大樓,美麗台北,D402000109,成功里,新北市三重區成功里環河南路241號,1.0,1025.0,中興橋派出所,,121.491705,25.051197
大樓,台北威尼斯,D402000110,成功里,新北市三重區成功里成功路22號,1.0,2844.0,中興橋派出所,,121.489819,25.050198
大樓,華夏,D402000111,光正里,新北市三重區光正里中正南路242號,4.0,109.0,中興橋派出所,,121.493613,25.05421
大樓,台北龍邸,D402000112,成功里,新北市三重區成功里成功路55號,2.0,193.0,中興橋派出所,,121.48934,25.050952
大樓,豐景一期,D402000113,成功里,新北市三重區成功里成功路50巷36號,2.0,765.0,中興橋派出所,,121.488554,25.049294
大樓,歐風名家,D402000114,福祉里,新北市三重區福祉里重新路4段172號,1.0,617.0,中興橋派出所,,121.486421,25.055411
大樓,國際福星,D402000115,福祉里,新北市三重區福祉里重新路4段95號,1.0,266.0,中興橋派出所,,121.485802,25.055176
大樓,台媚養生館,D402000116,福祉里,新北市三重區福祉里重新路4段95號,1.0,1195.0,中興橋派出所,,121.485802,25.055176
大樓,大樓,D402000117,成功里,新北市三重區成功里成功路73巷8號,1.0,67.0,中興橋派出所,,121.487753,25.049681
大樓,蒲陽吉地,D402000118,永春里,新北市三重區永春里中正南路145號,1.0,390.0,中興橋派出所,,121.493821,25.056703
大樓,歐風名家二期,D402000119,福祉里,新北市三重區福祉里重新路4段184巷7弄9號,1.0,886.0,中興橋派出所,,121.486477,25.054825
大樓,大樓,D402000120,光明里,新北市三重區光明里集美街247巷16號,1.0,85.0,中興橋派出所,,121.492846,25.054848
大樓,豐景二期,D402000121,成功里,新北市三重區成功里成功路50巷29號,1.0,573.0,中興橋派出所,,121.488377,25.049815
大樓,華夏,D402000122,福祉里,新北市三重區福祉里重新路4段214巷8號,1.0,68.0,中興橋派出所,,121.486566,25.0544
大樓,君臨天下,D402000123,光明里,新北市三重區光明里集美街210號,1.0,3808.0,中興橋派出所,,121.491234,25.054273
大樓,肯特商務飯店,D402000124,福民里,新北市三重區福民里成功路75號,2.0,393.0,中興橋派出所,,121.4889,25.0512
大樓,汪氏大樓,D402000125,重明里,新北市三重區重明里捷運路19巷11號,1.0,190.0,中興橋派出所,,121.485072,25.056934
大樓,博覽家A區,D402000126,成功里,新北市三重區成功里成功路50巷15號,1.0,441.0,中興橋派出所,,121.488512,25.050194
大樓,博覽家B區,D402000127,成功里,新北市三重區成功里成功路50巷24號,1.0,570.0,中興橋派出所,,121.488522,25.049729
大樓,中正儷園,D402000128,光正里,新北市三重區光正里中正南路224號,1.0,222.0,中興橋派出所,,121.493694,25.054692
大樓,博覽家A區,D402000129,成功里,新北市三重區成功里成功路50巷15號,1.0,63.0,中興橋派出所,,121.488512,25.050194
大樓,中正國寶,D402000130,光正里,新北市三重區光正里中正南路251號,1.0,1354.0,中興橋派出所,,121.49305,25.053346
公寓,集美國小,D402000131,光明里,新北市三重區光明里集美街10號,1.0,1150.0,中興橋派出所,,121.487924,25.056467
大樓,集美國小,D402000132,光明里,新北市三重區光明里集美街10號,1.0,1058.0,中興橋派出所,,121.487924,25.056467
大樓,歐風名家三期,D402000133,福祉里,新北市三重區福祉里重新路4段154號,1.0,552.0,中興橋派出所,,121.486628,25.055863
大樓,中正貴族,D402000134,永春里,新北市三重區永春里中正南路131號,1.0,463.0,中興橋派出所,,121.493911,25.057048
大樓,寶石典藏家,D402000135,重明里,新北市三重區重明里捷運路11號,1.0,2724.0,中興橋派出所,,121.485714,25.056441
大樓,藏愛旅館,D402000136,福民里,新北市三重區福民里成功路73巷6號,1.0,379.0,中興橋派出所,,121.489216,25.051698
大樓,集美新第,D402000137,光明里,新北市三重區光明里集美街116號,1.0,971.0,中興橋派出所,,121.488758,25.053875
公寓,三重社教館,D402000138,光明里,新北市三重區光明里集美街60號,1.0,1120.0,中興橋派出所,,121.489442,25.054971
公寓,三重高中,D402000139,光明里,新北市三重區光明里集美街212號,1.0,845.0,中興橋派出所,,121.491473,25.054693
大樓,三重集美桂冠,D402000140,光明里,新北市三重區光明里集美街217號,3.0,397.0,中興橋派出所,,121.491902,25.054763
大樓,捷運尊邸,D402000141,福祉里,新北市三重區福祉里捷運路26號,1.0,413.0,中興橋派出所,,121.484857,25.055635
大樓,加賀屋A座,D402000142,成功里,新北市三重區成功里成功路104巷16號,1.0,465.0,中興橋派出所,,121.487421,25.050699
大樓,加賀屋B座,D402000143,成功里,新北市三重區成功里成功路104巷11號,1.0,762.0,中興橋派出所,,121.487513,25.050649
大樓,遠雄集美,D402000144,福祉里,新北市三重區福祉里重新路4段226號,1.0,478.0,中興橋派出所,,121.485937,25.054068
大樓,太平洋富貴紅社區,D402000145,重明里,新北市三重區重明里重陽路1段60巷32號,1.0,217.0,中興橋派出所,,121.485377,25.058172
公寓,三重高中,D402000146,光明里,新北市三重區光明里集美街212號,1.0,25.0,中興橋派出所,,121.491301,25.054669
大樓,三輝首馥,D402000148,光明里,新北市三重區光明里重新路4段28號,1.0,1460.0,中興橋派出所,,121.48827,25.057438
大樓,翔譽A+,D402000149,成功里,新北市三重區成功里成功路96號,1.0,508.0,中興橋派出所,,121.487774,25.051293
大樓,成功錄,D402000150,成功里,新北市三重區成功里成功路1號,1.0,214.0,中興橋派出所,,121.490687,25.050257
大樓,三千家,D402000151,重明里,新北市三重區重明里重陽路1段26巷26號,1.0,129.0,中興橋派出所,,121.48584,25.057182
大樓,華夏,D402000152,福祉里,新北市三重區福祉里重新路4段214巷10號,1.0,66.0,中興橋派出所,,121.486652,25.054419
公寓,公寓,D402000153,菜寮里,新北市三重區菜寮里中寮街1號,1.0,230.0,中興橋派出所,,121.491941,25.059646
大樓,東煒欽品,D402000154,福民里,新北市三重區福民里集美街71號,1.0,381.0,中興橋派出所,,121.489463,25.052942
大樓,華夏,D402000155,永春里,新北市三重區永春里鄰中寮街99號,1.0,39.0,中興橋派出所,,121.493867,25.057501
大樓,大樓,D402000156,光明里,新北市三重區光明里重安街19號,1.0,133.0,中興橋派出所,,121.490684,25.057406
大樓,合康心綻,D402000157,福祉里,新北市三重區福祉里捷運路22巷30號,1.0,1478.0,中興橋派出所,,121.484719,25.054438
大樓,雙站匯,D402000158,福祉里,新北市三重區福祉里福祉街68號,1.0,130.0,中興橋派出所,,121.484185,25.054398
大樓,集美鼎豐,D402000159,成功里,新北市三重區成功里新興路6號,1.0,445.0,中興橋派出所,,121.492732,25.052912
大樓,萬福匯五期,D402000160,成功里,新北市三重區成功里成功一街31號,1.0,711.0,中興橋派出所,,121.486017,25.05028
大樓,左岸京站,D402000161,成功里,新北市三重區成功里17鄰疏洪東路一段38號,1.0,584.0,中興橋派出所,,121.486518,25.048601
大樓,春和景明,D402000162,福祉里,新北市三重區福祉里疏洪東路1段136號,1.0,549.0,中興橋派出所,,121.484196,25.053002
大樓,捷果田田,D402000163,重明里,新北市三重區重明里14鄰朝陽街16巷1號,1.0,301.0,中興橋派出所,,121.483494,25.056483
大樓,三松MPARK,D402000164,成功里,新北市三重區成功里16鄰成功二街50號,1.0,1113.0,中興橋派出所,,121.487359,25.048974
大樓,順天淳美術社區,D402000165,成功里,新北市三重區成功里3鄰成功一街50巷10號,1.0,1495.0,中興橋派出所,,121.486106,25.050664
大樓,力璞立,D402000166,福祉里,新北市三重區福祉里20鄰重新路4段153號,1.0,822.0,中興橋派出所,,121.484999,25.053242
大樓,私立富群幼兒園,D402000167,重明里,新北市三重區重明里11鄰捷運路43號,1.0,367.0,中興橋派出所,,121.48391,25.055844
大樓,大樓,D403000007,光輝里,新北市三重區光輝里文化南路60號,1.0,550.0,大同派出所,,121.500242,25.060721
大樓,祐民醫院,D403000011,光榮里,新北市三重區光榮里重新路2段6號,1.0,92.0,大同派出所,,,
大樓,天臺廣場,D403000013,仁德里,新北市三重區仁德里正義南路13號,1.0,218.0,大同派出所,,121.497949,25.061727
大樓,天臺通商,D403000014,仁德里,新北市三重區仁德里重新路2段64號,1.0,398.0,大同派出所,,121.497795,25.062061
公寓,老舊公寓,D403000016,仁義里,新北市三重區仁義里大同南路146巷2號,1.0,137.0,大同派出所,,121.49686,25.058245
公寓,老舊公寓,D403000018,仁義里,新北市三重區仁義里大同南路150號,1.0,110.0,大同派出所,,121.496551,25.057808
大樓,忠孝財經廣場,D403000020,平和里,新北市三重區平和里中正南路82號,1.0,686.0,大同派出所,,121.494408,25.059009
公寓,老舊公寓,D403000021,大安里,新北市三重區大安里大同南路151號,1.0,131.0,大同派出所,,121.496584,25.057198
大樓,老舊公寓,D403000022,大安里,新北市三重區大安里大同南路117巷21號,1.0,568.0,大同派出所,,121.495577,25.058633
公寓,老舊公寓,D403000024,大安里,新北市三重區大安里大同南路117巷16號,1.0,206.0,大同派出所,,121.495844,25.058201
大樓,華夏,D403000025,大安里,新北市三重區大安里仁化街172號,1.0,1108.0,大同派出所,,121.494809,25.05721
大樓,華夏,D403000029,同慶里,新北市三重區同慶里環河南路120號,1.0,472.0,大同派出所,,121.497713,25.056346
大樓,集賢大第,D403000036,中正里,新北市三重區中正里重新路3段126號,1.0,745.0,大同派出所,,121.492133,25.060083
大樓,老舊公寓,D403000037,中正里,新北市三重區中正里重新路3段106號,1.0,267.0,大同派出所,,121.492581,25.060381
大樓,聯邦銀行,D403000039,大同里,新北市三重區大同里重新路3段10號,1.0,226.0,大同派出所,,,
公寓,老舊公寓,D403000045,中民里,新北市三重區中民里大同南路19巷2弄7號,1.0,572.0,大同派出所,,121.495256,25.060523
公寓,老舊公寓,D403000048,中民里,新北市三重區中民里大同南路19巷2弄4號,1.0,572.0,大同派出所,,121.495507,25.060489
大樓,大樓,D403000055,大同里,新北市三重區大同里重新路3段100號,1.0,2011.0,大同派出所,,121.492823,25.060452
大樓,大樓,D403000056,同慶里,新北市三重區同慶里大同南路196號,1.0,76.0,大同派出所,,121.496776,25.056837
大樓,大樓,D403000057,大同里,新北市三重區大同里重新路3段86號,1.0,1010.0,大同派出所,,121.493064,25.060669
大樓,大樓,D403000058,大同里,新北市三重區大同里重新路3段74號,1.0,526.0,大同派出所,,121.493441,25.061003
大樓,7-11商店,D403000059,光榮里,新北市三重區光榮里文化南路7號,1.0,377.0,大同派出所,,121.499979,25.062362
大樓,大樓,D403000060,中正里,新北市三重區中正里重新路3段110號,1.0,115.0,大同派出所,,121.492373,25.060245
大樓,大樓,D403000061,仁義里,新北市三重區仁義里大同南路134巷6號,1.0,41.0,大同派出所,,121.496866,25.058483
大樓,大樓,D403000062,同慶里,新北市三重區同慶里大同南路232號,1.0,542.0,大同派出所,,121.496951,25.056148
大樓,大樓,D403000063,同慶里,新北市三重區同慶里大同南路238號,1.0,52.0,大同派出所,,121.496987,25.056046
大樓,大樓,D403000064,大同里,新北市三重區大同里重新路3段46號,1.0,835.0,大同派出所,,121.494137,25.061223
大樓,天臺贏座大廈,D403000065,光榮里,新北市三重區光榮里重新路2段12號,1.0,586.0,大同派出所,,121.499553,25.062703
