類別,建築物名稱,電腦編號,村里別,地址,"地下樓 層數",可容納人數,派出所,備註,經度,緯度
大樓,中興名門,D401000001,中興里,新北市三重區中興里中興北街133號,1.0,447.0,二重派出所,,121.469406,25.050535
大樓,湯城10號大樓,D401000003,中興里,新北市三重區中興里重新路5段609巷10號,3.0,21123.0,二重派出所,,121.468503,25.045901
大樓,湯城2號大樓,D401000004,中興里,新北市三重區中興里重新路5段609巷2號,3.0,11362.0,二重派出所,,121.468435,25.045563
大樓,銧利企業大樓,D401000005,中興里,新北市三重區中興里光復路1段70號,2.0,416.0,二重派出所,,121.471903,25.049436
大樓,圻積有限公司,D401000006,中興里,新北市三重區中興里中興北街51號,1.0,475.0,二重派出所,,121.469663,25.047271
公寓,華瑄企業有限公司,D401000007,谷王里,新北市三重區谷王里光復路2段35號,1.0,580.0,二重派出所,,121.472218,25.055111
大樓,宜富大地,D401000008,頂崁里,新北市三重區頂崁里光華路69號,1.0,531.0,二重派出所,,121.466604,25.059947
二重派出所,二重派出所,D401000009,五谷里,新北市三重區五谷里重新路5段406號,1.0,68.0,二重派出所,,,
大樓,龍觀天下社區,D401000010,中興里,新北市三重區中興里中興北街52號,1.0,588.0,二重派出所,,121.469065,25.050771
公寓,金陵女子高級中學,D401000016,中興里,新北市三重區中興里重新路5段656號,1.0,235.0,二重派出所,,121.4664,25.042508
公寓,金陵女子高級中學,D401000018,中興里,新北市三重區中興里重新路5段656號,1.0,136.0,二重派出所,,121.4664,25.042508
公寓,王達實業有限公司,D401000019,五谷里,新北市三重區五谷里光復路1段99巷8號,1.0,103.0,二重派出所,,121.473056,25.051347
公寓,大方模特兒衣架行,D401000020,五谷里,新北市三重區五谷里光復路1段99巷4號,1.0,103.0,二重派出所,,,
公寓,查無該址,D401000021,頂崁里,新北市三重區頂崁里光復路2段210號,1.0,1354.0,二重派出所,,121.469518,25.063206
大樓,捷竣新站,D401000022,中興里,新北市三重區中興里重新路5段519號,1.0,234.0,二重派出所,,121.471408,25.04645
大樓,臺北豪邁,D401000023,中興里,新北市三重區頂崁里中興北街136巷21號,1.0,70.0,二重派出所,,121.46849,25.056299
公寓,薩摩亞商大煜有限公司,D401000024,頂崁里,新北市三重區頂崁里光復路2段102巷55號,1.0,70.0,二重派出所,,121.469318,25.058187
