類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
一般建築,,MMA0001,重興里,嘉義市西區重興里遠東街39號之1,"23.48635,120.43831",1.0,45.0,
一般建築,,MMA0002,重興里,嘉義市西區重興里北興街244號,"23.48508,120.43967",1.0,46.0,
一般建築,,MMA0003,重興里,嘉義市西區重興里北興街294號,"23.48548,120.43884",1.0,16.0,
一般建築,,MMA0004,重興里,嘉義市西區重興里北興街304號,"23.48558,120.43867",1.0,49.0,
一般建築,,MMA0005,重興里,嘉義市西區重興里北興街296號,"23.4855,120.43881",1.0,18.0,
一般建築,,MMA0006,重興里,嘉義市西區重興里北興街298號,"23.48552,120.43878",1.0,17.0,
一般建築,,MMA0007,重興里,嘉義市西區重興里遠東街37號之10,"23.48645,120.43845",1.0,60.0,
大樓,,MMA0008,重興里,嘉義市西區重興里北興街180號,"23.48444,120.44114",1.0,800.0,
一般建築,,MMA0009,重興里,嘉義市西區重興里友忠路827巷75號,"23.4882,120.44098",1.0,48.0,
大樓,,MMA0010,重興里,嘉義市西區重興里博愛路一段480號,"23.48571,120.44281",1.0,236.0,
大樓,,MMA0011,重興里,嘉義市西區重興里博愛路一段482巷6號,"23.48593,120.44272",1.0,1148.0,
一般建築,,MMA0012,重興里,嘉義市西區重興里博愛路一段440號,"23.4863,120.44329",1.0,40.0,
大樓,,MMA0015,重興里,嘉義市西區重興里博愛路一段496巷1號,"23.48569,120.44186",1.0,494.0,
一般建築,,MMA0016,後驛里,嘉義市西區後驛里北興街139號至141號,"23.48386,120.4418",1.0,28.0,
一般建築,,MMA0018,後驛里,嘉義市西區後驛里博愛路二段13號,"23.48361,120.4415",1.0,58.0,
一般建築,,MMA0019,後驛里,嘉義市西區後驛里博愛路二段35號,"23.48328,120.44121",1.0,37.0,
一般建築,,MMA0020,後驛里,嘉義市西區後驛里博愛路二段39號,"23.48322,120.44115",1.0,36.0,
一般建築,,MMA0021,後驛里,嘉義市西區後驛里博愛路二段37號,"23.48325,120.44118",1.0,53.0,
一般建築,,MMA0022,後驛里,嘉義市西區後驛里北興街177巷3號之2,"23.48437,120.44041",1.0,22.0,
一般建築,,MMA0023,後驛里,嘉義市西區後驛里北興街177巷3號之1,"23.48435,120.44044",1.0,24.0,
一般建築,,MMA0024,竹圍里,嘉義市西區竹圍里北興街227號之5,"23.48499,120.43945",1.0,66.0,
一般建築,,MMA0025,竹圍里,嘉義市西區竹圍里北興街227號之6,"23.48501,120.4394",1.0,65.0,
一般建築,,MMA0026,竹圍里,嘉義市西區竹圍里北興街227號之7,"23.48503,120.43938",1.0,65.0,
一般建築,,MMA0027,竹圍里,嘉義市西區竹圍里北興街233號,"23.48529,120.43886",1.0,24.0,
一般建築,,MMA0028,竹圍里,嘉義市西區竹圍里北興街235號,"23.48531,120.43881",1.0,24.0,
一般建築,,MMA0029,竹圍里,嘉義市西區竹圍里北興街237號,"23.48533,120.43877",1.0,49.0,
一般建築,,MMA0030,竹圍里,嘉義市西區竹圍里北興街239號,"23.48534,120.43872",1.0,24.0,
一般建築,,MMA0031,竹圍里,嘉義市西區竹圍里北興街241號,"23.48536,120.43869",1.0,24.0,
大樓,,MMA0032,竹圍里,嘉義市西區竹圍里雙竹街48號,"23.48495,120.43868",1.0,1965.0,
一般建築,,MMA0034,後驛里,嘉義市西區後驛里博愛路二段231號,"23.47996,120.43845",1.0,17.0,
一般建築,,MMA0035,後驛里,嘉義市西區後驛里博愛路二段105號,"23.48211,120.44025",1.0,22.0,
大樓,,MMA0036,後驛里,嘉義市西區後驛里後驛街158號,"23.47942,120.43888",1.0,110.0,
一般建築,,MMA0037,後驛里,嘉義市西區後驛里中興路16號,"23.48064,120.43995",1.0,48.0,
台鐵嘉義工務段,,MMA0038,後驛里,嘉義市西區後驛里中興路1號之3,"23.48021,120.44044",1.0,457.0,
大樓,,MMA0039,後驛里,嘉義市西區後驛里中興路23號,"23.48004,120.43943",1.0,286.0,
一般建築,,MMA0043,慶安里,嘉義市西區慶安里北興街116巷6號,"23.48393,120.44262",1.0,33.0,
一般建築,,MMA0044,慶安里,嘉義市西區慶安里北興街116巷7號,"23.48391,120.44265",1.0,30.0,
一般建築,,MMA0045,慶安里,嘉義市西區慶安里北興街116巷8號,"23.48388,120.44268",1.0,30.0,
一般建築,,MMA0046,慶安里,嘉義市西區慶安里北興街116巷9號,"23.48388,120.44272",1.0,30.0,
