電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註
SMA03001,中正體育館,民權里,花蓮縣花蓮市公園路53號,1,80人,
SMA03002,花蓮女子中學,民權里,花蓮縣花蓮市菁華街2號,1,266人,
SMA03003,花蓮女子中學,民權里,花蓮縣花蓮市菁華街2號,1,586人,
SMA03004,救國團花蓮學苑,民權里,花蓮縣花蓮市公園路53-2號,1,934人,
SMA03005,北濱國小,民權里,花蓮縣花蓮市北濱街113號,1,173人,
SMA03006,合作金庫,民族里,花蓮縣花蓮市中山路124號,1,401人,
SMA03007,華南銀行,民族里,花蓮縣花蓮市中山路80號,1,266人,
SMA03008,福康飯店,民生里,花蓮縣花蓮市公園路5號,1、2,1796人,
SMA03009,中國國民黨花蓮縣黨部,民生里,花蓮縣花蓮市公園路27號,1,285人,
SMA03010,衛生福利部花蓮醫院,民生里,花蓮縣花蓮市中正路600號,1,992人,
SMA03011,藍天麗池飯店,民生里,花蓮縣花蓮市中正路590號,1,480人,
SMA03012,國軍英雄館,民生里,花蓮縣花蓮市花崗街56號,1,30人,
SMA03013,蔡卿銘補習班,國治里,花蓮縣花蓮市民國路82號,1,213人,
SAM03014,私人住宅,民有里,花蓮縣花蓮市海濱街89號,1,132人,
SMA04001,花蓮二信總社,主商里,花蓮縣花蓮市光復街36號,1,378人,
SMA04002,水利局第九工程處,主計里,花蓮縣花蓮市仁愛街19號,1,126人,
SMA04003,信義國小,主計里,花蓮縣花蓮市信義街1號,1,116人,
SMA04004,中正派出所,主信里,花蓮縣花蓮市中華路448號,1,112人,
SMA04005,福容京站,主信里,花蓮縣花蓮市南京街205號,1、2、3,1437人,
SMA04006,聯統日報,主睦里,花蓮縣花蓮市和平路336號,1,668人,
SMA04007,台灣省菸酒公賣局花蓮分局,主工里,花蓮縣花蓮市仁愛街75號,1,304人,
SMA04008,私人住宅,主義里,花蓮縣花蓮市仁愛街32號,1,772人,
SMA04009,大樓,主計里,花蓮縣花蓮市福建街406號,1,242人,
SMA05001,忠孝國小,主力里,花蓮縣花蓮市中華路298號,1,233人,
SMA05002,富野飯店,主力里,花蓮縣花蓮市中華路302.304號,1,1552人,
SMA05003,成旅晶贊飯店,主力里,花蓮縣花蓮市中華路231號,1,837人,
SMA05004,中正國小,主學里,花蓮縣花蓮市中正路210號,1,133人,
SMA05005,中正國小,主學里,花蓮縣花蓮市中正路210號,1,240人,
SMA05006,中正國小,主學里,花蓮縣花蓮市中正路210號,1,409人,
SMA05007,中正國小新建工程,主學里,花蓮縣花蓮市中正路210號,1,1808人,
SMA05008,上毅大鎮,主學里,花蓮縣花蓮市中正路260號,1、2,2000人,
SMA05009,蓮花藝術廣場,主權里,花蓮縣花蓮市德安六街63號,1、2,2426人,
SMA05010,和勝江山,主農里,花蓮縣花蓮市長安街26號,1、2,333人,
SMA05011,大樓,主學里,花蓮縣花蓮市上海街81號,1,199人,
SMA06001,花東客棧,國威里,花蓮縣花蓮市民國路161號,1,1096人,
SMA06002,大樓,國威里,花蓮縣花蓮市新港街73-1號,1,921人,
SMA06003,花蓮商校,國安里,花蓮縣花蓮市中山路418號,1,28人,
SMA06004,花蓮商校,國安里,花蓮縣花蓮市中山路418號,1,314人,
SMA06005,花蓮商校,國安里,花蓮縣花蓮市中山路418號,1,172人,
SMA06006,花蓮商校,國安里,花蓮縣花蓮市中山路418號,1,32人,
SMA06007,花蓮國安郵局,國安里,花蓮縣花蓮市中山路408號,1,2036人,
SMA06008,土地銀行,國安里,花蓮縣花蓮市中山路356號,1,1138人,
SMA06009,黃聖傑,國安里,花蓮縣花蓮市中山路326號,1,146人,
SMA06010,明星國宅,國防里,花蓮縣花蓮市明心街21-23號,1,1136人,
SMA06011,花蓮一信總社,國魂里,花蓮縣花蓮市中山路473號,1,626人,
SMA06012,花蓮農校,國魂里,花蓮縣花蓮市建國路161號,1,429人,
SMA06013,花蓮農校,國魂里,花蓮縣花蓮市建國路161號,1,57人,
SMA06014,花蓮農校,國魂里,花蓮縣花蓮市建國路161號,1,104人,
SMA06015,花蓮農校,國魂里,花蓮縣花蓮市建國路161號,1,209人,
SMA06016,花蓮農校,國魂里,花蓮縣花蓮市建國路161號,1,112人,
SMA06017,國風國中,國風里,花蓮縣花蓮市林政街7號,1,564人,
SMA06018,國風國中,國風里,花蓮縣花蓮市林政街7號,1,349人,
SMA06019,國風國中,國風里,花蓮縣花蓮市林政街7號,1,64人,
SMA06020,花蓮國風國中,國風里,花蓮縣花蓮市林政街7號,1,1137人,
SMA06021,明義國小,國風里,花蓮縣花蓮市明義街107號,1,290人,
SMA06022,明義國小,國風里,花蓮縣花蓮市明義街107號,1,146人,
SMA06023,明義國小,國風里,花蓮縣花蓮市明義街107號,1,48人,
SMA06024,明義國小,國風里,花蓮縣花蓮市明義街107號,1,858人,
SMA06025,明義國小,國風里,花蓮市明義街107號,1,730人,
SMA06026,中山大樓,國威里,花蓮縣花蓮市林森路236號,1,324人,
SMA06027,合作金庫,國威里,花蓮縣花蓮市中山路371號,1,448人,
SMA06028,花蓮縣消防局,國威里,花蓮縣花蓮市三民街53號,1,380人,
SMA06029,花蓮市公所,國威里,花蓮縣花蓮市林森路252號,1,549人,
SMA06030,花蓮市農會,國魂里,花蓮縣花蓮市中山路547號,1,85人,
SMA07001,麗格飯店,國聯里,花蓮縣花蓮市商校街258號,1,921人,
SMA07002,花蓮火車站,國聯里,花蓮縣花蓮市國聯一路124號,1,750人,
SMA07003,好樂迪KTV,國聯里,花蓮縣花蓮市國聯五路69號,1,1719人,
SMA07004,香城飯店,國聯里,花蓮市國興二街19號,1、2,1733人,
SMA07005,經典假日飯店,國聯里,花蓮縣花蓮市國聯五路139號,1,489人,
SMA07006,康橋飯店,國聯里,花蓮縣花蓮市國聯五路101號,1,2126人,
SMA07007,陳錫龍住宅,國聯里,花蓮縣花蓮市國聯一路93號,1,255人,
SMA07008,中華國小,國盛里,花蓮縣花蓮市國盛二街22號,1,1454人,
SMA07009,漫波假期飯店,國聯里,花蓮縣花蓮市國聯五路192號,1,341人,
SMA07010,國廣興飯店,國聯里,花蓮縣花蓮市國聯五路238號,1,589人,
SMA07011,"F HOTEL",國盛里,花蓮縣花蓮市國盛二街203號之1,1,691人,
SMA07012,花蓮市立圖書館,國聯里,花蓮縣花蓮市國聯一路107號,1,460人,
SMA07013,大樓,國聯里,花蓮縣花蓮市國民八街8號,1、2,592人,
SMA07014,大樓,國聯里,花蓮縣花蓮市國民八街3號,1、2,895人,
SMA07015,大樓,國盛里,花蓮縣花蓮市國盛一街76號,1,239人,
SMA02001,自強超市,國富里,花蓮縣花蓮市富國路20號,1,700人,
SMA02002,銘廬大樓,國富里,花蓮縣花蓮市國富17街10號,1,1153人,
SMA02003,富祥華廈,國富里,花蓮縣花蓮市富祥街70號,1,160人,
SMA02004,銘星學園公寓大廈,國富里,花蓮縣花蓮市中央路三段730號,1,2206人,
SMA02005,明廉國小,國富里,花蓮縣花蓮市中山路903號,1,1604人,
SMA02006,東方巴黎大樓,國裕里,花蓮縣花蓮市富安路147號,1,1693人,
SMA02007,勞工育樂中心,國裕里,花蓮縣花蓮市富安路199號,1,693人,
SMA02008,慈濟醫院,國慶里,花蓮縣花蓮市中央路3段705號,1、2,7488人,
SMA02009,四維高中,國慶里,花蓮縣花蓮市中山路一段200號,1,2584人,
SMA02010,慈濟靜思堂,國慶里,花蓮縣花蓮市中央路3段703號,1、2,13074人,
