電腦編號,里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
1.0,萬丹村,南投縣名間鄉萬丹村新丹巷268號,23.875271,120.706078,1.0,389.0,第七公路警察大隊,
2.0,萬丹村,南投縣名間鄉萬丹村新丹巷272號,23.874754,120.705539,1.0,389.0,第七公路警察大隊,
