電腦編號,建築物名稱,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註一,備註二
EPA00001,衡陽路85號華廈,桃園市中壢區明德里8鄰衡陽街85號,24.950582,121.23164,B01,211,中壢分局,,
EPA00002,富麗材料有限公司(中壢),桃園市中壢區普強里利民路42號,24.951328,121.238282,B01,511,中壢分局,,
EPA00007,香格里拉大廈,桃園市中壢區仁義里中華路二段330號,24.964967,121.235731,B01B02,2463,中壢分局,,
EPA00009,東興國中,桃園市中壢區明德里21鄰廣州路25號,24.950108,121.230044,B01,1166,中壢分局,,
EPA00010,萬寶鎮,桃園市中壢區龍昌里27鄰龍昌路232號,24.935794,121.249231,B01,466,中壢分局,,
EPA00011,萬寶鎮,桃園市中壢區龍昌里8鄰龍昌路254號,24.936073,121.249362,B01,577,中壢分局,,
EPA00014,金龍大第,桃園市中壢區龍興里13鄰龍岡路二段407號,24.940459,121.230859,B01,666,中壢分局,,
EPA00016,南亞都會精品,桃園市中壢區龍東里1鄰龍東路445巷309號,24.935118,121.249495,B01,138,中壢分局,,
EPA00017,萬寶鎮,桃園市中壢區龍昌里27鄰龍昌路238巷50號,24.936658,121.247719,B01,933,中壢分局,,
EPA00020,公寓,桃園市中壢區普強里國泰街131號,24.950211,121.237413,B01,200,中壢分局,,
EPA00021,甜蜜世界,桃園市中壢區明德里內江路18號,24.947741,121.232461,B01,2709,中壢分局,,
EPA00022,邦國建設永福路華廈,桃園市中壢區中興里6鄰永福路780號,24.961753,121.255499,B01,569,中壢分局,,
EPA00025,原貴,桃園市中壢區普忠里新中北路36號,24.95698,121.236019,B01B02,798,中壢分局,,
EPA00029,公寓,桃園市中壢區普義里17鄰四維路16號,24.959371,121.230324,B01,162,中壢分局,,
EPA00031,宜欣園,桃園市中壢區明德里惠州街80號,24.947227,121.232373,B01,662,中壢分局,,
EPA00034,建堃五金行,桃園市中壢區仁義里10鄰延平路24號,24.963888,121.232939,B01,177,中壢分局,,
EPA00035,慶昌機械五金,桃園市中壢區仁義里10鄰延平路22號,24.963851,121.233031,B01,175,中壢分局,,
EPA00037,林宅,桃園市中壢區龍興里20鄰龍岡路三段133號,24.934164,121.23642,B01,31,中壢分局,,
EPA00038,民宅,桃園市中壢區信義里福州路125號,24.951362,121.233844,B01,32,中壢分局,,
EPA00039,安安小兒科診所,桃園市中壢區明德里龍岡路二段109號,24.945842,121.229384,B01,26,中壢分局,,
EPA00041,南雄街25號華廈,桃園市中壢區明德里南雄街25號,24.948264,121.233233,B01,28,中壢分局,,
EPA00042,台灣主婦聯盟生活消費合作社,桃園市中壢區信義里廣州路222號,24.953097,121.233147,B01,661,中壢分局,,
EPA00043,新中一街12號華廈,桃園市中壢區普忠里新中一街12號,24.959697,121.243564,B01,316,中壢分局,,
EPA00044,振誠五金商行,桃園市中壢區普強里中山東路二段10號,24.954597,121.236872,B01,247,中壢分局,,
EPA00045,公寓,桃園市中壢區普強里民享街5號,24.954141,121.236958,B01,414,中壢分局,,
EPA00047,公寓,桃園市中壢區信義里20鄰衡陽街30號,24.950409,121.230717,B01,185,中壢分局,,
EPA00048,公寓,桃園市中壢區信義里17鄰成都路56號,24.950449,121.231626,B01,265,中壢分局,,
EPA00052,民宅,桃園市中壢區正義里新興北街31號,24.955145,121.230528,B01,22,中壢分局,,
EPA00053,公寓,桃園市中壢區普仁里新中北路34巷4號,24.956426,121.235989,B01,66,中壢分局,,
EPA00056,民宅,桃園市中壢區仁義里普義路180號,24.961037,121.232014,B01,66,中壢分局,,
EPA00057,民宅,桃園市中壢區正義里中北路二段357號,24.95395,121.230862,B01,17,中壢分局,,
EPA00059,民宅,桃園市中壢區普強里19鄰中山東路二段116號,24.953367,121.238878,B01,27,中壢分局,,
EPA00060,民宅,桃園市中壢區普強里19鄰中山東路二段152號,24.953098,121.239202,B01,27,中壢分局,,
EPA00061,民宅,桃園市中壢區普強里19鄰中山東路二段156號,24.95282,121.239303,B01,28,中壢分局,,
EPA00062,民宅,桃園市中壢區普仁里環中東路912號,24.952326,121.241053,B01,88,中壢分局,,
EPA00065,吳宅,桃園市中壢區龍東里22鄰龍東路29巷120弄29號,24.937919,121.257994,B01,22,中壢分局,,
EPA00068,民宅,桃園市中壢區明德里桂林街23號,24.949616,121.231682,B01,58,中壢分局,,
EPA00073,民宅,桃園市中壢區普仁里弘揚路29號,24.953178,121.240004,B01,77,中壢分局,,
EPA00074,民宅,桃園市中壢區正義里中北路二段373巷5弄10號,24.95429,121.230757,B01,15,中壢分局,,
EPA00077,民宅,桃園市中壢區信義里廣州路211號,24.953186,121.233208,B01,105,中壢分局,,
EPA00078,民宅,桃園市中壢區信義里廣州路209號,24.953172,121.233095,B01,111,中壢分局,,
EPA00080,民宅,桃園市中壢區正義里中北路二段416號,24.954441,121.232794,B01,44,中壢分局,,
EPA00081,民宅,桃園市中壢區正義里中北路二段402號,24.954293,121.232223,B01,33,中壢分局,,
EPA00085,民宅,桃園市中壢區信義里中北路二段402號之1,24.954293,121.232223,B01,26,中壢分局,,
EPA00086,民宅,桃園市中壢區正義里中北路二段326號,24.953467,121.230185,B01,25,中壢分局,,
EPA00089,民宅,桃園市中壢區正義里中北路二段369號,24.954227,121.230959,B01,17,中壢分局,,
EPA00095,民宅,桃園市中壢區正義里中北路二段432號,24.954603,121.233079,B01,30,中壢分局,,
EPA00097,民宅,桃園市中壢區德義里4鄰中山東路一段7號,24.955626,121.228278,B01,15,中壢分局,,
EPA00098,民宅,桃園市中壢區德義里15鄰永康三街13號,24.95617,121.224888,B01,232,中壢分局,,
EPA00100,民宅,桃園市中壢區正義里金山一街33號,24.953113,121.231527,B01,33,中壢分局,,
EPA00101,民宅,桃園市中壢區信義里廣州路202號,24.95273,121.2326,B01,26,中壢分局,,
EPA00102,民宅,桃園市中壢區信義里嘉善街14號,24.951442,121.233111,B01,14,中壢分局,,
EPA00104,民宅,桃園市中壢區明德里昆明街31號,24.949262,121.232447,B01,53,中壢分局,,
EPA00105,民宅,桃園市中壢區信義里廈門路213號,24.949829,121.233623,B01,33,中壢分局,,
EPA00107,民宅,桃園市中壢區普仁里日新路39號,24.954775,121.238856,B01,27,中壢分局,,
EPA00109,民宅,桃園市中壢區普強里莒光路58號,24.952742,121.237685,B01,37,中壢分局,,
EPA00111,民宅,桃園市中壢區普忠里實踐路108號,24.956017,121.240277,B01,133,中壢分局,,
EPA00112,民宅,桃園市中壢區後寮里後興路二段270巷11號,24.942642,121.236817,B01,43,中壢分局,,
EPA00123,民宅,桃園市中壢區正義里中北路二段345號,24.953919,121.230508,B01,18,中壢分局,,
EPA00124,民宅,桃園市中壢區正義里中北路二段359號,24.953934,121.230898,B01,18,中壢分局,,
EPA00127,江中醫診所,桃園市中壢區健行里龍岡路一段133號,24.949517,121.224175,B01,151,中壢分局,,
EPA00128,民宅,桃園市中壢區普仁里日新路86號,24.955357,121.240077,B01,138,中壢分局,,
EPA00129,民宅,桃園市中壢區普義里溪洲三路71號,24.96106,121.231085,B01,208,中壢分局,,
