電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
WMA03660,金泰里,臺北市中山區北安路826號,"25.08424,121.557305",1,1377.0,中山分局,
WMA03426,金泰里,臺北市中山區樂群二路266巷102號,"25.077264,121.561903",1,606.0,中山分局,
WMA03472,金泰里,臺北市中山區敬業一路128巷41號,"25.083421,121.553634",3,757.0,中山分局,
WMA03492,金泰里,臺北市中山區敬業一路128巷1號,"25.08347,121.552767",2,2826.0,中山分局,
WMA03697,金泰里,臺北市中山區敬業一路173號,"25.084337,121.553451",1,1661.0,中山分局,
WMA03154,金泰里,臺北市中山區敬業二路266巷110-112號,"25.083607,121.55428",2,1778.0,中山分局,
WMA03155,金泰里,臺北市中山區基湖路166巷6-8號,"25.077342,121.562706",1,573.0,中山分局,
WMA03156,金泰里,臺北市中山區基湖路120巷2-10號,"25.078005,121.563183",1,3626.0,中山分局,
WMA03158,金泰里,臺北市中山區基湖路157巷13-15號,"25.077,121.565229",4,1628.0,中山分局,
WMA03159,金泰里,臺北市中山區基湖路120巷30弄1-7號,"25.078395,121.562616",2,1354.0,中山分局,
WMA03163,金泰里,臺北市中山區基湖路157巷1-11號,"25.076788,121.563432",2,2778.0,中山分局,
WMA03181,金泰里,臺北市中山區基湖路120巷1-11號,"25.078166,121.563372",2,4092.0,中山分局,
WMA03442,金泰里,臺北市中山區基湖路120巷30弄28號,"25.077684,121.562324",1,406.0,中山分局,
WMA03443,金泰里,臺北市中山區樂群二路266巷80號,"25.077974,121.561943",2,2325.0,中山分局,
WMA03451,金泰里,臺北市中山區堤頂大道二段242號,"25.077794,121.566498",1,850.0,中山分局,
WMA03453,金泰里,臺北市中山區堤頂大道二段246號,"25.077794,121.566498",2,988.0,中山分局,
WMA03456,金泰里,臺北市中山區堤頂大道二段260號,"25.077693,121.565537",2,2324.0,中山分局,
WMA03488,金泰里,臺北市中山區樂群二路143號,"25.080123,121.55665",2,2192.0,中山分局,
WMA03490,金泰里,臺北市中山區基湖路112巷60號,"25.079134,121.56242",1,872.0,中山分局,
WMA03501,金泰里,臺北市中山區堤頂大道二段246巷3號,"25.077373,121.566463",2,3949.0,中山分局,
WMA03523,金泰里,臺北市中山區樂群二路291號,"25.080107,121.561048",1,2061.0,中山分局,
WMA03529,金泰里,臺北市中山區基湖路145巷28號,"25.077714,121.564757",1,440.0,中山分局,
WMA03553,金泰里,臺北市中山區堤頂大道二段458號,"25.080924,121.562057",1,5473.0,中山分局,
WMA03560,金泰里,臺北市中山區樂群二路266巷28號,"25.079076,121.561949",1,224.0,中山分局,
WMA03191,金泰里,臺北市中山區堤頂大道二段282-292號,"25.078206,121.565046",2,946.0,中山分局,
WMA03214,金泰里,臺北市中山區堤頂大道二段246巷12號,"25.077261,121.566057",2,1361.0,中山分局,
WMA03832,金泰里,臺北市中山區植福路200號,"25.083243,121.560077",1,3242.0,中山分局,
WMA03237,金泰里,臺北市中山區堤基湖路147-149號,"25.078117,121.563801",2,764.0,中山分局,
WMA03239,金泰里,臺北市中山區堤基湖路112巷8號,"25.078857,121.563302",2,861.0,中山分局,
WMA03240,金泰里,臺北市中山區基湖路157巷2-10號,"25.077148,121.563422",2,4052.0,中山分局,
WMA03256,金泰里,臺北市中山區基湖路145巷31號,"25.077845,121.564875",1,329.0,中山分局,
WMA03261,金泰里,臺北市中山區堤頂大道二段336-360號,"25.079053,121.563604",2,2570.0,中山分局,
WMA03309,金泰里,臺北市中山區堤頂大道二段486號,"25.082605,121.561333",2,3197.0,中山分局,
WMA03368,金泰里,臺北市中山區堤頂大道二段366號,"25.07973,121.563035",2,2018.0,中山分局,
WMA03381,金泰里,臺北市中山區樂群三路218號,"25.082498,121.55779",4,6174.0,中山分局,
WMA03426,金泰里,臺北市中山區樂群二路102號,"25.080386,121.555122",1,606.0,中山分局,
WMA03429,金泰里,臺北市中山區敬業四路168號,"25.084285,121.558745",3,3593.0,中山分局,
WMA03563,金泰里,臺北市中山區基湖路151巷7號,"25.077798,121.563875",1,701.0,中山分局,
WMA03578,金泰里,臺北市中山區基湖路112巷51號,"25.079322,121.562561",1,941.0,中山分局,
WMA03579,金泰里,臺北市中山區基湖路151巷36號,"25.077361,121.564471",1,958.0,中山分局,
WMA03591,金泰里,臺北市中山區樂群三路285號,"25.083026,121.558893",1,1470.0,中山分局,
WMA03592,金泰里,臺北市中山區基湖路135號,"25.078479,121.564207",2,285.0,中山分局,
WMA03595,金泰里,臺北市中山區基湖路116號,"25.078299,121.563675",2,258.0,中山分局,
WMA03602,金泰里,"臺北市中山區基湖路
145巷23號","25.0780934886065,121.564493095122",1,798.0,中山分局,
WMA03688,金泰里,臺北市中山區敬業四路31號,"25.080887,121.557711",1,5196.0,中山分局,
WMA03703,金泰里,臺北市中山區堤頂大道二段280號,"25.078157,121.565235",1,622.0,中山分局,
WMA03368,金泰里,臺北市中山區堤頂大道二段366號,"25.07973,121.563035",2,2324.0,中山分局,
WMA03456,金泰里,臺北市中山區堤頂大道二段260號,"25.077693,121.565537",2,2018.0,中山分局,
WMA03866,金泰里,臺北市中山區植福路166號,"25.083791,121.558921",1、2,2197.0,中山分局,
