電腦編號,里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
鐵花006,關山鎮,臺東縣關山鎮里瓏里003鄰博愛路2號,"23.04608,121.16491",1.0,143.0,鐵路警察局花蓮分局,
鐵花007,鹿野鄉,臺東縣鹿野鄉鹿野村中正路38號　,"22.912497731597547, 121.13697796562971",1.0,80.0,鐵路警察局花蓮分局,
鐵花008,岩灣里,臺東縣臺東市岩灣里016鄰岩灣路101巷598號,"22.79386,121.12361",1.0,701.0,鐵路警察局花蓮分局,
鐵花009,岩灣里,臺東縣臺東市岩灣里016鄰岩灣路101巷598號,"22.79386,121.12361",1.0,750.0,鐵路警察局花蓮分局,
鐵花010,岩灣里,臺東縣臺東市岩灣里016鄰岩灣路101巷27號,"22.8044300,121.1248400",1.0,535.0,鐵路警察局花蓮分局,
