類別,電腦編號,村里別,地址,"地下樓 層數",可容納人數,派出所,備註,經度,緯度
地政事務所,DE01000021,深丘里,新北市板橋區深丘里實踐路1號,1.0,476.0,海山派出所,,121.46353,25.008623
板橋第一運動場,DE01000038,深丘里,新北市板橋區深丘里漢生東路278號,1.0,3057.0,海山派出所,,121.46929,25.010591
大豐建築,DE01000082,長安里,新北市板橋區長安里漢生東路193巷25號,1.0,392.0,海山派出所,,121.47104,25.012306
公寓,DE01000083,玉光里,新北市板橋區玉光里永豐街55巷40-42號,1.0,246.0,海山派出所,,121.47231,25.018462
私人住宅大樓,DE01000084,西安里,新北市板橋區西安里中山路二段109號,1.0,309.0,海山派出所,,121.47453,25.016331
板橋地方法院,DE01000086,東丘里,新北市板橋區東丘里民生路一段30號,1.0,5632.0,海山派出所,,121.47606,25.013522
兆湖鐵廠,DE01000087,西安里,新北市板橋區西安里觀光街67號,1.0,272.0,海山派出所,,121.47018,25.016495
榮實開發,DE01000088,深丘里,新北市板橋區深丘里區運路22號,1.0,1109.0,海山派出所,,121.46533,25.009346
公寓,DE01000089,長安里,新北市板橋區長安里中山路一段186號,1.0,438.0,海山派出所,,121.4694,25.013461
私人住宅大樓,DE01000090,福丘里,新北市板橋區福丘里中山路一段91號,1.0,90.0,海山派出所,,121.46159,25.010156
私人住宅大樓,DE01000091,福丘里,新北市板橋區福丘里民權路33號,1.0,163.0,海山派出所,,121.46216,25.010902
調查局,DE01000092,民族里,新北市板橋區民族里漢生東路193巷2號,1.0,348.0,海山派出所,,121.47094,25.012184
私人住宅大樓,DE01000093,海山里,新北市板橋區海山里民生路一段29號,2.0,950.0,海山派出所,,121.4753,25.011857
名鵬企業,DE01000095,玉光里,新北市板橋區玉光里民生路二段21號,1.0,26.0,海山派出所,,121.47166,25.017271
私人住宅大樓,DE01000096,長安里,新北市板橋區長安里板新路29號,2.0,643.0,海山派出所,,121.47448,25.013054
私人住宅大樓,DE01000098,民生里,新北市板橋區民生里板新路18號,1.0,477.0,海山派出所,,121.47451,25.013388
私人住宅大樓,DE01000099,玉光里,新北市板橋區玉光里民生路二段46號,2.0,350.0,海山派出所,,121.47245,25.017566
私人住宅大樓,DE01000100,民族里,新北市板橋區民族里民族路129巷26號,3.0,75.0,海山派出所,,121.46791,25.008833
私人住宅大樓,DE01000101,海山里,新北市板橋區海山里長安街138巷1號1,1.0,67.0,海山派出所,,121.47284,25.009913
久揚天廈,DE01000103,香丘里,新北市板橋區香丘里中山路一段293-2號,2.0,1682.0,海山派出所,,121.47095,25.014561
私人住宅大樓,DE01000104,海山里,新北市板橋區海山里民生路一段5號,3.0,8017.0,海山派出所,,121.47603,25.011573
私人住宅大樓,DE01000105,介壽里,新北市板橋區介壽里文化路一段270巷3弄3號,1.0,1588.0,海山派出所,,121.46803,25.020964
私人住宅大樓,DE01000106,福丘里,新北市板橋區福丘里中山路一段50巷17號,1.0,353.0,海山派出所,,121.46161,25.009115
私人住宅大樓,DE01000107,海山里,新北市板橋區海山里民生路一段35號,1.0,191.0,海山派出所,,121.47574,25.012665
私人住宅大樓,DE01000108,海山里,新北市板橋區海山里長安街138巷1弄48號,1.0,260.0,海山派出所,,121.47388,25.010029
私人住宅大樓,DE01000109,東安里,新北市板橋區東安里中山路二段97號,1.0,661.0,海山派出所,,121.47442,25.016459
私人住宅大樓,DE01000110,深丘里,新北市板橋區深丘里民族路69巷18弄2號,1.0,287.0,海山派出所,,121.4659,25.009965
板橋地方法院,DE01000111,東丘里,新北市板橋區東丘里民生路一段30號,1.0,755.0,海山派出所,,121.47606,25.013522
私人住宅大樓,DE01000112,海山里,新北市板橋區海山里漢生東路335號,1.0,508.0,海山派出所,,121.47209,25.008088
私人住宅大樓,DE01000113,深丘里,新北市板橋區深丘里海山路5號,1.0,86.0,海山派出所,,121.46929,25.009356
私人住宅大樓,DE01000114,長安里,新北市板橋區長安里板新路27號,2.0,148.0,海山派出所,,121.47472,25.012899
私人住宅大樓,DE01000115,深丘里,新北市板橋區深丘里區運路82號,1.0,55.0,海山派出所,,121.46669,25.010354
私人住宅大樓,DE01000116,深丘里,新北市板橋區深丘里長安街25巷10號,1.0,126.0,海山派出所,,121.46668,25.009133
私人住宅大樓,DE01000117,長安里,新北市板橋區長安里漢生東路171號,1.0,311.0,海山派出所,,121.46948,25.012255
私人住宅大樓,DE01000118,華江里,新北市板橋區華江里莊敬路148號,1.0,1998.0,文聖派出所,,121.47061,25.022683
私人住宅大樓,DE01000119,玉光里,新北市板橋區玉光里民生路二段8號,1.0,1545.0,海山派出所,,121.4735,25.016678
私人住宅大樓,DE01000121,海山里,新北市板橋區海山里長安街138巷24號,1.0,155.0,海山派出所,,121.47292,25.008884
私人住宅大樓,DE01000122,深丘里,新北市板橋區深丘里民族路100號,1.0,577.0,海山派出所,,121.46442,25.008502
昇陽建設,DE01000124,福丘里,新北市板橋區福丘里公園街20號,1.0,384.0,海山派出所,,121.46271,25.008892
永隆建設,DE01000125,福丘里,新北市板橋區福丘里中山路一段69號,1.0,309.0,海山派出所,,121.46126,25.009839
私人住宅大樓,DE01000126,海山里,新北市板橋區海山里長安街138巷1弄42號,1.0,162.0,海山派出所,,121.4737,25.00992
私人住宅大樓,DE01000127,香丘里,新北市板橋區香丘里板新路202號,2.0,905.0,海山派出所,,121.46897,25.01613
私人住宅大樓,DE01000128,民族里,新北市板橋區民族里民族路197號,1.0,816.0,海山派出所,,121.46894,25.007512
私人住宅大樓,DE01000129,東安里,新北市板橋區東安里中山路二段133號,1.0,1014.0,海山派出所,,121.47518,25.016785
私人住宅大樓,DE01000130,長安里,新北市板橋區長安里板新路11號,1.0,302.0,海山派出所,,121.47512,25.012645
私人住宅大樓,DE01000131,玉光里,新北市板橋區玉光里中山路二段89巷20號,1.0,909.0,海山派出所,,121.47399,25.016602
私人住宅大樓,DE01000132,香丘里,新北市板橋區香丘里板新路157號,1.0,793.0,海山派出所,,121.46972,25.015583
海山閣中,DE01000134,長安里,新北市板橋區長安里板新路17號,1.0,908.0,海山派出所,,121.47492,25.012768
吉利財星,DE01000136,福丘里,新北市板橋區福丘里民族路40號,1.0,246.0,海山派出所,,121.46216,25.009553
豐德商業私人住宅大樓,DE01000137,東丘里,新北市板橋區東丘里中山路二段100號,1.0,700.0,海山派出所,,121.47564,25.016493
第一家庭,DE01000138,福丘里,新北市板橋區福丘里民族路31號,1.0,445.0,海山派出所,,121.46219,25.009904
私人住宅大樓,DE01000139,東安里,新北市板橋區東安里中山路二段123號,1.0,409.0,海山派出所,,121.47481,25.016734
中山金典,DE01000141,玉光里,新北市板橋區玉光里民生路二段18號,1.0,213.0,海山派出所,,121.47309,25.016643
小遠百,DE01000142,深丘里,新北市板橋區深丘里中山路一段152號,1.0,3570.0,海山派出所,,121.46434,25.011114
民生蓮園,DE01000143,玉光里,新北市板橋區玉光里民生路二段30號,1.0,201.0,海山派出所,,121.47275,25.017166
市民廣場,DE01000146,福丘里,新北市板橋區福丘里縣民大道二段22號,1.0,686.0,海山派出所,,121.46485,25.013499
天賜良園,DE01000147,福丘里,新北市板橋區福丘里公園街58號,1.0,112.0,海山派出所,,121.46197,25.007851
正隆麗池,DE01000149,海山里,新北市板橋區海山里民生路一段1號1,2.0,2452.0,海山派出所,,121.4767,25.011683
民生公園,DE01000151,東丘里,新北市板橋區東丘里民生路一段30號,1.0,486.0,海山派出所,,121.47606,25.013522
板橋福音堂,DE01000152,福丘里,新北市板橋區福丘里民族路8號,2.0,233.0,海山派出所,,121.46166,25.009651
民生經貿私人住宅大樓,DE01000153,民生里,新北市板橋區民生里民生路一段57號,1.0,233.0,海山派出所,,121.47531,25.013096
海山高中,DE01000154,深丘里,新北市板橋區深丘里漢生東路215號,1.0,115.0,海山派出所,,121.47089,25.010154
生活村幼兒園,DE01000155,民族里,新北市板橋區民族里漢生東路350號,1.0,110.0,海山派出所,,121.47202,25.007252
新北市政府,DE01000156,福丘里,新北市板橋區福丘里中山路一段161號,1.0,9125.0,海山派出所,,121.46565,25.012154
新站巴黎,DE01000157,長安里,新北市板橋區長安里板新路37號,3.0,1260.0,海山派出所,,121.47427,25.013189
凱旋門,DE01000158,東丘里,新北市板橋區東丘里中山路二段92-98號,1.0,2177.0,海山派出所,,121.47532,25.016339
私人住宅大樓,DE01000159,深丘里,新北市板橋區深丘里海山路1號,1.0,343.0,海山派出所,,121.46944,25.009453
華府DC社區,DE01000160,福丘里,新北市板橋區福丘里中山路一段139號1,1.0,411.0,海山派出所,,121.46339,25.011103
私人住宅大樓,DE01000161,玉光里,新北市板橋區玉光里中山路二段89巷49號,1.0,286.0,海山派出所,,121.47364,25.017343
台北官邸,DE01000162,深丘里,新北市板橋區深丘里區運路65號,1.0,806.0,海山派出所,,121.46682,25.010714
國家四季館,DE01000163,深丘里,新北市板橋區深丘里漢生東路276號,1.0,3421.0,海山派出所,,121.469,25.012069
新站尊爵,DE01000164,海山里,新北市板橋區海山里漢生東路315號,1.0,692.0,海山派出所,,121.47193,25.008007
板新私人住宅大樓,DE01000166,西安里,新北市板橋區西安里板新路126號,1.0,113.0,海山派出所,,121.47096,25.015546
公寓,DE01000167,東丘里,新北市板橋區東丘里民享街149號,1.0,385.0,海山派出所,,121.47745,25.016981
馥華時尚會館F1,DE01000168,深丘里,新北市板橋區深丘里新府路66號,1.0,1890.0,海山派出所,,121.46526,25.010983
巴黎16區,DE01000169,深丘里,新北市板橋區深丘里區運路101號,1.0,2438.0,海山派出所,,121.46851,25.011651
中山民生社區,DE01000170,民生里,新北市板橋區民生里中山路二段50號,1.0,565.0,海山派出所,,121.47323,25.015339
權世界,DE01000171,福丘里,新北市板橋區福丘里縣民大道二段86號,2.0,1652.0,海山派出所,,121.46662,25.01477
新板城,DE01000172,福丘里,新北市板橋區福丘里公園街36號,1.0,2168.0,海山派出所,,121.46229,25.008409
國鼎,DE01000173,福丘里,新北市板橋區福丘里漢生東路166號,1.0,1715.0,海山派出所,,121.46703,25.014657
皇翔高更,DE01000174,深丘里,新北市板橋區深丘里中山路一段160號之5,3.0,616.0,海山派出所,,121.4662,25.011975
站前美麗殿,DE01000175,長安里,新北市板橋區長安里漢生東路161巷5號,1.0,371.0,海山派出所,,121.4698,25.012522
晝世紀,DE01000176,福丘里,新北市板橋區福丘里漢生東路258號,1.0,1715.0,海山派出所,,121.46784,25.013786
板信雙子星,DE01000177,福丘里,新北市板橋區福丘里縣民大道二段68號,1.0,2372.0,海山派出所,,121.46344,25.012523
新東安57,DE01000178,東丘里,新北市板橋區東丘里民生路一段36-1號,1.0,135.0,海山派出所,,121.47459,25.014415
中山明珠,DE01000179,深丘里,新北市板橋區深丘里中山路1段156號之3,1.0,1464.0,海山派出所,,121.46555,25.011538
文邑公寓,DE01000180,海山里,新北市板橋區海山里漢生東路281號,3.0,827.0,海山派出所,,121.4715,25.008905
新都廳,DE01000181,福丘里,新北市板橋區福丘里漢生東路266號,6.0,503.0,海山派出所,,121.46829,25.013324
皇勝喜悅,DE01000183,民生里,新北市板橋區民生里民生路一段95號,1.0,688.0,海山派出所,,121.47437,25.014004
史丹佛,DE01000184,福丘里,新北市板橋區福丘里新府路1號,6.0,1929.0,海山派出所,,121.46402,25.012113
東方富裕,DE01000185,福丘里,新北市板橋區福丘里縣民大道二段80號,5.0,2644.0,海山派出所,,121.46624,25.014521
花園橋峰,DE01000186,深丘里,新北市板橋區深丘里中山一段168號,2.0,6710.0,海山派出所,,121.46748,25.011933
新板御賞,DE01000187,玉光里,新北市板橋區玉光里觀光街56-1號,1.0,533.0,海山派出所,,121.47087,25.016498
板橋大遠百,DE01000188,福丘里,新北市板橋區福丘里新站路28號,1.0,8082.0,海山派出所,,121.46663,25.013622
三暉謙匯,DE01000189,民族里,新北市板橋區民族里民族路183號,1.0,500.0,海山派出所,,121.46883,25.007564
領御,DE01000190,福丘里,新北市板橋區福丘里中山一段181號,1.0,690.0,海山派出所,,121.46768,25.013002
新板宸,DE01000191,福丘里,新北市板橋區福丘里中山一段139號,4.0,3850.0,海山派出所,,121.46339,25.011103
新板PLUS公寓,DE01000192,玉光里,新北市板橋區玉光里永豐街49巷18號,3.0,568.0,海山派出所,,121.47335,25.017791
"新板NEW ONE",DE01000193,介壽里,新北市板橋區介壽里民生二段207號,1.0,196.0,海山派出所,,121.46909,25.020653
上品匯,DE01000194,百壽里,新北市板橋區百壽里文化路一段188巷17號,1.0,284.0,海山派出所,,121.46679,25.019241
法國翡翠,DE01000195,民族里,新北市板橋區民族里海山路23號,1.0,707.0,海山派出所,,121.46839,25.008974
新板金融私人住宅大樓,DE01000196,福丘里,新北市板橋區福丘里中山路一段141號,1.0,833.0,海山派出所,,121.46363,25.01123
私人住宅大樓,DE01000197,百壽里,新北市板橋區百壽里文化路一段188巷51號,3.0,918.0,海山派出所,,121.46778,25.018555
私人住宅大樓,DE01000198,百壽里,新北市板橋區百壽里文化路一段188巷59號,1.0,1638.0,海山派出所,,121.46853,25.018108
三輝海山學B區,DE01000199,民族里,新北市板橋區民族里民族路225巷51號,1.0,234.0,海山派出所,,121.46994,25.008065
私人住宅大樓,DE01000200,民族里,新北市板橋區民族里民族路225巷60號,1.0,395.0,海山派出所,,121.47013,25.008099
新板極TOP,DE01000201,民族里,新北市板橋區民族里民族路151巷28之1號,1.0,424.0,海山派出所,,121.46933,25.008321
海山國小,DE01000202,深丘里,新北市板橋區深丘里漢生東路280號,1.0,2824.0,海山派出所,,121.47086,25.009457
潤泰鼎峯社區,DE01000203,介壽里,新北市板橋區介壽里17鄰民生路二段139號2樓,1.0,1384.0,海山派出所,,121.4702,25.018988
馥笙物業大樓,DE01000204,海山里,新北市板橋區海山里2鄰漢生東路279巷36號,1.0,280.0,海山派出所,,121.47266,25.009414
立肯企業大樓,DE01000205,深丘里,新北市板橋區深丘里民族路69巷16號,1.0,373.0,海山派出所,,121.46582,25.009713
永豐景,DE01000206,玉光里,新北市板橋區玉光里永豐街27號,1.0,202.0,海山派出所,,121.4742941,25.01726835
十德居,DE02000001,柏翠里,新北市板橋區柏翠里雙十路三段10巷1弄6號,1.0,438.0,江翠派出所,,121.47205,25.031249
江翠國小,DE02000002,柏翠里,新北市板橋區柏翠里文化路二段413號,1.0,941.0,江翠派出所,,121.47388,25.032039
儒林居,DE02000003,柏翠里,新北市板橋區柏翠里雙十路三段20號,1.0,308.0,江翠派出所,,121.47139,25.030747
久泰金華天下,DE02000009,柏翠里,新北市板橋區柏翠里文化路二段451號,1.0,636.0,江翠派出所,,121.47527,25.033516
公寓,DE02000057,純翠里,新北市板橋區純翠里吳鳳路81巷54號,1.0,222.0,江翠派出所,,121.4651,25.030795
漢江春曉,DE02000058,純翠里,新北市板橋區純翠里長江路二段2號,1.0,1768.0,江翠派出所,,121.46441,25.031218
