類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
永大萬歲大樓,OQA00001,埔園里,臺南市永康區埔園里1鄰埔聖街75巷10號,"23.028876,120.259017",1.0,1722.0,
一般住宅,OQA00002,六合里,臺南市永康區六合里3鄰中山南路70號,"23.012637,120.228466",1.0,552.0,
台南高工,OQA00003,大橋里,臺南市永康區大橋里28鄰中山南路193號,"23.014541,120.233557",1.0,420.0,
台南高工,OQA00004,大橋里,臺南市永康區大橋里28鄰中山南路193號,"23.014541,120.233557",1.0,944.0,
中華第一市場,OQA00005,安康里,臺南市永康區安康里16鄰中華路661巷25號,"23.015101,120.228317",1.0,1648.0,
一般住宅,OQA00006,五王里,臺南市永康區五王里1鄰成功路66號,"23.009018,120.234464",1.0,569.0,
五王民有市場,OQA00007,五王里,臺南市永康區五王里11鄰中華二路206巷68弄25號,"23.011081,120.235288",1.0,1661.0,
歐香社區住宅,OQA00008,二王里,臺南市永康區二王里33鄰中山南路490巷2弄6號,"23.017520,120.239737",1.0,556.0,
翡翠甜蜜家庭(華廈),OQA00009,網寮里,臺南市永康區網寮里29鄰永二街245巷27號,"23.015044,120.251867",1.0,2109.0,
中華第一市場,OQA00010,安康里,臺南市永康區安康里14鄰中華路619巷88弄4號,"23.013832,120.227967",1.0,513.0,
中華世貿大樓,OQA00011,六合里,臺南市永康區六合里18鄰中華路409號,"23.009671,120.232933",1.0,40344.0,
法王講堂,OQA00012,東橋里,臺南市永康區東橋里18鄰中山南路469號,"23.021718,120.24844",1.0,488.0,
金融大廈,OQA00013,六合里,臺南市永康區六合里2鄰中山南路20號之18,"23.011859,120.227161",1.0,1224.0,
一般住宅,OQA00014,西橋里,臺南市永康區西橋里18鄰大橋三街50號,"23.017959,120.225204",1.0,1253.0,
永康綠第大樓,OQA00015,二王里,臺南市永康區二王里8鄰二王路10號,"23.021287,120.248631",1.0,1752.0,
一般住宅,OQA00016,西橋里,臺南市永康區西橋里12鄰大橋一街36號,"23.015601,120.225427",1.0,789.0,
一般住宅,OQA00017,五王里,臺南市永康區五王里26鄰中華路598之123號,"23.013199,120.231128",1.0,933.0,
保健老人養護中心,OQA00018,五王里,臺南市永康區五王里25鄰五福街19號,"23.012547,120.232274",1.0,1348.0,
橋典名廈,OQA00020,大橋里,臺南市永康區大橋里18鄰大橋二街170號,"23.020496,120.230006",1.0,876.0,
披撒建設公司,OQA00021,大橋里,臺南市永康區大橋里8鄰大橋三街253號,"23.021495,120.229260",1.0,538.0,
滿堂樓公寓大廈,OQA00022,永康里,臺南市永康區永康里3鄰中山路10巷6號,"23.026340,120.257457",1.0,941.0,
德富大樓,OQA00023,永康里,臺南市永康區永康里34鄰永大路二段1526巷2弄2號,"23.025186,120.261261",1.0,1004.0,
德富大樓,OQA00024,永康里,臺南市永康區永康里34鄰永大路二段1526巷2弄7號,"23.025213,120.261480",1.0,1004.0,
保成建設公司,OQA00026,六合里,臺南市永康區六合里13鄰六合路46號,"23.009817,120.231012",1.0,1000.0,
花之鄉名人居,OQA00027,東橋里,臺南市永康區東橋里7鄰中山南路231巷4號,"23.015975,120.235423",1.0,1660.0,
得意生活家社區,OQA00028,網寮里,臺南市永康區網寮里5鄰永勝街106巷25號,"23.017018,120.254664",1.0,1918.0,
宗盛建設,OQA00029,安康里,臺南市永康區安康里14鄰中華路619巷88弄40號,"23.014430,120.228384",1.0,852.0,
綠陽雅築大樓,OQA00030,六合里,臺南市永康區六合里3鄰新興街35巷15弄2號,"23.012294,120.229318",1.0,500.0,
