類別,建築物名稱,電腦編號,村里別,地址,地下樓層數,可容納人數,派出所,備註,經度,緯度
大樓,公寓,D101000003,自強里,新北市板橋區自強新村82號,1,66.0,板橋派出所,,121.45433,25.012807
大樓,公寓,D101000004,自強里,新北市板橋區自強新村73-1號,1,54.0,板橋派出所,,121.45471,25.012911
大樓,公寓,D101000005,自強里,新北市板橋區自強新村78-1號,1,42.0,板橋派出所,,121.45474,25.012685
大樓,公寓,D101000009,自強里,新北市板橋區自強新村22-77號,1,57.0,板橋派出所,,121.45482,25.0143
大樓,公寓,D101000010,自強里,新北市板橋區自強新村57號,1,42.0,板橋派出所,,121.45458,25.013522
大樓,公寓,D101000011,自強里,新北市板橋區自強新村72號,1,68.0,板橋派出所,,121.45413,25.013221
公寓,公寓,D101000015,自強里,新北市板橋區自強新村75-1號,1,56.0,板橋派出所,,121.4543,25.012984
公寓,公寓,D101000016,自強里,新北市板橋區自強新村58號,1,41.0,板橋派出所,,121.454427,25.01355
大樓,公寓,D101000019,自強里,新北市板橋區自強新村45-46號,1,176.0,板橋派出所,,121.454173,25.014378
公寓,公寓,D101000020,自強里,新北市板橋區自強新村52號,1,61.0,板橋派出所,,121.45453,25.013694
大樓,公寓,D101000021,自強里,新北市板橋區自強新村45號,1,176.0,板橋派出所,,121.454746,25.013933
公寓,公寓,D101000022,自強里,新北市板橋區自強新村63號,1,46.0,板橋派出所,,121.45457,25.013288
公寓,公寓,D101000023,自強里,新北市板橋區自強新村67號,1,50.0,板橋派出所,,121.453976,25.013383
公寓,公寓,D101000024,自強里,新北市板橋區自強新村74號,1,91.0,板橋派出所,,121.454564,25.012946
公寓,公寓,D101000028,自強里,新北市板橋區自強新村53號,1,113.0,板橋派出所,,121.454349,25.013731
公寓,公寓,D101000030,光榮里,新北市板橋區南雅西路二段102-106號,1,96.0,板橋派出所,,121.45231,25.011795
大樓,公寓,D101000033,自強里,新北市板橋區自強新村76號,1,46.0,板橋派出所,,121.45421,25.012975
公寓,公寓,D101000034,自強里,新北市板橋區自強新村62號,1,53.0,板橋派出所,,121.454709,25.013277
公寓,公寓,D101000035,自強里,新北市板橋區自強新村88號,1,95.0,板橋派出所,,121.454327,25.012558
公寓,公寓,D101000037,自強里,新北市板橋區自強新村95號,1,74.0,板橋派出所,,121.45548,25.013232
公寓,公寓,D101000040,自強里,新北市板橋區自強新村66號,1,54.0,板橋派出所,,121.45414,25.013382
大樓,公寓,D101000041,自強里,新北市板橋區自強新村66號,1,54.0,板橋派出所,,121.45414,25.013382
大樓,公寓,D101000044,自強里,新北市板橋區自強新村42號,1,88.0,板橋派出所,,121.45524,25.013872
公寓,公寓,D101000056,光華里,新北市板橋區光華街4-6號,1,123.0,板橋派出所,,121.45427,25.011375
公寓,公寓,D101000057,自強里,新北市板橋區自強新村79號,1,43.0,板橋派出所,,121.45459,25.012809
大樓,公寓,D101000058,漢生里,新北市板橋區光正街12號,1,200.0,板橋派出所,,121.463032,25.017171
公寓,中央大樓,D101000059,流芳里,新北市板橋區館前西路139號,1,710.0,板橋派出所,,121.45636,25.00776
公寓,公寓,D101000063,自立里,新北市板橋區大智街61號,1,293.0,板橋派出所,,121.453913,25.015435
