類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
嘉義縣議會會館,MNA00529,中山里,嘉義市東區中山里中山路114號,1,344.0,
大樓,MNA0392,中山里,嘉義市東區中山里中山路12號,1,202.0,
大樓,MNA00523,中山里,嘉義市東區中山里中山路142號,1,16.0,
大樓,MNA00528,中山里,嘉義市東區中山里中山路146.148號,1,377.0,
嘉義市政府稅務局,MNA00520,中山里,嘉義市東區中山里中山路154號,1,316.0,
大樓,MNA0390,中山里,嘉義市東區中山里中山路18號,1,52.0,
中國石油嘉義營業處,MNA0377,中山里,嘉義市東區中山里中山路90號,1,582.0,
行政執行處嘉義分署,MNA0379,中山里,嘉義市東區中山里中山路94號,1,176.0,
行政執行處嘉義分署,MNA0378,中山里,嘉義市東區中山里中山路96號,1,360.0,
公寓,MNA0348,中山里,嘉義市東區中山里民國路240號,1,2605.0,
大樓,MNA0349,中山里,嘉義市東區中山里民國路231號,1,38.0,
大樓,MNA0374,中山里,嘉義市東區中山里民國路233號,1,24.0,
大樓,MNA00572,中山里,嘉義市東區中山里民國路273號,1,53.0,
大樓,MNA00526,中山里,嘉義市東區中山里民權路255號,1,466.0,
大樓,MNA00522,中山里,嘉義市東區中山里民權路275號,1,49.0,
自來水公司,MNA00524,中山里,嘉義市東區中山里民權路293號,1,620.0,
大樓,MNA00574,中山里,嘉義市東區中山里民權路52號,1,154.0,
大樓,MNA0382,中山里,嘉義市東區中山里民權路55號,1,72.0,
聖馬爾定醫院,MNA00569,中山里,嘉義市東區中山里民權路60號,1,80.0,
聖馬爾定醫院,MNA00570,中山里,嘉義市東區中山里民權路60號,1,80.0,
大樓,MNA0394,中山里,嘉義市東區中山里民權路87號,1,34.0,
大樓,MNA0383,中山里,嘉義市東區中山里民權路89-10號,1,56.0,
大樓,MNA0384,中山里,嘉義市東區中山里民權路89-17號,1,32.0,
大樓,MNA0396,中山里,嘉義市東區中山里民權路89-18號,1,32.0,
大樓,MNA0385,中山里,嘉義市東區中山里民權路89-20號,1,32.0,
大樓,MNA0386,中山里,嘉義市東區中山里民權路89-9號,1,57.0,
一般住宅,MNA0395,中山里,嘉義市東區中山里民權路89號,1,276.0,
大樓,MNA00571,中山里,嘉義市東區中山里民權路90號,1,108.0,
大樓,MNA00575,中山里,嘉義市東區中山里民權路92之2號,1,149.0,
大樓,MNA00573,中山里,嘉義市東區中山里民權路92之3號,1,196.0,
嘉義地方法院宿舍,MNA0376,中山里,嘉義市東區中山里安樂街116巷12號,1,576.0,
大樓,MNA0380,中山里,嘉義市東區中山里安樂街156-2號,1,362.0,
