類別,電腦編號,里別,地址,地下樓層數,可容納人數,備註
圓舞曲大樓,CRA00001,文南里,臺南市南區文南里13鄰長南街52號,1.0,1600人,"22.983032,120.189587"
一般住宅,CRA00002,文南里,臺南市南區文南里13鄰文南路5號,1.0,230人,"22.982202,120.189603"
一般住宅,CRA00003,文南里,臺南市南區文南里13鄰文南路7號,1.0,230人,"22.982241,120.189603"
一般住宅,CRA00004,文南里,臺南市南區文南里13鄰文南路69號,1.0,213人,"22.98366,120.189695"
一般住宅,CRA00005,文南里,臺南市南區文南里13鄰文南路15號,1.0,213人,"22.982371,120.189609"
一般住宅,CRA00006,文南里,臺南市南區文南里13鄰文南路9號,1.0,213人,"22.982279,120.189606"
一般住宅,CRA00007,文南里,臺南市南區文南里13鄰文南路11號,1.0,233人,"22.982323,120.189608"
一般住宅,CRA00008,文南里,臺南市南區文南里13鄰文南路67號,1.0,533人,"22.98355,120.18968"
一般住宅,CRA00009,文華里,臺南市南區文華里16鄰文南路309號,1.0,124人,"22.987182,120.189989"
一般住宅,CRA00010,文華里,臺南市南區文華里15鄰文南路285號,1.0,124人,"22.986663,120.189947"
一般住宅,CRA00011,文南里,臺南市南區文南里11鄰建南路283號,1.0,124人,"22.985137,120.186639"
一般住宅,CRA00012,文南里,臺南市南區文南里11鄰建南路279號,1.0,124人,"22.98513,120.18682"
一般住宅,CRA00013,文華里,臺南市南區文華里15鄰文南路277號,1.0,124人,"22.986502,120.189937"
一般住宅,CRA00014,文南里,臺南市南區文南里8鄰文南路18號,1.0,124人,"22.982309,120.189865"
一般住宅,CRA00015,文南里,臺南市南區文南里8鄰文南路12號,1.0,124人,"22.982226,120.189857"
一般住宅,CRA00016,文南里,臺南市南區文南里8鄰文南路40號,1.0,149人,"22.982769,120.189897"
一般住宅,CRA00017,文南里,臺南市南區文南里9鄰文南路68號,1.0,74人,"22.983507,120.18996"
一般住宅,CRA00018,文南里,臺南市南區文南里9鄰文南路66號,1.0,74人,"22.983464,120.189956"
一般住宅,CRA00019,文南里,臺南市南區文南里8鄰文南路42號,1.0,94人,"22.982837,120.189915"
一般住宅,CRA00020,文華里,臺南市南區文華里11鄰文南路124號,1.0,74人,"22.985272,120.190098"
一般住宅,CRA00021,文南里,臺南市南區文南里13鄰文南路3號,1.0,230人,"22.982158,120.189597"
一般住宅,CRA00022,文南里,臺南市南區文南里13鄰健康路二段280號,1.0,284人,"22.981912,120.189403"
一般住宅,CRA00023,文南里,臺南市南區文南里13鄰健康路二段306號,1.0,284人,"22.98194,120.18907"
一般住宅,CRA00024,文南里,臺南市南區文南里13鄰健康路二段306號,1.0,226人,"22.98194,120.18907"
一般住宅,CRA00025,文南里,臺南市南區文南里8鄰健康路二段268號,1.0,226人,"22.981849,120.189993"
一般住宅,CRA00026,文南里,臺南市南區文南里8鄰健康路二段264巷19號,1.0,86人,"22.982464,120.190129"
一般住宅,CRA00027,文南里,臺南市南區文南里8鄰健康路二段264巷21號,1.0,86人,"22.982506,120.190135"
一般住宅,CRA00028,文南里,臺南市南區文南里8鄰健康路二段252巷9號,1.0,88人,"22.982316,120.190513"
一般住宅,CRA00029,文南里,臺南市南區文南里8鄰健康路二段252巷7號,1.0,90人,"22.982271,120.190513"
一般住宅,CRA00030,文南里,臺南市南區文南里7鄰健康路二段234巷16號,1.0,128人,"22.982251,120.191101"
一般住宅,CRA00031,文南里,臺南市南區文南里8鄰健康路二段264巷17號,1.0,78人,"22.982422,120.190124"
一般住宅,CRA00032,文南里,臺南市南區文南里13鄰育南街69號,1.0,209人,"22.983882,120.189127"
一般住宅,CRA00033,文南里,臺南市南區文南里13鄰育南街67號,1.0,209人,"22.983837,120.189128"
一般住宅,CRA00034,文南里,臺南市南區文南里13鄰育南街51號,1.0,209人,"22.983516,120.1891"
一般住宅,CRA00035,文南里,臺南市南區文南里23鄰永南四街6號,1.0,230人,"22.984043,120.189556"
一般住宅,CRA00036,文南里,臺南市南區文南里23鄰永南四街8號,1.0,230人,"22.984047,120.189518"
一般住宅,CRA00037,文南里,臺南市南區文南里23鄰永南四街12號,1.0,230人,"22.984055,120.189426"
一般住宅,CRA00038,文南里,臺南市南區文南里23鄰永南四街4號,1.0,230人,"22.984043,120.189582"
一般住宅,CRA00039,文南里,臺南市南區文南里23鄰永南四街10號,1.0,230人,"22.984051,120.189468"
一般住宅,CRA00040,文南里,臺南市南區文南里14鄰永南街47號,1.0,133人,"22.983691,120.188612"
一般住宅,CRA00041,文南里,臺南市南區文南里15鄰美南街164號,1.0,166人,"22.984185,120.187453"
荷蘭公園大廈,CRA00042,文南里,臺南市南區文南里19鄰建南路301號,1.0,1466人,"22.985244,120.185565"
帝國商業中樞大樓,CRA00043,文華里,臺南市南區文華里15鄰文南一街2號,1.0,1280人,"22.985788,120.189721"
欐景春天大樓,CRA00044,文南里,臺南市南區文南里20鄰仁南街40號,1.0,2567人,"22.983277,120.184482"
一般住宅,CRA00045,文南里,臺南市南區文南里20鄰仁南三街9號,1.0,88人,"22.98383,120.184886"
府城經典大樓,CRA00046,文南里,臺南市南區文南里3鄰中華西路一段109巷90號,1.0,716人,"22.981653,120.182543"
一般住宅,CRA00047,文南里,臺南市南區文南里1鄰金華路二段289巷5弄19號,1.0,97人,"22.983846,120.19122"
