電腦編號,鄉鎮市區,村里別,地址,經度,緯度,避難樓層,可容納人數,轄管分局
FS0111,鳳山區,和興里,高雄市鳳山區和興里五甲一路221號,"120.355066 ","22.618107 ",B1,310.0,鳳山分局
FS0112,鳳山區,鎮北里,高雄市鳳山區鎮北里北平路223號,"120.364673 ","22.637429 ",B1,97.0,鳳山分局
FS0255,鳳山區,海洋里,高雄市鳳山區海洋里海洋一路9號,"120.342073 ","22.609902 ",B1,248.0,鳳山分局
FS0321,鳳山區,新甲里,高雄市鳳山區新甲里新泰街51號,"120.342326 ","22.610261 ",B1,307.0,鳳山分局
FS0329,鳳山區,中和里,高雄市鳳山區中和里青年路1段360號,"120.349290 ","22.627497 ",B1,258.0,鳳山分局
FS0330,鳳山區,國泰里,高雄市鳳山區國泰里五甲一路370號,"120.350621 ","22.612663 ",B1,166.0,鳳山分局
FS0331,鳳山區,文山里,高雄市鳳山區文山里文東街201號,"120.358639 ","22.640118 ",B1,147.0,鳳山分局
FS0332,鳳山區,新甲里,高雄市鳳山區新甲里新泰街60號,"120.342232 ","22.610471 ",B1,265.0,鳳山分局
FS0340,鳳山區,東門里,高雄市鳳山區東門里中山東路227號,"120.372017 ","22.625292 ",B1,283.0,鳳山分局
FS0341,鳳山區,中和里,高雄市鳳山區中和里信義街303號,"120.348162 ","22.627012 ",B1,128.0,鳳山分局
FS0451,鳳山區,忠義里,高雄市鳳山區忠義里信義街209之3號,"120.350671 ","22.626747 ",B1,184.0,鳳山分局
FS0452,鳳山區,興仁里,高雄市鳳山區興仁里中山路151號,"120.358001 ","22.622651 ",B1,178.0,鳳山分局
FS0453,鳳山區,協和里,高雄市鳳山區協和里自由路261號,"120.349541 ","22.625381 ",B1,411.0,鳳山分局
FS0454,鳳山區,文德里,高雄市鳳山區文德里文德路86巷32號,"120.353875 ","22.639648 ",B1,216.0,鳳山分局
FS0455,鳳山區,忠孝里,高雄市鳳山區忠孝里光復路2段130號,"120.345723 ","22.629892 ",B1,338.0,鳳山分局
FS0456,鳳山區,福誠里,高雄市鳳山區福誠里四海街15號,"120.327055 ","22.595251 ",B1,404.0,鳳山分局
FS0457,鳳山區,福誠里,高雄市鳳山區福誠里五甲三路96號,"120.326221 ","22.592034 ",B1,230.0,鳳山分局
FS0458,鳳山區,興仁里,高雄市鳳山區興仁里五甲一路130號,"120.356380 ","22.620363 ",B1,187.0,鳳山分局
FS0459,鳳山區,新甲里,高雄市鳳山區新甲里新泰街57號,"120.342068 ","22.610347 ",B1,202.0,鳳山分局
FS0460,鳳山區,新興里,高雄市鳳山區新興里維新路155號,"120.361642 ","22.625406 ",B1,412.0,鳳山分局
FS0461,鳳山區,忠義里,高雄市鳳山區忠義里信義街215號,"120.350488 ","22.627096 ",B1,180.0,鳳山分局
FS0462,鳳山區,鳳崗里,高雄市鳳山區鳳崗里中正路171號,"120.360418 ","22.628437 ",B1,228.0,鳳山分局
FS0463,鳳山區,生明里,高雄市鳳山區生明里王生明路123號,"120.362555 ","22.619676 ",B1,209.0,鳳山分局
