電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
1.0,南港里,臺北市南港區南港里南港路一段313號,25.0537,121.6073,2,1128.0,鐵路警察局臺北分局,南港車站
9.0,精忠里,臺北市松山區精忠里敦化北路340號B1(交通部民用航空局),25.06196807,121.5519898,地下1層,548.0,航空警察局臺北分局,
10.0,精忠里,臺北市松山區精忠里敦化北路340號之16B1(臺北國際航空站),25.06353378,121.5495708,地下1層,300.0,航空警察局臺北分局,
11.0,精忠里,臺北市松山區精忠里民權東路四段81號B1(中華航空股份有限公司),25.06245853,121.5575914,地下1層,2209.0,航空警察局臺北分局,
