編號,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,村里別
1.0,臺中市和平區天輪里東關路2段91號,1.0,58.0,和平分局,120.924377,24.183233,天輪里
2.0,臺中巿和平區平等里武陵路3之1號,1.0,151.0,和平分局,121.308201,24.346257,平等里
3.0,臺中市和平區梨山里民族街52號,1.0,164.0,和平分局,121.255179,24.2537177,梨山里
4.0,臺中市和平區梨山里中正路61號,1.0,151.0,和平分局,121.255808,24.254628,梨山里
5.0,臺中市和平區梨山里中正路11號,1.0,100.0,和平分局,121.259179,24.256813,梨山里
6.0,臺中市和平區梨山里民族街46號,1.0,77.0,和平分局,121.255509,24.253855,梨山里
7.0,臺中市和平區博愛里東關路1段溫泉巷18號,1.0,47.0,和平分局,121.009767,24.203986,博愛里
8.0,臺中市和平區博愛里東關路1段溫泉巷6號,1.0,75.0,和平分局,121.008432,24.203437,博愛里
9.0,臺中市和平區博愛里東關路1段溫泉巷17號,2.0,188.0,和平分局,121.009929,24.203913,博愛里
