類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般建築,ZN2389,秀昌里,高雄市楠梓區秀昌里後昌路858之1號,"22.712139,120.294825",1,319.0,楠梓分局,
一般建築,ZN2508,玉屏里,高雄市楠梓區玉屏里聖雲街36巷50號,"22.716214,120.316419",1,320.0,楠梓分局,
一般建築,ZN2254,慶昌里,高雄市楠梓區慶昌里新昌街111號,"22.711226,120.29861",1,323.0,楠梓分局,
一般建築,ZN2255,翠屏里,高雄市楠梓區翠屏里德祥路87號,"22.727508,120.310997",1,342.0,楠梓分局,
一般建築,ZN2627,享平里,高雄市楠梓區享平里楠盛街131巷1號,"22.730643,120.332376",1,357.0,楠梓分局,
一般建築,ZN2618,中和里,高雄市楠梓區中和里大學五十六街36號,"22.730048,120.276979",1.2,390.0,楠梓分局,
一般建築,ZN2281,瑞屏里,高雄市楠梓區瑞屏里瑞仁路36號,"22.723718,120.313886",1,390.0,楠梓分局,
一般建築,ZN2295,中陽里,高雄市楠梓區中陽里朝明路114之1號,"22.723822,120.327988",1,419.0,楠梓分局,
一般建築,ZN2368,隆昌里,高雄市楠梓區隆昌里後昌路837巷11號,"22.711524,120.294533",1,434.0,楠梓分局,
一般建築,ZN2260,中陽里,高雄市楠梓區中陽里朝明路125巷1號,"22.723569,120.327555",1,471.0,楠梓分局,
一般建築,ZN2315,翠屏里,高雄市楠梓區翠屏里德賢路153號,"22.726614,120.306842",1,486.0,楠梓分局,
一般建築,ZN2329,翠屏里,高雄市楠梓區翠屏里德民路376號,"22.725529,120.302283",1,496.0,楠梓分局,
一般建築,ZN2312,翠屏里,高雄市楠梓區翠屏里德賢路537號,"22.725822,120.301499",1.2,506.0,楠梓分局,
一般建築,ZN2256,中陽里,高雄市楠梓區中陽里朝明路118號,"22.724112,120.32826",1,524.0,楠梓分局,
一般建築,ZN2304,久昌里,高雄市楠梓區久昌里廣昌街43巷87號,"22.70746,120.284525",1,528.0,楠梓分局,
一般建築,ZN2253,仁昌里,高雄市楠梓區仁昌里壽豐路424號,"22.724967,120.296251",2,545.0,楠梓分局,
一般建築,ZN2391,翠屏里,高雄市楠梓區翠屏里德民路266號之1,"22.72603428,120.308121767349",1,571.0,楠梓分局,
一般建築,ZN2436,五常里,高雄市楠梓區五常里興楠路151巷46號,"22.729873,120.336673",1,572.0,楠梓分局,
一般建築,ZN2412,宏昌里,高雄市楠梓區宏昌里藍昌路360巷51號之1,"22.72269662,120.29245891756",1,572.0,楠梓分局,
