電腦編號,管轄單位,里別,"地下 層數",容納人數,備註,原址
EQA00227,楊梅分局,永安里,1.0,8822.0,,
EQA00228,楊梅分局,永安里,1.0,425.0,,
EQA00229,楊梅分局,永安里,1.0,71.0,,
EQA00230,楊梅分局,永安里,1.0,150.0,,
EQA00231,楊梅分局,永安里,1.0,269.0,,
EQA00232,楊梅分局,永安里,1.0,145.0,,
EQA00233,楊梅分局,笨港里,1.0,327.0,,
EQA00234,楊梅分局,赤欄里,1.0,81.0,,
EQA00235,楊梅分局,赤欄里,1.0,70.0,,
EQA00236,楊梅分局,永寧里,1.0,304.0,,
EQA00238,楊梅分局,後庄里,1.0,262.0,,
EQA00239,楊梅分局,後庄里,1.0,16.0,重複建檔待除管,桃園市新屋區後庄里東福路二段139號
EQA00241,楊梅分局,裕成里,2.0,12370.0,,
EQA00242,楊梅分局,永平里,1.0,446.0,,
EQA00243,楊梅分局,楊明里,1.0,5064.0,,
EQA00244,楊梅分局,瑞塘里,1.0,357.0,,
EQA00245,楊梅分局,仁美里,1.0,668.0,重複建檔待除管,桃園市楊梅區仁美里中興路137號
EQA00246,楊梅分局,高山里,1.0,3652.0,,
EQA00247,楊梅分局,高上里,1.0,338.0,,
EQA00248,楊梅分局,高山里,1.0,2830.0,,
EQA00249,楊梅分局,高上里,1.0,114.0,,
EQA00250,楊梅分局,員本里,1.0,88.0,,
EQA00251,楊梅分局,豐野里,1.0,658.0,,
EQA00252,楊梅分局,上湖里,1.0,492.0,,
EQA00253,楊梅分局,瑞原里,1.0,436.0,,
EQA00254,楊梅分局,瑞原里,1.0,614.0,,
EQA00255,楊梅分局,頭湖里,1.0,934.0,,
EQA00256,楊梅分局,三湖里,1.0,52.0,,
EQA00257,楊梅分局,九斗里,1.0,229.0,,
EQA00258,楊梅分局,四維里,3.0,3882.0,,
EQA00260,楊梅分局,富岡里,1.0,392.0,,
EQA00261,楊梅分局,員本里,1.0,81.0,,
EQA00262,楊梅分局,員本里,12.0,339.0,,
EQA00263,楊梅分局,楊梅里,3.0,2084.0,,
EQA00264,楊梅分局,大平里,1.0,3772.0,,
EQA00265,楊梅分局,光華里,1.0,774.0,,
EQA00266,楊梅分局,高山里,1.0,509.0,,
EQA00267,楊梅分局,頭湖里,1.0,552.0,重複建檔待除管,桃園市楊梅區頭湖里中山南路800巷98弄12號
EQA00269,楊梅分局,高上里,1.0,73.0,,
EQA00270,楊梅分局,高上里,1.0,114.0,,
EQA00271,楊梅分局,高上里,1.0,704.0,,
EQA00272,楊梅分局,三湖里,1.0,605.0,,
EQA00273,楊梅分局,富豐里,1.0,873.0,重複建檔待除管,桃園市楊梅區富豐里富裕街659號
EQA00274,楊梅分局,東明里,1.0,3108.0,,
EQA00275,楊梅分局,東流里,1.0,10192.0,,
EQA00276,楊梅分局,高上里,1.0,1942.0,,
EQA00277,楊梅分局,高上里,1.0,1313.0,,
EQA00278,楊梅分局,高上里,1.0,70.0,,
EQA00279,楊梅分局,四維里,1.0,134.0,,
EQA00280,楊梅分局,員本里,1.0,202.0,,
EQA00281,楊梅分局,新屋里,1.0,464.0,,
EQA00283,楊梅分局,富岡里,1.0,352.0,,
EQA00284,楊梅分局,富岡里,1.0,2758.0,重複建檔待除管,桃園市楊梅區富岡里富豐南路18號
EQA00285,楊梅分局,富豐里,1.0,108.0,,
EQA00286,楊梅分局,上湖里,1.0,6948.0,重複建檔待除管,桃園市楊梅區上湖里泰圳路1440號
EQA00287,楊梅分局,九斗里,1.0,1898.0,重複建檔待除管,桃園市新屋區九斗里中山東路二段130巷12號
EQA00288,楊梅分局,高上里,1.0,332.0,,
EQA00289,楊梅分局,高上里,1.0,1526.0,,
EQA00290,楊梅分局,高上里,1.0,153.0,,
EQA00291,楊梅分局,楊梅里,1.0,852.0,,
EQA00293,楊梅分局,梅新里,1.0,3643.0,,
EQA00294,楊梅分局,梅溪里,2.0,1872.0,,
EQA00295,楊梅分局,永平里,1.0,196.0,,
EQA00296,楊梅分局,青山里,1.0,180.0,,
EQA00297,楊梅分局,高上里,1.0,270.0,,
EQA00298,楊梅分局,高上里,1.0,32.0,,
EQA00299,楊梅分局,秀才里,1.0,1890.0,重複建檔待除管,桃園市楊梅區秀才里秀才路851號
EQA00300,楊梅分局,埔心里,1.0,892.0,重複建檔待除管,桃園市楊梅區埔心里中興路133號
EQA00301,楊梅分局,金溪里,1.0,1122.0,,
EQA00302,楊梅分局,瑞坪里,1.0,225.0,,
EQA00303,楊梅分局,高上里,1.0,230.0,,
EQA00304,楊梅分局,高上里,1.0,230.0,,
EQA00305,楊梅分局,高上里,2.0,4381.0,,
EQA00306,楊梅分局,瑞原里,1.0,202.0,重複建檔待除管,桃園市楊梅區瑞原里民豐路277號
EQA00307,楊梅分局,上湖里,1.0,229.0,重複建檔待除管,桃園市楊梅區上湖里泰圳路1440號
EQA00308,楊梅分局,員本里,1.0,93.0,,
EQA00309,楊梅分局,金溪里,2.0,5080.0,,
EQA00310,楊梅分局,金溪里,2.0,3597.0,,
EQA00311,楊梅分局,埔心里,1.0,393.0,,
EQA00312,楊梅分局,水美里,1.0,210.0,,
EQA00313,楊梅分局,高上里,2.0,1326.0,重複建檔待除管,桃園市楊梅區高上里高獅路580號
EQA00314,楊梅分局,中山里,2.0,1686.0,,
EQA00316,楊梅分局,高上里,1.0,178.0,,
EQA00317,楊梅分局,員本里,1.0,2597.0,,
EQA00318,楊梅分局,永平里,1.0,1473.0,,
EQA00319,楊梅分局,瑞塘里,1.0,1869.0,,
EQA00321,楊梅分局,員本里,1.0,3516.0,,
EQA00322,楊梅分局,三湖里,1.0,458.0,重複建檔待除管,桃園市楊梅區三湖里楊湖路二段718號
EQA00323,楊梅分局,清華里,1.0,1142.0,,
EQA00324,楊梅分局,新榮里,2.0,1077.0,重複建檔待除管,桃園市楊梅區新榮里電研路99號
EQA00325,楊梅分局,中山里,1.0,2112.0,,
EQA00326,楊梅分局,秀才里,1.0,4133.0,,
EQA00327,楊梅分局,梅溪里,3.0,1130.0,,
EQA00328,楊梅分局,青山里,1.0,7913.0,,
EQA00329,楊梅分局,高上里,1.0,61.0,,
EQA00330,楊梅分局,九斗里,1.0,2105.0,,
EQA00331,楊梅分局,仁美里,1.0,2612.0,,
EQA00332,楊梅分局,豐野里,1.0,217.0,重複建檔待除管,桃園市楊梅區豐野里中正路147號
EQA00333,楊梅分局,高榮里,1.0,316.0,,
EQA00334,楊梅分局,新屋里,1.0,4273.0,,
EQA00335,楊梅分局,三湖里,1.0,193.0,,
EQA00336,楊梅分局,四維里,1.0,185.0,,
EQA00337,楊梅分局,望間里,1.0,468.0,,
EQA00338,楊梅分局,光華里,2.0,8792.0,,
EQA00339,楊梅分局,高上里,2.0,606.0,,
EQA00340,楊梅分局,瑞原里,1.0,622.0,,
EQA00341,楊梅分局,高上里,1.0,1680.0,,
EQA00342,楊梅分局,梅溪里,1.0,8792.0,,
EQA00343,楊梅分局,永寧里,2.0,1232.0,,
EQA00344,楊梅分局,中山里,1.0,1203.0,重複建檔待除管,桃園市楊梅區中山里行善路80號
EQA00345,楊梅分局,中山里,2.0,2050.0,重複建檔待除管,桃園市楊梅區中山里行善路80號
EQA00346,楊梅分局,楊明里,1.0,2050.0,,
EQA00347,楊梅分局,梅溪里,1.0,3852.0,,
EQA00348,楊梅分局,水美里,1.0,520.0,,
EQA00349,楊梅分局,中山里,3.0,3052.0,,
EQA00352,楊梅分局,中山里,1.0,237.0,,
EQA00353,楊梅分局,新屋里,1.0,1099.0,,
EQA00354,楊梅分局,四維里,1.0,2265.0,,
EQA00355,楊梅分局,紅梅里,1.0,332.0,,
EQA00356,楊梅分局,金溪里,1.0,3643.0,,
EQA00357,楊梅分局,瑞坪里,1.0,619.0,,
EQA00358,楊梅分局,梅溪里,2.0,4683.0,,
EQA00360,楊梅分局,清華里,1.0,559.0,重複建檔待除管,桃園市新屋區清華里中華路810號
EQA00361,楊梅分局,青山里,1.0,7173.0,,
EQA00362,楊梅分局,永寧里,1.0,667.0,,
EQA00363,楊梅分局,永寧里,1.0,1451.0,,
EQA00364,楊梅分局,永寧里,2.0,2525.0,,
EQA00365,楊梅分局,高上里,1.0,326.0,重複建檔待除管,桃園市楊梅區高上里高獅路560號
EQA00366,楊梅分局,清華里,1.0,5461.0,重複建檔待除管,桃園市新屋區清華里中華路810號
EQA00367,楊梅分局,瑞坪里,1.0,2892.0,,
EQA00368,楊梅分局,秀才里,1.0,2366.0,重複建檔待除管,桃園市楊梅區秀才里秀才路618號
EQA00369,楊梅分局,金溪里,1.0,6473.0,,
EQA00370,楊梅分局,四維里,2.0,3268.0,,
EQA00371,楊梅分局,埔心里,1.0,99.0,,
EQA00372,楊梅分局,永寧里,1.0,1052.0,,
EQA00373,楊梅分局,楊梅里,2.0,1975.0,,
EQA00375,楊梅分局,埔心里,,744.0,重複建檔待除管,桃園市楊梅區埔心里中興路133號
EQA00376,楊梅分局,金溪里,1.0,334.0,,
EQA00377,楊梅分局,楊梅里,3.0,989.0,,
EQA00378,楊梅分局,永安里,1.0,2256.0,,
EQA00379,楊梅分局,高上里,1.0,1369.0,,
EQA00380,楊梅分局,瑞坪里,1.0,1260.0,重複建檔待除管,桃園市楊梅區瑞坪里文化街535號
EQA00381,楊梅分局,大同里,1.0,233.0,,
EQA00382,楊梅分局,永寧里,2.0,2684.0,,
EQA00383,楊梅分局,瑞坪里,1.0,73.0,重複建檔待除管,桃園市楊梅區瑞坪里文化街535號
EQA00384,楊梅分局,永寧里,2.0,2684.0,重複建檔待除管,桃園市楊梅區永寧里環南路80巷1號
EQA00385,楊梅分局,楊梅里,2.0,1508.0,,
EQA00386,楊梅分局,梅溪里,2.0,6428.0,,
EQA00387,楊梅分局,員本里,1.0,1501.0,,
EQA00388,楊梅分局,楊明里,2.0,846.0,,
EQA00389,楊梅分局,瑞溪里,3.0,6019.0,,
EQA00390,楊梅分局,楊明里,3.0,1766.0,,
EQA00391,楊梅分局,梅溪里,8.0,1808.0,,
EQA00392,楊梅分局,頭洲里,2.0,2957.0,,
EQA00393,楊梅分局,社子里,1.0,1446.0,,
EQA00394,楊梅分局,高上里,1.0,1521.0,重複建檔待除管,桃園市楊梅區高上里高獅路863巷1號
EQA00395,楊梅分局,豐野里,1.0,903.0,,
EQA00396,楊梅分局,瑞塘里,1.0,2089.0,,
EQA00397,楊梅分局,楊明里,3.0,4049.0,,
EQA00398,楊梅分局,雙榮里,2.0,3189.0,,
EQA00399,楊梅分局,大同里,2.0,1639.0,,
EQA00400,楊梅分局,大平里,1.0,621.0,,
EQA00401,楊梅分局,楊明里,,4048.0,,
EQA00402,楊梅分局,紅梅里,1.0,1733.0,重複建檔待除管,桃園市楊梅區紅梅里校前路149號
EQA00404,楊梅分局,富豐里,,138.0,,
EQA00405,楊梅分局,上湖里,1.0,845.0,,
EQA00406,楊梅分局,中山里,1.0,708.0,,
EQA00407,楊梅分局,大同里,1.0,387.0,重複建檔待除管,桃園市楊梅區大同里楊新北路321巷30號
EQA00408,楊梅分局,新榮里,,1994.0,,
EQA00409,楊梅分局,高榮里,,3817.0,,
EQA00410,楊梅分局,瑞塘里,,1572.0,,
EQA00411,楊梅分局,瑞塘里,,1089.0,,
EQA00412,楊梅分局,瑞塘里,,551.0,,
EQA00413,楊梅分局,楊江里,,376.0,,
EQA00414,楊梅分局,瑞溪里,,3690.0,,
EQA00415,楊梅分局,中山里,,2196.0,,
EQA00416,楊梅分局,四維里,,4800.0,,
EQA00417,楊梅分局,楊明里,,2967.0,,
EQA00418,楊梅分局,楊明里,,2537.0,,
EQA00419,楊梅分局,青山里,,1381.0,,
EQA00420,楊梅分局,瑞塘里,,3804.0,,
EQA00421,楊梅分局,楊梅里,,2217.0,,
EQA00422,楊梅分局,楊梅里,,1082.0,,
EQA00423,楊梅分局,中山里,,7164.0,,
EQA00424,楊梅分局,永寧里,,2125.0,,
EQA00425,楊梅分局,永寧里,,356.0,,
EQA00426,楊梅分局,瑞塘里,,2236.0,,
EQA00427,楊梅分局,梅溪里,,991.0,,
EQA00428,楊梅分局,楊明里,,7226.0,,
EQA00429,楊梅分局,梅溪里,,1245.0,,
EQA00430,楊梅分局,高上里,,697.0,,
EQA00431,楊梅分局,高上里,,697.0,重複建檔待除管,桃園市楊梅區高上里高青路42-2號
EQA00432,楊梅分局,豐野里,,475.0,,
EQA00433,楊梅分局,富岡里,,887.0,,
EQA00434,楊梅分局,石磊里,,1825.0,,
EQA00435,楊梅分局,社子里,,105.0,,
EQA00437,楊梅分局,楊江里,,1496.0,,
EQA00438,楊梅分局,東流里,,1756.0,,
EQA00439,楊梅分局,青山里,,1025.0,,
EQA00440,楊梅分局,青山里,,6032.0,,
EQA00441,楊梅分局,青山里,,1144.0,,
EQA00442,楊梅分局,金溪里,,6369.0,,
EQA00443,楊梅分局,梅溪里,,6307.0,,
EQA00444,楊梅分局,頭洲里,2.0,1976.0,,
