電腦編號,建築物名稱,鄉鎮市區,村里別,地址,地下樓層,可容納人數,轄管分局
XG0764,公寓,小港區,二苓里,高雄市小港區二苓里13鄰其美街89號,1,59,小港分局
XG0768,公寓,小港區,二苓里,高雄市小港區二苓里13鄰其美街110之1號,1,52,小港分局
XG0883,公寓,小港區,二苓里,高雄市小港區二苓里22鄰立群路50號,1,187,小港分局
XG1114,公寓,小港區,二苓里,高雄市小港區二苓里17鄰大業北路312號,1,189,小港分局
XG1129,公寓,小港區,二苓里,高雄市小港區二苓里21鄰漢民路188巷1弄26號,1,53,小港分局
XG1326,公寓,小港區,二苓里,高雄市小港區二苓里22鄰漢民路188巷2弄8號,1,85,小港分局
XG1329,公寓,小港區,二苓里,高雄市小港區二苓里16鄰漢民路236巷27號,1,103,小港分局
XG1373,公寓,小港區,二苓里,高雄市小港區二苓里16鄰漢民路236巷17號,1,60,小港分局
XG1550,公寓,小港區,二苓里,高雄市小港區二苓里21鄰漢民路188巷2弄45號,1,79,小港分局
XG1552,公寓,小港區,二苓里,高雄市小港區二苓里21鄰漢民路188巷1弄20號,1,34,小港分局
XG1767,公寓,小港區,二苓里,高雄市小港區二苓里19鄰大業北路316號,1,29,小港分局
XG2015,公寓,小港區,二苓里,高雄市小港區二苓里8鄰二苓路265號,1,184,小港分局
XG2123,公寓,小港區,二苓里,高雄市小港區二苓里22鄰漢民路188巷10號,1,48,小港分局
XG2124,公寓,小港區,二苓里,高雄市小港區二苓里22鄰漢民路188巷18號,1,49,小港分局
XG2195,公寓,小港區,二苓里,高雄市小港區二苓里1鄰紹興街159號,1,29,小港分局
XG2274,公寓,小港區,二苓里,高雄市小港區二苓里4鄰二苓路119號,1,161,小港分局
XG2309,公寓,小港區,二苓里,高雄市小港區二苓里17鄰大業北路348號,1,324,小港分局
XG2310,公寓,小港區,二苓里,高雄市小港區二苓里17鄰大業北路350號,1,286,小港分局
XG2670,公寓,小港區,二苓里,高雄市小港區二苓里21鄰漢民路188巷1弄29號,1,374,小港分局
XG2687,華廈,小港區,二苓里,高雄市小港區二苓里20鄰漢民路125號,1,592,小港分局
