類別,電腦編號,村里別,地址,緯經度,可容納人數,管轄分局,備註
吳厝國小,603.0,九隆里,西螺鎮九隆里九隆44號,"23.74972, 120.43686",119,西螺分局,
長青護理之家,604.0,大有村,"崙背鄉大有村大有路286號  ","23.75869, 120.30321",49,西螺分局,
國泰人壽保險公司,605.0,大園里,"西螺鎮大園里大同路58號  ","23.79952, 120.46595",302,西螺分局,
西螺農工,606.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",830,西螺分局,
新光人壽保險公司,607.0,大園里,"西螺鎮大園里光復東路1號  ","23.79792, 120.46665",558,西螺分局,
西螺農工(實習工廠-1),608.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",189,西螺分局,
西螺農工(樓梯間),609.0,大園里,"西螺鎮大同路4號 ","23.79451, 120.46832",235,西螺分局,
西螺農工(圖書館),610.0,大園里,"西螺鎮大同路4號 ","23.79451, 120.46832",205,西螺分局,
西螺農工(實習工廠-2),611.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",248,西螺分局,
西螺農工(實習工廠-3),612.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",141,西螺分局,
西螺農工(實習工廠-4),613.0,大園里,"西螺鎮大同路4號 ","23.79451, 120.46832",205,西螺分局,
巨洲建設有限公司,614.0,大園里,"西螺鎮大園里光復東路63巷1弄60-1號  ","23.79907, 120.47028",152,西螺分局,
西螺地政所,615.0,中和里,"西螺鎮中和里中山路66號  ","23.80024, 120.46242",158,西螺分局,
不開放,616.0,中和里,西螺鎮中和里中山路70號,"23.80012, 120.46221",265,西螺分局,
一般住宅,617.0,中興里,"西螺鎮中興里西興南路11巷6號  ","23.8001, 120.45544",1319,西螺分局,
不開放,618.0,中興里,"西螺鎮中興里延平路353號  ","23.80037, 120.45463",1345,西螺分局,
東南國中,619.0,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",348,西螺分局,
文昌國小,620.0,中興里,"西螺鎮中興里延平路504號  ","23.80023, 120.45208",240,西螺分局,
東南國中(中興樓),621.0,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1695,西螺分局,
東南國中(大仁樓),622.0,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",347,西螺分局,
東南國中(大智樓),623.0,中興里,"西螺鎮東南路326號 ","23.80278, 120.45182",180,西螺分局,
東南國中(治寰樓),624.0,中興里,"西螺鎮東南路326號 ","23.80278, 120.45182",478,西螺分局,
東南國中(餐廳),625.0,中興里,"西螺鎮東南路326號 ","23.80278, 120.45182",32,西螺分局,
東南國中(光華樓),626.0,中興里,"西螺鎮東南路326號 ","23.80278, 120.45182",562,西螺分局,
報恩寺,627.0,中興里,"西螺鎮中興里新興路160巷4號  ","23.79576, 120.45212",367,西螺分局,
一般住宅,628.0,正興里,"西螺鎮正興里光復西路180巷2號  ","23.79685, 120.46017",784,西螺分局,
西螺國中,629.0,正興里,"西螺鎮正興里興農西路217號  ","23.7923, 120.46054",893,西螺分局,
不開放,630.0,正興里,"西螺鎮正興里福興路166號  ","23.79963, 120.46089",154,西螺分局,
黎明旅社,631.0,正興里,"西螺鎮正興里中正路127號  ","23.79843, 120.4598",46,西螺分局,
一般住宅,632.0,光華里,"西螺鎮光華里延平路209號  ","23.80084, 120.45851",784,西螺分局,
和心農會倉庫,633.0,安定里,西螺鎮堤防路2號,"23.77552, 120.44728",104,西螺分局,
富國大旅社,634.0,東明村,"崙背鄉正義路179號 ","23.76113, 120.35738",40,西螺分局,
安定國小,635.0,河南里,西螺鎮河南里埔心210號,"23.80127, 120.44057",533,西螺分局,
