類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
公寓,獅球001,獅球里,基隆市仁愛區獅球路95號,1.0,29.0,,基隆市仁愛區獅球路95號
公寓,獅球002,獅球里,基隆市仁愛區獅球路169巷5弄11號,1.0,48.0,
公寓,獅球003,獅球里,基隆市仁愛區獅球路49號,1.0,111.0,,基隆市仁愛區獅球路49號
公寓,朝棟001,朝棟里,基隆市仁愛區成功一路113巷19號,1.0,48.0,,基隆市仁愛區成功一路113巷19號
公寓,朝棟002,朝棟里,基隆市仁愛區成功一路113巷39號,1.0,34.0,,基隆市仁愛區成功一路113巷39號
大樓,朝棟004,朝棟里,基隆市仁愛區成功一路133巷1-30號,1.0,18735.0,,基隆市仁愛區成功一路133巷1-30號
公寓,博愛002,博愛里,基隆市仁愛區愛二路1之5號,1.0,62.0,,基隆市仁愛區愛二路1之5號
公寓,博愛003,博愛里,基隆市仁愛區仁五路12-5號,1.0,422.0,,基隆市仁愛區仁五路12-5號
公寓,博愛004,博愛里,基隆市仁愛區仁五路8號,1.0,451.0,,基隆市仁愛區仁五路8號
仁愛市場,博愛005,博愛里,基隆市仁愛區愛一路8號,1.0,7320.0,,基隆市仁愛區愛一路8號
公寓,博愛006,博愛里,基隆市仁愛區仁五路6號,1.0,122.0,,基隆市仁愛區仁五路6號
公寓,新店001,新店里,基隆市仁愛區孝二路106號,1.0,241.0,,基隆市仁愛區孝二路106號
國際百貨,新店002,新店里,基隆市仁愛區孝二路86號,1.0,581.0,,基隆市仁愛區孝二路86號
公寓,新店003,新店里,基隆市仁愛區忠二路27號,1.0,158.0,,基隆市仁愛區忠二路27號
公寓,新店004,新店里,基隆市仁愛區孝二路93巷15號,1.0,108.0,,基隆市仁愛區孝二路93巷15號
公寓,新店005,新店里,基隆市仁愛區孝二路54號,1.0,235.0,,基隆市仁愛區孝二路54號
公寓,新店006,新店里,基隆市仁愛區忠二路31號,1.0,167.0,,基隆市仁愛區忠二路31號
公寓,新店007,新店里,基隆市仁愛區孝二路108號,1.0,269.0,,基隆市仁愛區孝二路108號
公寓,新店008,新店里,基隆市仁愛區忠二路2號,1.0,166.0,,基隆市仁愛區忠二路2號
公寓,新店009,新店里,基隆市仁愛區忠三路6號,1.0,388.0,,基隆市仁愛區忠三路6號
公寓,新店010,新店里,基隆市仁愛區孝一路26號,1.0,138.0,,基隆市仁愛區孝一路26號
公寓,新店011,新店里,基隆市仁愛區忠二路1之1號,1.0,538.0,,基隆市仁愛區忠二路1之1號
公寓,新店012,新店里,基隆市仁愛區孝二路82號,1.0,112.0,,基隆市仁愛區孝二路82號
公寓,明德001,明德里,基隆市仁愛區孝三路23號,1.0,137.0,,基隆市仁愛區孝三路23號
公寓,明德002,明德里,基隆市仁愛區孝三路39號,1.0,90.0,,基隆市仁愛區孝三路39號
公寓,明德003,明德里,基隆市仁愛區孝三路35號,1.0,92.0,,基隆市仁愛區孝三路35號
公寓,明德004,明德里,基隆市仁愛區孝三路41號,1.0,101.0,,基隆市仁愛區孝三路41號
公寓,明德005,明德里,基隆市仁愛區忠三路91號,1.0,78.0,,基隆市仁愛區忠三路91號
公寓,明德006,明德里,基隆市仁愛區忠三路97之12號,1.0,126.0,,基隆市仁愛區忠三路97之12號
大樓,書院001,書院里,基隆市仁愛區華六街9號,1.0,1997.0,,基隆市仁愛區華六街9號
公寓,仁德001,仁德里,基隆市仁愛區愛一路35號,1.0,442.0,,基隆市仁愛區愛一路35號
公寓,仁德002,仁德里,基隆市仁愛區仁三路86號,1.0,128.0,,基隆市仁愛區仁三路86號
大樓,仁德003,仁德里,基隆市仁愛區愛三路87號,1.0,1103.0,,基隆市仁愛區愛三路87號
公寓,仁德004,仁德里,基隆市仁愛區愛二路55號,1.0,29.0,,基隆市仁愛區愛二路55號
公寓,仁德005,仁德里,基隆市仁愛區愛三路116號,1.0,284.0,,基隆市仁愛區愛三路116號
大樓,仁德006,仁德里,基隆市仁愛區仁二路255號,1.0,528.0,,基隆市仁愛區仁二路255號
公寓,仁德007,仁德里,基隆市仁愛區愛三路69號,1.0,187.0,,基隆市仁愛區愛三路69號
公寓,仁德008,仁德里,基隆市仁愛區愛三路65號,1.0,150.0,,基隆市仁愛區愛三路65號
公寓,仁德009,仁德里,基隆市仁愛區愛一路33號,1.0,210.0,,基隆市仁愛區愛一路33號
公寓,仁德010,仁德里,基隆市仁愛區愛二路54巷8號,1.0,296.0,,基隆市仁愛區愛二路54巷8號
公寓,仁德011,仁德里,基隆市仁愛區愛三路118號,1.0,233.0,,基隆市仁愛區愛三路118號
公寓,仁德012,仁德里,基隆市仁愛區愛三路120號,1.0,196.0,,基隆市仁愛區愛三路120號
大樓,仁德013,仁德里,基隆市仁愛區愛三路128號,1.0,178.0,,基隆市仁愛區愛三路128號
大樓,仁德014,仁德里,基隆市仁愛區愛一路43號,1.0,490.0,,基隆市仁愛區愛一路43號
大樓,仁德015,仁德里,基隆市仁愛區愛一路23號,1.0,312.0,,基隆市仁愛區愛一路23號
東岸廣場,仁德016,仁德里,基隆市仁愛區仁二路236號,4.0,8865.0,,基隆市仁愛區仁二路236號
公寓,文昌001,文昌里,基隆市仁愛區忠二路58號,1.0,947.0,,基隆市仁愛區忠二路58號
公寓,文昌002,文昌里,基隆市仁愛區忠三路70號,1.0,296.0,,基隆市仁愛區忠三路70號
公寓,文昌003,文昌里,基隆市仁愛區忠三路68號,1.0,93.0,,基隆市仁愛區忠三路68號
公寓,文昌004,文昌里,基隆市仁愛區忠二路57號,1.0,354.0,,基隆市仁愛區忠二路57號
公寓,文昌006,文昌里,基隆市仁愛區孝三路30巷31號,1.0,31.0,,基隆市仁愛區孝三路30巷31號
公寓,文昌007,文昌里,基隆市仁愛區忠一路20號,1.0,424.0,,基隆市仁愛區忠一路20號
公寓,文昌008,文昌里,基隆市仁愛區孝四路31之4號,1.0,45.0,,基隆市仁愛區孝四路31之4號
公寓,兆連001,兆連里,基隆市仁愛區獅球路37巷15號,1.0,33.0,,基隆市仁愛區獅球路37巷15號
公寓,兆連002,兆連里,基隆市仁愛區獅球路37巷11弄17號,1.0,35.0,,基隆市仁愛區獅球路37巷11弄17號
公寓,兆連003,兆連里,基隆市仁愛區獅球路25巷10號,1.0,24.0,,基隆市仁愛區獅球路25巷10號
公寓,兆連004,兆連里,基隆市仁愛區獅球路25巷7號,1.0,50.0,,基隆市仁愛區獅球路25巷7號
大樓,兆連005,兆連里,基隆市仁愛區獅球路25巷8號,1.0,3380.0,,基隆市仁愛區獅球路25巷8號
成功國小,光華001,光華里,基隆市仁愛區獅球路6號,1.0,538.0,,基隆市仁愛區獅球路6號
成功國小,光華002,光華里,基隆市仁愛區獅球路6號,1.0,719.0,,基隆市仁愛區獅球路6號
成功市場,光華003,光華里,基隆市仁愛區成功一路88號,1.0,3238.0,,基隆市仁愛區成功一路88號
國民運動中心,光華004,光華里,基隆市仁愛區獅球路8之1號,1.0,2252.0,,基隆市仁愛區獅球路8之1號
公寓,水錦001,水錦里,基隆市仁愛區仁二路19號,1.0,268.0,,基隆市仁愛區仁二路19號
公寓,水錦002,水錦里,基隆市仁愛區劉銘傳路132號,1.0,60.0,,基隆市仁愛區劉銘傳路132號
公寓,水錦003,水錦里,基隆市仁愛區劉銘傳路132號,1.0,197.0,,基隆市仁愛區劉銘傳路132號
公寓,水錦004,水錦里,基隆市仁愛區劉銘傳路106號,1.0,310.0,,基隆市仁愛區劉銘傳路106號
公寓,水錦005,水錦里,基隆市仁愛區劉銘傳路104巷2號,1.0,190.0,,基隆市仁愛區劉銘傳路104巷2號
公寓,水錦006,水錦里,基隆市仁愛區仁二路5號,1.0,34.0,,基隆市仁愛區仁二路5號
公寓,水錦007,水錦里,基隆市仁愛區仁一路181號,1.0,299.0,,基隆市仁愛區仁一路181號
大樓,水錦008,水錦里,基隆市仁愛區劉銘傳路1號,1.0,777.0,,基隆市仁愛區劉銘傳路1號
公寓,水錦009,水錦里,基隆市仁愛區劉銘傳路62之6號,1.0,62.0,,基隆市仁愛區劉銘傳路62之6號
公寓,水錦010,水錦里,基隆市仁愛區劉銘傳路48巷3號,1.0,42.0,,基隆市仁愛區劉銘傳路48巷3號
公寓,水錦011,水錦里,基隆市仁愛區劉銘傳路52巷6號,1.0,75.0,,基隆市仁愛區劉銘傳路52巷6號
公寓,水錦012,水錦里,基隆市仁愛區劉銘傳路100號,1.0,31.0,,基隆市仁愛區劉銘傳路100號
公寓,水錦013,水錦里,基隆市仁愛區劉銘傳路104巷32號,1.0,100.0,,基隆市仁愛區劉銘傳路104巷32號
公寓,水錦014,水錦里,基隆市仁愛區劉銘傳路52號,1.0,335.0,,基隆市仁愛區劉銘傳路52號
公寓,花崗001,花崗里,基隆市仁愛區仁一路95巷2之1號,1.0,26.0,,基隆市仁愛區仁一路95巷2之1號
公寓,花崗002,花崗里,基隆市仁愛區仁一路129號,1.0,53.0,,基隆市仁愛區仁一路129號
公寓,花崗003,花崗里,基隆市仁愛區愛九路22號,1.0,80.0,,基隆市仁愛區愛九路22號
公寓,花崗004,花崗里,基隆市仁愛區仁一路95巷22號,1.0,22.0,,基隆市仁愛區仁一路95巷22號
公寓,花崗005,花崗里,基隆市仁愛區仁一路157號,1.0,135.0,,基隆市仁愛區仁一路157號
公寓,花崗006,花崗里,基隆市仁愛區仁一路95巷28之2號,1.0,119.0,,基隆市仁愛區仁一路95巷28之2號
公寓,花崗007,花崗里,基隆市仁愛區劉銘傳路11巷38弄18號,1.0,42.0,,基隆市仁愛區劉銘傳路11巷38弄18號
公寓,花崗008,花崗里,基隆市仁愛區仁一路107巷25號,1.0,22.0,,基隆市仁愛區仁一路107巷25號
公寓,花崗009,花崗里,基隆市仁愛區愛九路25巷6號,1.0,48.0,,基隆市仁愛區愛九路25巷6號
