類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
大樓,TPA00197,西安里,宜蘭縣羅東鎮西安里純精路一段1號,1.0,542.0,
大樓,TPA00185,維揚里,宜蘭縣羅東鎮維揚里中山路四段297號,1.0,538.0,
大樓,TPA00176,國華里,宜蘭縣羅東鎮國華里光華街38號,1.0,537.0,
大樓,TPA00109,信義里,宜蘭縣羅東鎮信義里純精路三段107號,1.0,524.0,
大樓,TPA00173,成功里,宜蘭縣羅東鎮成功里興東南路245號,1.0,518.0,
公寓,TPA00065,賢文里,宜蘭縣羅東鎮賢文里純精路二段226巷7號,1.0,518.0,
大樓,TPA00088,信義里,宜蘭縣羅東鎮信義里興東路245號,1.0,518.0,
公寓,TPA00266,大新里,宜蘭縣羅東鎮大新里和平路96號,1.0,517.0,
大樓,TPA00342,信義里,宜蘭縣羅東鎮信義里興東路251號1樓,1.0,506.0,
學校,TPA00319,廣興村,宜蘭縣羅東鎮廣興村廣興路117號,1.0,505.0,
大樓,TPA00263,南昌里,宜蘭縣羅東鎮南昌里站前南路236號,1.0,478.0,
公寓,TPA00170,維揚里,宜蘭縣羅東鎮維揚里維揚路245巷15-25號,1.0,474.0,
公寓,TPA00089,信義里,宜蘭縣羅東鎮信義里愛國路85號,1.0,473.0,
大樓,TPA00059,公正里,宜蘭縣羅東鎮公正里公正路157號,1.0,468.0,
鄉公所,TPA00281,南興村,宜蘭縣冬山鄉南興村冬山路100號,1.0,457.0,
旅館,TPA00190,中山里,宜蘭縣羅東鎮中山里中山路三段306號,1.0,454.0,
學校,TPA00009,上四村,宜蘭縣五結鄉上四村中正東路50號,1.0,442.0,
大樓,TPA00177,國華里,宜蘭縣羅東鎮國華里培英路38號,1.0,441.0,
大樓,TPA00162,仁德里,宜蘭縣羅東鎮仁德里興東南路188之2號,1.0,436.0,
學校,TPA00050,樹林里,宜蘭縣羅東鎮樹林里公正路324號,1.0,424.0,
學校,TPA00144,北成里,宜蘭縣羅東鎮北成里北成路一段80號,1.0,421.0,
大樓,TPA00174,成功里,宜蘭縣羅東鎮成功里南門路121號,1.0,421.0,
大樓,TPA00260,南昌里,宜蘭縣羅東鎮南昌里南昌街5號,1.0,393.0,
公寓,TPA00152,漢民里,宜蘭縣羅東鎮漢民里民權路163-165號,1.0,390.0,
公寓,TPA00125,漢民里,宜蘭縣羅東鎮漢民里北成路一段11號,1.0,389.0,
工廠,TPA00314,順安村,宜蘭縣冬山鄉順安村永興路一段231號,1.0,386.0,
學校,TPA00159,北成里,宜蘭縣羅東鎮北成里北成路一段111號,1.0,386.0,
大樓,TPA00070,公正里,宜蘭縣羅東鎮公正里公正路284巷1號,1.0,380.0,
大樓,TPA00097,仁愛里,宜蘭縣羅東鎮仁愛里河濱路25號,1.0,373.0,
大樓,TPA00094,信義里,宜蘭縣羅東鎮信義里興東路280號,1.0,372.0,
大樓,TPA00261,中山里,宜蘭縣羅東鎮中山里民權路83號,1.0,350.0,
大樓,TPA00276,東安里,宜蘭縣羅東鎮東安里光榮路185號,1.0,350.0,
大樓,TPA00315,群英村,宜蘭縣冬山鄉群英村冬山路五段359號,1.0,332.0,
大樓,TPA00071,公正里,宜蘭縣羅東鎮公正里公正路238號,1.0,330.0,
大樓,TPA00091,賢文里,宜蘭縣羅東鎮賢文里民生路113號,1.0,330.0,
大樓,TPA00316,群英村,宜蘭縣冬山鄉群英村冬山路五段353號,1.0,321.0,
大樓,TPA00105,公正里,宜蘭縣羅東鎮公正里興東路117號,1.0,316.0,
學校,TPA00147,國華里,宜蘭縣羅東鎮國華里國華街101號,1.0,314.0,
學校,TPA00117,北成里,宜蘭縣羅東鎮北成里中山路四段360號,1.0,313.0,
旅館,TPA00271,大新里,宜蘭縣羅東鎮大新里和平路75之1號,1.0,309.0,
大樓,TPA00187,成功里,宜蘭縣羅東鎮成功里南門路105號,1.0,308.0,
大樓,TPA00244,南昌里,宜蘭縣羅東鎮南昌里南昌街61之26號,1.0,306.0,
大樓,TPA00179,維揚里,宜蘭縣羅東鎮維揚里成功街156-158號,1.0,304.0,
工廠,TPA00302,大興村,宜蘭縣冬山鄉大興村自強路41號,1.0,302.0,
學校,TPA00308,南興村,宜蘭縣冬山鄉南興村照安路26號,1.0,302.0,
公寓,TPA00126,中山里,宜蘭縣羅東鎮中山里中山路三段348號,1.0,297.0,
公寓,TPA00145,中山里,宜蘭縣羅東鎮中山里中山路三段350號,1.0,297.0,
工廠,TPA00356,大興村,宜蘭縣冬山鄉大興村龍祥十路2號,1.0,291.0,
學校,TPA00200,成功里,宜蘭縣羅東鎮成功里成功街131號,1.0,288.0,
