類別,建築物名稱,電腦編號,地址,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
民宅,私人公司,B01-01-001,龜山區萬壽路一段1號,"25.017288,121.398129",1.0,1201.0,龜山分局,,
民宅,私人公司,B02-01-002,龜山區萬壽路一段267號,"25.017387,121.403805",1.0,210.0,龜山分局,,
民宅,私人公司,B02-02-003,龜山區萬壽路一段381號,"25.016528,121.400493",2.0,361.0,龜山分局,O,
公司,賀順企業,B03-01-004,龜山區萬壽路一段540號,"25.016654,121.396276",1.0,34.0,龜山分局,,
公司,義昌公司,B03-02-005,龜山區萬壽路一段542號,"25.016687,121.396023",1.0,50.0,龜山分局,,
公司,台邦化工,B03-05-008,龜山區萬壽路一段543號,"25.016512,121.395575",1.0,23.0,龜山分局,,
公司,順銘公司,B03-06-009,龜山區萬壽路一段551巷4號,"25.016800,121.396843",1.0,445.0,龜山分局,,
民宅,私人公司,B03-08-011,龜山區萬壽路一段531巷3號,"25.020062,121.407235",1.0,96.0,龜山分局,,
公司,麗源建設,B03-10-013,龜山區萬壽路一段529號,"25.016566,121.395649",1.0,198.0,龜山分局,,
民宅,私人公司,B03-11-014,龜山區萬壽路一段607號,"25.016387,121.393580",3.0,3490.0,龜山分局,O,
工廠,永金鑄造廠,B04-02-016,龜山區龍校街91巷20弄3號,"25.010789,121.389765",1.0,30.0,龜山分局,,
民宅,私人公司,B04-03-017,龜山區龍校街91巷20弄3號,"25.010789,121.389765",1.0,200.0,龜山分局,,
民宅,私人公司,B04-04-018,龜山區萬壽路一段1247巷7號,"25.017689,121.401238",1.0,164.0,龜山分局,,
民宅,私人公司,B04-05-019,龜山區萬壽路一段1247巷9號,"25.017843,121.401188",1.0,224.0,龜山分局,,
民宅,私人公司,B04-06-020,龜山區東萬壽路642巷66號,"25.009220,121.378942",1.0,74.0,龜山分局,,
公司,天英實業,B04-07-021,龜山區東萬壽路627號,"25.009305,121.375440",4.0,494.0,龜山分局,O,
公司,全兌金屬,B04-08-022,龜山區東萬壽路642巷91號,"25.008138,121.378986",1.0,108.0,龜山分局,,
工廠,大勝磚廠,B05-01-023,龜山區東萬壽路672-1號,"24.999272,121.399524",1.0,156.0,龜山分局,,
公司,起倫建設,B06-01-024,龜山區龍新街28號,"25.018494,121.406051",1.0,349.0,龜山分局,O,
民宅,私人公司,B06-02-025,龜山區龍祥街1號,"25.019753,121.406481",1.0,1016.0,龜山分局,,
民宅,私人公司,B06-03-026,龜山區萬壽路一段118號,"25.018436,121.406873",1.0,820.0,龜山分局,O,
民宅,私人公司,B06-04-027,龜山區龍祥街16號,"25.010019,121.390330",1.0,3602.0,龜山分局,,
民宅,私人公司,B06-06-029,龜山區龍泉街16號,"25.0192354,121.407910",1.0,1777.0,龜山分局,O,
民宅,私人公司,B06-07-030,龜山區龍江街3號,"25.019372,121.407154",3.0,586.0,龜山分局,O,
公司,創造開發公司,B08-01-031,龜山區萬壽路一段312號,"25.017378,121.402497",1.0,721.0,龜山分局,,
大學,龍華科技大學,B08-02-032,龜山區萬壽路一段300號,"25.017519,121.402853",1.0,299.0,龜山分局,O,
公司,東來建設,B08-03-033,龜山區龍華街20巷1之9號,"25.017313,121.397188",1.0,453.0,龜山分局,,
學校,龍華科技大學,B08-04-034,龜山區萬壽路一段300號,"25.017519,121.402853",1.0,1116.0,龜山分局,,
學校,龍華科技大學,B08-05-035,龜山區萬壽路一段300號,"25.017519,121.402853",1.0,1116.0,龜山分局,,
學校,龍華科技大學,B08-06-036,龜山區萬壽路一段300號,"25.017519,121.402853",1.0,1092.0,龜山分局,,
民宅,私人公司,B09-03-039,龜山區萬壽路一段358號,"25.017036,121.401494",1.0,135.0,龜山分局,,
公司,私人公司,B09-05-041,龜山區萬壽路一段352號,"25.017063,121.401594",2.0,683.0,龜山分局,,
公司,富島企業社,B10-01-042,龜山區萬壽路一段490號,"25.016483,121.398165",1.0,5466.0,龜山分局,O,
公司,泓谷建設,B11-03-045,龜山區萬壽路一段50巷20弄1之13號,"25.017612,121.405570",1.0,41.0,龜山分局,,
民宅,私人公司,B12-01-047,龜山區萬壽路一段155號,"25.018352,121.407542",1.0,515.0,龜山分局,,
公司,光華建設,B12-02-048,龜山區萬壽路一段157號,"25.018344,121.407472",3.0,127.0,龜山分局,O,
公司,龍龍建設,B12-03-049,龜山區萬壽路一段241巷3弄15號,"25.017634,121.405639",1.0,2117.0,龜山分局,,
民宅,私人公司,B12-04-050,龜山區萬壽路一段199巷2號,"25.020360,121.407915",3.0,48.0,龜山分局,O,
公司,開源機電公司,B13-02-052,龜山區萬壽路一段136號,"25.018432,121.406353",1.0,63.0,龜山分局,,
