類別,建築物名稱,電腦編號,村里別,地址,"地下樓 層數","可容納 人數",派出所,備註,經度,緯度
公寓,地政事務所,DE01000021,深丘里,新北市板橋區深丘里實踐路1號,1.0,476.0,海山派出所,,121.463532,25.008623
大樓,板橋第一運動場,DE01000038,深丘里,新北市板橋區深丘里漢生東路278號,1.0,3057.0,海山派出所,,121.469292,25.010591
大樓,大豐建築,DE01000082,長安里,新北市板橋區長安里漢生東路193巷25號,1.0,392.0,海山派出所,,121.471037,25.012306
公寓,公寓,DE01000083,玉光里,新北市板橋區玉光里永豐街55巷40-42號,1.0,246.0,海山派出所,,121.472307,25.018462
大樓,大樓,DE01000084,西安里,新北市板橋區西安里中山路二段109號,1.0,309.0,海山派出所,,121.47453,25.016331
大樓,海山分局,DE01000085,民族里,新北市板橋區民族里漢生東路195號,1.0,1177.0,海山派出所,,121.471251,25.008822
公寓,板橋地方法院,DE01000086,東丘里,新北市板橋區東丘里民生路一段30號,1.0,5632.0,海山派出所,,121.476056,25.013522
公寓,兆湖鐵廠,DE01000087,西安里,新北市板橋區西安里觀光街67號,1.0,272.0,海山派出所,,121.470182,25.016495
大樓,榮實開發,DE01000088,深丘里,新北市板橋區深丘里區運路22號,1.0,1109.0,海山派出所,,121.465326,25.009346
公寓,公寓,DE01000089,長安里,新北市板橋區長安里中山路一段186號,1.0,438.0,海山派出所,,121.469397,25.013461
大樓,大樓,DE01000090,福丘里,新北市板橋區福丘里中山路一段91號,1.0,90.0,海山派出所,,121.461589,25.010156
大樓,大樓,DE01000091,福丘里,新北市板橋區福丘里民權路33號,1.0,163.0,海山派出所,,121.462158,25.010902
公寓,調查局,DE01000092,民族里,新北市板橋區民族里漢生東路193巷2號,1.0,348.0,海山派出所,,121.470936,25.01218397
大樓,大樓,DE01000093,海山里,新北市板橋區海山里民生路一段29號,2.0,950.0,海山派出所,,121.475296,25.011857
大樓,大樓,DE01000094,東丘里,新北市板橋區東丘里中山路二段58號,1.0,91.0,海山派出所,,121.473801,25.015607
公寓,名鵬企業,DE01000095,玉光里,新北市板橋區玉光里民生路二段21號,1.0,26.0,海山派出所,,121.471658,25.017271
大樓,大樓,DE01000096,長安里,新北市板橋區長安里板新路29號,2.0,643.0,海山派出所,,121.474478,25.013054
大樓,大樓,DE01000098,民生里,新北市板橋區民生里板新路18號,1.0,477.0,海山派出所,,121.474509,25.013388
大樓,大樓,DE01000099,玉光里,新北市板橋區玉光里民生路二段46號,2.0,350.0,海山派出所,,121.472447,25.017566
大樓,大樓,DE01000100,民族里,新北市板橋區民族里民族路129巷26號,3.0,75.0,海山派出所,,121.467907,25.008833
大樓,大樓,DE01000101,海山里,新北市板橋區海山里長安街138巷1號1,1.0,67.0,海山派出所,,121.472835,25.009913
大樓,久揚天廈,DE01000103,香丘里,新北市板橋區香丘里中山路一段293-2號,2.0,1682.0,海山派出所,,121.470947,25.014561
大樓,大樓,DE01000104,海山里,新北市板橋區海山里民生路一段5號,3.0,8017.0,海山派出所,,121.476026,25.011573
大樓,大樓,DE01000105,介壽里,新北市板橋區介壽里文化路一段270巷3弄3號,1.0,1588.0,海山派出所,,121.468034,25.020964
公寓,大樓,DE01000106,福丘里,新北市板橋區福丘里中山路一段50巷17號,1.0,353.0,海山派出所,,121.46161,25.009115
大樓,大樓,DE01000107,海山里,新北市板橋區海山里民生路一段35號,1.0,191.0,海山派出所,,121.475739,25.012665
大樓,大樓,DE01000108,海山里,新北市板橋區海山里長安街138巷1弄48號,1.0,260.0,海山派出所,,121.473881,25.010029
大樓,大樓,DE01000109,東安里,新北市板橋區東安里中山路二段97號,1.0,661.0,海山派出所,,121.474424,25.01645916
大樓,大樓,DE01000110,深丘里,新北市板橋區深丘里民族路69巷18弄2號,1.0,287.0,海山派出所,,121.465898,25.009965
公寓,板橋地方法院,DE01000111,東丘里,新北市板橋區東丘里民生路一段30號,1.0,755.0,海山派出所,,121.476056,25.013522
大樓,大樓,DE01000112,海山里,新北市板橋區海山里漢生東路335號,1.0,508.0,海山派出所,,121.472094,25.008088
大樓,大樓,DE01000113,深丘里,新北市板橋區深丘里海山路5號,1.0,86.0,海山派出所,,121.469294,25.009356
大樓,大樓,DE01000114,長安里,新北市板橋區長安里板新路27號,2.0,148.0,海山派出所,,121.474716,25.012899
大樓,大樓,DE01000115,深丘里,新北市板橋區深丘里區運路82號,1.0,55.0,海山派出所,,121.466686,25.010354
公寓,大樓,DE01000116,深丘里,新北市板橋區深丘里長安街25巷10號,1.0,126.0,海山派出所,,121.466677,25.009133
大樓,華廈,DE01000117,長安里,新北市板橋區長安里漢生東路171號,1.0,311.0,海山派出所,,121.469483,25.012255
大樓,大樓,DE01000118,華江里,新北市板橋區華江里莊敬路148號,1.0,1998.0,海山派出所,,121.470609,25.022683
大樓,大樓,DE01000119,玉光里,新北市板橋區玉光里民生路二段8號,1.0,1545.0,海山派出所,,121.473503,25.016678
大樓,大樓,DE01000121,海山里,新北市板橋區海山里長安街138巷24號,1.0,155.0,海山派出所,,121.472915,25.008884
公寓,大樓,DE01000122,深丘里,新北市板橋區深丘里民族路100號,1.0,577.0,海山派出所,,121.464417,25.008502
大樓,昇陽建設,DE01000124,福丘里,新北市板橋區福丘里公園街20號,1.0,384.0,海山派出所,,121.462713,25.008892
大樓,永隆建設,DE01000125,福丘里,新北市板橋區福丘里中山路一段69號,1.0,309.0,海山派出所,,121.461255,25.009839
大樓,大樓,DE01000126,海山里,新北市板橋區海山里長安街138巷1弄42號,1.0,162.0,海山派出所,,121.4737,25.00992
大樓,大樓,DE01000127,香丘里,新北市板橋區香丘里板新路202號,2.0,905.0,海山派出所,,121.468968,25.01613
大樓,大樓,DE01000128,民族里,新北市板橋區民族里民族路197號,1.0,816.0,海山派出所,,121.468941,25.007512
大樓,大樓,DE01000129,東安里,新北市板橋區東安里中山路二段133號,1.0,1014.0,海山派出所,,121.475175,25.01678511
大樓,大樓,DE01000130,長安里,新北市板橋區長安里板新路11號,1.0,302.0,海山派出所,,121.475118,25.012645
大樓,大樓,DE01000131,玉光里,新北市板橋區玉光里中山路二段89巷20號,1.0,909.0,海山派出所,,121.473989,25.016602
大樓,大樓,DE01000132,香丘里,新北市板橋區香丘里板新路157號,1.0,793.0,海山派出所,,121.469721,25.015583
大樓,海山閣中,DE01000134,長安里,新北市板橋區長安里板新路17號,1.0,908.0,海山派出所,,121.474922,25.012768
大樓,吉利財星,DE01000136,福丘里,新北市板橋區福丘里民族路40號,1.0,246.0,海山派出所,,121.462162,25.009553
大樓,豐德商業大樓,DE01000137,東丘里,新北市板橋區東丘里中山路二段100號,1.0,700.0,海山派出所,,121.475644,25.016493
大樓,第一家庭,DE01000138,福丘里,新北市板橋區福丘里民族路31號,1.0,445.0,海山派出所,,121.462185,25.009904
大樓,大樓,DE01000139,東安里,新北市板橋區東安里中山路二段123號,1.0,409.0,海山派出所,,121.474805,25.01673405
大樓,中山金典,DE01000141,玉光里,新北市板橋區玉光里民生路二段18號,1.0,213.0,海山派出所,,121.47309,25.016643
大樓,小遠百,DE01000142,深丘里,新北市板橋區深丘里中山路一段152號,1.0,3570.0,海山派出所,,121.464344,25.011114
大樓,民生蓮園,DE01000143,玉光里,新北市板橋區玉光里民生路二段30號,1.0,201.0,海山派出所,,121.472745,25.017166
公寓,市民廣場,DE01000146,福丘里,新北市板橋區福丘里縣民大道二段22號,1.0,686.0,海山派出所,,121.464851,25.013499
大樓,天賜良園,DE01000147,福丘里,新北市板橋區福丘里公園街58號,1.0,112.0,海山派出所,,121.461967,25.007851
大樓,正隆麗池,DE01000149,海山里,新北市板橋區海山里民生路一段1號1,2.0,2452.0,海山派出所,,121.476703,25.011683
大樓,民生公園,DE01000151,東丘里,新北市板橋區東丘里民生路一段30號,1.0,486.0,海山派出所,,121.476056,25.013522
大樓,板橋福音堂,DE01000152,福丘里,新北市板橋區福丘里民族路8號,2.0,233.0,海山派出所,,121.461658,25.009651
大樓,民生經貿大樓,DE01000153,民生里,新北市板橋區民生里民生路一段57號,1.0,233.0,海山派出所,,121.475314,25.013096
公寓,海山高中,DE01000154,深丘里,新北市板橋區深丘里漢生東路215號,1.0,115.0,海山派出所,,121.470886,25.010154
大樓,生活村幼兒園,DE01000155,民族里,新北市板橋區民族里漢生東路350號,1.0,110.0,海山派出所,,121.472017,25.007252
大樓,新北市政府,DE01000156,福丘里,新北市板橋區福丘里中山路一段161號,1.0,9125.0,海山派出所,,121.465654,25.012154
大樓,新站巴黎,DE01000157,長安里,新北市板橋區長安里板新路37號,3.0,1260.0,海山派出所,,121.474269,25.013189
大樓,凱旋門,DE01000158,東丘里,新北市板橋區東丘里中山路二段92-98號,1.0,2177.0,海山派出所,,121.475321,25.016339
大樓,大樓,DE01000159,深丘里,新北市板橋區深丘里海山路1號,1.0,343.0,海山派出所,,121.469437,25.009453
大樓,華府DC社區,DE01000160,福丘里,新北市板橋區福丘里中山路一段139號1,1.0,411.0,海山派出所,,121.463391,25.011103
大樓,大樓,DE01000161,玉光里,新北市板橋區玉光里中山路二段89巷49號,1.0,286.0,海山派出所,,121.473638,25.017343
大樓,台北官邸,DE01000162,深丘里,新北市板橋區深丘里區運路65號,1.0,806.0,海山派出所,,121.466819,25.010714
大樓,國家四季館,DE01000163,深丘里,新北市板橋區深丘里漢生東路276號,1.0,3421.0,海山派出所,,121.469004,25.012069
大樓,新站尊爵,DE01000164,海山里,新北市板橋區海山里漢生東路315號,1.0,692.0,海山派出所,,121.471929,25.008007
大樓,板新華夏,DE01000166,西安里,新北市板橋區西安里板新路126號,1.0,113.0,海山派出所,,121.470958,25.015546
公寓,公寓,DE01000167,東丘里,新北市板橋區東丘里民享街149號,1.0,385.0,海山派出所,,121.477451,25.016981
大樓,馥華時尚會館F1,DE01000168,深丘里,新北市板橋區深丘里新府路66號,1.0,1890.0,海山派出所,,121.465261,25.010983
大樓,巴黎16區,DE01000169,深丘里,新北市板橋區深丘里區運路101號,1.0,2438.0,海山派出所,,121.46851,25.011651
大樓,中山民生社區,DE01000170,民生里,新北市板橋區民生里中山路二段50號,1.0,565.0,海山派出所,,121.473233,25.015339
大樓,權世界,DE01000171,福丘里,新北市板橋區福丘里縣民大道二段86號,2.0,1652.0,海山派出所,,121.466615,25.01477
大樓,新板城,DE01000172,福丘里,新北市板橋區福丘里公園街36號,1.0,2168.0,海山派出所,,121.462293,25.008409
大樓,國鼎,DE01000173,福丘里,新北市板橋區福丘里漢生東路166號,1.0,1715.0,海山派出所,,121.467027,25.014657
大樓,皇翔高更,DE01000174,深丘里,新北市板橋區深丘里中山路一段160號之5,3.0,616.0,海山派出所,,121.4662,25.011975
