電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
ETA00001,渣打銀行,大華里,,,B1,62.0,八德分局,不設置標誌牌
ETA00005,安泰銀行,大忠里,,,B1,104.0,八德分局,不設置標誌牌
ETA00007,經鼎園中園社區,大義里,24.964234,121.304015,B1,659.0,八德分局,
ETA00008,國泰森林公園社區,大福里,24.978294,121.302402,B2,829.0,八德分局,
ETA00015,公園藝術名門社區,大同里,24.960811,121.295098,B1,1055.0,八德分局,
ETA00017,台灣特殊金屬網公司,廣德里,24.951498,121.288599,B1,111.0,八德分局,
ETA00018,朝學園社區,興仁里,24.929988,121.285466,B1,386.0,八德分局,
ETA00019,大樓,興仁里,24.930149,121.28567,B1,1168.0,八德分局,
ETA00021,永安鐵櫃家具公司,興中里,24.923414,121.282498,B1,170.0,八德分局,
ETA00023,八德國中,興仁里,24.929876,121.286762,B1,541.0,八德分局,
ETA00024,大樓,興仁里,24.930247,121.284232,B1,59.0,八德分局,
ETA00027,大樓,興仁里,24.92913,121.28162,B1,64.0,八德分局,
ETA00032,東和鋼鐵公司,瑞泰里,24.942467,121.297008,B1,1001.0,八德分局,
ETA00033,啟明機械公司,瑞泰里,24.944099,121.297678,B1,1000.0,八德分局,
ETA00036,合家歡社區,龍友里,24.926964,121.257133,B1,50.0,八德分局,
ETA00037,景仁殘障教養院,霄裡里,24.933792,121.262754,B1,1161.0,八德分局,
ETA00038,八德名廈社區,福元里,24.931705,121.285979,B1,2714.0,八德分局,
ETA00039,八德殘障教養院,福元里,24.931495,121.285229,B1,622.0,八德分局,
ETA00040,八德區公有零售市場,福興里,24.93178,121.284879,B1,790.0,八德分局,
ETA00041,明星油漆新美華造漆廠,廣德里,24.942371,121.279435,B1,138.0,八德分局,
ETA00042,客滿座彩卷行,廣隆里,24.959426,121.291977,B1,83.0,八德分局,
ETA00045,常榮企業社,廣隆里,24.962418,121.279831,B1,44.0,八德分局,
ETA00046,碩業科技公司,廣隆里,24.962319,121.279712,B1,83.0,八德分局,
ETA00047,小腳慢步公司,廣隆里,24.959676,121.291344,B1,50.0,八德分局,
ETA00048,合利有限公司,廣隆里,24.959674,121.291393,B1,33.0,八德分局,
ETA00050,台灣日鍛公司,竹園里,24.932839,121.265047,B1,20.0,八德分局,
ETA00051,順強紙器公司,竹園里,24.936049,121.2686,B1,86.0,八德分局,
ETA00052,明台化工公司,竹園里,24.939802,121.271973,B1,55.0,八德分局,
ETA00053,滕欣公司,瑞豐里,24.928464,121.292017,B1,83.0,八德分局,
ETA00054,金永興科技公司,瑞豐里,24.928,121.290485,B1,88.0,八德分局,
ETA00055,盛記企業有限公司,瑞豐里,24.927807,121.290754,B1,133.0,八德分局,
ETA00056,八德國小,興中里,24.928905,121.283928,B1,1282.0,八德分局,
ETA00057,八德區戶政事務所,興仁里,24.928954,121.286326,B1,404.0,八德分局,
ETA00058,八德國中,興仁里,24.929876,121.286762,B1,483.0,八德分局,
ETA00059,德優機械公司,茄苳里,24.96576,121.27796,B1,58.0,八德分局,
ETA00060,大樓,茄苳里,24.97217,121.28015,B1,468.0,八德分局,
ETA00061,福泉食品企業社,高明里,24.975878,121.277308,B1,27.0,八德分局,
ETA00065,私立八德殘障教養院,白鷺里,24.963422,121.278363,B1,904.0,八德分局,
ETA00066,柯記公司,永豐里,24.970613,121.269597,B1,22.0,八德分局,
ETA00067,貿聯倉儲公司,永豐里,24.97621,121.26729,B1,216.0,八德分局,
ETA00068,四貝企業社,永豐里,24.97211,121.27439,B1,58.0,八德分局,
ETA00069,政大金屬公司,永豐里,24.97389,121.276967,B1,54.0,八德分局,
ETA00070,新興工商,永豐里,24.975051,121.271741,B1,661.0,八德分局,
ETA00071,精錬公司,永豐里,24.97044,121.269953,B1,26.0,八德分局,
ETA00072,九德電子公司,茄苳里,24.97289,121.27632,B1,66.0,八德分局,
ETA00073,台灣鑽石工業公司,永豐里,24.969768,121.269408,B1,782.0,八德分局,
ETA00074,四貝企業社,茄苳里,24.969854,121.276747,B1,351.0,八德分局,
ETA00076,廣偉工業公司,永豐里,24.973942,121.275288,B1,540.0,八德分局,
ETA00078,新興工商資政大樓,永豐里,24.975051,121.271741,B1,375.0,八德分局,
ETA00079,富運企業有限公司,茄苳里,24.97399,121.27704,B1,21.0,八德分局,
ETA00080,和旭機械公司,茄苳里,24.97402,121.27706,B1,31.0,八德分局,
ETA00081,良維工業公司,茄苳里,24.97313,121.27334,B1,304.0,八德分局,
ETA00083,貿聯倉儲公司,永豐里,24.97621,121.26729,B1,152.0,八德分局,
ETA00084,宏喬彈簧公司,永豐里,24.969163,121.270143,B1,31.0,八德分局,
ETA00086,帛億公司,永豐里,24.975,121.27542,B1,62.0,八德分局,
ETA00087,暢稜公司,永豐里,24.970421,121.270149,B1,556.0,八德分局,
ETA00090,武陵綠大地社區,茄明里,24.982783,121.279191,B1,118.0,八德分局,
ETA00091,大樓,茄明里,24.984537,121.278015,B1,72.0,八德分局,
ETA00092,中日龍族社區,茄明里,24.981815,121.276675,B1,835.0,八德分局,
ETA00093,健鋒科技公司,永豐里,24.973942,121.275288,B1,41.0,八德分局,
ETA00094,廣喆金屬公司,大安里,24.952155,121.316897,B1,124.0,八德分局,
ETA00095,明台科技工業園區,大安里,24.953189,121.315355,B1,64.0,八德分局,
ETA00096,丁元塑膠公司,大安里,24.95478,121.312623,B1,220.0,八德分局,
ETA00097,大安國小,大安里,24.956365,121.315315,B1,68.0,八德分局,
ETA00099,大安國小,大安里,24.95652,121.31544,B1,1026.0,八德分局,
ETA00100,宣帆電子股份有限公司,大發里,24.960101,121.323457,B1,36.0,八德分局,
ETA00101,三甲電線股份有限公司,大發里,24.96177,121.323266,B1,31.0,八德分局,
ETA00102,大申通風股份有限公司,大發里,24.96026,121.323393,B1,40.0,八德分局,
ETA00103,千太精機廠,大發里,24.96156,121.32321,B1,33.0,八德分局,
ETA00104,柏德橡膠有限公司,大發里,24.955203,121.324257,B1,27.0,八德分局,
ETA00109,大樓,大發里,24.956651,121.323849,B1,46.0,八德分局,
ETA00110,禾翌精密科技有限公司,大發里,24.956583,121.324304,B1,48.0,八德分局,
ETA00111,匯盈工業股份有限公司,大發里,24.95654,121.323933,B1,46.0,八德分局,
ETA00112,立暐製版公司,大發里,24.95553,121.323976,B1,31.0,八德分局,
ETA00113,匯盈工業股份有限公司,大發里,24.95636,121.32403,B1,50.0,八德分局,
ETA00114,虹麗實業有限公司,大發里,24.956448,121.324385,B1,50.0,八德分局,
ETA00115,鵬格實業公司,大發里,24.956309,121.324115,B1,48.0,八德分局,
ETA00116,中華民國寧瑪巴白玉顯密金剛法輪學會,大發里,24.956334,121.324445,B1,50.0,八德分局,
ETA00117,綠得食品企業,大發里,24.956213,121.324225,B1,44.0,八德分局,
ETA00118,新東嘉建設公司,大千里,24.96204,121.304405,B2,1330.0,八德分局,
ETA00120,嘉勛國際人力公司,大千里,24.961715,121.305848,B2,1988.0,八德分局,
ETA00121,豪偉建設公司,大漢里,24.963429,121.305975,B1,2345.0,八德分局,
ETA00122,資億公司,大竹里,24.95511,121.311655,B1,38.0,八德分局,
ETA00123,大勇國小,大勇里,24.968004,121.304039,B1,117.0,八德分局,
ETA00124,校園森活社區,大勇里,24.969415,121.305172,B1,346.0,八德分局,
ETA00126,龍傳家社區,大勇里,24.969078,121.303263,B1,261.0,八德分局,
ETA00127,凌巨科技公司,大湳里,24.966867,121.320438,B1,254.0,八德分局,
ETA00132,鋐達企業股份有限公司,大明里,24.966578,121.327876,B1,123.0,八德分局,
ETA00133,台北富達社區,大漢里,24.962858,121.306465,B1,540.0,八德分局,
ETA00138,大樓,大漢里,24.97004,121.30886,B1,391.0,八德分局,
ETA00141,大樓,大千里,24.960044,121.305034,B1,152.0,八德分局,
ETA00143,愛兒群幼兒園,大千里,24.961912,121.305879,B2,140.0,八德分局,
ETA00145,大樓,大千里,24.957592,121.305736,B1,81.0,八德分局,
ETA00147,阿拉丁花園城堡社區,大義里,24.963524,121.303954,B2,7022.0,八德分局,
ETA00148,力霸倫敦城社區,大和里,24.955614,121.295423,B3,16240.0,八德分局,
ETA00149,八德區大湳公有停車場,大慶里,24.958904,121.298111,B1,1159.0,八德分局,
ETA00150,全佳福社區,大勇里,24.968872,121.302716,B1,4263.0,八德分局,
ETA00151,中華路199號華廈,茄明里,24.983336,121.278413,B1,138.0,八德分局,
ETA00153,陽光麗庭社區,福興里,24.933671,121.285606,B2,4002.0,八德分局,
ETA00154,極品國宅B區社區,茄明里,24.982289,121.276508,B1,606.0,八德分局,
ETA00155,極品國宅B區社區,茄明里,24.982289,121.276508,B1,1282.0,八德分局,
ETA00156,大成國中,大千里,24.958403,121.3051,B1,1461.0,八德分局,
ETA00157,大成國小,大成里,24.958632,121.29849,B1,671.0,八德分局,
ETA00158,昇銳電子股份有限公司,竹園里,24.932791,121.268285,B1,848.0,八德分局,
ETA00159,大樓,大正里,24.971803,121.301627,B1,393.0,八德分局,
ETA00160,大利市社區,高明里,24.977944,121.273891,B2,1268.0,八德分局,
ETA00161,長堤維也納社區,大福里,24.976043,121.302353,B2,1268.0,八德分局,
ETA00162,雅典桂冠社區,瑞德里,24.924522,121.294815,B2,3320.0,八德分局,
ETA00163,京站/巨星生活家社區,高城里,24.97821,121.2741,B3,5453.0,八德分局,
ETA00164,校園森活社區,大勇里,24.969245,121.305004,B1,1819.0,八德分局,
ETA00165,明日城社區,大宏里,24.969086,121.295062,B1,6048.0,八德分局,
ETA00166,國防大學,大信里,24.93457,121.30307,B1,23310.0,八德分局,
ETA00167,歐洲臻品社區,大漢里,24.964102,121.306194,B1,465.0,八德分局,
ETA00168,臻旺社區,大勇里,24.96669,121.305359,B1,1938.0,八德分局,
ETA00169,幸福有約社區,大正里,24.971852,121.298381,B3,1906.0,八德分局,
ETA00170,異國風華社區,高城里,24.9782,121.27309,B2,502.0,八德分局,
ETA00171,新天地社區,大仁里,24.96927,121.32666,B2,3939.0,八德分局,
ETA00172,慕夏社區,大正里,24.971636,121.298837,B3,1625.0,八德分局,
ETA00173,英橋典傳社區,大正里,24.971775,121.298224,B2,682.0,八德分局,
ETA00174,海德皇家社區,大和里,24.953911,121.2953,B2,2123.0,八德分局,
ETA00175,歐洲學苑社區,大和里,24.954785,121.29633,B2,4512.0,八德分局,
ETA00176,大忠國小,大忠里,24.959893,121.300782,B1,1421.0,八德分局,
ETA00177,春虹精品社區,大忠里,24.958252,121.299848,B1,817.0,八德分局,
ETA00178,三本峰鼎社區,瑞泰里,24.936803,121.297163,B2,1734.0,八德分局,
ETA00179,真鑽社區,大湳里,24.959406,121.307078,B1,1922.0,八德分局,
ETA00180,輝煌世紀社區,茄明里,24.986204,121.281577,B3,1825.0,八德分局,
ETA00181,三合樸真社區,大福里,24.97368,121.300026,B1,779.0,八德分局,
ETA00182,百川十方社區,大湳里,24.960507,121.307384,B2,1807.0,八德分局,
ETA00183,寶格麗環遊世界社區,大漢里,24.963868,121.305615,B1,2194.0,八德分局,
ETA00184,爵士尊邸社區,大湳里,24.959116,121.307382,B1,1674.0,八德分局,
ETA00185,桃大悅園社區,大義里,24.963709,121.302584,B2,829.0,八德分局,
ETA00186,湖光盛景社區,大湳里,24.959088,121.307886,B1,1497.0,八德分局,
ETA00187,英僑領袖社區,興仁里,24.929169,121.28837,B2,1645.0,八德分局,
ETA00188,君臨天下社區,大勇里,24.964677,121.304812,B3,4722.0,八德分局,
ETA00189,元智大學,永豐里,24.965178,121.267533,B1,2023.0,八德分局,
ETA00190,富域社區,茄明里,24.9842,121.281388,B2,1311.0,八德分局,
ETA00191,明台化工公司,竹園里,24.939802,121.271973,B1,1161.0,八德分局,
ETA00192,元皇寬社區,大正里,24.971636,121.299136,B2,943.0,八德分局,
ETA00193,瑞恩帝兒桃德幼兒園,大正里,24.972176,121.296713,B1,220.0,八德分局,
ETA00194,樂活市社區,大仁里,24.970817,121.323445,B2,802.0,八德分局,
ETA00195,明水硯社區,大湳里,24.95944,121.308066,B2,2023.0,八德分局,
ETA00196,竹城六本木社區,大智里,24.965298,121.295708,B3,3226.0,八德分局,
ETA00197,貝森朵芙社區,福元里,24.93029,121.28322,B3,2466.0,八德分局,
ETA00198,榮耀之光社區,廣隆里,24.961193,121.292567,B3,1478.0,八德分局,
ETA00199,八德分局高明派出所,白鷺里,,,B1,154.0,八德分局,不設置標誌牌
ETA00200,天琴社區,廣隆里,24.960937,121.293313,B3,1591.0,八德分局,
ETA00201,三本阿曼社區,大興里,24.951453,121.30582,B2,2410.0,八德分局,
ETA00202,湖水裔社區,大湳里,24.959461,121.307413,B2,807.0,八德分局,
ETA00203,竹城六本木之丘社區,大智里,24.964534,121.29594,B3,1030.0,八德分局,
ETA00204,八德區公所,興仁里,24.929016,121.284595,B1,28.0,八德分局,
ETA00205,八德區公所,興仁里,24.929016,121.284595,B1,28.0,八德分局,
ETA00206,雅居樂NO1社區,大信里,24.939411,121.304203,B1,443.0,八德分局,
ETA00207,簡單的幸福社區,大發里,24.958047,121.322488,B1,543.0,八德分局,
