類別,電腦編號,村里別,地址,地下樓層數,可容納人數,管轄分局,備註
嘉田汽車公司,329,小東里,斗南鎮小東里17鄰延平路1段100號,1.0,229,斗南分局,
振裕米廠,330,小東里,斗南鎮小東里16鄰大同路444巷41號,1.0,66,斗南分局,
源欣興農畜食品公司,331,小東里,斗南鎮小東里公論路12號,1.0,28,斗南分局,
德謙製鞋公司,332,小東里,斗南鎮小東里17鄰德業路27號,1.0,280,斗南分局,
弘安紙業（萬能公司）,333,小東里,斗南鎮小東里17鄰大業路30-10號,1.0,168,斗南分局,
環亞橡膠公司,334,小東里,斗南鎮小東里17鄰德業路16號,1.0,352,斗南分局,
妙一慈堂,335,小東里,斗南鎮小東里17鄰德業路29號,1.0,29,斗南分局,
和記食品,336,小東里,斗南鎮小東里公論路3號,1.0,49,斗南分局,
品祥企業,337,小東里,斗南鎮小東里17鄰公論路2號,1.0,118,斗南分局,
長城電纜,338,小東里,斗南鎮小東里17鄰公論路14號,1.0,68,斗南分局,
裕農（嘉升）冷凍,339,小東里,斗南鎮小東里17鄰德業路33巷15號,1.0,61,斗南分局,
黃氏製葯廠,340,小東里,斗南鎮小東里16鄰大同路444巷11號,1.0,166,斗南分局,
總發企業,341,小東里,斗南鎮小東里17鄰公論路19號,1.0,644,斗南分局,
木豐企業,342,小東里,斗南鎮小東里17鄰公論路21號,1.0,90,斗南分局,
妙一慈堂,343,小東里,斗南鎮德業路29號,1.0,433,斗南分局,
金農貿昜公司,344,小東里,斗南鎮小東里17鄰德業路36號,1.0,120,斗南分局,
裕農冷凍公司,345,小東里,斗南鎮小東里17鄰公論路8號,1.0,85,斗南分局,
大榮貨運,346,小東里,斗南鎮小東里17鄰公論路25號,1.0,204,斗南分局,
振裕機械,347,小東里,斗南鎮小東里17鄰德業路28號,1.0,115,斗南分局,
三福食品,348,小東里,斗南鎮小東里公論路17號,1.0,134,斗南分局,
太子汽車公司,349,小東里,斗南鎮小東里大業路106號,1.0,317,斗南分局,
冠軍公司,350,小東里,斗南鎮小東里17鄰德業路25巷8號,1.0,996,斗南分局,
大德工商,351,小東里,斗南鎮小東里16鄰大同路400號,1.0,446,斗南分局,
富盛發實業公司,352,小東里,斗南鎮小東里17鄰德業路33巷16號,1.0,143,斗南分局,
大德工商,353,小東里,斗南鎮小東里15鄰大同路400號,1.0,376,斗南分局,
一般住宅,354,中天里,斗南鎮中天里中山路120號,1.0,248,斗南分局,
一般住宅,355,中天里,斗南鎮中天里順安街112號,1.0,154,斗南分局,
一般住宅,356,中天里,斗南鎮中天里順安街134號,1.0,51,斗南分局,
不公開,357,中天里,斗南鎮中天里中山路116號,1.0,200,斗南分局,
不公開,358,中天里,斗南鎮中天里中正路131號,1.0,534,斗南分局,
斗南高中,359,中西岐,斗南鎮中西岐里山路212號,1.0,605,斗南分局,
斗南高中,360,中西岐,斗南鎮中西岐里山路212號,1.0,865,斗南分局,
大埤鄉公所,361,北和村,大埤鄉北和村中山路8號,1.0,206,斗南分局,
不公開,362,北和村,大埤鄉北和村1鄰中山路6號,1.0,161,斗南分局,
一般住宅,363,北銘里,斗南鎮北銘里6鄰興北路1號,1.0,668,斗南分局,
大樓,364,北銘里,斗南鎮北銘里4鄰新生1路19號,1.0,1626,斗南分局,
不公開,365,北銘里,斗南鎮北銘里永安街57號,1.0,1298,斗南分局,
永安旅社,366,北銘里,斗南鎮北銘里10鄰永安街132號,1.0,148,斗南分局,
福安醫院,367,北銘里,斗南鎮北銘里永安街58號,1.0,143,斗南分局,
南都汽車斗南服務廠,368,北銘里,斗南鎮北銘里6鄰延平路2段87號,1.0,124,斗南分局,
福安醫院,369,北銘里,斗南鎮北銘里永安街58號,1.0,142,斗南分局,
福安醫院,370,北銘里,斗南鎮永安街58號,1.0,323,斗南分局,
福安醫院,371,北銘里,斗南鎮文昌路110號,1.0,793,斗南分局,
公寓,372,古坑村,古坑鄉古坑村19鄰中山路5巷2號之1,1.0,80,斗南分局,
公寓,373,古坑村,古坑鄉古坑村中山路9號,1.0,77,斗南分局,
不公開,374,古坑村,古坑鄉古坑村10鄰中山路123號,1.0,95,斗南分局,
不公開,375,古坑村,古坑鄉古坑村中華路25號,1.0,249,斗南分局,
古坑鄉公所,376,古坑村,古坑鄉古坑村中山路40號,1.0,1630,斗南分局,
豐世紀股份有限公司,377,古坑村,古坑鄉古坑村19鄰中山路3號,1.0,158,斗南分局,
劍湖山遊樂世界,378,永光村,古坑鄉永光村16鄰大湖口67號,1.0,130,斗南分局,
劍湖山遊樂世界,379,永光村,古坑鄉永光村16鄰大湖口68號,1.0,270,斗南分局,
假期（王子）大飯店,380,永光村,古坑鄉永光村大湖口67-8號,1.0,8981,斗南分局,
古坑鄉公所,381,西平村,古坑鄉西平村21鄰西平路64號,1.0,72,斗南分局,
古坑市場,382,西平村,古坑鄉西平村中山路135號,1.0,86,斗南分局,
一般住宅,383,西岐里,斗南鎮西岐里六合街20號-34號,1.0,2107,斗南分局,
一般住宅,384,西岐里,斗南鎮西岐里六合街1-11號,1.0,1247,斗南分局,
一般住宅,385,西岐里,斗南鎮西岐里建國2路149-161號,1.0,1786,斗南分局,
一般住宅,386,西岐里,斗南鎮西岐里福德街135號,1.0,1270,斗南分局,
大樓,387,西岐里,斗南鎮西岐里永安街186號,1.0,2118,斗南分局,
一般住宅,388,西岐里,斗南鎮西岐里大同路331號,1.0,143,斗南分局,
一般住宅,389,西岐里,斗南鎮西岐里同安街66-76號,1.0,511,斗南分局,
交通部公路總局斗南工務段,390,西岐里,斗南鎮延平路2段128號,1.0,1092,斗南分局,
斗南圖書館,391,西岐里,斗南鎮西岐里19鄰福德街151號,1.0,201,斗南分局,
鎮立立體停車場(停一),392,西岐里,斗南鎮西岐里延平路2段266號,1.0,2251,斗南分局,
斗南鎮公所,393,西岐里,斗南鎮西岐里27鄰文昌路200號,1.0,372,斗南分局,
凱司娛樂,394,西岐里,斗南鎮西岐里大同路325號,1.0,222,斗南分局,
國泰人壽大樓,395,西岐里,斗南鎮西岐里延平路2段368號,1.0,628,斗南分局,
斗南高中,396,西岐里,斗南鎮西岐里中山路212號,1.0,868,斗南分局,
煙洒公賣局倉庫,397,西岐里,斗南鎮西岐里6鄰文昌路493號,1.0,246,斗南分局,
真耶穌教會斗南教會,398,西岐里,斗南鎮西岐里建國2路127號,1.0,128,斗南分局,
錦標公司,399,尚義村,大埤鄉尚義村尚義2號,1.0,100,斗南分局,
崇先中學,400,尚義村,大埤鄉尚義村尚義6號,1.0,669,斗南分局,
一般住宅,401,明昌里,斗南鎮明昌里明昌路245號,1.0,1521,斗南分局,
大樓,402,明昌里,斗南鎮明昌里延平路2段572之2號,1.0,900,斗南分局,
大銘電業公司,403,明昌里,斗南鎮明昌里興華街32號,1.0,160,斗南分局,
順安宮,404,明昌里,斗南鎮明昌路1號,1.0,1045,斗南分局,
內政部雲林教養院,405,東仁里,斗南鎮東仁里忠孝路157號,1.0,898,斗南分局,
內政部雲林教養院,406,東仁里,斗南鎮東仁里忠孝路157號,1.0,961,斗南分局,
內政部雲林教養院,407,東仁里,斗南鎮東仁里忠孝路157號,1.0,679,斗南分局,
醫院,408,東仁里,斗南鎮東仁里中山路12-14號,1.0,237,斗南分局,
東和國中,409,東和村,古坑鄉東和村文化路130號,1.0,653,斗南分局,
德泰水泥廠,410,東和村,古坑鄉東和村12鄰廣濟路120號,1.0,98,斗南分局,
一般住宅,411,林子里,斗南鎮林子里大同莊12號,1.0,480,斗南分局,
不公開,412,南和村,大埤鄉南和村1鄰民族路57號,1.0,170,斗南分局,
不公開,413,南和村,大埤鄉南和村中正路21號,1.0,59,斗南分局,
大樓,414,南昌里,斗南鎮南昌里25鄰民生路82號,1.0,3049,斗南分局,
一般住宅,415,南昌里,斗南鎮南昌里25鄰世榮街20號,1.0,573,斗南分局,
大樓,416,南昌里,斗南鎮南昌里順安街45號（南昌路162號）,1.0,105,斗南分局,
一般住宅,417,南昌里,斗南鎮南昌里五福2街25號之1、福興街1號,1.0,1395,斗南分局,
大樓,418,南昌里,斗南鎮南昌里民權路29-31號,1.0,298,斗南分局,
不公開,419,南昌里,斗南鎮南昌里22鄰南昌路145號,1.0,164,斗南分局,
不公開,420,南昌里,斗南鎮南昌里22鄰南昌路147號,1.0,595,斗南分局,
紅美人茶室,421,南昌里,斗南鎮南昌里24鄰民權路91號,1.0,148,斗南分局,
佳賓旅社,422,南昌里,斗南鎮南昌里新興街203號,1.0,512,斗南分局,
他里霧旅社,423,南昌里,斗南鎮南昌里23鄰順安街65號,1.0,200,斗南分局,
廣東香小吃部,424,南昌里,斗南鎮南昌里五福街17號,1.0,68,斗南分局,
不公開,425,南昌里,斗南鎮南昌里9鄰中山路77號,1.0,1616,斗南分局,
仁安堂葯局,426,南昌里,斗南鎮南昌里10鄰文元街43號,1.0,181,斗南分局,
世唯麵包,427,南昌里,斗南鎮南昌里中山路55號,1.0,12,斗南分局,
南美大旅社,428,南昌里,斗南鎮南昌里18鄰民權路26號,1.0,18,斗南分局,
清龍旅社,429,南昌里,斗南鎮南昌里20鄰民權路15號,1.0,10,斗南分局,
斗南第二市場,430,南昌里,斗南鎮南昌里光復街36號,1.0,5868,斗南分局,
吳外科,431,南昌路,斗南鎮南昌路124號,1.0,146,斗南分局,
公寓,432,草嶺村,古坑鄉草嶺村中坪路34號之7,1.0,225,斗南分局,
公寓,433,草嶺村,古坑鄉草嶺村7鄰草嶺34號之10,1.0,53,斗南分局,
公寓,434,草嶺村,古坑鄉草嶺村7鄰草嶺34號之9,1.0,97,斗南分局,
公寓,435,草嶺村,古坑鄉草嶺村草嶺34號之8,1.0,62,斗南分局,
公寓,436,朝陽村,古坑鄉朝陽村26鄰中山路282號,1.0,120,斗南分局,
古坑鄉公所,437,湳仔村,古坑鄉湳仔村湳仔18-30號,1.0,110,斗南分局,
不公開,438,湳仔村,古坑鄉湳仔村上湳路2號之1,1.0,53,斗南分局,
斗南鎮農會（小東加工廠）,439,新光里,斗南鎮新光里20鄰延平路1段412號,1.0,52,斗南分局,
