編號,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,村里別
1.0,臺中市東勢區北興里豐勢路518號,1,83.0,東勢分局,"120.827875 ","24.258497 ",北興里
2.0,臺中市石岡區九房里豐勢路1033號,1,1106.0,東勢分局,"120.780341 ","24.274773 ",九房里
3.0,臺中市東勢區東安里豐勢路456號,1,21.0,東勢分局,"120.828832 ","24.256207 ",東安里
4.0,臺中市東勢區新盛里新盛路342號,1,720.0,東勢分局,"120.831320 ","24.243382 ",新盛里
5.0,臺中市東勢區泰昌里東崎路五段415號,1,2567.0,東勢分局,"120.832336 ","24.250698 ",泰昌里
6.0,臺中市東勢區東新里東蘭路26號,1,284.0,東勢分局,"120.826894 ","24.262836 ",東新里
7.0,臺中市東勢區東新里東蘭路25之2號,1,357.0,東勢分局,"120.826792 ","24.262536 ",東新里
8.0,臺中市東勢區南平里東關路七段366號,1,1463.0,東勢分局,"120.826283 ","24.253827 ",南平里
9.0,臺中市新社區中和里中興街129號,1,599.0,東勢分局,"120.828446 ","24.156974 ",中和里
10.0,臺中市新社區新社里中和街四段226號,1,113.0,東勢分局,"120.807914 ","24.243921 ",新社里
11.0,臺中市新社區崑山里崑南街崑崙巷5之2號,1,563.0,東勢分局,"120.787633 ","24.241703 ",崑山里
12.0,臺中市新社區復盛里中和街三段國中巷10號,1,462.0,東勢分局,"120.807250 ","24.236675 ",復盛里
13.0,臺中市東勢區茂興里石城街182巷26號,1,774.0,東勢分局,"120.792418 ","24.285792 ",茂興里
14.0,臺中市東勢區茂興里東蘭路212之1號,1,234.0,東勢分局,"120.809208 ","24.300387 ",茂興里
15.0,臺中市新社區大南里興中街46號,1,206.0,東勢分局,"120.805235 ","24.228128 ",大南里
16.0,臺中市東勢區東關路六段1368號,1,50.0,東勢分局,"120.832924 ","24.246514 ",新盛里
17.0,臺中市新社區興中街46號1樓,1,195.0,東勢分局,"120.805235 ","24.228128 ",大南里
18.0,臺中市東勢區北興里豐勢路631號,1,133.0,東勢分局,"120.824544 ","24.261104 ",北興里
19.0,臺中市東勢區新盛里新盛街140號,1,651.0,東勢分局,"120.830083 ","24.247212 ",新盛里
20.0,臺中市東勢區新盛里東關路627號,1、2、3,782.0,東勢分局,"120.835806 ","24.233485 ",新盛里
21.0,臺中市東勢區東安里豐勢路411號,1、2、3,1771.0,東勢分局,"120.828664 ","24.256212 ",東安里
22.0,臺中市東勢區粵寧里東蘭路33號,1,300.0,東勢分局,"120.826193 ","24.263510 ",粵寧里
23.0,臺中市東勢區新盛里東關路六段687號,1,211.0,東勢分局,"120.835241 ","24.235347 ",新盛里
24.0,臺中市東勢區新盛里東關路六段1288號,1,133.0,東勢分局,"120.834473 ","24.240711 ",新盛里
25.0,臺中市東勢區東安里豐勢路449號,1,16.0,東勢分局,"120.828244 ","24.257026 ",東安里
26.0,臺中市東勢區延平里第一橫街130號,1,200.0,東勢分局,"120.828945 ","24.251809 ",延平里
27.0,臺中市東勢區泰昌里東崎街425號,1,42.0,東勢分局,"120.833794 ","24.250809 ",泰昌里
28.0,臺中市東勢區東安里第五橫街36號,1,31.0,東勢分局,"120.829247 ","24.257460 ",東安里
29.0,臺中市東勢區中寧里豐勢路459號,1,138.0,東勢分局,"120.828165 ","24.257358 ",中寧里
30.0,臺中市東勢區新盛里豐勢路2-1號,1,458.0,東勢分局,"120.832776 ","24.246838 ",新盛里
31.0,臺中市新社區中正里中和街五段72號,1,133.0,東勢分局,"120.808065 ","24.252248 ",中正里
32.0,臺中市新社區中正里中和街五段90號,1,104.0,東勢分局,"120.807157 ","24.254446 ",中正里
33.0,臺中市新社區中正里中和街五段169號,1,35.0,東勢分局,"120.807906 ","24.253868 ",中正里
34.0,臺中市新社區中正里中和街五段76-2號,1,470.0,東勢分局,"120.807355 ","24.252981 ",中正里
35.0,臺中市東勢區名流街25號,1,681.0,東勢分局,"120.833960 ","24.251540 ",泰昌里
36.0,臺中市東勢區第一橫街132號,1,375.0,東勢分局,"120.829100 ","24.251750 ",延平里
37.0,臺中市東勢區正五街12號,1,586.0,東勢分局,120.82568,24.25811,北興里
38.0,臺中市東勢區第二橫街7號,1,319.0,東勢分局,120.83014,24.25451,南平里
39.0,臺中市東勢區第四橫街1號,1,358.0,東勢分局,120.83047,24.25663,廣興里
40.0,臺中市東勢區豐勢路297號,2,3432.0,東勢分局,120.82914,24.25343,南平里
41.0,臺中市東勢區正五街17號,1,713.0,東勢分局,120.82486,24.25963,中寧里
42.0,臺中市石岡區豐勢路308號,1,447.0,東勢分局,120.80764,24.26612,土牛里
43.0,臺中市東勢區東環街123號,1,342.0,東勢分局,120.82971,24.26291,東新里
44.0,臺中市東勢區廣興里12鄰文新街1號,2,899.0,東勢分局,"120.829436 ","24.259282 ",廣興里
45.0,臺中市東勢區南平里東關路七段348號,1,235.0,東勢分局,"120.826630 ","24.252972 ",南平里
46.0,臺中市東勢區粵寧里新豐街32號,1,673.0,東勢分局,"120.824957 ","24.262816 ",粵寧里
