類別,電腦編號,里別,地址,地下樓層數,可容納人數,備註
宗葆電線電纜公司,OSA00062,中沙里,臺南市安定區中沙里4鄰沙崙27號,1.0,499人,"23.073084,120.210588"
大內區公所,OSA00064,大內里,臺南市大內區大內里1鄰內庄1號,1.0,95人,"23.11914,120.356707"
大內區圖書館,OSA00065,大內里,臺南市大內區大內里1鄰內庄1號之36,1.0,184人,"23.119147,120.358001"
大內區公有市場,OSA00066,大內里,臺南市大內區大內里1鄰內庄1號之65,1.0,2290人,"23.118704,120.358116"
納貝斯克公司,OSA00068,永就里,臺南市新市區永就里6鄰中山路182號,1.0,181人,"23.071802,120.295883"
臺南紡織公司,OSA00069,永就里,臺南市新市區永就里3鄰中華路111號,1.0,330人,"23.062533,120.295728"
百士達公司,OSA00070,永就里,臺南市新市區永就里6鄰中山路201號,1.0,224人,"23.06818,120.292266"
銘彰重機公司,OSA00071,永就里,臺南市新市區永就里6鄰中山路187號,1.0,421人,"23.069337,120.294118"
遠東科技大學,OSA00072,永就里,臺南市新市區永就里4鄰中華路49號,1.0,4800人,"23.064823,120.294736"
緯和公司,OSA00073,永就里,臺南市新市區永就里6鄰中山路209號,1.0,544人,"23.067786,120.291989"
高統企業公司,OSA00074,永就里,臺南市新市區永就里6鄰中山路181號,1.0,1029人,"23.069793,120.295366"
元益汽車公司,OSA00075,永就里,臺南市新市區永就里6鄰中山路209號,1.0,133人,"23.067786,120.291989"
康家木業公司,OSA00076,永就里,臺南市新市區永就里7鄰中山路271巷16號,1.0,1373人,"23.063942,120.285867"
順貴工業,OSA00077,港墘里,臺南市新市區港墘里5鄰國際路5號,1.0,352人,"23.078246,120.300616"
安培企業公司,OSA00078,港墘里,臺南市新市區港墘里5鄰興業路11號,1.0,544人,"23.080333,120.299431"
南元紡織公司,OSA00079,港墘里,臺南市新市區港墘里5鄰興業路2號,1.0,4202人,"23.079716,120.301747"
萊峰興業,OSA00080,港墘里,臺南市新市區港墘里國際路18之2號,1.0,165人,"23.079902,120.297227"
瑞洲興業,OSA00081,港墘里,臺南市新市區港墘里國際路18之3號,1.0,165人,"23.079921,120.297238"
凱翔紡布,OSA00082,港墘里,臺南市新市區港墘里國際路10之1號,1.0,240人,"23.078875,120.299679"
一成實業,OSA00083,港墘里,臺南市新市區港墘里國際路10之2號,1.0,250人,"23.078816,120.299679"
東鴻纖維,OSA00084,港墘里,臺南市新市區港墘里5鄰國際路11之1號,1.0,976人,"23.078499,120.298053"
嘉升實業,OSA00085,港墘里,臺南市新市區港墘里5鄰國際路8號,1.0,357人,"23.078775,120.300254"
嘉升實業,OSA00086,港墘里,臺南市新市區港墘里5鄰國際路6號,1.0,741人,"23.078536,120.300977"
嘉方實業,OSA00087,港墘里,臺南市新市區港墘里5鄰國際路8號,1.0,1061人,"23.078775,120.300254"
開南金屬工業,OSA00088,港墘里,臺南市新市區港墘里1鄰民族路43號,1.0,640人,"23.084344,120.303381"
享盛達科技公司,OSA00089,港墘里,臺南市新市區港墘里12鄰光華街37號,1.0,394人,"23.074263,120.296706"
正規電纜,OSA00090,港墘里,臺南市新市區港墘里5鄰國際路16號,1.0,1237人,"23.079229,120.299237"
三炎實業公司,OSA00091,港墘里,臺南市新市區港墘里5鄰永漢路1號,1.0,709人,"23.0776,120.299385"
順大電機,OSA00092,港墘里,臺南市新市區港墘里1鄰中山路2之1號,1.0,1232人,"23.086839,120.305266"
麗晶建設,OSA00093,港墘里,臺南市新市區港墘里15鄰南港街89號,1.0,400人,"23.074774,120.29778"
新市名人花園大廈,OSA00094,新和里,臺南市新市區新和里31鄰民生路45號,1.0,5978人,"23.0787,120.290423"
新市區公有零售市場,OSA00095,新市里,臺南市新市區新市里8鄰中正路358號,1.0,8576人,"23.079163,120.293387"
摩登都會大樓,OSA00097,新市里,臺南市新市區新市里18鄰復興路62巷9號,1.0,3912人,"23.081596,120.296646"
明大紡織公司,OSA00098,新和里,臺南市新市區新和里14鄰中正路95號,1.0,720人,"23.073768,120.291045"
順越工業公司,OSA00100,新和里,臺南市新市區新和里3鄰中正路23巷6號,1.0,485人,"23.069908,120.29094"
將延建設,OSA00101,新和里,臺南市新市區新和里13鄰中正路116巷2弄2號,1.0,14469人,"23.073194,120.291918"
南地院新市簡易庭,OSA00102,新和里,臺南市新市區新和里4鄰富強路12號,1.0,14146人,"23.072489,120.290553"
東弘金屬公司,OSA00103,三舍里,臺南市新市區三舍里5鄰三舍153號,1.0,405人,"23.094687,120.29391"
佳和紡織公司,OSA00104,三舍里,臺南市新市區三舍里5鄰三舍207號,1.0,3104人,"23.101009,120.293625"
得力紡織公司,OSA00105,三舍里,臺南市新市區三舍里5鄰三舍240號,1.0,362人,"23.104825,120.295693"
茂迪股份有限公司,OSA00106,三舍里,臺南市新市區三舍里8鄰大順九路3號,1.0,1450人,"23.107802,120.287153"
漢昌科技有限公司,OSA00107,豐華里,臺南市新市區豐華里5鄰南科六路2號,1.0,203人,"23.10603,120.280828"
大億科技股份公司,OSA00108,豐華里,臺南市新市區豐華里5鄰南科一路3號,1.0,6235人,"23.093138,120.28294"
遠東科技大學,OSA00109,永就里,臺南市新市區永就里4鄰中華路49號,1.0,1089人,"23.064823,120.294736"
遠東科技大學,OSA00110,永就里,臺南市新市區永就里4鄰中華路49號,1.0,2865人,"23.064823,120.294736"
聯華電子股份公司,OSA00111,社內里,臺南市新市區社內里8鄰社內76之11號,1.0,1351人,"23.077376,120.284907"
佳和公司大營廠,OSA00113,大營里,臺南市新市區大營里豐榮176之3號,1.0,1204人,"23.089496,120.305072"
東雲合成股份公司,OSA00114,大營里,臺南市新市區大營里17鄰大營329號,1.0,120人,"23.094563,120.305615"
東雲合成股份公司,OSA00115,大營里,臺南市新市區大營里17鄰大營329號,1.0,120人,"23.094563,120.305615"
好帝一食品公司,OSA00116,大營里,臺南市新市區大營里3鄰豐榮160號,1.0,756人,"23.086991,120.306506"
弘勝皮革廠,OSA00117,潭頂里,臺南市新市區潭頂里1鄰潭頂11號,1.0,144人,"23.074161,120.334307"
百輝企業公司,OSA00118,大社里,臺南市新市區大社里13鄰大社879號,1.0,140人,"23.08488,120.313447"
東和紡織印染公司,OSA00119,大營里,臺南市新市區大營里1鄰大營2號,1.0,128人,"23.102896,120.317327"
"冠華染織公司 ",OSA00120,大營里,臺南市新市區大營里13鄰大營128號,1.0,304人,"23.092613,120.309957"
統一企業公司,OSA00121,大營里,臺南市新市區大營里1鄰大營7號,1.0,2340人,"23.099371,120.31732"
東成地毯股份公司,OSA00122,大營里,臺南市新市區大營里1鄰大營1號,1.0,51人,"23.107301,120.317723"
木通紡織公司,OSA00123,潭頂里,臺南市新市區潭頂里1鄰潭頂12號,1.0,271人,"23.07374,120.332234"
英屬開曼群島商亞德克公司,OSA00124,豐華里,臺南市新市區豐華里5鄰看西路28號,1.0,25438人,"23.093133,120.256487"
民生金藏大樓,OSA00125,光文里,臺南市善化區光文里18鄰民生路130號,1.0,379人,"23.131466,120.302528"
南科名門,OSA00126,蓮潭里,臺南市善化區蓮潭里4鄰西拉雅大道412號,1.0,4925人,"23.108485,120.303331"
光鋐科技股份有限公司,OSA00127,豐華里,臺南市新市區豐華里5鄰看西路7號,1.0,7294人,"23.092739,120.262373"
板根建設開發股份有限公司,OSA00128,蓮潭里,臺南市善化區蓮潭里7鄰善新大道133號,1.0,1424人,"23.113109,120.31072"
新化高工,ORA00001,東榮里,臺南市新化區東榮里2鄰信義路54號,1.0,697人,"23.037983,120.319455"
新化高工,ORA00002,東榮里,臺南市新化區東榮里2鄰信義路54號,1.0,964人,"23.037983,120.319455"
新化高工,ORA00003,東榮里,臺南市新化區東榮里2鄰信義路54號,1.0,990人,"23.037983,120.319455"
楊善大樓,ORA00004,東榮里,臺南市新化區東榮里6鄰中興路517號,1.0,909人,"23.030445,120.31773"
惠利公司,ORA00005,東榮里,臺南市新化區東榮里6鄰中興路460號,1.0,314人,"23.03011,120.319593"
勤大五金公司,ORA00006,東榮里,臺南市新化區東榮里7鄰中興路593號,1.0,218人,"23.031609,120.315466"
巴黎花園,ORA00008,東榮里,臺南市新化區東榮里16鄰信義路169號,1.0,118人,"23.035259,120.309709"
大禾公司,ORA00009,東榮里,臺南市新化區東榮里13鄰復興路231號,1.0,446人,"23.033332,120.310865"
新化國中,ORA00011,東榮里,臺南市新化區東榮里8鄰中興路722號,1.0,202人,"23.033429,120.312361"
新化國中,ORA00012,東榮里,臺南市新化區東榮里8鄰中興路722號,1.0,1330人,"23.033429,120.312361"
新化國中,ORA00013,東榮里,臺南市新化區東榮里8鄰中興路722號,1.0,1141人,"23.033429,120.312361"
新化國中,ORA00014,東榮里,臺南市新化區東榮里8鄰中興路722號,1.0,1913人,"23.033429,120.312361"
新化高中,ORA00015,太平里,臺南市新化區太平里2鄰忠孝路2號,1.0,836人,"23.03927,120.310257"
新化高中,ORA00016,太平里,臺南市新化區太平里2鄰忠孝路2號,1.0,466人,"23.03927,120.310257"
新化高中,ORA00017,太平里,臺南市新化區太平里2鄰忠孝路2號,1.0,1500人,"23.03927,120.310257"
國泰公司,ORA00018,太平里,臺南市新化區太平里1鄰中正路506號,1.0,217人,"23.038761,120.307283"
桂盟公司,ORA00019,護國里,臺南市新化區護國里13鄰中山路41號,1.0,273人,"23.046329,120.317631"
宇瑩實業公司,ORA00020,護國里,臺南市新化區護國里10鄰中山路100號之2,1.0,882人,"23.042505,120.312855"
宏隆公司,ORA00021,護國里,臺南市新化區護國里13鄰中山路43號,1.0,162人,"23.045947,120.317312"
崑哲公司,ORA00022,護國里,臺南市新化區護國里13鄰中山路109號,1.0,1789人,"23.04297,120.314559"
新化圖書館,ORA00023,護國里,臺南市新化區護國里8鄰中山路132號,1.0,741人,"23.038088,120.310581"
新化國小,ORA00024,護國里,臺南市新化區護國里11鄰中山路173號,1.0,113人,"23.037658,120.310993"
新化國小,ORA00025,護國里,臺南市新化區護國里11鄰中山路173號,1.0,832人,"23.037658,120.310993"
啟聰學校,ORA00026,護國里,臺南市新化區護國里12鄰信義路52號,1.0,388人,"23.038547,120.318398"
啟聰學校,ORA00027,護國里,臺南市新化區護國里12鄰信義路52號,1.0,289人,"23.038547,120.318398"
新化稅捐,ORA00029,太平里,臺南市新化區太平里4鄰中正路588號,1.0,230人,"23.042545,120.305302"
新化稽徵所,ORA00030,太平里,臺南市新化區太平里4鄰中正路588號,1.0,290人,"23.042545,120.305302"
崑庭建設,ORA00031,太平里,臺南市新化區太平里4鄰中正路578號,1.0,446人,"23.041077,120.306177"
狀元弟大樓,ORA00032,太平里,臺南市新化區太平里4鄰中正路580巷2號,1.0,581人,"23.041184,120.30669"
