建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,備註,placemark_address
冠豪公司,下寮村,雲林縣元長鄉下寮村經建街8號,"23.60951, 120.33104",1.0,132.0,虎尾分局,448.0,,雲林縣元長鄉下寮村經建街8號
品寶公司,下寮村,雲林縣元長鄉下寮村興工街2號,"23.6141,  120.33211",1.0,373.0,虎尾分局,449.0,,雲林縣元長鄉下寮村興工街2號
侯秦公司,下寮村,雲林縣元長鄉下寮村經建街1號,"23.61099, 120.33223",1.0,100.0,虎尾分局,450.0,,雲林縣元長鄉下寮村經建街1號
台億公司,下寮村,雲林縣元長鄉下寮村經建街10號,"23.60951, 120.33104",1.0,97.0,虎尾分局,451.0,,雲林縣元長鄉下寮村經建街10號
素食園公司,下寮村,雲林縣元長鄉下寮村興工街1號,"23.61099, 120.33223",1.0,66.0,虎尾分局,452.0,,雲林縣元長鄉下寮村興工街1號
嘉楠食品公司,下寮村,雲林縣元長鄉下寮村興工街3號,"23.61382, 120.33271",1.0,68.0,虎尾分局,453.0,,雲林縣元長鄉下寮村興工街3號
,中山里,雲林縣虎尾鎮中山里中正路94號,"23.70877, 120.43454",1.0,23.0,虎尾分局,454.0,,雲林縣虎尾鎮中山里中正路94號
,中山里,雲林縣虎尾鎮中山里中正路100號,"23.70876, 120.43453",1.0,176.0,虎尾分局,455.0,,雲林縣虎尾鎮中山里中正路100號
,中山里,雲林縣虎尾鎮中山里仁愛路60號,"23.70837, 120.43477",1.0,22.0,虎尾分局,456.0,,雲林縣虎尾鎮中山里仁愛路60號
,中山里,雲林縣虎尾鎮中山里中正路106號,"23.70865, 120.43425",1.0,64.0,虎尾分局,457.0,,雲林縣虎尾鎮中山里中正路106號
,中山里,雲林縣虎尾鎮中山里中正路108號,"23.70862, 120.43425",1.0,68.0,虎尾分局,458.0,,雲林縣虎尾鎮中山里中正路108號
,中山里,雲林縣虎尾鎮中山里中正路110號,"23.70868, 120.43414",1.0,74.0,虎尾分局,459.0,,雲林縣虎尾鎮中山里中正路110號
,中山里,雲林縣虎尾鎮中山里中山路116號,"23.70852, 120.43415",1.0,18.0,虎尾分局,460.0,,雲林縣虎尾鎮中山里中山路116號
,中山里,雲林縣虎尾鎮中山里中正路121號,"23.70819, 120.43367",1.0,53.0,虎尾分局,461.0,,雲林縣虎尾鎮中山里中正路121號
,中山里,雲林縣虎尾鎮中山里中正路143號,"23.7079,  120.43316",1.0,18.0,虎尾分局,462.0,,雲林縣虎尾鎮中山里中正路143號
,中山里,雲林縣虎尾鎮中山里仁愛路1號,"23.70716, 120.43509",1.0,106.0,虎尾分局,463.0,,雲林縣虎尾鎮中山里仁愛路1號
,中山里,虎尾鎮中山里中正路140號,"23.70825, 120.43344",1.0,38.0,虎尾分局,464.0,,虎尾鎮中山里中正路140號
精工眼鏡,中山里,虎尾鎮中山里新興路59號,"23.709136749670908, 120.4346458846569",1.0,36.0,虎尾分局,465.0,,虎尾鎮中山里新興路59號
,中山里,虎尾鎮中山里中正路144號,"23.70825, 120.43344",1.0,127.0,虎尾分局,466.0,,虎尾鎮中山里中正路144號
,中山里,虎尾鎮中山里中正路146號,"23.70821, 120.43329",1.0,97.0,虎尾分局,467.0,,虎尾鎮中山里中正路146號
,中山里,虎尾鎮中山里公安路115號,"23.70873, 120.43319",1.0,92.0,虎尾分局,468.0,,虎尾鎮中山里公安路115號
,中山里,虎尾鎮中山里新生路157號,"23.70704, 120.43578",1.0,1411.0,虎尾分局,469.0,,虎尾鎮中山里新生路157號
