建築物名稱,電腦編號,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
"內政部國道公路警察局
第七公路警察大隊名間分隊",1.0,南投縣名間鄉萬丹村新丹巷268號,"23.875460436091046, 120.70600632089388",1.0,389.0,第七公路警察大隊,
"交通部高速公路局
中區養護工程分局",2.0,南投縣名間鄉萬丹村新丹巷272號,"23.875460436091046, 120.70600632089388",1.0,389.0,第七公路警察大隊,
