類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
一般住宅,COA00029,安西里,臺南市安南區安西里11鄰安和路一段317號,"23.032921,120.212248",B01,38.0,第三分局,
一般住宅,COA00030,溪北里,臺南市安南區溪北里4鄰敬安街9號,"23.027888,120.211563",B01,44.0,第三分局,
一般住宅,COA00031,新順里,臺南市安南區新順里10鄰政安路91號,"23.041135,120.219541",B01,44.0,第三分局,
一般住宅,COA00033,新順里,臺南市安南區新順里13鄰安通路二段8號,"23.044107,120.224323",B01,38.0,第三分局,
一般住宅,COA00034,新順里,臺南市安南區新順里13鄰開安路49號,"23.04671,120.222539",B01,38.0,第三分局,
一般住宅,COA00035,新順里,臺南市安南區新順里13鄰開安一街8巷15弄15號,"23.046122,120.224425",B01,38.0,第三分局,
一般住宅,COA00036,安東里,臺南市安南區安東里16鄰安和路一段478巷38弄2號,"23.034928,120.214688",B01,35.0,第三分局,
一般住宅,COA00037,安東里,臺南市安南區安東里8鄰安和路二段54巷20號,"23.037358,120.214782",B01,38.0,第三分局,
公有,COA00039,安慶里,臺南市安南區安慶里12鄰長溪路一段76號,"23.035378,120.211422",B01,555.0,第三分局,
公有,COA00040,安慶里,臺南市安南區安慶里12鄰長溪路一段76號,"23.035378,120.211422",B01,555.0,第三分局,
公有,COA00041,安慶里,臺南市安南區安慶里12鄰長溪路一段76號,"23.035378,120.211422",B01,555.0,第三分局,
一般住宅,COA00042,安慶里,臺南市安南區安慶里26鄰長溪路一段133號,"23.035851,120.210216",B01,35.0,第三分局,
一般住宅,COA00043,安慶里,臺南市安南區安慶里26鄰長溪路一段135號,"23.035902,120.210158",B01,38.0,第三分局,
一般住宅,COA00044,安慶里,臺南市安南區安慶里26鄰長溪路一段143號,"23.036037,120.210027",B01,38.0,第三分局,
一般住宅,COA00046,安慶里,臺南市安南區安慶里3鄰長溪路一段168巷115號,"23.038979,120.210137",B01,38.0,第三分局,
公有,COA00047,淵東里,臺南市安南區淵東里16鄰安中路三段252號,"23.048549,120.178054",B01,555.0,第三分局,
公有,COA00048,淵東里,臺南市安南區淵東里16鄰安中路三段252號,"23.048549,120.178054",B01,555.0,第三分局,
一般住宅,COA00050,淵東里,臺南市安南區淵東里16鄰安中路三段292號,"23.048855,120.176744",B01,38.0,第三分局,
一般住宅,COA00051,淵東里,臺南市安南區淵東里10鄰安中路三段362號,"23.049081,120.175652",B01,35.0,第三分局,
一般住宅,COA00052,淵東里,臺南市安南區淵東里10鄰安中路三段366號,"23.049104,120.175576",B01,35.0,第三分局,
一般住宅,COA00053,淵東里,臺南市安南區淵東里10鄰安中路三段368號,"23.049115,120.175529",B01,35.0,第三分局,
一般住宅,COA00054,淵東里,臺南市安南區淵東里10鄰安中路三段374號,"23.049147,120.175411",B01,50.0,第三分局,
一般住宅,COA00055,淵東里,臺南市安南區淵東里10鄰安中路三段376號,"23.049159,120.175371",B01,50.0,第三分局,
一般住宅,COA00056,淵東里,臺南市安南區淵東里10鄰安中路三段380號,"23.049177,120.175293",B01,50.0,第三分局,
一般住宅,COA00057,淵東里,臺南市安南區淵東里10鄰安中路三段382號,"23.049188,120.175248",B01,50.0,第三分局,
一般住宅,COA00058,淵東里,臺南市安南區淵東里10鄰安中路三段384號,"23.049195,120.175208",B01,50.0,第三分局,
一般住宅,COA00059,淵東里,臺南市安南區淵東里10鄰安中路三段386號,"23.049211,120.175171",B01,50.0,第三分局,
一般住宅,COA00060,淵東里,臺南市安南區淵東里10鄰安中路三段388號,"23.049219,120.17513",B01,50.0,第三分局,
一般住宅,COA00061,淵東里,臺南市安南區淵東里10鄰安中路三段388之1號,"23.049232,120.175088",B01,50.0,第三分局,
一般住宅,COA00062,淵東里,臺南市安南區淵東里10鄰安中路三段388號之2,"23.049242,120.17505",B01,50.0,第三分局,
一般住宅,COA00063,淵東里,臺南市安南區淵東里10鄰安中路三段388號之3,"23.049247,120.174985",B01,50.0,第三分局,
