電腦編號,防空避難設備名稱,轄區派出所,位置,容納人數
EVY10035,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段231巷28號,80
EVY10036,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段231巷30號,78
EVY10037,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段231巷31號,116
EVY10038,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段231巷27號,116
EVY10039,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段231巷29號,116
EVY10040,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段231巷25號,124
EVY10041,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段231巷22號,78
EVY10044,防空地下室,南崁派出所,桃園市蘆竹區南山路一段126巷13號,88
EVY10045,防空地下室,南崁派出所,桃園市蘆竹區南山路一段113號,265
EVY10048,防空地下室,南崁派出所,桃園市蘆竹區六福路165巷17號,1831
EVY10049,防空地下室,南崁派出所,桃園市蘆竹區六福路247巷6號,546
EVY10051,防空地下室,南崁派出所,桃園市蘆竹區五福一路195號,813
EVY10052,防空地下室,南崁派出所,桃園市蘆竹區中山路89號,813
EVY10056,防空地下室,南崁派出所,桃園市蘆竹區南山路一段55號,5732
EVY10060,防空地下室,南崁派出所,桃園市蘆竹區新南路一段362號,224
EVY10061,防空地下室,南崁派出所,桃園市蘆竹區新南路一段163號,1973
EVY10062,防空地下室,南崁派出所,桃園市蘆竹區新南路一段376號,3746
EVY10064,防空地下室,南崁派出所,桃園市蘆竹區新南路二段100號,534
EVY10065,防空地下室,南崁派出所,桃園市蘆竹區新南路二段144號,34
EVY10068,防空地下室,南崁派出所,桃園市蘆竹區新南路二段150號,34
EVY10077,防空地下室,南崁派出所,桃園市蘆竹區南華一街35號,777
EVY10080,防空地下室,南崁派出所,桃園市蘆竹區內新路53號,36
EVY10082,防空地下室,南崁派出所,桃園市蘆竹區長安路二段40號,533
EVY10086,防空地下室,南崁派出所,桃園市蘆竹區內溪路62號,128
EVY10087,防空地下室,南崁派出所,桃園市蘆竹區內溪路3號,58
EVY10088,防空地下室,南崁派出所,桃園市蘆竹區內新路61號,392
EVY10089,防空地下室,南崁派出所,桃園市蘆竹區南山路二段357巷34號,1132
EVY10092,防空地下室,南崁派出所,桃園市蘆竹區南山路二段90號,78
EVY10095,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段201巷9號,173
EVY10102,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段323號,3640
EVY10103,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段355號,1818
EVY10106,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段38號,388
EVY10107,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段42巷2號,129
EVY10114,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段3號,288
EVY10116,防空地下室,南崁派出所,桃園市蘆竹區仁愛路一段466號,161
EVY10118,防空地下室,南崁派出所,桃園市蘆竹區仁愛路一段494號之1,204
EVY10122,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段336號,3818
EVY10125,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段355號,1818
EVY10126,防空地下室,南崁派出所,桃園市蘆竹區興隆街29-5號,406
EVY10128,防空地下室,南崁派出所,桃園市蘆竹區興隆街40巷17號,34
EVY10129,防空地下室,南崁派出所,桃園市蘆竹區興隆街40巷17號,34
EVY10130,防空地下室,南崁派出所,桃園市蘆竹區興隆街40巷17號,34
EVY10131,防空地下室,南崁派出所,桃園市蘆竹區興隆街40巷19號,34
EVY10132,防空地下室,南崁派出所,桃園市蘆竹區興隆街40巷2號,41
EVY10134,防空地下室,南崁派出所,桃園市蘆竹區南山路二段261號,25
EVY10135,防空地下室,南崁派出所,桃園市蘆竹區南工路一段11號,693
EVY10139,防空地下室,南崁派出所,桃園市蘆竹區南工路一段14號,82
EVY10141,防空地下室,南崁派出所,桃園市蘆竹區南工路一段南工巷5號,53
EVY10142,防空地下室,南崁派出所,桃園市蘆竹區南工路一段南工巷7號,53
EVY10143,防空地下室,南崁派出所,桃園市蘆竹區南工路一段南工巷11號,68
EVY10145,防空地下室,南崁派出所,桃園市蘆竹區南工路一段8-2號,49
EVY10146,防空地下室,南崁派出所,桃園市蘆竹區南工路一段8-3號,49
EVY10150,防空地下室,南崁派出所,桃園市蘆竹區長安路二段39巷13號,45
EVY10153,防空地下室,南崁派出所,桃園市蘆竹區南山路二段205巷60號,49
EVY10154,防空地下室,南崁派出所,桃園市蘆竹區南山路二段205巷60號,329
EVY10156,防空地下室,南崁派出所,桃園市蘆竹區長安路二段39巷12號,26
EVY10157,防空地下室,南崁派出所,桃園市蘆竹區大豐街11巷2號,440
EVY10158,防空地下室,南崁派出所,桃園市蘆竹區長安路二段39巷4號,96
EVY10159,防空地下室,南崁派出所,桃園市蘆竹區大豐街43巷6號,58
EVY10162,防空地下室,南崁派出所,桃園市蘆竹區大豐街38號,102
EVY10163,防空地下室,南崁派出所,桃園市蘆竹區長興路三段247號,68
EVY10166,防空地下室,南崁派出所,桃園市蘆竹區大豐街12號,820
EVY10168,防空地下室,南崁派出所,桃園市蘆竹區長安路二段100號,130
EVY10169,防空地下室,南崁派出所,桃園市蘆竹區內溪路51號,86
EVY10170,防空地下室,南崁派出所,桃園市蘆竹區內溪路33號,34
EVY10172,防空地下室,南崁派出所,桃園市蘆竹區大豐街31巷10號,26
EVY10173,防空地下室,南崁派出所,桃園市蘆竹區內溪路49號,314
EVY10174,防空地下室,南崁派出所,桃園市蘆竹區長興路三段7號,212
EVY10175,防空地下室,南崁派出所,桃園市蘆竹區大豐街37號,118
EVY10176,防空地下室,南崁派出所,桃園市蘆竹區南山路二段205巷58號,156
EVY10179,防空地下室,南崁派出所,桃園市蘆竹區南山路二段394巷63-1號,136
EVY10180,防空地下室,南崁派出所,桃園市蘆竹區內溪路42號,68
EVY10181,防空地下室,南崁派出所,桃園市蘆竹區南山路二段100巷10號,160
EVY10185,防空地下室,南崁派出所,桃園市蘆竹區內溪路39巷44號,80
EVY10188,防空地下室,南崁派出所,桃園市蘆竹區內溪路48號,741
EVY10190,防空地下室,南崁派出所,桃園市蘆竹區內溪路52號,58
EVY10191,防空地下室,南崁派出所,桃園市蘆竹區內溪路39巷39號,54
EVY10193,防空地下室,南崁派出所,桃園市蘆竹區南崁路175巷9號,590
EVY10194,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段281號,113
EVY10195,防空地下室,南崁派出所,桃園市蘆竹區長興路三段219巷9號,110
EVY10196,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段336號,3818
EVY10197,防空地下室,南崁派出所,桃園市蘆竹區中山路20號,3762
EVY10198,防空地下室,南崁派出所,桃園市蘆竹區長春路84號,4838
EVY10199,防空地下室,南崁派出所,桃園市蘆竹區中正路131號,421
EVY10200,防空地下室,南崁派出所,桃園市蘆竹區六福路253號,6589
EVY10202,防空地下室,南崁派出所,桃園市蘆竹區南竹路一段63號,722
EVY10203,防空地下室,南崁派出所,桃園市蘆竹區五福六路40號,2260
EVY10204,防空地下室,南崁派出所,桃園市蘆竹區中山路73號,2392
EVY10205,防空地下室,南崁派出所,桃園市蘆竹區中山路45號,7858
EVY10206,防空地下室,南崁派出所,桃園市蘆竹區六福路22號,318
EVY10207,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段323號,3640
EVY10209,防空地下室,南崁派出所,桃園市蘆竹區南工路一段11號,693
EVY10210,防空地下室,南崁派出所,桃園市蘆竹區福祿一街31號,1043
EVY10211,防空地下室,南崁派出所,桃園市蘆竹區中山路115號,1402
EVY10212,防空地下室,南崁派出所,桃園市蘆竹區南山路三段17巷10號,4581
EVY10213,防空地下室,南崁派出所,桃園市蘆竹區吉林路101號,4141
EVY10214,防空地下室,南崁派出所,桃園市蘆竹區南山路二段5巷16號,85
EVY10215,防空地下室,南崁派出所,桃園市蘆竹區內厝街11-16號,933
EVY10216,防空地下室,南崁派出所,桃園市蘆竹區六福路191號,2310
EVY10217,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段402巷28號,40
EVY10218,防空地下室,南崁派出所,桃園市蘆竹區中山路8號,5252
EVY10219,防空地下室,南崁派出所,桃園市蘆竹區中山路167號,3062
EVY10220,防空地下室,南崁派出所,桃園市蘆竹區吉林路119號,4588
EVY10221,防空地下室,南崁派出所,桃園市蘆竹區新南路一段305巷5弄3號,896
EVY10222,防空地下室,南崁派出所,桃園市蘆竹區鎮江街38號,4538
EVY10223,防空地下室,南崁派出所,桃園市蘆竹區榮安路6號,2108
EVY10224,防空地下室,南崁派出所,桃園市蘆竹區新南路一段376號之3,2658
EVY10225,防空地下室,南崁派出所,桃園市蘆竹區新南路一段305巷10號,3292
EVY10226,防空地下室,南崁派出所,桃園市蘆竹區內溪路47號,2056
EVY10227,防空地下室,南崁派出所,桃園市蘆竹區南山路二段5巷12號,2522
EVY10228,防空地下室,南崁派出所,桃園市蘆竹區福祿一街189號,2178
EVY10230,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段112號,83674
EVY10231,防空地下室,南崁派出所,桃園市蘆竹區長興路三段45號,314
EVY10232,防空地下室,南崁派出所,桃園市蘆竹區中山路123-5號,1750
EVY10233,防空地下室,南崁派出所,桃園市蘆竹區福祿一街197號,4160
EVY10234,防空地下室,南崁派出所,桃園市蘆竹區南祥路111號,5970
EVY10235,防空地下室,南崁派出所,桃園市蘆竹區內溪路39巷13號,120
EVY10236,防空地下室,南崁派出所,桃園市蘆竹區內溪路39巷11號,228
EVY10237,防空地下室,南崁派出所,桃園市蘆竹區吉林路160號,570
EVY10238,防空地下室,南崁派出所,桃園市蘆竹區福祿一街34號,1684
EVY10239,防空地下室,南崁派出所,桃園市蘆竹區中山路108巷13號,2158
EVY10241,防空地下室,南崁派出所,桃園市蘆竹區福祿一街56號,1117
EVY10242,防空地下室,南崁派出所,桃園市蘆竹區南山路三段17巷1號,328
EVY10243,防空地下室,南崁派出所,桃園市蘆竹區長安路二段17號,572
EVY10244,防空地下室,南崁派出所,桃園市蘆竹區六福路148號,5372
EVY10245,防空地下室,南崁派出所,桃園市蘆竹區南山路三段17巷11號,2753
EVY10246,防空地下室,南崁派出所,桃園市蘆竹區光明路一段123號,3144
EVY10247,防空地下室,南崁派出所,桃園市蘆竹區中山路75號,698
EVY10248,防空地下室,南崁派出所,桃園市蘆竹區中山路125巷1號,2532
EVY10249,防空地下室,南崁派出所,桃園市蘆竹區仁愛路三段46號,5205
EVY10250,防空地下室,南崁派出所,桃園市蘆竹區南山路三段17巷11號,2753
EVY10251,防空地下室,南崁派出所,桃園市蘆竹區吉林路99號,4480
EVY10253,防空地下室,南崁派出所,桃園市蘆竹區南崁路175巷10號,2789
EVY10254,防空地下室,南崁派出所,桃園市蘆竹區中山路136號,1614
EVY10255,防空地下室,南崁派出所,桃園市蘆竹區長安路二段56號,262
EVY10256,防空地下室,南崁派出所,桃園市蘆竹區六福路276號,3484
EVY10257,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段57號,213
EVY10258,防空地下室,南崁派出所,桃園市蘆竹區新南路一段127號,4324
EVY10259,防空地下室,南崁派出所,桃園市蘆竹區中山路25號,4893
EVY10260,防空地下室,南崁派出所,桃園市蘆竹區六福路20號,58
EVY10261,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段77號,502
EVY10262,防空地下室,南崁派出所,桃園市蘆竹區五福一路90號,225
EVY10263,防空地下室,南崁派出所,桃園市蘆竹區光明路二段251號,360
EVY10264,防空地下室,南崁派出所,桃園市蘆竹區中山路羊稠巷1號,769
EVY10265,防空地下室,南崁派出所,桃園市蘆竹區吉林路160號,2634
EVY10266,防空地下室,南崁派出所,桃園市蘆竹區吉林路29號,1334
EVY10267,防空地下室,南崁派出所,桃園市蘆竹區南山路二段470巷26號,1165
EVY10268,防空地下室,南崁派出所,桃園市蘆竹區光明路一段123號,2052
EVY10269,防空地下室,南崁派出所,桃園市蘆竹區五福六路81號,2602
EVY10270,防空地下室,南崁派出所,桃園市蘆竹區中正路346號,421
EVY10272,防空地下室,南崁派出所,桃園市蘆竹區仁愛路二段7號,5701
EVY10273,防空地下室,南崁派出所,桃園市蘆竹區長壽二街1號,1377
EVY10274,防空地下室,南崁派出所,桃園市蘆竹區吉林路128號,2476
EVY10275,防空地下室,南崁派出所,桃園市蘆竹區五福路86號,3998
EVY10276,防空地下室,南崁派出所,桃園市蘆竹區五福一路175號,2154
EVY10277,防空地下室,南崁派出所,桃園市蘆竹區六福路217號,5752
EVY10278,防空地下室,南崁派出所,桃園市蘆竹區中正路287號,7617
EVY10279,防空地下室,南崁派出所,桃園市蘆竹區厚生路2號,5322
EVY10280,防空地下室,南崁派出所,桃園市蘆竹區南竹路一段158號,1229
EVY10281,防空地下室,南崁派出所,桃園市蘆竹區中山路125巷2號,5170
EVY10282,防空地下室,南崁派出所,桃園市蘆竹區南竹路一段65號,3246
EVY10283,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段336號,3818
EVY10284,防空地下室,南崁派出所,桃園市蘆竹區五福六路56巷27弄10號,1550
EVY10285,防空地下室,南崁派出所,桃園市蘆竹區福祿一街39號,3684
EVY10286,防空地下室,南崁派出所,桃園市蘆竹區福祿一街190號,3520
EVY10287,防空地下室,南崁派出所,桃園市蘆竹區吉林路28號,3946
EVY10288,防空地下室,南崁派出所,桃園市蘆竹區吉林路39號,4952
EVY10289,防空地下室,南崁派出所,桃園市蘆竹區仁愛路二段1號,1845
EVY10290,防空地下室,南崁派出所,桃園市蘆竹區長春路7巷17號,3266
EVY10291,防空地下室,南崁派出所,桃園市蘆竹區錦中街2號,1098
EVY10292,防空地下室,南崁派出所,桃園市蘆竹區吉林路71號,1146
EVY10293,防空地下室,南崁派出所,桃園市蘆竹區五福一路69號,2134
EVY10294,防空地下室,南崁派出所,桃園市蘆竹區吉林路132巷2號,4484
EVY10295,防空地下室,南崁派出所,桃園市蘆竹區六福一路1號,6529
EVY10296,防空地下室,南崁派出所,桃園市蘆竹區錦明街39號,2442
EVY10297,防空地下室,南崁派出所,桃園市蘆竹區光明路一段111號,4096
EVY10298,防空地下室,南崁派出所,桃園市蘆竹區光明路二段30號,4096
EVY10299,防空地下室,南崁派出所,桃園市蘆竹區中山路6號,4096
EVY10300,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段80號,7193
EVY10301,防空地下室,南崁派出所,桃園市蘆竹區福祿一街81號,6796
EVY10303,防空地下室,南崁派出所,桃園市蘆竹區五福一路13號,4086
EVY10304,防空地下室,南崁派出所,桃園市蘆竹區中正路29號,9970
EVY10305,防空地下室,南崁派出所,桃園市蘆竹區吉林路143號,2105
EVY10307,防空地下室,南崁派出所,桃園市蘆竹區新南路一段305巷10號,5698
EVY10308,防空地下室,南崁派出所,桃園市蘆竹區厚生路51號,5492
EVY10309,防空地下室,南崁派出所,桃園市蘆竹區長安路二段236號,2244
EVY10310,防空地下室,南崁派出所,桃園市蘆竹區南華一街168號,765
EVY10311,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段142巷35號,180
EVY10312,防空地下室,南崁派出所,桃園市蘆竹區中山路50號,19794
EVY10313,防空地下室,南崁派出所,桃園市蘆竹區南平街38-3號,473
EVY10314,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段286號,6271
EVY10315,防空地下室,南崁派出所,桃園市蘆竹區南山路二段303號,3757
EVY10316,防空地下室,南崁派出所,桃園市蘆竹區錦福路2號,80
EVY10317,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段108號,10044
EVY10318,防空地下室,南崁派出所,桃園市蘆竹區新南路一段305巷2弄8號,2472
EVY10319,防空地下室,南崁派出所,桃園市蘆竹區中山路72號,316
EVY10320,防空地下室,南崁派出所,桃園市蘆竹區南山路二段205巷22弄11號,404
EVY10321,防空地下室,南崁派出所,桃園市蘆竹區歐楓街51號,5432
EVY10322,防空地下室,南崁派出所,桃園市蘆竹區中山路22號,5520
EVY10323,防空地下室,南崁派出所,桃園市蘆竹區愛山街1號,3095
EVY10324,防空地下室,南崁派出所,桃園市蘆竹區六福路120號,7715
EVY10325,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段138號,5793
EVY10326,防空地下室,南崁派出所,桃園市蘆竹區長榮路55號,4703
EVY10327,防空地下室,南崁派出所,桃園市蘆竹區經國路900號,5022
EVY10328,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段28號,3995
EVY10329,防空地下室,南崁派出所,桃園市蘆竹區新南路一段376號,2937
EVY10330,防空地下室,南崁派出所,桃園市蘆竹區六福一路5號,1167
EVY10331,防空地下室,南崁派出所,桃園市蘆竹區長春路51號,73
EVY10332,防空地下室,南崁派出所,桃園市蘆竹區南山路一段125號,360
EVY10333,防空地下室,南崁派出所,桃園市蘆竹區南竹路一段100號,2621
EVY10334,防空地下室,南崁派出所,桃園市蘆竹區忠孝東路11-2號,3338
EVY10335,防空地下室,南崁派出所,桃園市蘆竹區南山路二段500號。,315
EVY10336,防空地下室,南崁派出所,桃園市蘆竹區南山路三段17巷4號,3956
EVY10337,防空地下室,南崁派出所,桃園市蘆竹區福祿一街76號,3170
EVY10338,防空地下室,南崁派出所,桃園市蘆竹區錦明街80號,2935
EVY10339,防空地下室,南崁派出所,桃園市蘆竹區五福一路202號,497
EVY10340,防空地下室,南崁派出所,桃園市蘆竹區長安路二段220號,806
EVY10341,防空地下室,南崁派出所,桃園市蘆竹區六福路95號,810
EVY10342,防空地下室,南崁派出所,桃園市蘆竹區中山路125巷21號,293
EVY10343,防空地下室,南崁派出所,桃園市蘆竹區長安路二段109號,10312
EVY10344,防空地下室,南崁派出所,桃園市蘆竹區長興路三段3號,6973
EVY10345,防空地下室,南崁派出所,桃園市蘆竹區六福路36號,8893
EVY10346,防空地下室,南崁派出所,桃園市蘆竹區長興路一段40號,3860
EVY10347,防空地下室,南崁派出所,桃園市蘆竹區南山路一段438號,555
EVY10348,防空地下室,南崁派出所,桃園市蘆竹區西溪路231巷28號,5634
EVY10349,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段297巷32號,608
EVY10350,防空地下室,南崁派出所,桃園市蘆竹區五福六路1號,1999
EVY10351,防空地下室,南崁派出所,桃園市蘆竹區南崁路二段402巷15號,400
EVY10352,防空地下室,南崁派出所,桃園市蘆竹區光明路二段56號,4014
EVY10353,防空地下室,南崁派出所,桃園市蘆竹區南崁路一段101號,6127
EVY10354,防空地下室,南崁派出所,桃園市蘆竹區長興路二段236號,487
EVY10355,防空地下室,南崁派出所,桃園市蘆竹區忠孝西路53號,5916
EVY10356,防空地下室,南崁派出所,桃園市蘆竹區錦溪路125號,1327
EVY10357,防空地下室,南崁派出所,桃園市蘆竹區中山北街101號,2697
EVY10358,防空地下室,南崁派出所,桃園市蘆竹區仁愛路一段49號,5245
EVY10359,防空地下室,南崁派出所,桃園市蘆竹區南工路一段8-8號,1051
EVY10360,防空地下室,南崁派出所,桃園市蘆竹區榮興路22巷30號,887
EVY10361,防空地下室,南崁派出所,桃園市蘆竹區內溪路7號,1623
EVW10005,防空地下室,大竹派出所,桃園市蘆竹區大竹路119巷6號,52
EVW10006,防空地下室,大竹派出所,桃園市蘆竹區大竹路111巷9號,34
EVW10007,防空地下室,大竹派出所,桃園市蘆竹區大竹路111巷7號,37
EVW10008,防空地下室,大竹派出所,桃園市蘆竹區大竹路119巷9號,34
EVW10009,防空地下室,大竹派出所,桃園市蘆竹區大竹路111巷5號,36
EVW10011,防空地下室,大竹派出所,桃園市蘆竹區大竹路234號,26
EVW10012,防空地下室,大竹派出所,桃園市蘆竹區大竹路261號,93
EVW10015,防空地下室,大竹派出所,桃園市蘆竹區大竹路263號,94
EVW10016,防空地下室,大竹派出所,桃園市蘆竹區大竹路258號,68
EVW10019,防空地下室,大竹派出所,桃園市蘆竹區大竹路483號,4593
EVW10020,防空地下室,大竹派出所,桃園市蘆竹區新興路123號,276
EVW10022,防空地下室,大竹派出所,桃園市蘆竹區大新路814巷91號,480
EVW10023,防空地下室,大竹派出所,桃園市蘆竹區大新路814巷91號,300
EVW10024,防空地下室,大竹派出所,桃園市蘆竹區大新路938巷110號,1118
EVW10025,防空地下室,大竹派出所,桃園市蘆竹區大新路814巷66號,53
EVW10026,防空地下室,大竹派出所,桃園市蘆竹區大新路812號,66
EVW10027,防空地下室,大竹派出所,桃園市蘆竹區大新三街71號,1025
EVW10033,防空地下室,大竹派出所,桃園市蘆竹區龍壽街一段206號,49
EVW10036,防空地下室,大竹派出所,桃園市蘆竹區龍壽街一段8號,72
EVW10050,防空地下室,大竹派出所,桃園市蘆竹區大竹路285號,41
EVW10053,防空地下室,大竹派出所,桃園市蘆竹區大新路938巷110號,1717
EVW10055,防空地下室,大竹派出所,桃園市蘆竹區開南路1號,6084
EVW10056,防空地下室,大竹派出所,桃園市蘆竹區愛國一路90號,1141
EVW10057,防空地下室,大竹派出所,桃園市蘆竹區新興街127號,116
EVW10059,防空地下室,大竹派出所,桃園市蘆竹區大新路938巷110號,941
EVW10060,防空地下室,大竹派出所,桃園市蘆竹區中興一街150號,777
EVW10062,防空地下室,大竹派出所,桃園市蘆竹區大新路814巷91號,3506
EVW10063,防空地下室,大竹派出所,桃園市蘆竹區上竹二街1號,2633
EVW10064,防空地下室,大竹派出所,桃園市蘆竹區大興路20巷21弄11號,172
EVW10065,防空地下室,大竹派出所,桃園市蘆竹區大興路20巷21弄9號,1498
EVW10066,防空地下室,大竹派出所,桃園市蘆竹區大竹路556號,796
EVW10067,防空地下室,大竹派出所,桃園市蘆竹區新福街28號,236
EVW10068,防空地下室,大竹派出所,桃園市蘆竹區開南路1號,3146
EVW10069,防空地下室,大竹派出所,桃園市蘆竹區開南路1號,1849
EVW10070,防空地下室,大竹派出所,桃園市蘆竹區文中路一段168號,980
EVW10071,防空地下室,大竹派出所,桃園市蘆竹區大竹路533號,238
EVW10072,防空地下室,大竹派出所,桃園市蘆竹區大竹路國中巷35號,1168
EVW10073,防空地下室,大竹派出所,桃園市蘆竹區上興路371號,2069
EVW10074,防空地下室,大竹派出所,桃園市蘆竹區興中街100巷1號,2965
EVW10075,防空地下室,大竹派出所,桃園市蘆竹區文中路一段35號,2424
EVW10076,防空地下室,大竹派出所,桃園市蘆竹區興中街51號,5312
EVW10077,防空地下室,大竹派出所,桃園市蘆竹區大華街98號,617
EVW10078,防空地下室,大竹派出所,桃園市蘆竹區文中路一段35號,2425
EVW10079,防空地下室,大竹派出所,桃園市蘆竹區大竹路288巷1號,1841
EVW10080,防空地下室,大竹派出所,桃園市蘆竹區上興路261號,5269
EVW10081,防空地下室,大竹派出所,桃園市蘆竹區開南路1號,3257
EVW10082,防空地下室,大竹派出所,桃園市蘆竹區新興街140號,771
EVW10083,防空地下室,大竹派出所,桃園市蘆竹區大興四街112號,5388
EVW10084,防空地下室,大竹派出所,桃園市蘆竹區中興五街41號,1834
EVW10085,防空地下室,大竹派出所,桃園市蘆竹區中興四街222號,3284
EVW10086,防空地下室,大竹派出所,桃園市蘆竹區大興十街105號,1733
EVW10087,防空地下室,大竹派出所,桃園市蘆竹區大福路155號,1350
EVW10088,防空地下室,大竹派出所,桃園市蘆竹區中興路553巷15-8號,1272
EVW10089,防空地下室,大竹派出所,桃園市蘆竹區大興十四街31號2樓,1676
EVW10090,防空地下室,大竹派出所,桃園市蘆竹區大興九街26號,670
EVW10091,防空地下室,大竹派出所,桃園市蘆竹區大新路197號,1784
EVW10092,防空地下室,大竹派出所,桃園市蘆竹區大福路121號,3271
EVW10093,防空地下室,大竹派出所,桃園市蘆竹區大新一街351號,2085
EVW10094,防空地下室,大竹派出所,桃園市蘆竹區上竹七街26號,775
EVW10095,防空地下室,大竹派出所,桃園市蘆竹區大興七街18巷6號,999
EVW10096,防空地下室,大竹派出所,桃園市蘆竹區大興路371號,4238
EVW10097,防空地下室,大竹派出所,桃園市蘆竹區大新三街202號,1400
EVW10098,防空地下室,大竹派出所,桃園市蘆竹區大新一街118巷9號,4576
EVW10099,防空地下室,大竹派出所,桃園市蘆竹區大新四街66號,1299
EVW10100,防空地下室,大竹派出所,桃園市蘆竹區龍安街二段806號,3745
EVW10101,防空地下室,大竹派出所,桃園市蘆竹區大同街30號,251
EVW10102,防空地下室,大竹派出所,桃園市蘆竹區大福路226號,2577
EVW10103,防空地下室,大竹派出所,桃園市蘆竹區大新路169號,3029
EVW10104,防空地下室,大竹派出所,桃園市蘆竹區上興路2-2號,781
EVW10105,防空地下室,大竹派出所,桃園市蘆竹區興中街156號,532
EVW10106,防空地下室,大竹派出所,桃園市蘆竹區大竹北路90-66號,3114
EVW10107,防空地下室,大竹派出所,桃園市蘆竹區新興街125巷1號,1796
EVW10108,防空地下室,大竹派出所,桃園市蘆竹區福林街33巷5號,2123
EVW10109,防空地下室,大竹派出所,桃園市蘆竹區國豐十街239巷20號,2061
EVW10110,防空地下室,大竹派出所,桃園市蘆竹區大新路812號,781
EVW10111,防空地下室,大竹派出所,桃園市蘆竹區文中路一段133號,4264
EVW10112,防空地下室,大竹派出所,桃園市蘆竹區大興十街9號,722
EVW10113,防空地下室,大竹派出所,桃園市蘆竹區興仁路330號,1710
EVW10114,防空地下室,大竹派出所,桃園市蘆竹區大興路271號,1653
EVW10115,防空地下室,大竹派出所,桃園市蘆竹區文新街7號,1370
EVZ10001,防空地下室,南竹派出所,桃園市蘆竹區南昌路266號,"260 "
EVZ10002,防空地下室,南竹派出所,桃園市蘆竹區南福街17號,"5244 "
EVZ10003,防空地下室,南竹派出所,桃園市蘆竹區南昌路278號,"292 "
EVZ10004,防空地下室,南竹派出所,桃園市蘆竹區南昌路270號,"3391 "
EVZ10005,防空地下室,南竹派出所,桃園市蘆竹區奉化路106號,"6635 "
