電腦編號,防空避難設備名稱,轄區派出所,位置,容納人數
EVY10001,防空地下室,南崁派出所,桃園市蘆竹區五福六路48號,2642
EVY10002,防空地下室,南崁派出所,桃園市蘆竹區長安路一段148號,2254
EVY10003,防空地下室,南崁派出所,桃園市蘆竹區福祿一街202號,1780
EVY10004,防空地下室,南崁派出所,桃園市蘆竹區南山路一段349巷9號,133
EVY10005,防空地下室,南崁派出所,桃園市蘆竹區南山路一段349巷21號,113
EVY10006,防空地下室,南崁派出所,桃園市蘆竹區南山路一段349巷3號,112
EVY10007,防空地下室,南崁派出所,桃園市蘆竹區五福路100號,244
EVY10008,防空地下室,南崁派出所,桃園市蘆竹區南山路一段179巷17號,128
EVY10013,防空地下室,南崁派出所,桃園市蘆竹區六福路93號,58
EVY10014,防空地下室,南崁派出所,桃園市蘆竹區中山路48巷27號,50
EVY10015,防空地下室,南崁派出所,桃園市蘆竹區南崁路150號,2024
EVY10017,防空地下室,南崁派出所,桃園市蘆竹區錦秀街4號,54
EVY10018,防空地下室,南崁派出所,桃園市蘆竹區錦秀街12號,186
EVY10019,防空地下室,南崁派出所,桃園市蘆竹區錦秀街14號,186
EVY10020,防空地下室,南崁派出所,桃園市蘆竹區錦秀街13巷1號,956
EVY10021,防空地下室,南崁派出所,桃園市蘆竹區錦華路43巷8號,110
EVY10022,防空地下室,南崁派出所,桃園市蘆竹區錦華路43巷6號,121
EVY10023,防空地下室,南崁派出所,桃園市蘆竹區錦華路43巷4號,121
EVY10024,防空地下室,南崁派出所,桃園市蘆竹區錦華路43巷2號,118
EVY10025,防空地下室,南崁派出所,桃園市蘆竹區錦秀街18號,556
EVY10026,防空地下室,南崁派出所,桃園市蘆竹區錦秀街16號,196
EVY10027,防空地下室,南崁派出所,桃園市蘆竹區新南路二段138號,61
EVY10028,防空地下室,南崁派出所,桃園市蘆竹區新南路二段140號,34
EVY10031,防空地下室,南崁派出所,桃園市蘆竹區興隆街40巷28號,137
EVY10032,防空地下室,南崁派出所,桃園市蘆竹區南工路一段12號,590
