行政區,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
文山區,WQA00343,景仁里,臺北市文山區景福街23號,"24.999095,121.538392",1,"161 ",文山第二分局,
文山區,WQA00346,景仁里,臺北市文山區景福街29號,"24.998902,121.537857",1,"168 ",文山第二分局,
文山區,WQA00358,景仁里,臺北市文山區景福街21巷5號,"24.998691,121.538844",1,"481 ",文山第二分局,
文山區,WQA00364,景仁里,臺北市文山區景福街3巷13號,"24.999029,121.53952",1,"181 ",文山第二分局,
文山區,WQA00365,景仁里,臺北市文山區景福街3巷17號,"24.998874,121.539593",1,"181 ",文山第二分局,
文山區,WQA00366,景仁里,臺北市文山區景福街3巷2號,"24.99913,121.539351",1,"260 ",文山第二分局,
文山區,WQA00367,景仁里,臺北市文山區景福街3巷21號,"24.998692,121.539661",1,"258 ",文山第二分局,
文山區,WQA00368,景仁里,臺北市文山區景福街3巷29號,"24.998365,121.539783",1,"102 ",文山第二分局,
文山區,WQA01077,景仁里,臺北市文山區羅斯福路六段36號,"24.999534,121.539739",1,"481 ",文山第二分局,
文山區,WQA01100,景仁里,臺北市文山區羅斯福路六段92巷2號,"24.998189,121.539908",1,"144 ",文山第二分局,
文山區,WQA01132,景仁里,臺北市文山區景福街33號,"24.998631,121.537676",1,"913 ",文山第二分局,
文山區,WQA01308,景仁里,臺北市文山區羅斯福路六段68號,"24.998638,121.540102",1,"669 ",文山第二分局,
文山區,WQA00320,景仁里,"臺北市文山區景福街113號 ","24.996981,121.536401",1,"184 ",文山第二分局,
文山區,WQA00484,景仁里,臺北市文山區溪口街48號,"24.995249,121.539429",1,"20 ",文山第二分局,
文山區,WQA00485,景仁里,臺北市文山區溪口街52號,"24.995269,121.539392",1,"66 ",文山第二分局,
文山區,WQA00487,景仁里,臺北市文山區溪口街64號,"24.995415,121.539106",1,"38 ",文山第二分局,
文山區,WQA00506,景仁里,臺北市文山區溪口街28巷2號,"24.99499,121.540171",1,"1236 ",文山第二分局,
文山區,WQA00507,景仁里,臺北市文山區溪口街36巷3號,"24.995431,121.539896",1,"56 ",文山第二分局,
文山區,WQA00508,景仁里,臺北市文山區溪口街36巷7號,"24.995536,121.539992",1,"149 ",文山第二分局,
文山區,WQA01083,景仁里,臺北市文山區羅斯福路六段142巷11號,"24.997277,121.53843",1,"2669 ",文山第二分局,
文山區,WQA01084,景仁里,臺北市文山區羅斯福路六段142巷13號,"24.997502,121.537553",1,"2358 ",文山第二分局,
文山區,WQA01085,景仁里,臺北市文山區羅斯福路六段142巷13號,"24.997502,121.537553",1,"2329 ",文山第二分局,
