類別,電腦編號,里別,地址,地下樓層數,可容納人數,備註
一般住宅,COA00001,梅花里,臺南市安南區梅花里18鄰同安路342號,1.0,74人,"23.042956,120.192736"
一般住宅,COA00002,梅花里,臺南市安南區梅花里18鄰同安路340號,1.0,74人,"23.042919,120.192725"
一般住宅,COA00003,梅花里,臺南市安南區梅花里18鄰同安路338號,1.0,53人,"23.042884,120.192708"
一般住宅,COA00004,梅花里,臺南市安南區梅花里18鄰同安路334號,1.0,53人,"23.042825,120.192655"
一般住宅,COA00005,梅花里,臺南市安南區梅花里18鄰同安路346號,1.0,128人,"23.043087,120.19284"
安慶國小,COA00006,梅花里,臺南市安南區梅花里17鄰安中路一段703巷80號,1.0,957人,"23.040147,120.19311"
一般住宅,COA00008,大安里,臺南市安南區大安里11鄰大安街252號,1.0,133人,"23.035261,120.194767"
唐皇大地社區,COA00009,理想里,臺南市安南區理想里19鄰大安街461巷37弄93號,1.0,667人,"23.037834,120.193155"
宮庭大內社區,COA00010,理想里,臺南市安南區理想里19鄰大安街461巷46號,1.0,667人,"23.038214,120.191865"
一般住宅,COA00011,理想里,臺南市安南區理想里20鄰同安路70號,1.0,40人,"23.039649,120.189327"
一般住宅,COA00012,原佃里,臺南市安南區原佃里1鄰怡安路二段468號,1.0,267人,"23.044559,120.197034"
一般住宅,COA00013,原佃里,臺南市安南區原佃里5鄰本原街一段191號,1.0,40人,"23.051186,120.197742"
果菜市場,COA00014,原佃里,臺南市安南區原佃里1鄰怡安路二段102號,1.0,667人,"23.045435,120.199555"
和順國宅,COA00015,梅花里,臺南市安南區梅花里12鄰安中路一段701巷45號,1.0,1333人,"23.041388,120.194872"
伯爵社區,COA00016,梅花里,臺南市安南區梅花里19鄰安中路一段705巷3弄1號,1.0,666人,"23.042831,120.194648"
泰利公司,COA00017,安東里,臺南市安南區安東里8鄰安和路二段54巷216號,1.0,1100人,"23.036217,120.216347"
東陽公司,COA00018,安東里,臺南市安南區安東里8鄰安和路二段98號,1.0,1067人,"23.038405,120.214766"
一般住宅,COA00020,新順里,臺南市安南區新順里14鄰安和路二段318巷125弄15號,1.0,43人,"23.043437,120.220279"
一般住宅,COA00021,溪北里,臺南市安南區溪北里4鄰敬安街15號,1.0,53人,"23.027331,120.211198"
一般住宅,COA00024,安東里,臺南市安南區安東里6鄰安和路一段288巷59號,1.0,43人,"23.032867,120.213999"
一般住宅,COA00025,新順里,臺南市安南區新順里13鄰永安路69號,1.0,43人,"23.044374,120.222273"
