電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
1.0,光明里,高雄市鹽埕區光明里3鄰第三船渠北岸,"22.619899, 120.280686",1.0,90.0,三號碼頭中隊,
2.0,麗興里,高雄市鼓山區麗興里4鄰蓬萊路1號,"22.617412, 120.280503",1.0,108.0,三號碼頭中隊,
3.0,麗興里,高雄市鼓山區麗興里004鄰蓬萊路8號,"22.616447, 120.284843",1.0,80.0,三號碼頭中隊,
4.0,麗興里,高雄市鼓山區麗興里004鄰蓬萊路24號,"22.619076, 120.278754",1.0,262.0,三號碼頭中隊,
5.0,麗興里,高雄市鼓山區麗興里4鄰蓬萊路30號,"22.619893, 120.279017",1.0,128.0,三號碼頭中隊,
6.0,踃船頭里,高雄市鼓山區哨船頭里15鄰蓮海路1-1號,"22.618239, 120.266411",1.0,49.0,三號碼頭中隊,
7.0,鎮北里,高雄市前鎮區鎮北里1鄰高雄港30號碼頭,"22.597381, 120.296409",1.0,322.0,中島中隊,
8.0,鎮北里,高雄市前鎮區鎮北里1鄰高雄港43號碼頭,"22.608566, 120.283101",1.0,253.0,中島中隊,
9.0,鎮北里,高雄市前鎮區鎮北里1鄰高雄港47號碼頭,"22.593993, 120.291481",1.0,64.0,中島中隊,
10.0,鎮北里,高雄市前鎮區鎮北里1鄰高雄港47號碼頭,"22.593993, 120.291501",1.0,25.0,中島中隊,
11.0,鎮北里,高雄市前鎮區鎮北里1鄰大華三路16-1號,"22.606176, 120.286227",1.0,134.0,中島中隊,
12.0,鎮北里,高雄市前鎮區鎮北里1鄰高雄港47號碼頭,"22.593379, 120.291930",1.0,178.0,中島中隊,
13.0,鎮北里,高雄市前鎮區鎮北里1鄰大華一路32-1號,"22.600738, 120.293126",1.0,123.0,中島中隊,
