類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
一般住宅,CNA00002,南門里,臺南市中西區南門里15鄰府前路一段287號,"22.989505,120.201815",B01,55.0,第二分局,
公有,CNA00003,南門里,臺南市中西區南門里16鄰南門路22號,"22.988109,120.204269",B01,33.0,第二分局,
公有,CNA00004,南門里,臺南市中西區南門里14鄰忠義路一段96號,"22.987891,120.202129",B01,1110.0,第二分局,
公有,CNA00005,南門里,臺南市中西區南門里16鄰南門路26之1號,"22.987023, 120.204218",B01,88.0,第二分局,
公有,CNA00006,南門里,臺南市中西區南門里16鄰府前路一段239號,"22.988661,120.202922",B01,1381.0,第二分局,
一般住宅,CNA00014,南門里,臺南市中西區南門里16鄰府前路一段267號,"22.989267,120.202391",B01,11.0,第二分局,
一般住宅,CNA00015,府前里,臺南市中西區府前里12鄰府前路二段169號,"22.989314,120.20233",B01,22.0,第二分局,
一般住宅,CNA00017,南門里,臺南市中西區南門里16鄰府前路一段217號,"22.989104,120.2037",B01,5.0,第二分局,
公有,CNA00019,南門里,臺南市中西區南門里11鄰忠義路一段87號,"22.987141,120.201641",B01,124.0,第二分局,
一般住宅,CNA00020,南門里,臺南市中西區南門里11鄰永福路一段74號,"22.987102,120.200271",B01,5.0,第二分局,
公有,CNA00022,南門里,臺南市中西區南門里15鄰府前路一段305號,"22.989049,120.201939",B01,221.0,第二分局,
一般住宅,CNA00025,南門里,臺南市中西區南門里11鄰忠義路一段107號,"22.987506,120.201758",B01,8.0,第二分局,
一般住宅,CNA00026,南門里,臺南市中西區南門里11鄰忠義路一段105號,"22.987476,120.201755",B01,8.0,第二分局,
一般住宅,CNA00027,南門里,臺南市中西區南門里11鄰忠義路一段99號,"22.987458,120.201525",B01,8.0,第二分局,
一般住宅,CNA00028,南門里,臺南市中西區南門里11鄰忠義路一段93號,"22.987361,120.201751",B01,8.0,第二分局,
一般住宅,CNA00029,南門里,臺南市中西區南門里11鄰忠義路一段91號,"22.987328,120.20175",B01,8.0,第二分局,
一般住宅,CNA00030,南門里,臺南市中西區南門里11鄰忠義路一段89號,"22.98729,120.201747",B01,8.0,第二分局,
公有,CNA00034,南門里,臺南市中西區南門里15鄰府前路一段305號,"22.989049,120.201939",B01,38.0,第二分局,
公有,CNA00035,南門里,臺南市中西區南門里15鄰府前路一段305號,"22.989049,120.201939",B01,150.0,第二分局,
一般住宅,CNA00036,南門里,臺南市中西區南門里15鄰忠義路一段123號,"22.988475,120.201792",B01,555.0,第二分局,
公有,CNA00037,南門里,臺南市中西區南門里15鄰府前路一段305號,"22.989049,120.201939",B01,244.0,第二分局,
一般住宅,CNA00038,小西門里,臺南市中西區小西門里19鄰西門路一段702巷10號,"22.989487,120.198044",B01,60.0,第二分局,
一般住宅,CNA00039,小西門里,臺南市中西區小西門里16鄰府前路一段371巷19弄5號,"22.989346,120.199077",B01,10.0,第二分局,
一般住宅,CNA00041,小西門里,臺南市中西區小西門里16鄰府前路一段371巷19弄3號,"22.989367,120.199026",B01,10.0,第二分局,
一般住宅,CNA00042,小西門里,臺南市中西區小西門里16鄰府前路一段371巷19弄5號,"22.989346,120.199077",B01,21.0,第二分局,
一般住宅,CNA00044,小西門里,臺南市中西區小西門里18鄰府前路一段387號,"22.989968,120.198688",B01,10.0,第二分局,
一般住宅,CNA00045,小西門里,臺南市中西區小西門里19鄰西門路一段678號,"22.989201,120.197723",B01,21.0,第二分局,
一般住宅,CNA00047,小西門里,臺南市中西區小西門里17鄰府前路一段371巷25號,"22.989165,120.198977",B01,27.0,第二分局,
一般住宅,CNA00048,小西門里,臺南市中西區小西門里18鄰府前路一段419號,"22.990116,120.198263",B01,83.0,第二分局,
