類別,電腦編號,村里別,地址,"地下樓 層數",可容納人數,派出所,備註,經度,緯度
新時代鋼架公司,DK01000007,東林里,新北市林口區東林里工二區工五路6號,1.0,103.0,林口派出所,,121.40213,25.077361
吉祥工業公司,DK01000012,東林里,新北市林口區東林里工二區工七路11號,1.0,373.0,林口派出所,,121.39922,25.079383
星菱縫機股份有限公司,DK01000017,東林里,新北市林口區東林里工二路10號,1.0,200.0,林口派出所,,121.40022,25.080834
大穩實業,DK01000028,東林里,新北市林口區東林里工二區工三路16號,1.0,288.0,林口派出所,,121.40212,25.082101
通德興業公司,DK01000030,東林里,新北市林口區東林里工二區工六路17號,1.0,126.0,林口派出所,,121.40021,25.077555
恆業事務用品公司,DK01000034,東林里,新北市林口區東林里工二區工四路3號,1.0,148.0,林口派出所,,121.40063,25.077816
雅科企業,DK01000036,東林里,新北市林口區東林里工二區工九路6號,1.0,141.0,林口派出所,,121.40167,25.075768
榮昱印製廠,DK01000042,東林里,新北市林口區東林里工二區工五路10號,1.0,280.0,林口派出所,,121.40266,25.077839
巨人洗衣,DK01000050,東林里,新北市林口區東林里工二區工九路9號,1.0,121.0,林口派出所,,121.40246,25.076052
國立臺灣師範大學僑生先修部,DK01000051,林口里,新北市林口區林口里仁愛路一段2號,1.0,3792.0,林口派出所,,121.39784,25.067902
台灣研準,DK01000054,東林里,新北市林口區東林里宏昌街81號,1.0,60.0,林口派出所,,121.40197,25.085233
西北食品工業,DK01000055,東林里,新北市林口區東林里粉寮路一段102號,1.0,178.0,林口派出所,,121.39996,25.081793
媽媽家食品企業,DK01000056,東林里,新北市林口區東林里工二區工九路13-1號,1.0,290.0,林口派出所,,121.4036,25.075794
光淙公司,DK01000064,東林里,新北市林口區東林里粉寮路一段104號,1.0,180.0,林口派出所,,121.40011,25.081926
上廣塑膠,DK01000066,東林里,新北市林口區東林里粉寮路一段90號,1.0,134.0,林口派出所,,121.39887,25.080502
乙丞工業,DK01000068,東林里,新北市林口區東林里工二區工三路12-1號,1.0,183.0,林口派出所,,121.40206,25.080932
志聖工業,DK01000069,東林里,新北市林口區東林里工二區工八路2-1號,1.0,301.0,林口派出所,,121.40253,25.078357
信密電機,DK01000071,東林里,新北市林口區東林里工二區工九路20號,1.0,168.0,林口派出所,,121.40354,25.075741
康儀科技,DK01000076,東林里,新北市林口區東林里粉寮路一段88號,1.0,451.0,林口派出所,,121.39848,25.080262
久尚實業,DK01000078,東林里,新北市林口區東林里粉寮路一段94號,1.0,237.0,林口派出所,,121.39932,25.080937
台灣柏恩氏電子,DK01000079,東林里,新北市林口區東林里工六路1號,1.0,381.0,林口派出所,,121.39873,25.078937
俞泰工業,DK01000083,東林里,新北市林口區東林里工二區工七路10號,1.0,311.0,林口派出所,,121.39961,25.079478
艾姆勒車電公司,DK01000084,東林里,新北市林口區東林里粉寮路二段16號,1.0,583.0,林口派出所,,121.40231,25.085712
商裕機械,DK01000085,東林里,新北市林口區東林里工二路1號,1.0,248.0,林口派出所,,121.40002,25.080646
鋁祥發實業,DK01000089,東林里,新北市林口區東林里工二區工九路26號,1.0,168.0,林口派出所,,121.40457,25.075567
群海技術開發公司,DK01000090,東林里,新北市林口區東林里粉寮路一段92號,1.0,375.0,林口派出所,,121.39927,25.08083
成台股份有限公司,DK01000091,東林里,新北市林口區東林里工二區工九路33號,1.0,286.0,林口派出所,,121.40663,25.076411
朝英公司,DK01000092,東林里,新北市林口區東林里工二區工三路1號,1.0,221.0,林口派出所,,121.4011,25.079981
鉅綸機械工業,DK01000093,東林里,新北市林口區東林里工二區工四路11號,1.0,155.0,林口派出所,,121.40132,25.078721
吳福洋針織公司,DK01000098,東林里,新北市林口區東林里工九路3號,1.0,296.0,林口派出所,,121.40141,25.075843
天義企業,DK01000100,東林里,新北市林口區東林里工五路8號,1.0,192.0,林口派出所,,121.4022,25.077681
勝機企業,DK01000101,東林里,新北市林口區東林里工二區工四路30號,1.0,73.0,林口派出所,,121.40328,25.081843
先鋒導電工業,DK01000102,東林里,新北市林口區東林里工二區工五路3號,1.0,87.0,林口派出所,,121.40156,25.076982
三森生技,DK01000103,東林里,新北市林口區東林里工二路17號,1.0,104.0,林口派出所,,121.40022,25.080834
飛斯妥股份有限公司,DK01000107,東林里,新北市林口區東林里工二區工八路9號,1.0,111.0,林口派出所,,121.40028,25.079635
三和企業,DK01000108,東林里,新北市林口區東林里工二區工八路12號,1.0,364.0,林口派出所,,121.40029,25.080247
崮達實業,DK01000109,東林里,新北市林口區東林里工二區工三路6號,1.0,105.0,林口派出所,,121.40165,25.080341
賀威實業,DK01000111,東林里,新北市林口區東林里工二區工三路5號,1.0,95.0,林口派出所,,121.40154,25.080451
琦利吸管公司,DK01000112,東林里,新北市林口區東林里工二區工二路15號,1.0,163.0,林口派出所,,121.40146,25.082027
博唯特科技,DK01000113,東林里,新北市林口區東林里工四路34號,1.0,48.0,林口派出所,,121.40246,25.083993
文權機械,DK01000115,東林里,新北市林口區東林里工二區工三路19號,1.0,85.0,林口派出所,,121.40195,25.082045
長宏實業,DK01000116,東林里,新北市林口區東林里工二區工四路24號,1.0,74.0,林口派出所,,121.40328,25.081135
威欣利實業,DK01000119,東林里,新北市林口區東林里工二區工四路26號,1.0,418.0,林口派出所,,121.40337,25.081464
頌欣機械,DK01000120,東林里,新北市林口區東林里工二區工二路13號,1.0,114.0,林口派出所,,121.40125,25.081812
統明工業,DK01000121,東林里,新北市林口區東林里工二區工四路10號,1.0,154.0,林口派出所,,121.40143,25.078112
巨人洗衣,DK01000122,東林里,新北市林口區東林里工二區工九路12號,1.0,96.0,林口派出所,,121.40242,25.075496
園芯貿易,DK01000123,東林里,新北市林口區東林里工九路18號,1.0,67.0,林口派出所,,121.40332,25.075484
蘆洲機械,DK01000124,東林里,新北市林口區東林里工九路7號,1.0,220.0,林口派出所,,121.40212,25.075694
同域企業,DK01000125,東林里,新北市林口區東林里工三路21號,1.0,63.0,林口派出所,,121.40196,25.082353
伸揚工業,DK01000126,東林里,新北市林口區東林里工四路42號,1.0,880.0,林口派出所,,121.40088,25.08396
日山精機廠,DK01000127,東林里,新北市林口區東林里工二區工八路2之2號,1.0,761.0,林口派出所,,121.40229,25.078445
威欣利實業,DK01000128,東林里,新北市林口區東林里粉寮路一段110號,1.0,548.0,林口派出所,,121.40055,25.082315
復興造漆,DK01000130,東林里,新北市林口區東林里工四路36號,1.0,101.0,林口派出所,,121.40246,25.083993
瑞龍橡膠工業,DK01000131,東林里,新北市林口區東林里工九路1-1號,1.0,46.0,林口派出所,,121.4012,25.075666
開泰塑膠,DK01000133,東林里,新北市林口區東林里工二區工四路12-1號,1.0,102.0,林口派出所,,121.40152,25.078277
洋鵬企業,DK01000134,東林里,新北市林口區東林里工五路11號,1.0,31.0,林口派出所,,121.4022,25.077681
力巨特殊金屬,DK01000135,東林里,新北市林口區東林里工二區工二路5號,1.0,17.0,林口派出所,,121.40048,25.081068
維洋科技,DK01000136,東林里,新北市林口區東林里工九路13號,1.0,94.0,林口派出所,,121.40327,25.0758
三水工業,DK01000137,東林里,新北市林口區東林里工二區工九路27號,1.0,177.0,林口派出所,,121.40563,25.075979
文權機械,DK01000138,東林里,新北市林口區東林里工二區工三路19號,1.0,256.0,林口派出所,,121.40195,25.082045
皇冠壁紙工業,DK01000141,東林里,新北市林口區東林里工四路39號,1.0,271.0,林口派出所,,121.40179,25.082996
台北芳鄰,DK01000142,菁湖里,新北市林口區菁湖里林口路113巷6弄1號,2.0,2144.0,林口派出所,,121.38861,25.080679
