電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
EVY10001,狀元台北社區,福祿里,25.054697,121.296994,B1,1376.0,蘆竹分局,
EVY10002,台灣水泥,內厝里,25.065377,121.288889,B1,1367.0,蘆竹分局,
EVY10003,洛督工程公司,中山里,25.057814,121.296099,B1,1484.0,蘆竹分局,
EVY10004,私人住宅,瓦窯里,25.05844,121.287972,B1,103.0,蘆竹分局,
EVY10005,私人住宅,瓦窯里,25.058374,121.287513,B1,149.0,蘆竹分局,
EVY10006,私人住宅,瓦窯里,25.058487,121.288191,B1,94.0,蘆竹分局,
EVY10007,五福雅居小品社區,瓦窯里,25.050319,121.2937,B1,372.0,蘆竹分局,
EVY10008,通勝電子公司,瓦窯里,25.056501,121.288828,B1,66.0,蘆竹分局,
EVY10013,象牙食品公司,瓦窯里,25.05823,121.29483,B1,49.0,蘆竹分局,
EVY10014,天鵝堡社區,羊稠里,25.054137,121.300117,B1,26.0,蘆竹分局,
EVY10015,蘆竹區公所,南崁里,25.058582,121.293299,B1,1054.0,蘆竹分局,
EVY10017,龍偉電子公司,錦興里,25.049178,121.286072,B1,28.0,蘆竹分局,
EVY10018,達鑫公司,錦興里,25.049469,121.28609,B1,97.0,蘆竹分局,
EVY10019,達鑫公司,錦興里,25.049545,121.286086,B1,97.0,蘆竹分局,
EVY10020,白鷺之鄉社區,錦興里,25.050208,121.285803,B1,497.0,蘆竹分局,
EVY10021,威震國際公司,錦興里,25.049167,121.285364,B1,57.0,蘆竹分局,
EVY10022,威震國際公司,錦興里,25.04923,121.285362,B1,63.0,蘆竹分局,
EVY10023,威震國際公司,錦興里,25.049285,121.285359,B1,63.0,蘆竹分局,
EVY10024,百富公司,錦興里,25.04934,121.285357,B1,62.0,蘆竹分局,
EVY10025,白鷺之鄉社區,錦興里,25.050111,121.286097,B1,290.0,蘆竹分局,
EVY10026,白鷺之鄉社區,錦興里,25.049621,121.28609,B1,102.0,蘆竹分局,
EVY10027,私人住宅,南崁里,25.033532,121.301552,B1,51.0,蘆竹分局,
EVY10028,私人住宅,南崁里,25.033484,121.301601,B1,28.0,蘆竹分局,
EVY10031,鴻雅泛醫公司,長興里,25.05824,121.280777,B1,114.0,蘆竹分局,
