編號,地址,可容納人數,經度,緯度,里別,避難所在之地下樓層數,轄管分局
1.0,臺中市神岡區神洲里12鄰大洲路36號,44.0,"120.698755 ","24.263048 ",神洲里,1,豐原分局
2.0,臺中市神岡區豐洲里6鄰豐洲路143號,22.0,"120.710703 ","24.258457 ",豐洲里,1,豐原分局
3.0,臺中市神岡區豐洲里6鄰豐洲路145號,22.0,"120.710663 ","24.258482 ",豐洲里,1,豐原分局
4.0,臺中市神岡區豐洲里6鄰豐洲路147號,22.0,"120.710624 ","24.258500 ",豐洲里,1,豐原分局
5.0,臺中市神岡區豐洲里4鄰豐洲路332巷16號,133.0,"120.707997 ","24.261160 ",豐洲里,1,豐原分局
6.0,臺中市神岡區豐洲里12鄰豐工路807號,595.0,"120.704550 ","24.278275 ",豐洲里,1,豐原分局
7.0,臺中市神岡區神洲里1鄰豐工中路88號,130.0,"120.699753 ","24.278509 ",神洲里,1,豐原分局
8.0,臺中市神岡區豐洲里27鄰豐原大道七段577號,507.0,"120.710364 ","24.261043 ",豐洲里,1,豐原分局
9.0,臺中市神岡區豐洲里15鄰豐洲路482號,880.0,120.703939,24.262172,豐洲里,1,豐原分局
10.0,臺中市神岡區豐洲里12鄰豐工中路11號,786.0,120.709047,24.278161,豐洲里,1,豐原分局
11.0,臺中市神岡區豐洲里12鄰豐工中路19號,1209.0,120.706832,24.277913,豐洲里,1,豐原分局
12.0,臺中市豐原區鎌村里6鄰鎌村路44號,55.0,"120.725119 ","24.233419 ",鎌村里,1,豐原分局
13.0,臺中市豐原區鎌村里7鄰鎌村路271巷55號,62.0,"120.724952 ","24.229405 ",鎌村里,1,豐原分局
14.0,臺中市豐原區三村里9鄰合作街160巷45號,106.0,"120.706048 ","24.241260 ",三村里,1,豐原分局
15.0,臺中市豐原區三村里15鄰合作街118巷7號,33.0,"120.707310 ","24.240041 ",三村里,1,豐原分局
16.0,臺中市豐原區三村里15鄰合作街118巷15號,55.0,"120.707333 ","24.240203 ",三村里,1,豐原分局
17.0,臺中市豐原區三村里25鄰西勢路217號,83.0,"120.706726 ","24.243417 ",三村里,1,豐原分局
18.0,臺中市豐原區田心里20鄰大明路9號,22.0,"120.710666 ","24.239578 ",田心里,1,豐原分局
19.0,臺中市豐原區田心里14鄰大明街12號,22.0,"120.710794 ","24.239729 ",田心里,1,豐原分局
20.0,臺中市豐原區田心里14鄰大明路51號,28.0,"120.709790 ","24.240127 ",田心里,1,豐原分局
21.0,臺中市豐原區田心里14鄰中山路165號,26.0,"120.711645 ","24.240138 ",田心里,1,豐原分局
22.0,臺中市豐原區田心里15鄰中山路125號,20.0,"120.710938 ","24.238928 ",田心里,1,豐原分局
23.0,臺中市豐原區田心里15鄰中山路137號,31.0,"120.711028 ","24.239156 ",田心里,1,豐原分局
24.0,臺中市豐原區田心里13鄰中山路220號,50.0,"120.712560 ","24.240891 ",田心里,1,豐原分局
25.0,臺中市豐原區田心里13鄰中山路220號之12,50.0,"120.712895 ","24.241389 ",田心里,1,豐原分局
26.0,臺中市豐原區田心里13鄰中山路220號之11,50.0,"120.712868 ","24.241347 ",田心里,1,豐原分局
27.0,臺中市豐原區田心里14鄰大光路5號,30.0,"120.711017 ","24.240252 ",田心里,1,豐原分局
28.0,臺中市豐原區田心里13鄰中山路206號,78.0,"120.712369 ","24.240586 ",田心里,1,豐原分局
29.0,臺中市豐原區田心里13鄰中山路196號,44.0,"120.712225 ","24.240392 ",田心里,1,豐原分局
30.0,臺中市豐原區田心里13鄰中山路252號,30.0,"120.713699 ","24.242861 ",田心里,1,豐原分局
