電腦編號,座落,緯度,經度,地下樓層數,可容納人數,管轄分局,placemark_address
TNA0005,宜蘭縣三星鄉大隱村大埔六路108巷16號,24.6734423,121.7135941,1.0,553.0,三星分局,宜蘭縣三星鄉大隱村大埔六路108巷16號
TNA0006,宜蘭縣三星鄉大隱村大埔中路260號,24.6675639,121.709634,1.0,187.0,三星分局,宜蘭縣三星鄉大隱村大埔中路260號
TNA0001,宜蘭縣三星鄉集慶村三星路四段143號,24.6678954,121.6600729,1.0,72.0,三星分局,宜蘭縣三星鄉集慶村三星路四段143號
TNA0002,宜蘭縣三星鄉義德村三星路5段192號,24.6659111,121.649426,1.0,86.0,三星分局,宜蘭縣三星鄉義德村三星路5段192號
TNA0003,宜蘭縣三星鄉義德村中山路二段41號,24.6684671,121.6523883,1.0,344.0,三星分局,宜蘭縣三星鄉義德村中山路二段41號
TNA0004,宜蘭縣三星鄉月眉村星中路225號,24.6699475,121.6614754,1.0,207.0,三星分局,宜蘭縣三星鄉月眉村星中路225號
TOA0001,宜蘭縣礁溪鄉大忠村礁溪路四段135號,24.8214103,121.7695196,1.0,341.0,礁溪分局,宜蘭縣礁溪鄉大忠村礁溪路四段135號
TOA0002,宜蘭縣礁溪鄉大忠村和平路47號,24.8227586,121.7683031,1.0,226.0,礁溪分局,宜蘭縣礁溪鄉大忠村和平路47號
TOA0004,宜蘭縣礁溪鄉德陽村溫泉路51-1號,24.828179,121.773906,1.0,158.0,礁溪分局,宜蘭縣礁溪鄉德陽村溫泉路51-1號
TOA0005,宜蘭縣礁溪鄉德陽村德陽路8巷1號,24.8283202,121.7723486,1.0,177.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路8巷1號
TOA0006,宜蘭縣礁溪鄉玉石村公園路1號,24.8295513,121.7764615,1.0,229.0,礁溪分局,宜蘭縣礁溪鄉玉石村公園路1號
TOA0007,宜蘭縣礁溪鄉德陽村德陽路231巷14弄28號,24.82509,121.76439,1.0,821.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路231巷14弄28號
TOA0008,宜蘭縣礁溪鄉德陽村德陽路247巷10號,24.826032,121.764331,1.0,517.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路247巷10號
TOA0009,宜蘭縣礁溪鄉德陽村德陽路66巷1號,24.8300001,121.770233,1.0,609.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路66巷1號
TOA0010,宜蘭縣礁溪鄉德陽村德陽路90巷12號,24.8291761,121.7689,1.0,226.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路90巷12號
TOA0011,宜蘭縣礁溪鄉大忠村礁溪路4段129號,24.8206314,121.7691124,1.0,469.0,礁溪分局,宜蘭縣礁溪鄉大忠村礁溪路4段129號
TOA0012,宜蘭縣礁溪鄉德陽村德陽路221號,24.826795,121.765076,1.0,252.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路221號
TOA0013,宜蘭縣礁溪鄉大忠村礁溪路4段108號,24.8202789,121.7694026,1.0,293.0,礁溪分局,宜蘭縣礁溪鄉大忠村礁溪路4段108號
TOA0015,宜蘭縣礁溪鄉玉石村忠孝路8號,24.8295364,121.7718989,1.0,454.0,礁溪分局,宜蘭縣礁溪鄉玉石村忠孝路8號
TOA0016,宜蘭縣礁溪鄉六結村中山路二段3號,24.8235251,121.7712478,1.0,612.0,礁溪分局,宜蘭縣礁溪鄉六結村中山路二段3號
TOA0017,宜蘭縣礁溪鄉德陽村溫泉路53號,24.8279498,121.7737093,2.0,615.0,礁溪分局,宜蘭縣礁溪鄉德陽村溫泉路53號
TOA0018,宜蘭縣礁溪鄉德陽村德陽路111巷16號,24.82845,121.76913,1.0,1333.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路111巷16號
TOA0020,宜蘭縣礁溪鄉大忠村化龍街22號,24.8228365,121.7671314,1.0,239.0,礁溪分局,宜蘭縣礁溪鄉大忠村化龍街22號
TOA0021,宜蘭縣礁溪鄉大忠村五峰路69號,24.8281759,121.7555617,2.0,334.0,礁溪分局,宜蘭縣礁溪鄉大忠村五峰路69號
TOA0022,宜蘭縣礁溪鄉大忠村和平路93號,24.823077,121.767035,1.0,382.0,礁溪分局,宜蘭縣礁溪鄉大忠村和平路93號
TOA0023,宜蘭縣礁溪鄉大忠村化龍街1號,24.8209259,121.7667129,1.0,614.0,礁溪分局,宜蘭縣礁溪鄉大忠村化龍街1號
TOA0024,宜蘭縣礁溪鄉大忠村大忠路125號,24.8211981,121.766194,1.0,376.0,礁溪分局,宜蘭縣礁溪鄉大忠村大忠路125號
TOA0025,宜蘭縣礁溪鄉大忠村和平路110號,24.8234005,121.7667162,1.0,891.0,礁溪分局,宜蘭縣礁溪鄉大忠村和平路110號
TOA0026,宜蘭縣礁溪鄉玉石村礁溪路5段121號,24.8293544,121.7765162,1.0,267.0,礁溪分局,宜蘭縣礁溪鄉玉石村礁溪路5段121號
TOA0027,宜蘭縣礁溪鄉玉石村公園路25號,24.8302212,121.7759213,1.0,158.0,礁溪分局,宜蘭縣礁溪鄉玉石村公園路25號
TOA0028,宜蘭縣礁溪鄉六結村中山路1段175之1號,24.8210374,121.7707213,1.0,486.0,礁溪分局,宜蘭縣礁溪鄉六結村中山路1段175之1號
TOA0029,宜蘭縣礁溪鄉六結村礁溪路4段130號,24.8216061,121.769908,1.0,337.0,礁溪分局,宜蘭縣礁溪鄉六結村礁溪路4段130號
TOA0030,宜蘭縣礁溪鄉德陽村礁溪路5段112號,24.8273933,121.7722638,4.0,1167.0,礁溪分局,宜蘭縣礁溪鄉德陽村礁溪路5段112號
TOA0031,宜蘭縣礁溪鄉德陽村礁溪路5段156號,24.8285331,121.7738388,1.0,603.0,礁溪分局,宜蘭縣礁溪鄉德陽村礁溪路5段156號
TOA0033,宜蘭縣礁溪鄉德陽村仁愛路26號,24.8283129,121.7705068,1.0,322.0,礁溪分局,宜蘭縣礁溪鄉德陽村仁愛路26號
TOA0034,宜蘭縣礁溪鄉德陽村礁溪路5段92號,24.826875,121.77188,1.0,431.0,礁溪分局,宜蘭縣礁溪鄉德陽村礁溪路5段92號
TOA0035,宜蘭縣礁溪鄉德陽村中山路2段187號,24.828246,121.775055,1.0,779.0,礁溪分局,宜蘭縣礁溪鄉德陽村中山路2段187號
TOA0036,宜蘭縣礁溪鄉德陽村德陽路43號,24.8282884,121.7719988,1.0,402.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路43號
TOA0037,宜蘭縣礁溪鄉德陽村德陽路65號,24.8286092,121.771498,1.0,164.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路65號
TOA0038,宜蘭縣礁溪鄉德陽村中山路2段159號,24.8273211,121.774083,1.0,304.0,礁溪分局,宜蘭縣礁溪鄉德陽村中山路2段159號
TOA0039,宜蘭縣礁溪鄉德陽村仁愛路64號,24.8269051,121.769653,2.0,480.0,礁溪分局,宜蘭縣礁溪鄉德陽村仁愛路64號
TOA0040,宜蘭縣礁溪鄉德陽村德陽路24巷8號,24.8287589,121.7724817,1.0,671.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路24巷8號
TOA0041,宜蘭縣礁溪鄉德陽村德陽路16號,24.8281997,121.772356,1.0,397.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路16號
TOA0042,宜蘭縣礁溪鄉大忠村和平路85號,24.8230156,121.7674741,1.0,322.0,礁溪分局,宜蘭縣礁溪鄉大忠村和平路85號
TOA0043,宜蘭縣礁溪鄉大忠村大忠路118號,24.8253401,121.7640055,1.0,936.0,礁溪分局,宜蘭縣礁溪鄉大忠村大忠路118號
TOA0044,宜蘭縣礁溪鄉大忠村大忠路142號,24.8258231,121.7636415,1.0,285.0,礁溪分局,宜蘭縣礁溪鄉大忠村大忠路142號
TOA0045,宜蘭縣礁溪鄉德陽村溫泉路37號,24.8277366,121.7741065,1.0,600.0,礁溪分局,宜蘭縣礁溪鄉德陽村溫泉路37號
TOA0046,宜蘭縣礁溪鄉德陽村仁愛路110號,24.8259396,121.7684077,1.0,381.0,礁溪分局,宜蘭縣礁溪鄉德陽村仁愛路110號
TOA0047,宜蘭縣礁溪鄉德陽村仁愛路156巷1號,24.825054,121.7673414,3.0,3118.0,礁溪分局,宜蘭縣礁溪鄉德陽村仁愛路156巷1號
TOA0048,宜蘭縣礁溪鄉德陽村德陽路176號,24.8289392,121.7686331,1.0,1329.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路176號
TOA0049,宜蘭縣礁溪鄉德陽村大忠路187號,24.8235177,121.7646226,1.0,298.0,礁溪分局,宜蘭縣礁溪鄉德陽村大忠路187號
TOA0050,宜蘭縣礁溪鄉德陽村德陽路200之1號,24.8272147,121.7650298,1.0,831.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路200之1號
