類別,電腦編號,地址,緯經度,地下樓層數,分配容量,轄管分局,備註,placemark_address
移民署,KMA00012,南投市崇文里文昌街87號,"23.907252, 120.686243",1,200.0,南投分局,,南投市崇文里文昌街87號
新安全機車行,KMA00044,南投市崇文里彰南路一段1137號,"23.907406, 120.686059",1,19.0,南投分局,,南投市崇文里彰南路一段1137號
一搬住宅,KMA00045,南投市崇文里民族路379-3號,"23.907637, 120.684350",1,27.0,南投分局,,南投市崇文里民族路379-3號
今日汽車商行,KMA00067,南投市平和里中興路438號,"23.910109, 120.693648",1,25.0,南投分局,,南投市平和里中興路438號
觀音寺,KMA00070,南投市東山里東山路13號,"23.924106, 120.716952",1,85.0,南投分局,,南投市東山里東山路13號
一般住宅,KMA00099,南投市三和里中山南街47號,"23.902176, 120.687647",1,23.0,南投分局,,南投市三和里中山南街47號
原翌營造中心,KMA00127,南投市彰仁里復興路207號,"23.907802, 120.687410",1,19.0,南投分局,,南投市彰仁里復興路207號
南投酒廠,KMA00131,南投市東山里東山路83號,"23.919783, 120.706674",1,239.0,南投分局,,南投市東山里東山路83號
一般住宅,KMA00171,南投市三民里彰南路二段140號,"23.911124, 120.683035",1,27.0,南投分局,,南投市三民里彰南路二段140號
南投救國團,KMA00230,南投市三和里中興路700號,"23.901654, 120.689034",1,369.0,南投分局,,南投市三和里中興路700號
南投文化中心,KMA00283,南投市三興里建國路201號,"23.911394, 120.681860",1,3711.0,南投分局,,南投市三興里建國路201號
南投醫院,KMA00285,南投市康壽里復興路478號,"23.914204, 120.685737",1,1484.0,南投分局,,南投市康壽里復興路478號
台灣銀行,KMA00286,南投市三和里復興路101號,"23.904837, 120.687921",1,1339.0,南投分局,,南投市三和里復興路101號
南投縣衛生局,KMA00310,南投市三和里三和一街11號,"23.903308, 120.688541",1,100.0,南投分局,,南投市三和里三和一街11號
一般住宅,KMA00324,南投市三和里中山南街17號,"23.901495, 120.687693",1,39.0,南投分局,,南投市三和里中山南街17號
中華電信,KMA00328,南投市三民里中山一街3號,"23.910473, 120.684749",1,438.0,南投分局,,南投市三民里中山一街3號
一般住宅,KMA00329,南投市三興里建國路88號,"23.906407, 120.683740",1,54.0,南投分局,,南投市三興里建國路88號
南投郵局,KMA00358,南投市三和里三合二街30號,"23.904535, 120.688839",1,893.0,南投分局,,南投市三和里三合二街30號
一般住宅,KMA00359,南投市康壽里中山街214號,"23.910369, 120.685397",1,67.0,南投分局,,南投市康壽里中山街214號
華南銀行,KMA00364,南投市彰仁里復興路236號,"23.908673, 120.686838",1,480.0,南投分局,,南投市彰仁里復興路236號
一般住宅,KMA00376,南投市南投里彰南路二段9號,"23.908374, 120.684897",1,292.0,南投分局,,南投市南投里彰南路二段9號
一般住宅,KMA00390,南投市崇文里文昌街93號,"23.907069, 120.685810",1,27.0,南投分局,,南投市崇文里文昌街93號
TS髮型沙龍,KMA00413,南投市南投里民族路274號,"23.909030, 120.687314",1,87.0,南投分局,,南投市南投里民族路274號
百事特童裝,KMA00414,南投市南投里民族路276號,"23.909055, 120.686781",1,234.0,南投分局,,南投市南投里民族路276號
南投國小,KMA00503,南投市崇文里彰南路二段1059號,"23.923732, 120.676438",1,134.0,南投分局,,南投市崇文里彰南路二段1059號
宏光隱形眼鏡,KMA00509,南投市三和里彰南路一段966號,"23.903782, 120.686670",1,210.0,南投分局,,南投市三和里彰南路一段966號
簡姓宗親會,KMA00521,南投市平和里中興路510號,"23.908785, 120.691922",1,212.0,南投分局,,南投市平和里中興路510號
金山建設公司,KMA00563,南投市嘉和里彰南路一段674巷29號,"23.897557, 120.686463",1,739.0,南投分局,,南投市嘉和里彰南路一段674巷29號
一般住宅,KMA00565,南投市平和里信義街169號,"23.914185, 120.690029",1,167.0,南投分局,,南投市平和里信義街169號
上毅建設,KMA00571,南投市平和里信義街1號,"23.909761, 120.693084",1,2771.0,南投分局,,南投市平和里信義街1號
南投地方法院,KMA00575,南投市三和里中興路759號,"23.901060, 120.688935",1,2480.0,南投分局,,南投市三和里中興路759號
尚品鑑社,KMA00582,南投市平和里信義街250號,"23.915980, 120.689650",1,1005.0,南投分局,,南投市平和里信義街250號
錦繡觀邸,KMA00583,南投市嘉和里忠孝八街12號,"23.896724, 120.690155",1,1371.0,南投分局,,南投市嘉和里忠孝八街12號
中友建設,KMA00590,南投市軍功里東山路443巷2號,"23.915661, 120.698860",1,3932.0,南投分局,,南投市軍功里東山路443巷2號
通力國寶,KMA00593,南投市平和里中興路466號,"23.909222, 120.692527",1,10044.0,南投分局,,南投市平和里中興路466號
通力建設,KMA00595,南投市南投里彰南路二段16號,"23.908678, 120.685078",1,227.0,南投分局,,南投市南投里彰南路二段16號
美滿天廈,KMA00596,南投市康壽里南陽路343號,"23.913121, 120.684542",1,3750.0,南投分局,,南投市康壽里南陽路343號
南崗國中,KMA00598,南投市嘉和里大庄路94號,"23.895955, 120.682995",1,273.0,南投分局,,南投市嘉和里大庄路94號
南基醫院,KMA00601,南投市嘉和里中興路870號,"23.899140, 120.683986",2,982.0,南投分局,,南投市嘉和里中興路870號
南投縣消防局,KMA00602,南投市三興里民族路494號,"23.906972, 120.680328",1,1104.0,南投分局,,南投市三興里民族路494號
遠東商業銀行,KMA00603,南投市三和里三和二路11號,"23.904458, 120.690498",1,788.0,南投分局,,南投市三和里三和二路11號
富貴花園別墅,KMA00604,南投市三興里文化路17巷1號,"23.904494, 120.680363",1,4129.0,南投分局,,南投市三興里文化路17巷1號
南投縣政府稅務局,KMA00607,南投市三和里復興路2號,"23.901955, 120.688734",1,2582.0,南投分局,,南投市三和里復興路2號
霖谷建設,KMA00614,南投市崇文里中山街38號,"23.906450, 120.686654",1,382.0,南投分局,,南投市崇文里中山街38號
南投市農會,KMA00615,南投市崇文里文昌街45號,"23.907463, 120.688214",2,1067.0,南投分局,,南投市崇文里文昌街45號
台灣中小企銀行,KMA00616,南投市崇文里復興路139號,"23.906108, 120.6874331",1,237.0,南投分局,,南投市崇文里復興路139號
南投高商,KMA00618,南投市三興里彰南路一段963號,"23.903370, 120.686236",1,677.0,南投分局,,南投市三興里彰南路一段963號
霖谷建設,KMA00619,南投市三興里建國路97號,"23.906622, 120.682892",1,1380.0,南投分局,,南投市三興里建國路97號
一般住宅,KMA00625,南投市三和里公園南街97號,"23.903815, 120.690719",1,871.0,南投分局,,南投市三和里公園南街97號
中友建設,KMA00628,南投市軍功里東山路443巷27號,"23.915680, 120.698903",1,3432.0,南投分局,,南投市軍功里東山路443巷27號
康壽國小,KMA00637,南投市康壽里南陽路26-9號,"23.908262, 120.690094",1,1532.0,南投分局,,南投市康壽里南陽路26-9號
名人世家,KMA00639,南投市三興里建國路18號,"23.905029, 120.683839",1,1490.0,南投分局,,南投市三興里建國路18號
南投市公所,KMA00640,南投市龍泉里玉井街5號,"23.911751, 120.687576",1,2349.0,南投分局,,南投市龍泉里玉井街5號
南投國宅管委會,KMA00644,南投市嘉和里樂利路201號,"23.892523, 120.672449",1,2545.0,南投分局,,南投市嘉和里樂利路201號
交通部電信總局,KMA00645,南投市平和里民族路160號,"23.910069, 120.690249",2,1907.0,南投分局,,南投市平和里民族路160號
南投高中,KMA00630,南投市三興里建國路137號,"23.909740, 120.682186",1,676.0,南投分局,,南投市三興里建國路137號
一般住宅,KMA00633,南投市三和里大同南街9號,"23.903315, 120.689554",1,22.0,南投分局,,南投市三和里大同南街9號
一般住宅,KMA00636,南投市三興里南崗一路72號,"23.901843, 120.683974",1,40.0,南投分局,,南投市三興里南崗一路72號
台灣電力公司,KMA00635,南投市三興里民族路436號,"23.907555, 120.682810",1,45.0,南投分局,,南投市三興里民族路436號
南投縣立圖書館,KMA00674,南投市三和里中興路669號,"23.903286, 120.691672",1,2328.0,南投分局,,南投市三和里中興路669號
彰化客運,KMA00675,南投市三和里三和三路21號,"23.906111, 120.689454",1,13802.0,南投分局,,南投市三和里三和三路21號
台灣自來水公司,KMA00676,南投市彰南路一段550號,"23.894890, 120.688491",1,266.0,南投分局,,南投市彰南路一段550號
南投縣家畜防治所,KMA00677,南投市三興里民族路499號,"23.906816, 120.681191",1,860.0,南投分局,,南投市三興里民族路499號
國泰人壽保險,KMA00678,南投市三和里三和二路13號,"23.904433, 120.690409",1,357.0,南投分局,,南投市三和里三和二路13號
南投縣政府稅務局,KMA00679,南投市三和里中興路660號,"23.902776, 120.690399",1,16437.0,南投分局,,南投市三和里中興路660號
南投縣地政事務所,KMA00680,南投市三和里三和二路60號,"23.904284, 120.687847",1,944.0,南投分局,,南投市三和里三和二路60號
千秋國小,KMA00681,南投市千秋里千秋路13巷1號,"23.891683, 120.719550",1,377.0,南投分局,,南投市千秋里千秋路13巷1號
公園大廈,KMA00682,南投市平和里南陽路142號,"23.911399, 120.689231",1,1100.0,南投分局,,南投市平和里南陽路142號
仁和活動中心,KMA00683,南投市仁和里民生街33之3號,"23.910345, 120.686253",1,302.0,南投分局,,南投市仁和里民生街33之3號
集合住宅,KMA00684,南投市平和里南陽路150巷1號,"23.911872, 120.688795",1,457.0,南投分局,,南投市平和里南陽路150巷1號
行政院水土保護局,KMA00685,南投市康壽里復興路350號,"23.911698, 120.685493",1,1948.0,南投分局,,南投市康壽里復興路350號
集合住宅,KMA00686,南投市嘉和里樂利路197巷2號,"23.892388, 120.668980",1,1330.0,南投分局,,南投市嘉和里樂利路197巷2號
台灣電力公司,KMA00687,南投市三和里中興路671號,"23.901942, 120.690441",1,1749.0,南投分局,,南投市三和里中興路671號
偉達補習班,KMA00688,南投市康壽里玉井街48號,"23.911824, 120.686729",1,200.0,南投分局,,南投市康壽里玉井街48號
西嶺國小,KMA00689,南投市鳳鳴里八卦路894號,"23.925431, 120.638392",1,255.0,南投分局,,南投市鳳鳴里八卦路894號
鳳鳴國中,KMA00693,南投市鳳鳴里八卦路896號,"23.925424, 120.640006",1,350.0,南投分局,,南投市鳳鳴里八卦路896號
文山國小,KMA00690,南投市鳳鳴里八卦路349號,"23.907325, 120.637999",1,345.0,南投分局,,南投市鳳鳴里八卦路349號
一般住宅,KMA00014,南投市漳和里彰南路二段279號,"23.913444, 120.681760",1,23.0,南投分局,,南投市漳和里彰南路二段279號
一般住宅,KMA00015,南投市漳和里彰南路二段342號,"23.914961, 120.680940",1,53.0,南投分局,,南投市漳和里彰南路二段342號
一般住宅,KMA00016,南投市漳和里彰南路二段344號,"23.915072, 120.680273",1,88.0,南投分局,,南投市漳和里彰南路二段344號
南崗服務中心,KMA00055,南投市新興里南崗三路21號,"23.927025, 120.669144",1,256.0,南投分局,,南投市新興里南崗三路21號
耀達汽車,KMA00063,南投市平山里自強一路4號,"23.924013, 120.673775",1,101.0,南投分局,,南投市平山里自強一路4號
俊侑股份有限公司,KMA00090,南投市平山里南崗三路11號,"23.924959, 120.670517",1,253.0,南投分局,,南投市平山里南崗三路11號
南興水泥製品廠,KMA00100,南投市平山里南崗三路19號,"23.926998, 120.670551",1,43.0,南投分局,,南投市平山里南崗三路19號
鎂上鎂科技股份有限公司,KMA00101,南投市永豐里南崗三路256號,"23.933608, 120.666321",1,157.0,南投分局,,南投市永豐里南崗三路256號
南崗家具,KMA00107,南投市平山里南崗三路28號,"23.926533, 120.670243",1,112.0,南投分局,,南投市平山里南崗三路28號
輝達公司,KMA00108,南投市平山里南崗三路23號,"23.927767, 120.669289",1,433.0,南投分局,,南投市平山里南崗三路23號
名辰公司,KMA00109,南投市平山里南崗三路39號,"23.929814, 120.668390",1,115.0,南投分局,,南投市平山里南崗三路39號
裕民汽車,KMA00111,南投市永豐里南崗三路276號,"23.936290, 120.665487",1,229.0,南投分局,,南投市永豐里南崗三路276號
竹洲工業股份有限公司,KMA00121,南投市福興里南崗三路99號,"23.941305, 120.664226",1,168.0,南投分局,,南投市福興里南崗三路99號
全興化工股份有限公司,KMA00141,南投市南崗工業區仁和路25號,"23.921820, 120.676761",1,80.0,南投分局,,南投市南崗工業區仁和路25號
新能電氣股份有限公司,KMA00145,南投市永豐里中華路305號,"23.934985, 120.667286",1,133.0,南投分局,,南投市永豐里中華路305號
南崗汙水處理廠,KMA00152,南投市永豐里彰南路三段840號,"23.942160, 120.667681",1,100.0,南投分局,,南投市永豐里彰南路三段840號
元大鋼鐵股份有限公司,KMA00157,南投市福興里南崗三路290號,"23.940401, 120.665740",1,327.0,南投分局,,南投市福興里南崗三路290號
圖騰包裝股份有限公司,KMA00163,南投市福興里永興路16號,"23.935822, 120.661017",1,268.0,南投分局,,南投市福興里永興路16號
員鑫有限公司,KMA00174,南投市平山里仁和路28號,"23.922666, 120.667602",1,32.0,南投分局,,南投市平山里仁和路28號
南投市農會,KMA00175,南投市平山里彰南路三段541-6號,"23.934960, 120.670539",1,95.0,南投分局,,南投市平山里彰南路三段541-6號
臺锻公司,KMA00178,南投市永豐里自立一路8號,"23.936304, 120.667929",1,439.0,南投分局,,南投市永豐里自立一路8號
南陽實業股份有限公司,KMA00185,南投市福興里南崗三路298號,"23.942929, 120.664427",1,188.0,南投分局,,南投市福興里南崗三路298號
