類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,WRA00361,木柵里,臺北市文山區秀明路一段110號,"24.99107,121.567543",2,275.0,文山第一分局,
一般住宅,WRA00363,木柵里,臺北市文山區秀明路一段68號,"24.990006,121.565728",2,546.0,文山第一分局,
一般住宅,WRA00366,木柵里,臺北市文山區秀明路一段103巷9弄3號,"24.991228,121.565668",1,261.0,文山第一分局,
一般住宅,WRA01069,木柵里,臺北市文山區秀明路一段79巷5弄19號,"24.990714,121.565029",1,165.0,文山第一分局,
一般住宅,WRA01243,木柵里,臺北市文山區秀明路一段126號,"24.991123,121.56779",2,886.0,文山第一分局,
一般住宅,WRA01265,木柵里,臺北市文山區秀明路一段199號,"24.99184,121.56953",2,565.0,文山第一分局,
一般住宅,WRA01266,木柵里,臺北市文山區秀明路一段138號,"24.991337,121.568323",1,207.0,文山第一分局,
一般住宅,WRA01285,木柵里,臺北市文山區秀明路一段31號,"24.98974,121.564432",3,359.0,文山第一分局,
一般住宅,WRA01287,木柵里,臺北市文山區秀明路一段197號,"24.991834,121.569325",3,196.0,文山第一分局,
一般住宅,WRA01103,木柵里,臺北市文山區久康街8號,"24.988792,121.564735",2,295.0,文山第一分局,
一般住宅,WRA01129,木柵里,臺北市文山區木柵路三段53號,"24.988659,121.566314",2,768.0,文山第一分局,
一般住宅,WRA01132,木柵里,臺北市文山區木柵路三段77號,"24.988758,121.56717",2,946.0,文山第一分局,
一般住宅,WRA01144,木柵里,臺北市文山區木柵路三段85巷26號,"24.990369,121.567448",1,264.0,文山第一分局,
一般住宅,WRA01181,木柵里,臺北市文山區木柵路三段85巷10號,"24.989591,121.567544",1,287.0,文山第一分局,
一般住宅,WRA01199,木柵里,臺北市文山區木柵路三段59號,"24.988676,121.566576",2,971.0,文山第一分局,
一般住宅,WRA01208,木柵里,臺北市文山區木柵路三段25巷5號,"24.988802,121.565122",1,138.0,文山第一分局,
一般住宅,WRA01273,木柵里,臺北市文山區久康街24巷8號,"24.989077,121.565527",4,1450.0,文山第一分局,
一般住宅,WRA01276,木柵里,臺北市文山區木柵路三段85巷16號,"24.989906,121.56755",1,158.0,文山第一分局,
一般住宅,WRA01289,木柵里,臺北市文山區久康街26號,"24.989334,121.565501",1,17.0,文山第一分局,
一般住宅,WRA01387,木柵里,臺北市文山區久康街24巷36號,"24.989229,121.566323",1,870.0,文山第一分局,
一般住宅,WRA00499,木柵里,臺北市文山區保儀路12號,"24.988536,121.568498",3,650.0,文山第一分局,
一般住宅,WRA01125,木柵里,臺北市文山區木柵路三段92-96號,"24.988558,121.56711",4,654.0,文山第一分局,
一般住宅,WRA01127,木柵里,臺北市文山區木柵路三段42號,"24.988263,121.565073",1,2220.0,文山第一分局,
一般住宅,WRA01140,木柵里,臺北市文山區木柵路三段48巷1弄1號,"24.987739,121.565465",2,5121.0,文山第一分局,
一般住宅,WRA01352,木柵里,臺北市文山區保儀路58號,"24.987629,121.568445",1,1286.0,文山第一分局,
一般住宅,WRA01339,木柵里,臺北市文山區興隆路四段109巷125號,"24.987148,121.565123",1,1777.0,文山第一分局,
一般住宅,WRA01104,木柵里,臺北市文山區久康街88號,"24.990147,121.567072",1,1050.0,文山第一分局,
一般住宅,WRA01105,木柵里,臺北市文山區久康街89號,"24.98939,121.565252",2,359.0,文山第一分局,
一般住宅,WRA01234,木柵里,臺北市文山區久康街50號,"24.989498,121.56577",3,756.0,文山第一分局,
一般住宅,WRA01247,木柵里,臺北市文山區久康街24巷7號,"24.989352,121.565956",1,234.0,文山第一分局,
一般住宅,WRA01261,木柵里,臺北市文山區久康街24巷9號,"24.989404,121.566203",1,212.0,文山第一分局,
一般住宅,WRA01085,木柵里,臺北市文山區久康街165號,"24.990752,121.568276",1,123.0,文山第一分局,
一般住宅,WRA01195,木柵里,臺北市文山區木柵路三段127號,"24.989094,121.56852",1,813.0,文山第一分局,
