編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,緯經度,備註,placemark_address
1.0,大有里,鹿港鎮大有里公園一路52號,公園華廈,地下室,1.0,2744.0,293.0,24.054029667895396，120.43169530513194,,鹿港鎮大有里公園一路52號
2.0,大有里,鹿港鎮大有里公園一路2號,鹿港鎮公有立體停車場,地下室,1.0,1489.0,320.0,24.053091944373193，120.43298341210345,,鹿港鎮大有里公園一路2號
3.0,大有里,鹿港鎮大有里大明路72號,大圓圈服飾店,地下室,1.0,448.0,83.0,24.054467581636935，120.43239962777054,,鹿港鎮大有里大明路72號
4.0,中興里,鹿港鎮中興里民族路120號,亞洲生活廣場,地下室,1.0,2470.0,272.0,24.055368151701302，120.43529804655952,,鹿港鎮中興里民族路120號
5.0,洛津里,鹿港鎮洛津里公園一路83號,鹿港鎮立圖書館,地下室,1.0,328.0,188.0,24.05481395412536，120.43148335176613,,鹿港鎮洛津里公園一路83號
6.0,洛津里,鹿港鎮洛津里公園三路51號,洛津國小,地下室,1.0,204.0,217.0,24.054590928053777，120.43100066949198,,鹿港鎮洛津里公園三路51號
7.0,洛津里,鹿港鎮洛津里公園三路51號,洛津國小,地下室,1.0,353.0,264.0,24.054590928053777，120.43100066949198,,鹿港鎮洛津里公園三路51號
8.0,洛津里,鹿港鎮洛津里公園三路51號,洛津國小,地下室,1.0,319.0,265.0,24.054590928053777，120.43100066949198,,鹿港鎮洛津里公園三路51號
9.0,順興里,鹿港鎮順興里復興路485號,彰化區漁會,地下室,1.0,784.0,269.0,24.05881211710018，120.4343819523592,,鹿港鎮順興里復興路485號
10.0,順興里,鹿港鎮順興里中山路296號,彰化縣消防局第三大隊,地下室,1.0,242.0,224.0,24.05688397836662，120.43337865882235,,鹿港鎮順興里中山路296號
11.0,頂厝里,鹿港鎮頂厝里舊港巷143號,錦富機械,地下室,1.0,400.0,48.0,24.0680116068261，120.44445244558992,,鹿港鎮頂厝里舊港巷143號
12.0,頂厝里,鹿港鎮頂厝里鹿和路1段411號,和豐碾米工廠,地下室,1.0,38.0,212.0,24.06399456609882，120.4468053634113,,鹿港鎮頂厝里鹿和路1段411號
13.0,埔崙里,鹿港鎮埔崙里中正路480號,鹿基醫院,地下室,1.0,593.0,277.0,24.060299055618867，120.4383939640265,,鹿港鎮埔崙里中正路480號
14.0,埔崙里,鹿港鎮埔崙里中正路480號,鹿基醫院,地下室,1.0,2307.0,323.0,24.060299055618867，120.4383939640265,,鹿港鎮埔崙里中正路480號
15.0,埔崙里,鹿港鎮埔崙里中正路445號,彰濱花園公寓大廈,地下室,1.0,1554.0,255.0,24.06020303546929，120.43802927016726,,鹿港鎮埔崙里中正路445號
16.0,新宮里,鹿港鎮新宮里中山路475號,天后宮香客大樓,地下室,1.0,2425.0,281.0,24.059898036734285，120.4300567045341,,鹿港鎮新宮里中山路475號
17.0,新宮里,鹿港鎮新宮里文開路60號,文開國小,地下室,1.0,200.0,55.0,24.05656130180305，120.430089940717,,鹿港鎮新宮里文開路60號
18.0,新宮里,鹿港鎮新宮里文開路60號,文開國小,地下室,1.0,120.0,111.0,24.05656130180305，120.430089940717,,鹿港鎮新宮里文開路60號
19.0,新宮里,鹿港鎮新宮里文開路60號,文開國小,地下室,1.0,100.0,157.0,24.05656130180305，120.430089940717,,鹿港鎮新宮里文開路60號
20.0,新宮里,鹿港鎮新宮里文開路60號,文開國小,地下室,1.0,117.0,187.0,24.05656130180305，120.430089940717,,鹿港鎮新宮里文開路60號
21.0,新宮里,鹿港鎮新宮里文開路60號,文開國小,地下室,1.0,705.0,229.0,24.05656130180305，120.430089940717,,鹿港鎮新宮里文開路60號
22.0,新宮里,鹿港鎮新宮里文開路60號,文開國小,地下室,1.0,769.0,268.0,24.05656130180305，120.430089940717,,鹿港鎮新宮里文開路60號
23.0,新宮里,鹿港鎮新宮里文開路60號,文開國小,地下室,1.0,721.0,303.0,24.05656130180305，120.430089940717,,鹿港鎮新宮里文開路60號
24.0,玉順里,鹿港鎮玉順里復興路602-3號,民宅,地下室,1.0,154.0,221.0,24.06008296789757，120.43183732224772,,鹿港鎮玉順里復興路602-3號
25.0,頂厝里,鹿港鎮頂厝里平和路20號,臺灣菸酒公司,地下室,1.0,246.0,173.0,24.05544375115928，120.44714932844924,,鹿港鎮頂厝里平和路20號
26.0,頂厝里,鹿港鎮頂厝里民有街40號,陽德工業,地下室,1.0,77.0,165.0,24.06467313789243，120.44451932845615,,鹿港鎮頂厝里民有街40號
27.0,埔崙里,鹿港鎮埔崙里永祥街5號,川白建設,地下室,1.0,1642.0,270.0,24.065622525529445，120.43172061126671,,鹿港鎮埔崙里永祥街5號
28.0,埔崙里,鹿港鎮埔崙里明德街1號,元泉建設,地下室,1.0,404.0,279.0,24.065251301020414，120.43423066955707,,鹿港鎮埔崙里明德街1號
29.0,埔崙里,鹿港鎮海浴路466號,加全工業社,地下室,1.0,266.0,209.0,24.0710094637866，120.42888664623929,,鹿港鎮海浴路466號
30.0,埔崙里,鹿港鎮海浴路466號,加全工業社,地下室,1.0,267.0,236.0,24.0710094637866，120.42888664623929,,鹿港鎮海浴路466號
31.0,永安里,鹿港鎮永安里光明街110號,園邸園公寓大樓,地下室,1.0,1711.0,276.0,24.05648252642312，120.4409899990044,,鹿港鎮永安里光明街110號
32.0,埔崙里,鹿港鎮埔崙里立德街1-1號,貝斯特幼兒園,地下室,1.0,151.0,284.0,24.05442620054855，120.43955335178082,,鹿港鎮埔崙里立德街1-1號
33.0,東石里,鹿港鎮東石里中山路661號,鹿港高中,地下室,1.0,160.0,52.0,24.060981211910416，120.42384927270197,,鹿港鎮東石里中山路661號
34.0,東石里,鹿港鎮東石里中山路661號,鹿港高中,地下室,1.0,189.0,101.0,24.060981211910416，120.42384927270197,,鹿港鎮東石里中山路661號
35.0,東石里,鹿港鎮東石里中山路661號,鹿港高中,地下室,1.0,222.0,140.0,24.060981211910416，120.42384927270197,,鹿港鎮東石里中山路661號
36.0,東石里,鹿港鎮東石里中山路661號,鹿港高中,地下室,1.0,169.0,162.0,24.060981211910416，120.42384927270197,,鹿港鎮東石里中山路661號
37.0,東石里,鹿港鎮東石里中山路661號,鹿港高中,地下室,1.0,169.0,163.0,24.060981211910416，120.42384927270197,,鹿港鎮東石里中山路661號
38.0,東石里,鹿港鎮東石里中山路661號,鹿港高中,地下室,1.0,816.0,228.0,24.060981211910416，120.42384927270197,,鹿港鎮東石里中山路661號
39.0,東石里,鹿港鎮東石里鹿工路11號,臺灣玻璃,地下室,1.0,244.0,312.0,24.077368388144414，120.40383756362816,,鹿港鎮東石里鹿工路11號
40.0,東石里,鹿港鎮東石里鹿工路11號,臺灣玻璃,地下室,1.0,3311.0,317.0,24.07713816039473，120.40393422751694,,鹿港鎮東石里鹿工路11號
41.0,東石里,鹿港鎮東石里鹿工路7號,福壽實業,地下室,1.0,81.0,297.0,24.07720248486803，120.4070049612896,,鹿港鎮東石里鹿工路7號
42.0,東石里,鹿港鎮東石里鹿工南一路6號,世鴻工業,地下室,1.0,2631.0,299.0,24.074614973532277，120.41137670453782,,鹿港鎮東石里鹿工南一路6號
43.0,東石里,鹿港鎮東石里鹿工南二路19號,東泰鈺晉機械,地下室,1.0,301.0,294.0,24.07005130058335，120.40560536342451,,鹿港鎮東石里鹿工南二路19號
44.0,東石里,鹿港鎮東石里工業東二路8號,金良益實業,地下室,1.0,48.0,313.0,24.07223477667237，120.40708845373453,,鹿港鎮東石里工業東二路8號
45.0,東石里,鹿港鎮東石里鹿工南二路15號,可洲企業,地下室,1.0,255.0,304.0,24.070766810703937，120.40588469288026,,鹿港鎮東石里鹿工南二路15號
46.0,東石里,鹿港鎮東石里鹿工南二路17號,銳龍興業股份有限公司,地下室,1.0,175.0,331.0,24.0703554065253，120.40571999991991,,鹿港鎮東石里鹿工南二路17號
47.0,東石里,鹿港鎮東石里鹿工南二路32號,國興畜產公司,地下室,1.0,101.0,334.0,24.066768060081376，120.40419134106307,,鹿港鎮東石里鹿工南二路32號
48.0,東石里,鹿港鎮東石里鹿工南二路27號,昌靖興業有限公司,地下室,1.0,329.0,356.0,24.067906808675506，120.40470482287772,,鹿港鎮東石里鹿工南二路27號
49.0,東石里,鹿港鎮東石里鹿工南二路25號,金豐機械工業公司,地下室,1.0,233.0,358.0,24.068578876024，120.40498804656193,,鹿港鎮東石里鹿工南二路25號
50.0,東石里,鹿港鎮東石里鹿工南三路8號,佑達國際鋼管有限公司,地下室,1.0,190.0,332.0,24.072833749278804，120.39828798735273,,鹿港鎮東石里鹿工南三路8號
51.0,東石里,鹿港鎮東石里鹿工南三路8號,佑達國際鋼管有限公司,地下室,1.0,189.0,350.0,24.072833749278804，120.39828798735273,,鹿港鎮東石里鹿工南三路8號
52.0,東石里,鹿港鎮東石里鹿工南三路38號,長泓膠業,地下室,1.0,309.0,341.0,24.069345612297116，120.39835536444598,,鹿港鎮東石里鹿工南三路38號
53.0,東石里,鹿港鎮東石里鹿工南七路6號,車輛研究測試中心,地下室,1.0,6238.0,339.0,24.060381301461206，120.38578061127599,,鹿港鎮東石里鹿工南七路6號
54.0,東石里,鹿港鎮東石里鹿工南六路7號,王田機械,地下室,1.0,166.0,349.0,24.072568647175558，120.38923402232776,,鹿港鎮東石里鹿工南六路7號
55.0,東石里,鹿港鎮東石里鹿工西六路6號,大宇紡織公司,地下室,1.0,987.0,322.0,24.072930688106144，120.39706731679472,,鹿港鎮東石里鹿工西六路6號
56.0,東石里,鹿港鎮東石里工業東二路8號,金良益實業公司,地下室,1.0,48.0,343.0,24.072223749339912，120.40708798735054,,鹿港鎮東石里工業東二路8號
57.0,東石里,鹿港鎮東石里工業東二路10號,擁明工業,地下室,1.0,276.0,340.0,24.07387007580124，120.4070873167977,,鹿港鎮東石里工業東二路10號
58.0,東石里,鹿港鎮東石里工業西一路58號,崇岱企業公司(紳岱),地下室,1.0,2021.0,362.0,24.06048998211442，120.38689000018367,,鹿港鎮東石里工業西一路58號
59.0,東石里,鹿港鎮東石里工業西六路25號,物格股份有限公司,地下室,1.0,109.0,328.0,24.07275558598011，120.39352603398557,,鹿港鎮東石里工業西六路25號
60.0,東石里,鹿港鎮東石里環工五路12號,信璋公司,地下室,1.0,63.0,353.0,24.063820511186417，120.3941059767168,,鹿港鎮東石里環工五路12號
61.0,永安里,鹿港鎮永安里永安三路43號,鹿港建設,地下室,1.0,701.0,258.0,24.058265587761532，120.44051865791046,,鹿港鎮永安里永安三路43號
62.0,永安里,鹿港鎮永安里永安三路65號,鹿港建設,地下室,1.0,701.0,259.0,24.058265587761532，120.44051865791046,,鹿港鎮永安里永安三路65號
63.0,頂厝里,鹿港鎮頂厝里長安路125號,鹿東國小,地下室,1.0,2163.0,316.0,24.058590510444013，120.44337262388191,,鹿港鎮頂厝里長安路125號
64.0,頂厝里,鹿港鎮頂厝里長安路125號,鹿東國小,地下室,1.0,63.0,330.0,24.058590510444013，120.44337262388191,,鹿港鎮頂厝里長安路125號
65.0,頂厝里,鹿港鎮頂厝里長安路125號,鹿東國小,地下室,1.0,2162.0,352.0,24.058590510444013，120.44337262388191,,鹿港鎮頂厝里長安路125號
66.0,頂厝里,鹿港鎮頂厝里長安路125號,鹿東國小,地下室,1.0,627.0,359.0,24.058590510444013，120.44337262388191,,鹿港鎮頂厝里長安路125號
67.0,頂厝里,鹿港鎮頂厝里長安路125號,鹿東國小,地下室,1.0,1401.0,367.0,24.058590510444013，120.44337262388191,,鹿港鎮頂厝里長安路125號
68.0,頂厝里,鹿港鎮頂厝里民主街25號,三十而立公寓大廈,地下室,1.0,1474.0,273.0,24.058382552119458，120.44182871720449,,鹿港鎮頂厝里民主街25號
69.0,頂厝里,鹿港鎮頂厝里鹿和路一段409巷21號,員園公司(源美),地下室,1.0,71.0,286.0,24.065144974648497，120.44629865791077,,鹿港鎮頂厝里鹿和路一段409巷21號
70.0,埔崙里,鹿港鎮埔崙里中正路588號,亞太鹿港渡假村,地下室,1.0,10646.0,337.0,24.063123750324586，120.43575402232118,,鹿港鎮埔崙里中正路588號
71.0,東石里,鹿港鎮東石里永春街109號,錦繡華廈2期,地下室,1.0,2069.0,283.0,24.064966837377874，120.42903798836986,,鹿港鎮東石里永春街109號
72.0,泰興里,鹿港鎮泰興里館前路48號,傳家堡公寓大樓,地下室,1.0,1331.0,243.0,24.05367071561809，120.43725597670661,,鹿港鎮泰興里館前路48號
73.0,街尾里,鹿港鎮街尾里中山南路2號,園中園大廈,地下室,1.0,1578.0,239.0,24.046978038570234，120.44000329349024,,鹿港鎮街尾里中山南路2號
74.0,街尾里,鹿港鎮街尾里中山南路47號,中山御花園,地下室,1.0,620.0,244.0,24.046871328545866，120.43966195339233,,鹿港鎮街尾里中山南路47號
75.0,街尾里,鹿港鎮街尾里中山南路36號,巨邦建設,地下室,1.0,2778.0,245.0,24.047156201473246，120.43944499901251,,鹿港鎮街尾里中山南路36號
76.0,街尾里,鹿港鎮街尾里復興南路1號,民宅,地下室,1.0,222.0,254.0,24.048920487684313，120.43970463459495,,鹿港鎮街尾里復興南路1號
77.0,街尾里,鹿港鎮街尾里龍舟路22號,鹿港鎮文藝中心大樓,地下室,1.0,1696.0,364.0,24.04612459441188，120.4386726232251,,鹿港鎮街尾里龍舟路22號
78.0,菜園里,鹿港鎮菜園里三民路192號,鹿港國小,地下室,1.0,216.0,54.0,24.050839288577578，120.43369402334496,,鹿港鎮菜園里三民路192號
79.0,菜園里,鹿港鎮菜園里三民路192號,鹿港國小,地下室,1.0,1106.0,136.0,24.050839288577578，120.43369402334496,,鹿港鎮菜園里三民路192號
80.0,菜園里,鹿港鎮菜園里三民路192號,鹿港國小,地下室,1.0,274.0,137.0,24.050839288577578，120.43369402334496,,鹿港鎮菜園里三民路192號
81.0,菜園里,鹿港鎮菜園里三民路192號,鹿港國小,地下室,1.0,205.0,146.0,24.050839288577578，120.43369402334496,,鹿港鎮菜園里三民路192號
82.0,菜園里,鹿港鎮菜園里三民路192號,鹿港國小,地下室,1.0,189.0,180.0,24.050839288577578，120.43369402334496,,鹿港鎮菜園里三民路192號
83.0,菜園里,鹿港鎮菜園里三民路192號,鹿港國小,地下室,1.0,1059.0,271.0,24.050839288577578，120.43369402334496,,鹿港鎮菜園里三民路192號
84.0,菜園里,鹿港鎮菜園里三民路192號,鹿港國小,地下室,1.0,597.0,333.0,24.050839288577578，120.43369402334496,,鹿港鎮菜園里三民路192號
85.0,景福里,鹿港鎮景福里民權路126號,溫建益診所,地下室,1.0,256.0,220.0,24.05725497556149，120.43624871619201,,鹿港鎮景福里民權路126號
86.0,景福里,鹿港鎮景福里民權路168號,鹿港鎮公所,地下室,1.0,1163.0,251.0,24.057623162932384，120.43500329441332,,鹿港鎮景福里民權路168號
87.0,景福里,鹿港鎮景福里民族路56號,進士國寶大樓,地下室,1.0,1550.0,347.0,24.05661867435295，120.4367832939994,,鹿港鎮景福里民族路56號
88.0,龍山里,鹿港鎮龍山里三民路152號,山明投資開發股份有限公司,地下室,1.0,576.0,338.0,24.050858451353832，120.43498296391881,,鹿港鎮龍山里三民路152號
89.0,海埔里,鹿港鎮海埔里工業東四路7號,大中機械,地下室,1.0,62.0,290.0,24.08342129939503，120.41054335176871,,鹿港鎮海埔里工業東四路7號
90.0,海埔里,鹿港鎮海埔里鹿工路24號,晉樁工業,地下室,1.0,112.0,295.0,24.077522565722084，120.39798810861842,,鹿港鎮海埔里鹿工路24號
