類別,建築物名稱,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,"unnamed (1)","unnamed (2)","unnamed (3)",placemark_address
大樓,永恆之藝社區,T111101,汴洲里,"25.031382, 121.296741",1、2、3,1060.0,桃園分局,,O,,,,桃園區有恆街257-1號
大樓,經品翫社區,T111102,新埔里,"25.0164761,121.3067792",1、2,527.0,桃園分局,,O,,,,桃園區經國路198巷56號
大樓,大睦敦品社區,T111103,三元里,"25.0076497,121.3221512",1、2、3,2812.0,桃園分局,,O,,,,桃園區民有八街5號
大樓,私人住宅,T111104,文中里,"24.9980561,121.2936197",1,705.0,桃園分局,,O,,,,桃園區文中一路126號
大樓,康晶釀社區,T111105,青溪里,"25.017582, 121.300869",1、2、3、4,770.0,桃園分局,,O,,,,桃園區春日路352號
公務機關,桃園市立圖書館,T111106,同安里,"25.0185882,121.3006629",1、2,12388.0,桃園分局,,O,,,,桃園區新埔六街203號
大樓,美麗一森社區,T111107,文中里,"25.0008031,121.2944353",1、2、3,1552.0,桃園分局,,O,,,,桃園區正光路421巷13號
公務機關,桃園市立殯葬管理所,T111108,汴洲里,"25.0216107,121.3164305",1、2、3,8849.0,桃園分局,,O,,,,桃園區大有路916-2號
大樓,宜誠一方舍區,T111109,中路里,"24.9918364,121.2918589",1、2、3,2450.0,桃園分局,,O,,,,桃園區益壽七街60號
公務機關,桃園市桃園區西門國民小學,T111110,西門里,"24.9953096,121.3043617",1,347.0,桃園分局,,O,,,,桃園區莒光街15號
公務機關,桃園市桃園區北門國民小學,T111111,信光里,"25.0074277,121.3071438",1,324.0,桃園分局,,O,,,,桃園區正康三街139號
公務機關,桃園市桃園區中埔國民小學,T111112,中埔里,"25.0092683,121.2871438",1,1991.0,桃園分局,,O,,,,桃園區永安路1054號
大樓,桃園市立桃園國民中學,T111113,西門里,"24.9955321,121.3050576",1,219.0,桃園分局,,,,,,桃園區莒光街2號
大樓,桃園市立中興國民中學,T111114,文中里,"24.9963811,121.2908267",1,415.0,桃園分局,,,,,,桃園區文中路122號
大樓,桃園市立陽明高級中等學校,T111115,玉山里,"24.9803367,121.3032246",1,1919.0,桃園分局,,,,,,桃園市桃園區德壽街8號
大樓,桃園市立武陵高級中等學校,T111116,中聖里,"24.9882172,121.2855502",1,1175.0,桃園分局,,,,,,桃園區中山路889號
大樓,私人住宅,T111117,豐林里,"24.9841838, 121.3099228",1,259.0,桃園分局,,,,,,青田街123號2樓
大樓,尊聖白金花園社區,T111118,文中里,"24.9984279, 121.2891277",1、2、3,3053.0,桃園分局,,O,,,,力行路717號四樓
大樓,青和寬逸社區,T111119,中正里,"24.9980881, 121.2936453",1、2、3、4,1976.0,桃園分局,,O,,,,文中一路88號
大樓,君邑富域,T111120,南埔里,"25.0057558, 121.2937093",1、2、3、4,1452.0,桃園分局,,O,,,,吉安街36號
大樓,福泰金城社區,T111121,東埔里,"25.0006741, 121.3087957",1、2、3、4,2600.0,桃園分局,,O,,,,大華二街9號
大樓,中路四號社會住宅,T111122,中埔里,"25.0077840, 121.2862362",1、2、3,3508.0,桃園分局,,O,,,,崇法街170號12樓
大樓,私人住宅,T111123,中寧里,"25.0137549, 121.2981597",1,182.0,桃園分局,,,,,,同德五街131巷2弄8號2樓
大樓,私人住宅,T111124,文中里,"24.9986603, 121.2922158",1、2、3,1364.0,桃園分局,,O,,,,力行路662巷21號
大樓,朝陽君硯,T110101,中成里,"25.0014146,121.2968684",1、2,3199.0,桃園分局,,O,,,,桃園區正光二街8巷26號
大樓,新世貿商貿中心大樓,T110102,汴洲里,"25.0283973,121.2991351",1、2、3、4,1883.0,桃園分局,,O,,,,桃園市桃園區幸福路206號
公寓,多提亞食品有限公司,T110103,建國里,"24.9869449,121.3196135",1,1251.0,桃園分局,,O,,,,桃園區建國東路15巷1號
大樓,私人住宅,T110104,玉山里,"24.9894736,121.3031275",1、2,776.0,桃園分局,,O,,,,桃園區秀山路19號
大樓,昭陽經貿中心,T110105,文中里,"25.0011241,121.2943286",1、2、3,2549.0,桃園分局,,O,,,,桃園區正光路423-11號
大樓,澄玉NO.2社區,T110106,文中里,"24.9998646,121.291707",1、2、3,1041.0,桃園分局,,O,,,,桃園區正光二街166號
大樓,京澄軒郎社區,T110107,文中里,"24.9990975,121.2889962",1、2、3,900.0,桃園分局,,O,,,,桃園區正光一街268號
公務機關,桃園市政府,T110108,光興里,"24.9929026,121.3010601",1、2、3,4289.0,桃園分局,,O,,,,桃園區縣府路1號
公務機關,桃園市政府文化局,T110109,光興里,"24.9939555,121.3003009",1,224.0,桃園分局,,O,,,,桃園區縣府路21號
公務機關,桃園市政府體育局,T110110,萬壽里,"24.9965001,121.3226676",1、2,2438.0,桃園分局,,O,,,,桃園區三民路一段1號
公務機關,桃園市政府警察局,T110111,光興里,"24.9930615,121.3019036",1,1723.0,桃園分局,(機敏單位)警察單位,,,,,桃園區縣府路3號
公務機關,桃園市政府警察局,T110112,三元里,"24.9981666,121.3255996",1,351.0,桃園分局,(機敏單位)警察單位,,,,,桃園區成功路三段40巷58號
公務機關,桃園市桃園區公所,T110113,光興里,"24.9940217,121.3016813",1,3758.0,桃園分局,,O,,,,桃園區縣府路7號
公務機關,桃園市政府衛生局,T110114,光興里,"24.9929196,121.3002962",1,998.0,桃園分局,,,,,,桃園區縣府路55號
大樓,同良機械有限公司,T110201,大樹里,"24.984749,121.320216",1,1523.0,桃園分局,,O,,,,桃園區興隆路6號
大樓,昭陽君喆社區,T110202,文中里,"24.9977562,121.2880608",1、2、3,1735.0,桃園分局,,O,,,,桃園區國際路二段380號
大樓,明築隱社區,T110203,文中里,"24.9991105,121.2941056",1、2、3,1033.0,桃園分局,,O,,,,桃園區正光一街106號
大樓,琼都巴黎社區,T110204,中正里,"24.9973953,121.2973773",1、2、3、4,3762.0,桃園分局,,O,,,,桃園區力行路385巷51弄10號
大樓,栢大京森社區,T110205,西門里,"24.9958175,121.3063431",1,220.0,桃園分局,,,,,,桃園區民族路297巷3號
大樓,昕中城社區,T110206,中正里,"24.9959546,121.2961338",1、2、3,2873.0,桃園分局,,O,,,,桃園區文中東路80號
大樓,昭揚越,T110301,中興里,"24.997982,121.2981402",1、2、3,2589.0,桃園分局,,O,,,,桃園區保定三街89巷7號
大樓,合輝豐鉑社區,T110302,文中里,"24.998646, 121.292462",1、2、3,2825.0,桃園分局,,O,,,,桃園區力行路636號
大樓,私人住宅,T110303,文中里,"24.998057,121.2936285",1、2,521.0,桃園分局,,,,,,桃園區文中一路136號
大樓,大清卓越社區,T110304,同安里,"25.019104,121.2991241",1、2、3,3829.0,桃園分局,,O,,,,桃園區新埔八街130號
大樓,宜誠玓瓅,T110305,中成里,"25.0015223,121.2947066",1、2、3,4313.0,桃園分局,,O,,,,桃園區慈文路518號
大樓,樂活資產管理有限公司,T110306,文中里,"24.9991105,121.2941056",1,503.0,桃園分局,,O,,,,桃園區正光一街61號
大樓,昭揚湛社區,T110307,龍安里,"24.9919728,121.275067",1、2,1748.0,桃園分局,,O,,,,桃園區國強十三街99號
大樓,潤蓬企業有限公司,T110308,汴洲里,"25.0307924,121.2956361",1,322.0,桃園分局,,,,,,桃園市桃園區水岸七街66號
大樓,印象綠裔社區,T110309,文中里,"24.996386,121.2896931",1,590.0,桃園分局,,O,,,,桃園區文中二路53號
公務機關,中路一號社會住宅,T110310,中埔里,"25.007925,121.2879475",1、2、3,2621.0,桃園分局,,O,,,,桃園區崇法街8-4號
