類別,編號,里別,地址,Location,地下層數位址,可容納人數,備註
一般建築,C0001,久昌里,高雄市楠梓區久昌里久昌街28巷1號,"22.709584,120.284698",1,2434.0,
一般建築,C0002,久昌里,高雄市楠梓區久昌里久昌街632號,"22.71828,120.279666",1,1133.0,
一般建築,C0003,久昌里,高雄市楠梓區久昌里廣昌街181號,"22.70862,120.285199",1.2,8248.0,
一般建築,C0004,久昌里,高雄市楠梓區久昌里廣昌街43巷87號,"22.70746,120.284525",1,528.0,
一般建築,C0005,中和里,高雄市楠梓區中和里大學二十九路321號,"22.728797,120.275613",1,1438.0,
一般建築,C0006,中和里,高雄市楠梓區中和里大學二十六街1152號,"22.727605,120.277975",1.2,5054.0,
一般建築,C0007,中和里,高雄市楠梓區中和里大學二十六街321號,"22.72940979,120.287282567349",1.2,4524.0,
一般建築,C0008,中和里,高雄市楠梓區中和里大學十八街108號,"22.724803,120.276966",1.2.3,969.0,
一般建築,C0009,中和里,高雄市楠梓區中和里大學五十八街81號,"22.730346,120.27579",1,1137.0,
一般建築,C0010,中和里,高雄市楠梓區中和里大學五十六街129號,"22.728514,120.2747",1.2.3,3891.0,
一般建築,C0011,中和里,高雄市楠梓區中和里大學五十六街36號,"22.730048,120.276979",1.2,390.0,
一般建築,C0012,中和里,高雄市楠梓區中和里大學六十二街56號,"22.730802,120.272986",1.2,7134.0,
一般建築,C0013,中和里,高雄市楠梓區中和里大學六十二街71號,"22.73053,120.273167",1,1728.0,
一般建築,C0014,中和里,高雄市楠梓區中和里大學西路55號,"22.722753,120.281826",1.2,1110.0,
一般建築,C0015,中和里,高雄市楠梓區中和里大學南路1213號,"22.727912,120.275591",1.2.3,5076.0,
一般建築,C0016,中和里,高雄市楠梓區中和里德中路268號之1,"22.72556327,120.275545496185",1,3878.0,
一般建築,C0017,中和里,高雄市楠梓區中和里德中路280巷251號,"22.72538488,120.276031767349",1,2228.0,
一般建築,C0018,中陽里,高雄市楠梓區中陽里朝明路108號,"22.723913,120.327707",1,1328.0,
一般建築,C0019,中陽里,高雄市楠梓區中陽里朝明路114之1號,"22.723822,120.327988",1,419.0,
一般建築,C0020,中陽里,高雄市楠梓區中陽里朝明路116巷51號,"22.724336,120.329077",1.2.3,5689.0,
一般建築,C0021,中陽里,高雄市楠梓區中陽里朝明路118號,"22.724112,120.32826",1,524.0,
一般建築,C0022,中陽里,高雄市楠梓區中陽里朝明路125巷1號,"22.723569,120.327555",1,471.0,
一般建築,C0023,中陽里,高雄市楠梓區中陽里朝明路130巷7弄12號,"22.72415,120.328895",1,885.0,
一般建築,C0024,中陽里,高雄市楠梓區中陽里朝明路130巷7弄8號,"22.724067,120.328773",1,711.0,
一般建築,C0025,中陽里,高雄市楠梓區中陽里朝新路170號,"22.72481,120.325107",1.2.3.4,5260.0,
一般建築,C0026,五常里,高雄市楠梓區五常里常德路240巷23弄17號,"22.736073,120.337659",1,3885.0,
一般建築,C0027,五常里,高雄市楠梓區五常里常德路240巷23弄76號,"22.736616,120.338077",1,6976.0,
一般建築,C0028,五常里,高雄市楠梓區五常里常德路247號,"22.736169,120.336753",1,724.0,
一般建築,C0029,五常里,高雄市楠梓區五常里常德路305號,"22.736865,120.336952",1,1963.0,
一般建築,C0030,五常里,高雄市楠梓區五常里常德路317巷4號,"22.737324,120.336905",1,3671.0,
一般建築,C0031,五常里,高雄市楠梓區五常里常德路318號,"22.73707388,120.337305725022",1,978.0,
一般建築,C0032,五常里,高雄市楠梓區五常里常興街87號,"22.732844,120.337368",1,3521.0,
一般建築,C0033,五常里,高雄市楠梓區五常里楠陽路63巷58號,"22.723956,120.331729",1,1548.0,
一般建築,C0034,五常里,高雄市楠梓區五常里楠裕街22號,"22.732313,120.331236",1.2.3,3308.0,
一般建築,C0035,五常里,高雄市楠梓區五常里鳳楠路108巷29號,"22.723749,120.331744",1,130.0,
一般建築,C0036,五常里,高雄市楠梓區五常里鳳楠路82號,"22.722673,120.331528",1.2,5003.0,
一般建築,C0037,五常里,高雄市楠梓區五常里鳳楠路96號,"22.723054,120.331441",1.2,5206.0,
一般建築,C0038,五常里,高雄市楠梓區五常里興西路128號,"22.727592,120.333218",1.2,2314.0,
一般建築,C0039,五常里,高雄市楠梓區五常里興西路132號,"22.728092,120.333294",1.2.3.4,3471.0,
一般建築,C0040,五常里,高雄市楠梓區五常里興楠路151巷46號,"22.729873,120.336673",1,572.0,
一般建築,C0041,五常里,高雄市楠梓區五常里興楠路151巷7號,"22.730685,120.336495",1,2633.0,
一般建築,C0042,五常里,高雄市楠梓區五常里興楠路298號,"22.729797,120.332453",1,3375.0,
一般建築,C0043,五常里,高雄市楠梓區五常里興楠路355巷58號,"22.728196,120.33194",1.2,1698.0,
一般建築,C0044,五常里,高雄市楠梓區五常里興楠路355巷82弄25號,"22.728321,120.332883",1.2,3844.0,
一般建築,C0045,五常里,高雄市楠梓區五常里興楠路355巷82弄2號,"22.728071,120.332886",1,1659.0,
一般建築,C0046,五常里,高雄市楠梓區五常里興楠路355巷83號之1,"22.727637,120.332657",1,902.0,
一般建築,C0047,仁昌里,高雄市楠梓區仁昌里惠民路241號,"22.723593,120.293173",1.2,5824.0,
一般建築,C0048,仁昌里,高雄市楠梓區仁昌里惠民路353號,"22.723951,120.291582",1,1537.0,
一般建築,C0049,仁昌里,高雄市楠梓區仁昌里惠民路48號,"22.724834,120.298544",1.2,3007.0,
一般建築,C0050,仁昌里,高雄市楠梓區仁昌里壽豐路404號,"22.724989,120.296505",1.2,1033.0,
一般建築,C0051,仁昌里,高雄市楠梓區仁昌里壽豐路410號,"22.724969,120.296402",1.2,2252.0,
一般建築,C0052,仁昌里,高雄市楠梓區仁昌里壽豐路424號,"22.724967,120.296251",2,545.0,
一般建築,C0053,仁昌里,高雄市楠梓區仁昌里德民路150號,"22.727018,120.310586",1,1787.0,
一般建築,C0054,仁昌里,高雄市楠梓區仁昌里德民路782號,"22.721993,120.292606",1.2.3,4784.0,
一般建築,C0055,加昌里,高雄市楠梓區加昌里加宏路191巷53號,"22.715468,120.294895",1.2,1577.0,
一般建築,C0056,加昌里,高雄市楠梓區加昌里加宏路22巷32號,"22.719456,120.297608",1,8752.0,
一般建築,C0057,加昌里,高雄市楠梓區加昌里加宏路22巷9號,"22.719086,120.297498",1,4027.0,
一般建築,C0058,加昌里,高雄市楠梓區加昌里加昌路602號,"22.715996,120.299178",1,319.0,
政府機關,C0059,加昌里,高雄市楠梓區加昌里加昌路631號,"22.716397,120.302349",1,1530.0,
一般建築,C0060,加昌里,高雄市楠梓區加昌里外環西路119號,"22.717976,120.299927",1,2162.0,
一般建築,C0061,加昌里,高雄市楠梓區加昌里秀群路451號,"22.716258,120.299518",1,1038.0,
一般建築,C0062,加昌里,高雄市楠梓區加昌里秀群路457巷11號,"22.716218,120.298997",1,988.0,
一般建築,C0063,加昌里,高雄市楠梓區加昌里秀群路457巷2號,"22.716533,120.29938",1.2.3,5112.0,
一般建築,C0064,加昌里,高雄市楠梓區加昌里秀群路539巷45號,"22.717362,120.297704",1,9937.0,
一般建築,C0065,加昌里,高雄市楠梓區加昌里壽民路128號,"22.718477,120.295156",1,591.0,
一般建築,C0066,加昌里,高雄市楠梓區加昌里壽民路146號,"22.718166,120.295575",1.2,2481.0,
一般建築,C0067,加昌里,高雄市楠梓區加昌里壽民路178號,"22.717537,120.29612",1.2,3213.0,
一般建築,C0068,加昌里,高雄市楠梓區加昌里壽民路180巷1弄13號,"22.717202,120.29613",1,2068.0,
一般建築,C0069,加昌里,高雄市楠梓區加昌里壽民路222號,"22.716301,120.296576",1,1938.0,
一般建築,C0070,加昌里,高雄市楠梓區加昌里壽民路223號,"22.716329,120.296867",1,194.0,
一般建築,C0071,加昌里,高雄市楠梓區加昌里壽民路86之2號,"22.720666,120.295169",1,68.0,
學校,C0072,加昌里,高雄市楠梓區加昌里樂群路220號,"22.720392,120.296547",1,825.0,
一般建築,C0073,加昌里,高雄市楠梓區加昌里樂群路59號,"22.716215,120.297796",1,1016.0,
一般建築,C0074,加昌里,高雄市楠梓區加昌里樂群路72巷1號,"22.716777,120.298074",1,1073.0,
一般建築,C0075,玉屏里,高雄市楠梓區玉屏里聖雲街36巷50號,"22.716214,120.316419",1,320.0,
一般建築,C0076,宏昌里,高雄市楠梓區宏昌里宏昌街132號,"22.717392,120.293747",1.2,1231.0,
一般建築,C0077,宏昌里,高雄市楠梓區宏昌里信昌街122號,"22.718574,120.29255",1,1211.0,
一般建築,C0078,宏昌里,高雄市楠梓區宏昌里信昌街28號,"22.717113,120.293086",1,1703.0,
一般建築,C0079,宏昌里,高雄市楠梓區宏昌里後昌新路58巷27號,"22.719608,120.292677",1.2.3,5298.0,
一般建築,C0080,宏昌里,高雄市楠梓區宏昌里德民路829號,"22.721419,120.291783",1,2548.0,
一般建築,C0081,宏昌里,高雄市楠梓區宏昌里藍昌路250號,"22.71955,120.290806",1.2,2858.0,
一般建築,C0082,宏昌里,高雄市楠梓區宏昌里藍昌路320號,"22.72253838,120.291369367349",1.2,4196.0,
一般建築,C0083,宏昌里,高雄市楠梓區宏昌里藍昌路360巷30號,"22.722669,120.291809",1.2,1448.0,
一般建築,C0084,宏昌里,高雄市楠梓區宏昌里藍昌路360巷50號,"22.722549,120.292139",1,751.0,
一般建築,C0085,宏昌里,高雄市楠梓區宏昌里藍昌路360巷51號之1,"22.72269662,120.29245891756",1,572.0,
一般建築,C0086,宏昌里,高雄市楠梓區宏昌里藍昌路360巷55號,"22.722586,120.292539",1,1129.0,
一般建築,C0087,宏昌里,高雄市楠梓區宏昌里藍昌路360巷70號,"22.722306,120.29266",1.2,2512.0,
一般建築,C0088,宏昌里,高雄市楠梓區宏昌里藍昌路360巷77號,"22.722605,120.292897",1.2,1850.0,
一般建築,C0089,宏榮里,高雄市楠梓區宏榮里榮昌街6號,"22.714511,120.298165",1.2,2659.0,
一般建築,C0090,宏榮里,高雄市楠梓區宏榮里榮新街163號,"22.712696,120.299638",1,1034.0,
一般建築,C0091,宏榮里,高雄市楠梓區宏榮里榮新街17號,"22.714462,120.297607",1.2,3972.0,
一般建築,C0092,秀昌里,高雄市楠梓區秀昌里加昌路781號,"22.714001,120.295075",1,1558.0,
一般建築,C0093,秀昌里,高雄市楠梓區秀昌里後昌路858之1號,"22.712139,120.294825",1,319.0,
一般建築,C0094,秀昌里,高雄市楠梓區秀昌里後昌路862之1號,"22.712391,120.294621",1,122.0,
一般建築,C0095,秀昌里,高雄市楠梓區秀昌里後昌路876巷2弄105號,"22.712558,120.297899",1,893.0,
一般建築,C0096,秀昌里,高雄市楠梓區秀昌里後昌路876巷2弄71號,"22.712212,120.297081",1,978.0,
一般建築,C0097,享平里,高雄市楠梓區享平里岳陽街25巷8號,"22.730042,120.330595",1,4761.0,
一般建築,C0098,享平里,高雄市楠梓區享平里楠梓西巷66號之1,"22.72985378,120.328014267349",1,1180.0,
一般建築,C0099,享平里,高雄市楠梓區享平里楠梓東街79號,"22.729763,120.329732",1,794.0,
一般建築,C0100,享平里,高雄市楠梓區享平里楠盛街131巷1號,"22.730643,120.332376",1,357.0,
一般建築,C0101,和昌里,高雄市楠梓區和昌里軍校路780之2號,"22.709585,120.293082",1,308.0,
