編號,地址,避難所在之地下樓層數,可容納人數,經度,緯度,里別,轄管分局
1.0,臺中市東勢區北興里豐勢路518號,B01,83.0,"120.827875 ","24.258497 ",北興里,東勢分局
2.0,臺中市石岡區九房里豐勢路1033號,B01,1106.0,"120.780341 ","24.274773 ",九房里,東勢分局
3.0,臺中市東勢區東安里豐勢路456號,B01,21.0,"120.828832 ","24.256207 ",東安里,東勢分局
4.0,臺中市東勢區新盛里新盛路342號,B01,720.0,"120.831320 ","24.243382 ",新盛里,東勢分局
5.0,臺中市東勢區泰昌里東崎路五段415號,B01,2567.0,"120.832336 ","24.250698 ",泰昌里,東勢分局
6.0,臺中市東勢區東新里東蘭路26號,B01,284.0,"120.826894 ","24.262836 ",東新里,東勢分局
7.0,臺中市東勢區東新里東蘭路25之2號,B01,357.0,"120.826792 ","24.262536 ",東新里,東勢分局
8.0,臺中市東勢區南平里東關路七段366號,B01,1463.0,"120.826283 ","24.253827 ",南平里,東勢分局
9.0,臺中市新社區中和里中興街129號,B01,599.0,"120.828446 ","24.156974 ",中和里,東勢分局
10.0,臺中市新社區新社里中和街四段226號,B01,113.0,"120.807914 ","24.243921 ",新社里,東勢分局
11.0,臺中市新社區崑山里崑南街崑崙巷5之2號,B01,563.0,"120.787633 ","24.241703 ",崑山里,東勢分局
12.0,臺中市新社區復盛里中和街三段國中巷10號,B01,462.0,"120.807250 ","24.236675 ",復盛里,東勢分局
13.0,臺中市東勢區茂興里石城街182巷26號,B01,774.0,"120.792418 ","24.285792 ",茂興里,東勢分局
14.0,臺中市東勢區茂興里東蘭路212之1號,B01,234.0,"120.809208 ","24.300387 ",茂興里,東勢分局
15.0,臺中市新社區大南里興中街46號,B01,206.0,"120.805235 ","24.228128 ",大南里,東勢分局
16.0,臺中市東勢區新盛里東關路六段1368號,B01,50.0,"120.832924 ","24.246514 ",新盛里,東勢分局
17.0,臺中市新社區大南里興中街46號,B01,195.0,"120.805235 ","24.228128 ",大南里,東勢分局
18.0,臺中市東勢區北興里豐勢路631號,B01,133.0,"120.824544 ","24.261104 ",北興里,東勢分局
19.0,臺中市東勢區新盛里新盛街140號,B01,651.0,"120.830083 ","24.247212 ",新盛里,東勢分局
20.0,臺中市東勢區新盛里東關路627號,B01,782.0,"120.835806 ","24.233485 ",新盛里,東勢分局
21.0,臺中市東勢區東安里豐勢路411號,B01,1771.0,"120.828664 ","24.256212 ",東安里,東勢分局
22.0,臺中市東勢區粵寧里東蘭路33號,B01,300.0,"120.826193 ","24.263510 ",粵寧里,東勢分局
23.0,臺中市東勢區新盛里東關路六段687號,B01,211.0,"120.835241 ","24.235347 ",新盛里,東勢分局
24.0,臺中市東勢區新盛里東關路六段1288號,B01,133.0,"120.834473 ","24.240711 ",新盛里,東勢分局
25.0,臺中市東勢區東安里豐勢路449號,B01,16.0,"120.828244 ","24.257026 ",東安里,東勢分局
26.0,臺中市東勢區延平里第一橫街130號,B01,200.0,"120.828945 ","24.251809 ",延平里,東勢分局
27.0,臺中市東勢區泰昌里東崎街425號,B01,42.0,"120.833794 ","24.250809 ",泰昌里,東勢分局
28.0,臺中市東勢區東安里第五橫街36號,B01,31.0,"120.829247 ","24.257460 ",東安里,東勢分局
29.0,臺中市東勢區中寧里豐勢路459號,B01,138.0,"120.828165 ","24.257358 ",中寧里,東勢分局
30.0,臺中市東勢區新盛里豐勢路2-1號,B01,458.0,"120.832776 ","24.246838 ",新盛里,東勢分局
31.0,臺中市新社區中正里中和街五段72號,B01,133.0,"120.808065 ","24.252248 ",中正里,東勢分局
32.0,臺中市新社區中正里中和街五段90號,B01,104.0,"120.807157 ","24.254446 ",中正里,東勢分局
33.0,臺中市新社區中正里中和街五段169號,B01,35.0,"120.807906 ","24.253868 ",中正里,東勢分局
34.0,臺中市新社區中正里中和街五段76-2號,B01,470.0,"120.807355 ","24.252981 ",中正里,東勢分局
35.0,臺中市東勢區泰昌里名流街25號,B01,681.0,"120.833960 ","24.251540 ",泰昌里,東勢分局
36.0,臺中市東勢區延平里第一橫街132號,B01,375.0,"120.829100 ","24.251750 ",延平里,東勢分局
37.0,臺中市東勢區北興里正五街12號,B01,586.0,120.82568,24.25811,北興里,東勢分局
38.0,臺中市東勢區南平里第二橫街7號,B01,319.0,120.83014,24.25451,南平里,東勢分局
39.0,臺中市東勢區廣興里第四橫街1號,B01,358.0,120.83047,24.25663,廣興里,東勢分局
40.0,臺中市東勢區南平里豐勢路297號,B02,3432.0,120.82914,24.25343,南平里,東勢分局
41.0,臺中市東勢區中寧里正五街17號,B01,713.0,120.82486,24.25963,中寧里,東勢分局
42.0,臺中市石岡區土牛里豐勢路308號,B01,447.0,120.80764,24.26612,土牛里,東勢分局
43.0,臺中市東勢區東新里東環街123號,B01,342.0,120.82971,24.26291,東新里,東勢分局
44.0,臺中市東勢區文新街1號,B02,899.0,120.8294359,24.2592816,廣興里,東勢分局
45.0,臺中市東勢區東關路七段348號,B01,235.0,"120.826630 ","24.252972 ",南平里,東勢分局
46.0,臺中市東勢區新豐街42號,B01,673.0,"120.824957 ","24.262816 ",粵寧里,東勢分局
