類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
大樓,EVY10001,福祿里,桃園市蘆竹區五福六路48號,"25.054697,121.296994",1,"1,376 ",蘆竹分局,O,南崁所
工廠,EVY10002,內厝里,桃園市蘆竹區長安路一段148號,"25.065377,121.288889",1,"1,367 ",蘆竹分局,O,南崁所
工廠,EVY10003,中山里,桃園市蘆竹區福祿一街202號,"25.057814,121.296099",1,"1,484 ",蘆竹分局,O,南崁所
民宅,EVY10004,瓦窯里,桃園市蘆竹區南山路一段349巷9號,"25.05844,121.287972",1,"103 ",蘆竹分局,,南崁所
民宅,EVY10005,瓦窯里,桃園市蘆竹區南山路一段349巷21號,"25.058374,121.287513",1,"149 ",蘆竹分局,,南崁所
民宅,EVY10006,瓦窯里,桃園市蘆竹區南山路一段349巷3號,"25.058487,121.288191",1,"94 ",蘆竹分局,,南崁所
大樓,EVY10007,瓦窯里,桃園市蘆竹區五福路100號,"25.050319,121.2937",1,"372 ",蘆竹分局,O,南崁所
大樓,EVY10008,瓦窯里,桃園市蘆竹區南山路一段179巷17號,"25.056501,121.288828",1,"66 ",蘆竹分局,O,南崁所
工廠,EVY10013,瓦窯里,桃園市蘆竹區六福路93號,"25.05823, 121.29483",1,"49 ",蘆竹分局,,南崁所
工廠,EVY10014,羊稠里,桃園市蘆竹區中山路48巷27號,"25.054137,121.300117",1,"26 ",蘆竹分局,,南崁所
政府機關,EVY10015,南崁里,桃園市蘆竹區南崁路150號,"25.0467267, 121.2947581",1,"1,054 ",蘆竹分局,O,南崁所
工廠,EVY10017,錦興里,桃園市蘆竹區錦秀街4號,"25.049178,121.286072",1,"28 ",蘆竹分局,,南崁所
工廠,EVY10018,錦興里,桃園市蘆竹區錦秀街12號,"25.049469,121.28609",1,"97 ",蘆竹分局,,南崁所
工廠,EVY10019,錦興里,桃園市蘆竹區錦秀街14號,"25.049545,121.286086",1,"97 ",蘆竹分局,,南崁所
公寓,EVY10020,錦興里,桃園市蘆竹區錦秀街13巷1號,"25.050208,121.285803",1,"497 ",蘆竹分局,,南崁所
工廠,EVY10021,錦興里,桃園市蘆竹區錦華路43巷8號,"25.049167,121.285364",1,"57 ",蘆竹分局,,南崁所
工廠,EVY10022,錦興里,桃園市蘆竹區錦華路43巷6號,"25.04923,121.285362",1,"63 ",蘆竹分局,,南崁所
工廠,EVY10023,錦興里,桃園市蘆竹區錦華路43巷4號,"25.049285,121.285359",1,"63 ",蘆竹分局,,南崁所
工廠,EVY10024,錦興里,桃園市蘆竹區錦華路43巷2號,"25.04934,121.285357",1,"62 ",蘆竹分局,,南崁所
公寓,EVY10025,錦興里,桃園市蘆竹區錦秀街18號,"25.050111,121.286097",1,"290 ",蘆竹分局,,南崁所
公寓,EVY10026,錦興里,桃園市蘆竹區錦秀街16號,"25.049621,121.28609",1,"102 ",蘆竹分局,,南崁所
民宅,EVY10027,南崁里,桃園市蘆竹區新南路二段138號,"25.033532,121.301552",1,"51 ",蘆竹分局,,南崁所
民宅,EVY10028,南崁里,桃園市蘆竹區新南路二段140號,"25.033484,121.301601",1,"28 ",蘆竹分局,,南崁所
工廠,EVY10031,長興里,桃園市蘆竹區興隆街40巷28號,"25.058209, 121.280825",1,"114 ",蘆竹分局,,南崁所
工廠,EVY10032,長興里,桃園市蘆竹區南工路一段12號,"25.059529,121.278994",1,"492 ",蘆竹分局,,南崁所
民宅,EVY10035,錦中里,桃園市蘆竹區南崁路一段231巷28號,"25.052007,121.284042",1,"41 ",蘆竹分局,,南崁所
民宅,EVY10036,錦中里,桃園市蘆竹區南崁路一段231巷30號,"25.051956,121.284035",1,"40 ",蘆竹分局,,南崁所
民宅,EVY10037,錦中里,桃園市蘆竹區南崁路一段231巷31號,"25.052192,121.284301",1,"60 ",蘆竹分局,,南崁所
工廠,EVY10038,錦中里,桃園市蘆竹區南崁路一段231巷27號,"25.052326,121.284324",1,"60 ",蘆竹分局,,南崁所
工廠,EVY10039,錦中里,桃園市蘆竹區南崁路一段231巷29號,"25.05226,121.28431",1,"60 ",蘆竹分局,,南崁所
