"unnamed (1)",類別,電腦編號,村里別,經緯度,地下層數位址,可容納人數,轄管分局,停車場坡道,備註,placemark_address
1.0,大樓,ENA01002,田心里,"25.06472, 121.19467",1.0,"622 ",大園分局,,,"大樓 ENA01002 田心里 337桃園市大園區田心里5鄰大觀路53號"
2.0,大樓,ENA01003,田心里,"25.06617, 121.19335",1.0,"132 ",大園分局,,,"大樓 ENA01003 田心里 337桃園市大園區田心里5鄰大觀路33號"
3.0,大樓,ENA01016,田心里,"25.06378, 121.19424",1.0,"100 ",大園分局,,,"大樓 ENA01016 田心里 337桃園市大園區田心里7鄰新興路46號"
4.0,大樓,ENA01017,田心里,"25.064, 121.19427",1.0,"178 ",大園分局,○,,"大樓 ENA01017 田心里 337桃園市大園區田心里7鄰新興路42號"
5.0,公寓,ENA01018,田心里,"25.0634, 121.19574",1.0,"484 ",大園分局,○,,"公寓 ENA01018 田心里 337桃園市大園區田心里9鄰中正西路13號"
6.0,大樓,ENA01019,田心里,"25.06476, 121.19299",1.0,"101 ",大園分局,○,,"大樓 ENA01019 田心里 337桃園市大園區田心里6鄰華興路40號"
7.0,大樓,ENA01020,田心里,"25.06352, 121.19474",1.0,"141 ",大園分局,,,"大樓 ENA01020 田心里 337桃園市大園區田心里7鄰中正西路36號"
8.0,大樓大興高中,ENA01023,田心里,"25.06198, 121.19261",1.0,"526 ",大園分局,,,"大樓大興高中 ENA01023 田心里 337桃園市大園區田心里18鄰永興路142號"
9.0,大樓,ENA01024,田心里,"25.0617, 121.19515",1.0,"1604 ",大園分局,,,"大樓 ENA01024 田心里 337桃園市大園區田心里新興路132號"
10.0,大樓,ENA01025,田心里,"25.06546, 121.18836",1.0,"52 ",大園分局,,,"大樓 ENA01025 田心里 337桃園市大園區田心里4鄰大觀路255號"
11.0,大樓大園國小,ENA01028,橫峰里,"25.05908, 121.20267",1.0,"730 ",大園分局,○,,"大樓大園國小 ENA01028 橫峰里 337桃園市大園區橫峰里中山南路351號"
12.0,大樓大園國小,ENA01029,橫峰里,"25.05908, 121.20267",1.0,"1254 ",大園分局,○,,"大樓大園國小 ENA01029 橫峰里 337桃園市大園區橫峰里中山南路351號"
13.0,大樓大園農會,ENA01031,橫峰里,,1.0,"856 ",大園分局,,337桃園市大園區橫峰里10鄰中正東路103號,"大樓大園農會 ENA01031 橫峰里 (機敏單位)"
14.0,大樓,ENA01032,青山里,"25.03227, 121.21201",1.0,"32 ",大園分局,,,"大樓 ENA01032 青山里 桃園市大園區青山里中山南路2段156號"
15.0,大樓大園消防隊,ENA01033,橫峰里,"25.06137, 121.20112",1.0,"181 ",大園分局,○,,"大樓大園消防隊 ENA01033 橫峰里 337桃園市大園區橫峰里11鄰和平二街18號"
16.0,大樓,ENA01034,青山里,"25.03104, 121.21216",1.0,"244 ",大園分局,,,"大樓 ENA01034 青山里 桃園市大園區青山里中山南路2段206號"
17.0,大樓,ENA01037,青峰里,"25.02649, 121.21336",1.0,"360 ",大園分局,,,"大樓 ENA01037 青峰里 桃園市大園區青峰里中山南路2段379號"
18.0,大樓,ENA01040,青山里,"25.02169, 121.2127",1.0,"121 ",大園分局,,,"大樓 ENA01040 青山里 桃園市大園區青山里中山南路二段586號"
19.0,大樓,ENA01042,溪海里,"25.04601, 121.19298",1.0,"85 ",大園分局,,,"大樓 ENA01042 溪海里 337桃園市大園區溪海里8鄰聖德北路52巷43號"
20.0,大樓,ENA01043,溪海里,"25.04651, 121.19079",1.0,"198 ",大園分局,,,"大樓 ENA01043 溪海里 337桃園市大園區溪海里8鄰聖德北路68號"
21.0,大樓,ENA01044,溪海里,"25.04763, 121.19041",1.0,"233 ",大園分局,,,"大樓 ENA01044 溪海里 337桃園市大園區溪海里11鄰崙頂38號"
22.0,公寓,ENA01045,溪海里,"25.05994, 121.19925",1.0,"513 ",大園分局,○,,"公寓 ENA01045 溪海里 337桃園市大園區溪海里11鄰和平西路1段369號"
23.0,大樓,ENA01051,大園里,"25.06496, 121.19714",1.0,"109 ",大園分局,,,"大樓 ENA01051 大園里 337桃園市大園區大園里11鄰中山北路44號"
24.0,大樓大園戶政所,ENA01054,大園里,"25.06785, 121.19584",1.0,"304 ",大園分局,○,,"大樓大園戶政所 ENA01054 大園里 337桃園市大園區大園里18鄰中山北路162號"
25.0,大樓大園衛生所,ENA01055,田心里,"25.06344, 121.19536",1.0,"2482 ",大園分局,○,,"大樓大園衛生所 ENA01055 田心里 337桃園市大園區田心里9鄰中正西路19號"
26.0,大樓,ENA01056,大園里,"25.06195, 121.20043",1.0,"345 ",大園分局,,,"大樓 ENA01056 大園里 337桃園市大園區大園里33鄰和平二街114巷6號"
27.0,大樓,ENA01058,橫峰里,"25.05928, 121.20121",1.0,"816 ",大園分局,,,"大樓 ENA01058 橫峰里 337桃園市大園區橫峰里12鄰中山南路310號"
28.0,大樓,ENA01059,橫峰里,"25.05892, 121.20123",1.0,"1891 ",大園分局,,,"大樓 ENA01059 橫峰里 337桃園市大園區橫峰里12鄰水源路11號"
29.0,大樓,ENA01060,田心里,"25.05865, 121.1952",1.0,"3106 ",大園分局,,,"大樓 ENA01060 田心里 337桃園市大園區田心里20鄰長興街50號"
30.0,大樓,ENA01061,溪海里,"25.05994, 121.19925",1.0,"1723 ",大園分局,,,"大樓 ENA01061 溪海里 337桃園市大園區溪海里17鄰聖德北路1076巷1號"
31.0,大樓,ENA01062,和平里,"25.0479, 121.17796",1.0,"235 ",大園分局,,,"大樓 ENA01062 和平里 337桃園市大園區和平里1鄰開和路128號"
32.0,大樓,ENA01063,田心里,"25.06121, 121.19389",1.0,"2251 ",大園分局,,,"大樓 ENA01063 田心里 337桃園市大園區田心里15鄰新園街62號"
33.0,大樓,ENA01064,溪海里,"25.02708, 121.19458",1.0,"900 ",大園分局,,,"大樓 ENA01064 溪海里 337桃園市大園區溪海里22鄰柴梳崙路338號"
34.0,大樓,ENA01065,橫峰里,"25.06147, 121.203",1.0,"264 ",大園分局,,,"大樓 ENA01065 橫峰里 337桃園市大園區橫峰里中正東路200號"
35.0,大樓大園區公所,ENA01066,田心里,"25.06385, 121.19546",1.0,"1633 ",大園分局,,,"大樓大園區公所 ENA01066 田心里 337桃園市大園區田心里中正西路12號"
36.0,大樓,ENA01067,田心里,"25.0634, 121.19574",1.0,"4687 ",大園分局,○,,"大樓 ENA01067 田心里 337桃園市大園區田心里大興路107-1號"
37.0,大樓,ENA01068,田心里,"25.05753, 121.19695",1.0,"4370 ",大園分局,,,"大樓 ENA01068 田心里 337桃園市大園區田心里23鄰和平西路112號"
38.0,大樓,ENA01069,田心里,"25.05778, 121.19529",1.0,"740 ",大園分局,,,"大樓 ENA01069 田心里 337桃園市大園區田心里21鄰新興路268巷9號"
39.0,大樓,ENA01070,溪海里,"25.04651, 121.19079",1.0,"149 ",大園分局,,,"大樓 ENA01070 溪海里 337桃園市大園區溪海里11鄰崙頂38號"
40.0,大樓,ENA01071,青山里,"25.01824, 121.21036",1.0,"821 ",大園分局,,,"大樓 ENA01071 青山里 337桃園市大園區青山里永園路二段87號"
41.0,大樓,ENA01072,大園里,"25.0634, 121.19574",2.0,"1521 ",大園分局,○,,"大樓 ENA01072 大園里 337桃園市大園區大園里中華路2號"
42.0,公寓,ENA02003,沙崙里,"25.10019, 121.21275",1.0,"57 ",大園分局,,,"公寓 ENA02003 沙崙里 337桃園市大園區沙崙里6鄰桃25鄉道118-1號"
43.0,大樓,ENA02004,沙崙里,"25.10019, 121.21275",1.0,"97 ",大園分局,,,"大樓 ENA02004 沙崙里 337桃園市大園區沙崙里6鄰桃25鄉道118-1號"
44.0,公寓,ENA02005,海口里,"25.10444, 121.24634",1.0,"1405 ",大園分局,,,"公寓 ENA02005 海口里 337桃園市大園區海口里7鄰三民路一段122巷12號"
45.0,公寓,ENA02006,海口里,"25.10856, 121.24963",1.0,"1714 ",大園分局,,,"公寓 ENA02006 海口里 337桃園市大園區海口里9鄰國際路三段932號"
46.0,大樓,ENA03003,埔心里,"25.05775, 121.21223",1.0,"2809 ",大園分局,,,"大樓 ENA03003 埔心里 337桃園市大園區埔心里中正東路444巷21號"
