編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,備註,placemark_address
1.0,南光里,彰化縣二林鎮大成路1段266號,惠生醫院,地下室,"1 ","50 ",JNA00001,,彰化縣二林鎮大成路1段266號
2.0,南光里,彰化縣二林鎮南光里儒林路2段260號,二林鎮農會,地下室,"1 ","133 ",JNA00016,,彰化縣二林鎮南光里儒林路2段260號
3.0,南光里,彰化縣二林鎮南光里裕民街10號,廣福佳園,地下室,"1 ","1,331 ",JNA00018,,彰化縣二林鎮南光里裕民街10號
4.0,南光里,彰化縣二林鎮南光里大成路1段558號,二林基督教醫院,地下室,"1 ","2,275 ",JNA00025,,彰化縣二林鎮南光里大成路1段558號
5.0,後厝里,彰化縣二林鎮後厝里正知三路12號,大宏建設公司（一品世家大樓）,地下室,"1 ","871 ",JNA00003,,彰化縣二林鎮後厝里正知三路12號
6.0,後厝里,彰化縣二林鎮後厝里斗苑路4段267號,眾泰建設公司,地下室,"1 ","1,622 ",JNA00014,,彰化縣二林鎮後厝里斗苑路4段267號
7.0,後厝里,彰化縣二林鎮後厝里斗苑路4段198號,大宏建設公司（二林示範國宅）,地下室,"1 ","1,187 ",JNA00003,,彰化縣二林鎮後厝里斗苑路4段198號
8.0,北平里,彰化縣二林鎮北平里新生路298號,金成賓館,地下室,"1 ","671 ",JNA00005,,彰化縣二林鎮北平里新生路298號
9.0,北平里,彰化縣二林鎮北平里福德街8巷19號,大樓,地下室,"1 ","111 ",JNA00013,,彰化縣二林鎮北平里福德街8巷19號
10.0,北平里,彰化縣二林鎮北平里民享街37號,晉坤建設公司,地下室,"1 ","1,360 ",JNA00022,,彰化縣二林鎮北平里民享街37號
11.0,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,二林工商,地下室,"1 ","480 ",JNA00015,,彰化縣二林鎮豐田里斗苑路4段500號
12.0,豐田里,彰化縣二林鎮豐田里大成路1段51號,宋志懿醫院,地下室,"1 ","96 ",JNA00019,,彰化縣二林鎮豐田里大成路1段51號
13.0,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,二林工商,地下室,"1 ","445 ",JNA00081,,彰化縣二林鎮豐田里斗苑路4段500號
14.0,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,二林工商,地下室,"1 ","480 ",JNA00082,,彰化縣二林鎮豐田里斗苑路4段500號
15.0,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,二林工商,地下室,"1 ","480 ",JNA00083,,彰化縣二林鎮豐田里斗苑路4段500號
16.0,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,二林工商,地下室,"1 ","480 ",JNA00128,,彰化縣二林鎮豐田里斗苑路4段500號
17.0,西平里,彰化縣二林鎮西平里自強街296號,觀音堂,地下室,"1 ","380 ",JNA00012,,彰化縣二林鎮西平里自強街296號
18.0,竹塘村,彰化縣竹塘鄉竹塘村竹林路一段366號,竹塘郵局,地下室,"1 ","78 ",JNA00027,,彰化縣竹塘鄉竹塘村竹林路一段366號
19.0,竹塘村,彰化縣竹塘鄉竹塘村竹林路1段305號,竹塘鄉公所,地下室,"1 ","383 ",JNA00028,,彰化縣竹塘鄉竹塘村竹林路1段305號
20.0,竹塘村,彰化縣竹塘鄉竹塘村中興街41巷21號,大樓,地下室,"1 ","53 ",JNA00029,,彰化縣竹塘鄉竹塘村中興街41巷21號
21.0,竹塘村,彰化縣竹塘鄉竹塘村文化街20號,竹塘國民小學,地下室,"1 ","66 ",JNA00030,,彰化縣竹塘鄉竹塘村文化街20號
22.0,東城村,彰化縣大城鄉東城村南平路1號之1,碁富公司,地下室,"1 ","475 ",JNA00031,,彰化縣大城鄉東城村南平路1號之1
23.0,東城村,彰化縣大城鄉東城村中平路185號,大城鄉公所,地下室,"1 ","716 ",JNA00033,,彰化縣大城鄉東城村中平路185號
24.0,東城村,彰化縣大城鄉東城村中平路163號,大城鄉圖書館,地下室,"1 ","106 ",JNA00034,,彰化縣大城鄉東城村中平路163號
25.0,東城村,彰化縣大城鄉東城村南平路3號之2,大錚實業有限公司,地下室,"1 ","53 ",JNA00035,,彰化縣大城鄉東城村南平路3號之2
26.0,東城村,彰化縣大城鄉東城村南平路3號,大錚實業有限公司,地下室,"1 ","75 ",JNA00036,,彰化縣大城鄉東城村南平路3號
27.0,東城村,彰化縣大城鄉東城村南平路1-2號,夏暉食品公司,地下室,"1 ","1,418 ",JNA00133,,彰化縣大城鄉東城村南平路1-2號
28.0,後寮村,彰化縣芳苑鄉後寮村工區路35號,宏恩塑膠公司,地下室,"1 ","48 ",JNA00020,,彰化縣芳苑鄉後寮村工區路35號
29.0,後寮村,彰化縣芳苑鄉後寮村工區路15號,吉茂精密公司,地下室,"1 ","86 ",JNA00041,,彰化縣芳苑鄉後寮村工區路15號
30.0,後寮村,彰化縣芳苑鄉後寮村工區路13號,吉茂精密公司,地下室,"1 ","97 ",JNA00042,,彰化縣芳苑鄉後寮村工區路13號
31.0,後寮村,彰化縣芳苑鄉後寮村工區路5號,美傢家具股份有限公司,地下室,"1 ","280 ",JNA00043,,彰化縣芳苑鄉後寮村工區路5號
32.0,後寮村,彰化縣芳苑鄉後寮村工業路38號,力麗企業公司,地下室,"1 ","938 ",JNA00044,,彰化縣芳苑鄉後寮村工業路38號
33.0,後寮村,彰化縣芳苑鄉後寮村工區七路16號,力麗企業公司,地下室,"1 ","1,359 ",JNA00045,,彰化縣芳苑鄉後寮村工區七路16號
34.0,後寮村,彰化縣芳苑鄉後寮村工區四路9號,佑鋒實業公司,地下室,"1 ","98 ",JNA00048,,彰化縣芳苑鄉後寮村工區四路9號
35.0,後寮村,彰化縣芳苑鄉後寮村工業路24號,帝宏膠業有限公司,地下室,"1 ","45 ",JNA00049,,彰化縣芳苑鄉後寮村工業路24號
36.0,後寮村,彰化縣芳苑鄉後寮村工業路16號,力鵬企業有限公司,地下室,"1 ","917 ",JNA00051,,彰化縣芳苑鄉後寮村工業路16號
37.0,後寮村,彰化縣芳苑鄉後寮村工區路41號,翔億公司,地下室,"1 ","180 ",JNA00052,,彰化縣芳苑鄉後寮村工區路41號
38.0,後寮村,彰化縣芳苑鄉後寮村工區五路15號,佑懋興公司,地下室,"1 ","62 ",JNA00053,,彰化縣芳苑鄉後寮村工區五路15號
39.0,後寮村,彰化縣芳苑鄉後寮村工業路12號,保境有限公司,地下室,"1 ","82 ",JNA00054,,彰化縣芳苑鄉後寮村工業路12號
40.0,後寮村,彰化縣芳苑鄉後寮村工區路37號,樺美食品公司,地下室,"1 ","188 ",JNA00057,,彰化縣芳苑鄉後寮村工區路37號
41.0,後寮村,彰化縣芳苑鄉後寮村工區路45號,聚隆纖維公司,地下室,"1 ","706 ",JNA00058,,彰化縣芳苑鄉後寮村工區路45號
42.0,後寮村,彰化縣芳苑鄉後寮村工區路45號,聚隆纖維公司,地下室,"1 ","700 ",JNA00059,,彰化縣芳苑鄉後寮村工區路45號
43.0,後寮村,彰化縣芳苑鄉後寮村工區11路40號,芳苑工業區汙水處理廠,地下室,"1 ","133 ",JNA00060,,彰化縣芳苑鄉後寮村工區11路40號
44.0,後寮村,彰化縣芳苑鄉後寮村工區六路8號,今立塑膠公司,地下室,"1 ","33 ",JNA00065,,彰化縣芳苑鄉後寮村工區六路8號
45.0,後寮村,彰化縣芳苑鄉後寮村工區路20號,友晟塑膠公司,地下室,"1 ","142 ",JNA00068,,彰化縣芳苑鄉後寮村工區路20號
46.0,後寮村,彰化縣芳苑鄉後寮村工區三路1號,祥鈦企業公司,地下室,"1 ","108 ",JNA00072,,彰化縣芳苑鄉後寮村工區三路1號
47.0,後寮村,彰化縣芳苑鄉後寮村工區六路12號,紅政公司,地下室,"1 ","108 ",JNA00077,,彰化縣芳苑鄉後寮村工區六路12號
48.0,後寮村,彰化縣芳苑鄉後寮村工區路33號,宏恩塑膠公司,地下室,"1 ","124 ",JNA00078,,彰化縣芳苑鄉後寮村工區路33號
49.0,後寮村,彰化縣芳苑鄉後寮村工區路18號,芳苑工業服務中心,地下室,"1 ","62 ",JNA00085,,彰化縣芳苑鄉後寮村工區路18號
50.0,後寮村,彰化縣芳苑鄉後寮村工區三路26號,上建升工業,地下室,"1 ","84 ",JNA00086,,彰化縣芳苑鄉後寮村工區三路26號
51.0,後寮村,彰化縣芳苑鄉後寮村工區路22號,學一公司,地下室,"1 ","62 ",JNA00092,,彰化縣芳苑鄉後寮村工區路22號
52.0,後寮村,彰化縣芳苑鄉後寮村工區路11號,東隆興業公司,地下室,"1 ","124 ",JNA00093,,彰化縣芳苑鄉後寮村工區路11號
53.0,後寮村,彰化縣芳苑鄉後寮村工區二路13號,佑霖公司,地下室,"1 ","86 ",JNA00100,,彰化縣芳苑鄉後寮村工區二路13號
54.0,後寮村,彰化縣芳苑鄉後寮村工區路34號,宏謚汽車公司,地下室,"1 ","115 ",JNA00107,,彰化縣芳苑鄉後寮村工區路34號
55.0,後寮村,彰化縣芳苑鄉後寮村工區路38號,北原工業公司,地下室,"1 ","117 ",JNA00108,,彰化縣芳苑鄉後寮村工區路38號
56.0,後寮村,彰化縣芳苑鄉後寮村工區路20號,友晟塑膠公司,地下室,"1 ","82 ",JNA00109,,彰化縣芳苑鄉後寮村工區路20號
57.0,後寮村,彰化縣芳苑鄉後寮村芳工區六路3號,吉茂精密公司,地下室,"1 ","250 ",JNA00112,,彰化縣芳苑鄉後寮村芳工區六路3號
58.0,後寮村,彰化縣芳苑鄉後寮村工區路28號,吉茂精密公司,地下室,"1 ","1,045 ",JNA00114,,彰化縣芳苑鄉後寮村工區路28號
59.0,後寮村,彰化縣芳苑鄉後寮村工區五路6號,雅昌實業公司,地下室,"1 ","180 ",JNA00119,,彰化縣芳苑鄉後寮村工區五路6號
60.0,後寮村,彰化縣芳苑鄉後寮村工區四路22號,佑懋興公司,地下室,"1 ","41 ",JNA00124,,彰化縣芳苑鄉後寮村工區四路22號
61.0,後寮村,彰化縣芳苑鄉後寮村工區九路6號,力麗公司,地下室,"1 ","927 ",JNA00127,,彰化縣芳苑鄉後寮村工區九路6號
62.0,後寮村,彰化縣芳苑鄉後寮村工業路33號,力鵬公司,地下室,"1 ","77 ",JNA00131,,彰化縣芳苑鄉後寮村工業路33號
63.0,芳苑村,彰化縣芳苑鄉芳苑村斗苑路芳苑段194巷50號,芳苑消防分隊,地下室,"1 ","96 ",JNA00111,,彰化縣芳苑鄉芳苑村斗苑路芳苑段194巷50號
64.0,芳苑村,彰化縣芳苑鄉芳苑村斗苑路220號,芳苑文化活動中心,地下室,"1 ","280 ",JNA00091,,彰化縣芳苑鄉芳苑村斗苑路220號
65.0,仁愛村,彰化縣芳苑鄉仁愛村斗苑路芳苑段73號,富味鄉公司,地下室,"1 ","100 ",JNA00037,,彰化縣芳苑鄉仁愛村斗苑路芳苑段73號
66.0,草湖村,彰化縣芳苑鄉草湖村二溪路草2段275號,普裕公司,地下室,"1 ","133 ",JNA00073,,彰化縣芳苑鄉草湖村二溪路草2段275號
