電腦編號,鄉鎮市區,村里別,地址,經度,緯度,避難樓層,可容納人數,轄管分局
XG1029,小港區,鳳鳴里,高雄市小港區鳳鳴里16鄰丹山一路15之5號,"120.360657 ","22.510418 ",B1,41.0,小港分局
XG1274,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之10號,"120.361661 ","22.510811 ",B1,15.0,小港分局
XG1275,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之11號,"120.361633 ","22.510838 ",B1,15.0,小港分局
XG1276,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之12號,"120.361605 ","22.510864 ",B1,14.0,小港分局
XG1277,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之13號,"120.361580 ","22.510901 ",B1,14.0,小港分局
XG1278,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3號,"120.361971 ","22.510503 ",B1,14.0,小港分局
XG1279,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之1號,"120.361940 ","22.510532 ",B1,14.0,小港分局
XG1280,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之2號,"120.361911 ","22.510560 ",B1,14.0,小港分局
XG1281,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之3號,"120.361883 ","22.510591 ",B1,14.0,小港分局
XG1282,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之4號,"120.361856 ","22.510618 ",B1,14.0,小港分局
XG1283,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之5號,"120.361831 ","22.510645 ",B1,14.0,小港分局
XG1284,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之6號,"120.361805 ","22.510673 ",B1,14.0,小港分局
XG1285,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之7號,"120.361778 ","22.510701 ",B1,15.0,小港分局
XG1286,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之8號,"120.361750 ","22.510731 ",B1,14.0,小港分局
XG1287,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之9號,"120.361721 ","22.510757 ",B1,15.0,小港分局
XG1479,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路40號,"120.367414 ","22.530614 ",B1,279.0,小港分局
XG1637,小港區,鳳鳴里,高雄市小港區鳳鳴里4鄰丹山二路25之7號,"120.359802 ","22.512564 ",B1,20.0,小港分局
XG1638,小港區,鳳鳴里,高雄市小港區鳳鳴里4鄰丹山二路25之8號,"120.359801 ","22.512506 ",B1,20.0,小港分局
XG1640,小港區,鳳鳴里,高雄市小港區鳳鳴里17鄰沿海三路36號,"120.366750 ","22.523204 ",B1,427.0,小港分局
XG1693,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路32號,"120.365862 ","22.527562 ",B1,254.0,小港分局
XG1825,小港區,鳳鳴里,高雄市小港區鳳鳴里17鄰沿海三路26之3號,"120.368301 ","22.526361 ",B1,220.0,小港分局
XG1858,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路38號,"120.367149 ","22.530037 ",B1,313.0,小港分局
XG1955,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路21號,"120.364498 ","22.526147 ",B1,124.0,小港分局
XG2273,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路28號,"120.364813 ","22.525517 ",B1,708.0,小港分局
XG2371,小港區,鳳鳴里,高雄市小港區鳳鳴里11鄰丹山三路18號,"120.359278 ","22.513328 ",B1,19.0,小港分局
XG2390,小港區,鳳鳴里,高雄市小港區鳳鳴里3鄰丹山二路20之2號,"120.360175 ","22.511319 ",B1,12.0,小港分局
XG2391,小港區,鳳鳴里,高雄市小港區鳳鳴里3鄰丹山二路20之1號,"120.360204 ","22.511358 ",B1,12.0,小港分局
XG2641,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路8號,"120.361344 ","22.519597 ",B1,228.0,小港分局
XG2928,小港區,山明里,高雄市小港區山明里華山路42號,"120.370072 ","22.564075 ",B1、B2、B3,3491.0,小港分局
XG2929,小港區,山明里,高雄市小港區山明里宏光街289號,"120.363787 ","22.567894 ",B3,2115.0,小港分局
XG2930,小港區,順苓里,高雄市小港區順苓里平治街51之2號,"120.356499 ","22.567637 ",B1,410.0,小港分局
