類別,建築物名稱,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道
大樓,永恆之藝社區,T111101,汴洲里,"25.031382, 121.296741",1、2、3,884.0,桃園分局,," "
大樓,經品翫社區,T111102,新埔里,"25.0164761,121.3067792",1、2,439.0,桃園分局,," "
大樓,大睦敦品社區,T111103,三元里,"25.0076497,121.3221512",1、2、3,1464.0,桃園分局,,v
大樓,公寓,T111104,文中里,"24.9980561,121.2936197",1,587.0,桃園分局,," "
大樓,康晶釀社區,T111105,青溪里,"25.017582, 121.300869",1、2、3、4,642.0,桃園分局,," "
公務機關,桃園市立圖書館,T111106,同安里,"25.0185882,121.3006629",1、2,6452.0,桃園分局,,v
大樓,美麗一森社區,T111107,文中里,"25.0008031,121.2944353",1、2、3,808.0,桃園分局,,v
公務機關,桃園市立殯葬管理所,T111108,汴洲里,"25.0216107,121.3164305",1、2、3,4608.0,桃園分局,,v
大樓,宜誠一方舍區,T111109,中路里,"24.9918364,121.2918589",1、2、3,1276.0,桃園分局,,v
公務機關,桃園市桃園區西門國民小學,T111110,西門里,"24.9953096,121.3043617",1,289.0,桃園分局,," "
公務機關,桃園市桃園區北門國民小學,T111111,信光里,"25.0074277,121.3071438",1,270.0,桃園分局,," "
公務機關,桃園市桃園區中埔國民小學,T111112,中埔里,"25.0092683,121.2871438",1,1037.0,桃園分局,,v
公務機關,桃園市立桃園國民中學,T111113,西門里,"24.9955321,121.3050576",1,183.0,桃園分局,," "
公務機關,桃園市立中興國民中學,T111114,文中里,"24.9963811,121.2908267",1,345.0,桃園分局,," "
公務機關,桃園市立陽明高級中等學校,T111115,玉山里,"24.9803367,121.3032246",1,999.0,桃園分局,,v
公務機關,桃園市立武陵高級中等學校,T111116,中聖里,"24.9882172,121.2855502",1,979.0,桃園分局,," "
大樓,公寓,T111117,豐林里,"24.9841838, 121.3099228",1,216.0,桃園分局,," "
大樓,尊聖白金花園社區,T111118,文中里,"24.9984279, 121.2891277",1、2、3,1590.0,桃園分局,,v
大樓,青和寬逸社區,T111119,中正里,"24.9980881, 121.2936453",1、2、3、4,1029.0,桃園分局,,v
大樓,君邑富域,T111120,南埔里,"25.0057558, 121.2937093",1、2、3、4,756.0,桃園分局,,v
大樓,福泰金城社區,T111121,東埔里,"25.0006741, 121.3087957",1、2、3、4,1354.0,桃園分局,,v
大樓,中路四號社會住宅,T111122,中埔里,"25.0077840, 121.2862362",1、2、3,1827.0,桃園分局,,v
大樓,公寓,T111123,中寧里,"25.0137549, 121.2981597",1,152.0,桃園分局,," "
大樓,公寓,T111124,文中里,"24.9986603, 121.2922158",1、2、3,710.0,桃園分局,,v
大樓,公寓,T111301,文中里,"24.9995612, 121.2930672",1、2、3,1676.0,桃園分局,,v
大樓,公寓,T111302,中正里,"24.9950287, 121.2992350",1,1427.0,桃園分局,,v
大樓,公寓,T111303,中埔里,"25.0073779, 121.28568",1、2、3,3117.0,桃園分局,,v
大樓,公寓,T111304,青溪里,"25.005510, 121.3105601",1、2、3、4,1367.0,桃園分局,,v
大樓,公寓,T111401,中埔里,"25.00609097, 121.2902619",1、2、3,2760.0,桃園分局,,v
大樓,公寓,T111402,青溪里,"25.0050723, 121.3141661",1、2、3、4、5,796.0,桃園分局,,v
大樓,公寓,T111403,文中里,"25.0011034, 121.2924440",1、2、3、4,2579.0,桃園分局,,v
大樓,公寓,T111404,中平里,"24.9888371, 121.2960566",1,517.0,桃園分局,," "
大樓,公寓,T111405,文中里,"24.99844199, 121.2883722",1、2,281.0,桃園分局,," "
大樓,公寓,T111406,龍安里,"24.99227589, 121.2763907",1、2、3,1297.0,桃園分局,,v
大樓,公寓,T111407,文中里,"24.99931012, 121.2909409",1、2、3,840.0,桃園分局,,v
大樓,公寓,T111408,青溪里,"25.003774, 121.3128599",1、2、3、4,1250.0,桃園分局,,v
大樓,公寓,T111409,青溪里,"25.00184309, 121.3112986",1、2、3、4,1020.0,桃園分局,,v
大樓,公寓,T111410,中埔里,"25.00773475, 121.291605",1、2、3,792.0,桃園分局,,v
大樓,公寓,T111411,文中里,"24.99944308, 121.2919952",1、2,245.0,桃園分局,," "
公務機關,桃園市政府警察局,T110101,中成里,,1、2,1666.0,桃園分局,(機敏單位)警察單位,v
公務機關,桃園市政府警察局,T110102,汴洲里,,1、2、3、4,980.0,桃園分局,(機敏單位)警察單位,v
公務機關,桃園市桃園區公所,T110103,建國里,"24.9870745, 121.3202755",1,651.0,桃園分局,,v
公務機關,桃園市政府衛生局,T110104,玉山里,"24.9897264, 121.3031489",1、2,647.0,桃園分局,," "
大樓,同良機械有限公司,T110105,文中里,"25.0011241,121.2943286",1、2、3,1328.0,桃園分局,,v
大樓,昭陽君喆社區,T110106,文中里,"24.9998646,121.291707",1、2、3,867.0,桃園分局,," "
大樓,明築隱社區,T110107,文中里,"24.9990975,121.2889962",1、2、3,750.0,桃園分局,," "
公務機關,琼都巴黎社區,T110108,光興里,"24.9929026,121.3010601",1、2、3,2234.0,桃園分局,,v
大樓,栢大京森社區,T110109,光興里,"24.9939555,121.3003009",1,186.0,桃園分局,," "
大樓,昕中城社區,T110110,萬壽里,"24.9965001,121.3226676",1、2,1270.0,桃園分局,,v
公務機關,桃園市政府警察局,T110111,光興里,,1,898.0,桃園分局,(機敏單位)警察單位,v
公務機關,桃園市政府警察局,T110112,三元里,,1,293.0,桃園分局,(機敏單位)警察單位," "
公務機關,桃園市桃園區公所,T110113,光興里,"24.9940217,121.3016813",1,1957.0,桃園分局,,v
大樓,桃園市政府衛生局,T110114,光興里,"24.9929196,121.3002962",1,832.0,桃園分局,," "
大樓,同良機械有限公司,T110201,大樹里,"24.984749,121.320216",1,793.0,桃園分局,,v
大樓,昭陽君喆社區,T110202,文中里,"24.9977562,121.2880608",1、2、3,903.0,桃園分局,,v
大樓,明築隱社區,T110203,文中里,"24.9991105,121.2941056",1、2、3,861.0,桃園分局,," "
大樓,琼都巴黎社區,T110204,中正里,"24.9973953,121.2973773",1、2、3、4,1959.0,桃園分局,,v
大樓,栢大京森社區,T110205,西門里,"24.9958175,121.3063431",1,183.0,桃園分局,," "
公寓,昕中城社區,T110206,中正里,"24.9959546,121.2961338",1、2、3,1496.0,桃園分局,,v
大樓,昭揚越,T110301,中興里,"24.997982,121.2981402",1、2、3,1348.0,桃園分局,,v
大樓,合輝豐鉑社區,T110302,文中里,"24.9983311,121.2937299",1、2、3,1471.0,桃園分局,,v
大樓,公寓,T110303,文中里,"24.998057,121.2936285",1、2,434.0,桃園分局,," "
大樓,大清卓越社區,T110304,同安里,"25.019104,121.2991241",1、2、3,1994.0,桃園分局,,v
大樓,宜誠玓瓅,T110305,中成里,"25.0015223,121.2947066",1、2、3,2246.0,桃園分局,,v
大樓,樂活資產管理有限公司,T110306,文中里,"24.9991105,121.2941056",1,419.0,桃園分局,," "
大樓,昭揚湛社區,T110307,龍安里,"24.9919728,121.275067",1、2,910.0,桃園分局,,v
大樓,潤蓬企業有限公司,T110308,汴洲里,"25.0307924,121.2956361",1,269.0,桃園分局,," "
大樓,印象綠裔社區,T110309,文中里,"24.996386,121.2896931",1,492.0,桃園分局,," "
大樓,中路一號社會住宅,T110310,中埔里,"25.007925,121.2879475",1、2、3,1365.0,桃園分局,,v
大樓,秉坤婦幼醫院,T110311,中成里,"25.0083227,121.303303",1、2、3,1109.0,桃園分局,,v
大樓,丰格109社區,T110401,文中里,"24.9998483,121.2907891",1、2、3,1451.0,桃園分局,,v
大樓,福鄉至美社區,T110402,文中里,"25.0040504,121.2925228",1、2、3,1500.0,桃園分局,,v
大樓,翫寶龍,T110403,中成里,"25.0058615,121.294387",1、2、3,816.0,桃園分局,,v
大樓,定泰清溪翫,T110404,青溪里,"25.0030588,121.3107918",1、2、3、4,1385.0,桃園分局,,v
公寓,檜樂集,T110405,青溪里,"25.0016597,121.3126447",1、2、3、4,1205.0,桃園分局,,v
大樓,公寓,T110406,永興里,"24.9975314,121.3077155",1,138.0,桃園分局,," "
大樓,麗晶花園廣場社區,T109101,同安里,"25.0157216,121.3005908",1、2、3、4,3440.0,桃園分局,,v
大樓,京璽社區,T109102,武陵里,"24.9906046,121.3152496",1、2、3,751.0,桃園分局,," "
大樓,遠雄金融中心大樓,T109103,汴洲里,"25.0296183,121.3003837",1、2、3、4,1379.0,桃園分局,,v
大樓,禾林浮島,T109104,忠義里,"24.9977235,121.3254171",1、2、3、4,695.0,桃園分局,," "
大樓,竹城早稻田,T109105,信光里,"25.0080906,121.3061224",1、2、3,1160.0,桃園分局,,v
公寓,W17社區,T109106,東山里,"24.991183,121.316381",1、2,288.0,桃園分局,," "
大樓,愛在陽明社區,T109107,南門里,"24.9806507,121.3043075",1、2、3,1252.0,桃園分局,,v
大樓,大河戀社區,T109108,汴洲里,"25.028027,121.2992804",1、2、3,2030.0,桃園分局,,v
大樓,合輝云朵,T109109,中成里,"25.0036459,121.2902044",1、2、3,2013.0,桃園分局,,v
大樓,公寓,T109201,汴洲里,"25.0307311,121.295648",1、2、3,431.0,桃園分局,," "
大樓,印象天裔,T109202,中成里,"25.001846,121.2931478",1、2、3,862.0,桃園分局,,v
大樓,中茂亞太中心大樓,T109203,汴洲里,"25.0294124,121.2994815",1、2、3、4,1506.0,桃園分局,,v
大樓,公寓,T109204,中正里,"24.9966939,121.296532",1,339.0,桃園分局,," "
公寓,吉邑晶站,T109205,東山里,"24.9917287,121.3174527",1、2,258.0,桃園分局,," "
大樓,市政潤隆社區,T109206,中正里,"24.9951306,121.296122",1、2、3,2000.0,桃園分局,,v
公寓,佳陞吉市社區,T109207,民生里,"24.9965755,121.3124551",1、2、3,1835.0,桃園分局,,v
大樓,福倉禾硯社區,T109208,文中里,"25.0011467,121.2934479",1、2、3,808.0,桃園分局,,v
大樓,名軒夢享家社區,T109209,檜樂里,"25.0187938,121.3168352",1、2,3947.0,桃園分局,,v
大樓,文中匯社區,T109210,文中里,"24.996709,121.2886775",1、2、3、4,753.0,桃園分局,,v
大樓,康宸綠園道,T109211,寶民里,"25.0118878,121.317505",1、2,366.0,桃園分局,," "
大樓,國泰水秀社區,T109212,文中里,"24.996386,121.2896931",1、2、3,1238.0,桃園分局,,v
大樓,昭陽無限,T109213,中成里,"25.0042663,121.2947848",1、2,645.0,桃園分局,,v
大樓,雲世代,T109214,中成里,"25.0028989,121.2967732",1、2、3、4,1330.0,桃園分局,,v
大樓,公寓,T109215,大有里,"25.0100398,121.3219517",1,486.0,桃園分局,," "
大樓,璞淘元社區,T109216,汴洲里,"25.0284704,121.297941",1、2、3,1457.0,桃園分局,,v
公寓,昭陽君麗社區,T109301,文中里,"24.9998948,121.2914842",1、2、3,968.0,桃園分局,," "
大樓,公寓,T109302,汴洲里,"25.0292059,121.2969494",1、2,668.0,桃園分局,," "
大樓,重久山臨溪,T109303,三民里,"24.9967698,121.3228391",1、2,379.0,桃園分局,," "
大樓,向陽明珠社區,T109304,中正里,"24.9969653,121.2952473",1、2,556.0,桃園分局,," "
大樓,名嘉清境社區,T109305,文中里,"25.0002128,121.2923562",1、2、3,867.0,桃園分局,," "
大樓,桃園市文昌非營利幼兒園,T109306,信光里,"25.0090788,121.3071432",1,789.0,桃園分局,,v
大樓,公寓,T109401,文中里,"25.0070619,121.300189",1,483.0,桃園分局,," "
大樓,忠泰幸社區,T109402,汴洲里,"25.0275332,121.2982731",1、2、3、4,1387.0,桃園分局,,v
公寓,運動家社區,T109403,中成里,"25.0050028,121.2945132",1、2、3,1075.0,桃園分局,,v
公寓,滿庭芳,T109404,三民里,"24.997178,121.3222355",1、2、3,655.0,桃園分局,," "
大樓,益展涵玥社區,T109405,莊敬里,"25.0188969,121.30175",1、2、3、4,1326.0,桃園分局,,v
公務機關,桃園市勞工教育大樓,T109406,朝陽里,"25.00284,121.3096007",1、2,858.0,桃園分局,," "
大樓,東門市場,T109407,東山里,"24.9927818,121.3171784",1、2、3,1989.0,桃園分局,,v
大樓,德友極社區,T109408,文明里,"24.9900179,121.3084113",1、2、3、4,1387.0,桃園分局,,v
大樓,益展不二家社區,T109409,中正里,"24.994642,121.299485",1、2、3、4,1095.0,桃園分局,,v
大樓,合遠史丹佛社區,T109410,中成里,"25.0004062,121.2959151",1、2、3,1335.0,桃園分局,,v
大樓,光語澍社區,T109411,中信里,"24.9939996,121.2856668",1、2,908.0,桃園分局,,v
大樓,幸福匯社區,T109412,汴洲里,"25.0286837,121.3024349",1、2、3、4,2838.0,桃園分局,,v
大樓,公寓,T109413,中德里,"24.9658223,121.2928488",1,745.0,桃園分局,,v
大樓,水逸秀軒社區,T108101,文中里,"24.9970991,121.2885842",1、2、3,627.0,桃園分局,,v
公務機關,臺灣桃園地方法院,T108102,中埔里,"25.0061804,121.2884097",1、2,10577.0,桃園分局,,v
公寓,京澄無為大方無隅社區,T108103,文中里,"25.0007463,121.2911107",1、2、3,816.0,桃園分局,,v
大樓,濟弘皇璽社區,T108104,西門里,"24.9945242,121.3077413",1、2、3,2611.0,桃園分局,,v
大樓,美樂地社區,T108105,東門里,"24.99522,121.313798",1、2、3、4,364.0,桃園分局,," "
大樓,利百代股份有限公司,T108106,大樹里,"24.981712,121.3199268",1,1923.0,桃園分局,,v
大樓,永安醴,T108107,永安里,"25.0008244,121.3058477",1、2、3,1314.0,桃園分局,,v
大樓,天鑽,T108201,三元里,"25.0072554,121.3210588",1、2、3,1532.0,桃園分局,,v
公寓,昭揚君鼎社區,T108202,龍鳳里,"24.9890921,121.279422",1、2、3,1033.0,桃園分局,,v
公寓,嘉仕特飯店,T108203,文昌里,"24.9929221,121.3082385",1、2,323.0,桃園分局,," "
大樓,合雄首璽社區,T108204,大有里,"25.0085609, 121.320466",1、2、3,1644.0,桃園分局,,v
大樓,公寓,T108205,北門里,"25.0000678,121.309546",1,262.0,桃園分局,," "
大樓,新捷市社區,T108206,龍壽里,"24.9830472,121.2725594",1、2、3,3440.0,桃園分局,,v
大樓,合新讀樂樂社區,T108207,文中里,"24.9965122,121.2891487",1、2、3、4,1036.0,桃園分局,,v
公務機關,慈文國中,T108208,慈文里,"25.0094401,121.3016355",1,701.0,桃園分局,,v
大樓,世中心社區,T108209,永興里,"24.9964438,121.3087216",1、2、3,1289.0,桃園分局,,v
公寓,京澄園朗社區,T108210,文中里,"24.9998664,121.2886512",1、2、3,682.0,桃園分局,,v
公寓,公寓,T108211,朝陽里,"24.999598,121.3134288",1,397.0,桃園分局,," "
大樓,公寓,T108212,中正里,"24.9955716,121.2986616",1、2、3,904.0,桃園分局,,v
大樓,中路二號社會住宅,T108301,中成里,"24.9996364,121.2970948",1、2、3,1703.0,桃園分局,,v
公寓,展昇奧斯卡社區,T108302,文中里,"24.9995297,121.2903132",1、2、3,1088.0,桃園分局,,v
