"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
全聯商場,QMA00231,大埔里,屏東縣屏東市大埔里07鄰民族路202號,"22.67229235321396, 120.4807995960522",1,61.0,屏東分局,
—,QMA00320,大埔里,屏東縣屏東市大埔里07鄰民族路207號,"22.67031178475983, 120.48491199703167",1,26.0,屏東分局,
兆豐商銀/屏東分行,QMA02026,大埔里,屏東縣屏東市大埔里07鄰民族路213號,"22.67045453362113, 120.48451492058463",1,1608.0,屏東分局,
—,QMA00234,大埔里,屏東縣屏東市大埔里07鄰民族路218號,"22.671618082360766, 120.4799926970316",1,33.0,屏東分局,
—,QMA00330,大埔里,屏東縣屏東市大埔里07鄰民族路221號,"22.670390184737144, 120.48421172586744",1,26.0,屏東分局,
—,QMA00321,大埔里,屏東縣屏東市大埔里07鄰民族路237號,"22.67056298468721, 120.48382369703168",1,26.0,屏東分局,
—,QMA00319,大埔里,屏東縣屏東市大埔里07鄰民族路259號,"22.670639184088937, 120.48342839703159",1,26.0,屏東分局,
—,QMA00332,大埔里,屏東縣屏東市大埔里07鄰民族路281-1號,"22.670705183928238, 120.48220706819592",1,26.0,屏東分局,
仁佑診所,QMA02093,大埔里,屏東縣屏東市大埔里07鄰民族路303號,"22.670925583635928, 120.48126129703161",1,168.0,屏東分局,
—,QMA00357,大埔里,屏東縣屏東市大埔里07鄰民族路305-6號,"22.670961084016806, 120.48101619703175",1,40.0,屏東分局,
—,QMA00356,大埔里,屏東縣屏東市大埔里07鄰民族路305-7號,"22.670978384006766, 120.48094666819583",1,66.0,屏東分局,
新光商業樓,QMA02114,大埔里,屏東縣屏東市大埔里07鄰民族路337號,"22.671113583486576, 120.48079156819585",1,52.0,屏東分局,
—,QMA00355,大埔里,屏東縣屏東市大埔里07鄰民族路337-3號,"22.671011784128904, 120.48081736819587",1,66.0,屏東分局,
—,QMA00351,大埔里,屏東縣屏東市大埔里07鄰民族路337-4號,"22.671064084248297, 120.48078083936001",1,40.0,屏東分局,
—,QMA00350,大埔里,屏東縣屏東市大埔里07鄰民族路341號,"22.67106148439593, 120.48048076819583",1,40.0,屏東分局,
—,QMA00352,大埔里,屏東縣屏東市大埔里07鄰民族路363號,"22.67118828435003, 120.47998482586738",1,40.0,屏東分局,
—,QMA00354,大埔里,屏東縣屏東市大埔里07鄰民族路363-1號,"22.671145683910108, 120.48008932586745",1,40.0,屏東分局,
—,QMA00353,大埔里,屏東縣屏東市大埔里07鄰民族路363-2號,"22.671157384055245, 120.48008056819586",1,40.0,屏東分局,
和平教會/教育大樓,QMA00358,大埔里,屏東縣屏東市大埔里07鄰民族路399號,"22.67129258447624, 120.47943739703165",1,421.0,屏東分局,共有2處、總計可容納人數1455人
和平教會/教堂,QMA02138,大埔里,屏東縣屏東市大埔里07鄰民族路399號,"22.67129258447624, 120.47943739703165",1,1034.0,屏東分局,共有2處、總計可容納人數1455人
—,QMA00316,大埔里,屏東縣屏東市大埔里05鄰光復路100號,"22.66993408467392, 120.48545846819582",1,26.0,屏東分局,
—,QMA00309,大埔里,屏東縣屏東市大埔里05鄰光復路114號,"22.670027784626434, 120.48433486819577",1,26.0,屏東分局,
—,QMA00305,大埔里,屏東縣屏東市大埔里05鄰光復路116號,"22.670123984272735, 120.48424009703169",1,26.0,屏東分局,
—,QMA00306,大埔里,屏東縣屏東市大埔里05鄰光復路152號,"22.670171784472863, 120.48326386819575",1,26.0,屏東分局,
—,QMA00360,大埔里,屏東縣屏東市大埔里05鄰光復路198號,"22.67047278450469, 120.48131659703164",1,80.0,屏東分局,
—,QMA00362,大埔里,屏東縣屏東市大埔里05鄰光復路198-1號,"22.67047108440241, 120.48143099703175",1,40.0,屏東分局,
—,QMA00361,大埔里,屏東縣屏東市大埔里05鄰光復路200號,"22.67048898428959, 120.48129249703173",1,40.0,屏東分局,
—,QMA00364,大埔里,屏東縣屏東市大埔里05鄰光復路208號,"22.670412784630276, 120.48104429703156",1,53.0,屏東分局,
大東海補習班,QMA00302,大埔里,屏東縣屏東市大埔里02鄰重慶路1號,"22.670076284454915, 120.48458079703164",1,26.0,屏東分局,
—,QMA00301,大埔里,屏東縣屏東市大埔里02鄰重慶路3號,"22.67011078443246, 120.48454929703169",1,26.0,屏東分局,
—,QMA00298,大埔里,屏東縣屏東市大埔里04鄰重慶路7號,"22.670291284227133, 120.48455436819584",1,26.0,屏東分局,
—,QMA00300,大埔里,屏東縣屏東市大埔里04鄰重慶路9號,"22.67030438466951, 120.48451248168841",1,26.0,屏東分局,
—,QMA00303,大埔里,屏東縣屏東市大埔里02鄰重慶路20號,"22.670371684548464, 120.48481256819588",1,26.0,屏東分局,
—,QMA00297,大埔里,屏東縣屏東市大埔里04鄰貴陽街2-3號,"22.670359584085567, 120.48365959703169",1,26.0,屏東分局,
—,QMA00296,大埔里,屏東縣屏東市大埔里06鄰柳州街2號,"22.670010384635336, 120.48169266819585",1,26.0,屏東分局,
—,QMA00295,大埔里,屏東縣屏東市大埔里06鄰柳州街8-1號,"22.67052048427138, 120.48166066819579",1,26.0,屏東分局,
—,QMA00294,大埔里,屏東縣屏東市大埔里06鄰柳州街10-3號,"22.670666084420894, 120.48164026819578",1,26.0,屏東分局,
—,QMA00359,大埔里,屏東縣屏東市大埔里04鄰柳州街15號,"22.670836784217386, 120.48138876819577",1,40.0,屏東分局,
—,QMA00233,大埔里,屏東縣屏東市大埔里03鄰柳州街39號,"22.671990684060134, 120.48084819703175",1,36.0,屏東分局,
—,QMA00232,大埔里,屏東縣屏東市大埔里03鄰柳州街41號,"22.672034783611508, 120.48081966819583",1,26.0,屏東分局,
—,QMA00230,大埔里,屏東縣屏東市大埔里06鄰柳州街70號,"22.67229898371295, 120.48084346819584",1,26.0,屏東分局,
—,QMA00229,大埔里,屏東縣屏東市大埔里06鄰柳州街80號,"22.672566283852035, 120.48080226819593",1,33.0,屏東分局,
—,QMA00365,大埔里,屏東縣屏東市大埔里03鄰北極街32號,"22.67089478432173, 120.4802467970316",1,40.0,屏東分局,
—,QMA00366,大埔里,屏東縣屏東市大埔里03鄰北極街34號,"22.670985884423217, 120.48026956819587",1,40.0,屏東分局,
—,QMA00367,大埔里,屏東縣屏東市大埔里03鄰北極街34號,"22.670985884423217, 120.48026956819587",1,40.0,屏東分局,
—,QMA00341,光榮里,屏東縣屏東市光榮里03鄰中山路31號,"22.670750984508096, 120.48628366819592",1,66.0,屏東分局,
唐榮國小/西棟大樓,QMA02011,光榮里,屏東縣屏東市光榮里03鄰中山路41號,"22.6718779832836, 120.48608596819578",1,1294.0,屏東分局,共有3處、總計可容納人數3210人
唐榮國小/北棟大樓,QMA02012,光榮里,屏東縣屏東市光榮里03鄰中山路41號,"22.6718779832836, 120.48608596819578",1,1016.0,屏東分局,共有3處、總計可容納人數3210人
唐榮國小/南棟大樓,QMA02013,光榮里,屏東縣屏東市光榮里03鄰中山路41號,"22.6718779832836, 120.48608596819578",1,900.0,屏東分局,共有3處、總計可容納人數3210人
台灣銀行/屏東分行,QMA00197,光榮里,屏東縣屏東市光榮里05鄰中山路43號,"22.672538183356902, 120.48566946819587",1,332.0,屏東分局,
