類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
金源大廈,入船里,基隆市中正區中船路134號,"25.1382891,121.7510151",B01,231,第二分局,
港都明珠,入船里,基隆市中正區中正路164號,"25.1391794,121.7523813",B01B02B03B04,1095,第二分局,
公寓,八斗里,基隆市中正區漁港三街168號,"25.143127,121.796955",B01,1248,第二分局,
忠孝國小,中正里,基隆市中正區中正路656巷150號,"25.1490977,121.7671454",B01,137,第二分局,
7-11漁港門市,中正里,基隆市中正區中正路672號,"25.151464,121.7676882",B01,204,第二分局,
原中正區公所(戶政所),中正里,基隆市中正區中正路674號,"25.1515247,121.7677378",B01,192,第二分局,
吉興名人大廈,中砂里,基隆市中正區豐稔街132號之1,"25.1378906,121.7597466",B01B02,289,第二分局,
正豐名邸,中砂里,基隆市中正區正豐街36之1號2樓,"25.1406206,121.7602134",B01,363,第二分局,
豐稔京棧,中砂里,基隆市中正區豐稔街104號五樓,"25.1393066,121.7612837",B01,103,第二分局,
蔚來家,中砂里,基隆市中正區豐稔街118號,"25.138644,121.7610731",B01B02B03,805,第二分局,
中正區公所,中砂里,基隆市中正區中正路236號,"25.1408442,121.7589831",B01B02,1319,第二分局,
萬國大廈,中船里,基隆市中正區中正路102號,"25.137446,121.7493397",B01,411,第二分局,
公寓-東方實業行,中船里,基隆市中正區中正路90號,"25.1372935,121.7490757",B01,138,第二分局,
中正國民小學,中船里,基隆市中正區中船路36巷4號,"25.1360831,121.750872",B01,979,第二分局,
海景名門(中船鵝肉店),中船里,基隆市中正區中船路22號,"25.1369112,121.7501027",B01,273,第二分局,
中正國民中學-活動中心,中船里,基隆市中正區中船路36巷59號,"25.1348679,121.7534288",B01,1133,第二分局,
中正國民中學-正德樓,中船里,基隆市中正區中船路36巷59號,"25.1353633,121.7540383",B01,811,第二分局,
公寓,中濱里,基隆市中正區中正路510號,"25.1491179,121.7636196",B01,175,第二分局,
小西湖漁網行,中濱里,基隆市中正區中正路381號,"25.1504083,121.7651824",B01,427,第二分局,
公寓,仁義里,基隆市信義區義六路25號,"25.1303345,121.7510023",B01B02,187,第二分局,
信義區公所,仁義里,基隆市信義區信二路179號,"25.1295193,121.7512399",B01,824,第二分局,
信義公教公寓,仁義里,基隆市信義區義六路15號,"25.1297228,121.7510763",B01,203,第二分局,
海港樓餐廳,仁義里,基隆市信義區信二路181號,"25.1294856,121.7509971",B01,310,第二分局,
信義延吉,仁義里,基隆市信義區信一路96巷7號,"25.129125,121.7504366",B01B02,252,第二分局,
基隆極樂寺,仁壽里,基隆市信義區信二路270號,"25.1310413,121.7472827",B01,1123,第二分局,
公寓,仁壽里,基隆市信義區信二路265號,"25.1302804,121.7475968",B01,153,第二分局,
公寓,仁壽里,基隆市信義區信一路141巷25號,"25.1301723,121.7475835",B01,173,第二分局,
大三大樓,仁壽里,基隆市信義區信一路133之6號,"25.1293163,121.747257",B01B02,705,第二分局,
全家、好樂迪,仁壽里,基隆市信義區信一路148號,"25.1294989,121.746975",B01B02B03,1834,第二分局,
基隆市教會第一聚會所,仁壽里,基隆市信義區信二路225號,"25.129779,121.7489353",B01,416,第二分局,
海頓公寓,仁壽里,基隆市信義區信一路111號,"25.1288003,121.7494423",B01,71,第二分局,
華爾街名廈,仁壽里,基隆市信義區信一路141巷26號,"25.130059,121.7478087",B01,181,第二分局,
私宅,仁壽里,基隆市信義區義五路13巷25號,"25.1292223,121.7483403",B01B02B03,362,第二分局,
基隆市議會,仁壽里,基隆市信義區壽山路5號,"25.1313943,121.7488627",B01B02,2861,第二分局,
勝佳生活百貨,仁壽里,基隆市信義區信一路130之1號,"25.1290481,121.7478454",B01,124,第二分局,
陽信銀行,仁壽里,基隆市信義區信一路117號,"25.1288841,121.7488971",B01B02,207,第二分局,
信義璞真,仁壽里,基隆市信義區義三路12巷9號,"25.130149,121.7471924",B01B02,120,第二分局,
台灣造船股份有限公司-造船大樓,平寮里,基隆市中正區和一路224號,"25.1549791,121.7626426",B01,1777,第二分局,
台灣造船股份有限公司-修船大樓,平寮里,基隆市中正區和一路224號,"25.1563411,121.7616368",B01,1144,第二分局,
農委會水產試驗所,平寮里,基隆市中正區和一路199號,"25.1547152,121.763178",B01,199,第二分局,
基隆港務局,平寮里,基隆市中正區平一路480號,"25.160018,121.7574537",B01,584,第二分局,
公寓,正砂里,基隆市中正區正榮街77巷53號,"25.1470437,121.7621135",B01B02B03B04,282,第二分局,
公寓,正砂里,基隆市中正區正榮街28之4號,"25.1446299,121.7620102",B01B02,245,第二分局,
公寓,正砂里,基隆市中正區正榮街28之1號,"25.1447246,121.7620263",B01B02,222,第二分局,
安瀾一品,正砂里,基隆市中正區中正路213號,"25.1433871,121.7610792",B01,298,第二分局,
大觀園,正砂里,基隆市中正區正榮街59號,"25.1458139,121.7621827",B01,163,第二分局,
中正公教住宅,正砂里,基隆市中正區中正路400之3號,"25.1454475,121.7616935",B01,982,第二分局,
公寓,正砂里,基隆市中正區中正路97號,"25.1409823,121.7570586",B01B02,318,第二分局,
海玉,正砂里,基隆市中正區中正路335號,"25.1481688,121.7617266",B01B02B03,489,第二分局,
