類別,電腦編號,村里別,地址,"地下樓 層數",可容納人數,派出所,備註,經度,緯度
麥迪奇名家社區管理委員會,D801000001,竿蓁里,新北市淡水區竿蓁里淡金路38巷35弄2號,3.0,1580.0,中山路派出所,,121.4578,25.16156
海帝溫泉社區管理委員會,D801000002,竿蓁里,新北市淡水區竿蓁里中正東路一段105巷15號,5.0,1695.0,中山路派出所,,121.45377,25.16119
海帝C棟社區管理委員會,D801000003,竿蓁里,新北市淡水區竿蓁里淡金路79巷76號,3.0,610.0,中山路派出所,,121.45385,25.16109
英輝學府管理委員會,D801000004,鄧公里,新北市淡水區鄧公里學府路34巷5號,1.0,150.0,中山路派出所,,121.44873,25.16789
淡大101菁英會館管理委員會,D801000006,學府里,新北市淡水區學府里水源街二段92巷7號,2.0,1467.0,中山路派出所,,121.45242,25.17382
翡冷翠社區管理委員會,D801000007,竿蓁里,新北市淡水區竿蓁里淡金路38巷62號,2.0,1154.0,中山路派出所,,121.45795,25.16132
淡水淶滬文旅,D801000009,竿蓁里,新北市淡水區竿蓁里中正東路一段3巷1號,2.0,1009.0,中山路派出所,,121.45065,25.16479
法國別墅社區管理委員會,D801000010,學府里,新北市淡水區學府里學府路102巷109號,1.0,1235.0,中山路派出所,,121.45395,25.17147
摩納哥公寓大廈管理委員,D801000011,竿蓁里,新北市淡水區竿蓁里淡金路38巷1號,6.0,4833.0,中山路派出所,,121.45677,25.16099
日翔晶華管理委員會,D801000013,竿蓁里,新北市淡水區竿蓁里中正東路81巷1號,1.0,295.0,中山路派出所,,121.45307,25.16216
站前富境公寓大廈管理委員會,D801000015,鄧公里,新北市淡水區鄧公里學府路102巷62號,1.0,1283.0,中山路派出所,,121.45337,25.1711
清淞社區管理委員會,D801000016,竿蓁里,新北市淡水區竿蓁里淡金路21號,5.0,1164.0,中山路派出所,,121.45671,25.15988
海揚社區管理委員會,D801000017,竿蓁里,新北市淡水區竿蓁里中正東路一段3巷14弄1號,3.0,6830.0,中山路派出所,,121.45105,25.16417
新北市淡水區淡水國民小學,D801000020,協元里,新北市淡水區協元里中山路160號,1.0,861.0,中山路派出所,,121.44136,25.17338
米蘭藝墅公寓大廈管理委員會,D801000021,竿蓁里,新北市淡水區竿蓁里坪頂路51號1,1.0,1074.0,中山路派出所,,121.45829,25.16271
西恩那社區管理委員會,D801000022,竿蓁里,新北市淡水區竿蓁里坪頂路52巷2號,3.0,1900.0,中山路派出所,,121.45803,25.16229
托斯卡尼玫瑰花苑社區管理委員會,D801000025,竿蓁里,新北市淡水區竿蓁里淡金路16巷27號,2.0,452.0,中山路派出所,,121.4582,25.16065
國泰人壽淡水教育訓練中心,D801000026,竿蓁里,新北市淡水區竿蓁里鄧公路266號,1.0,352.0,中山路派出所,,121.45832,25.16872
謙川社區管理委員會,D801000027,中興里,新北市淡水區中興里水源街一段75號,3.0,166.0,中山路派出所,,121.44473,25.17238
名統站前廣場管理委員會,D801000028,長庚里,新北市淡水區長庚里中山路8號,4.0,1412.0,中山路派出所,,121.44515,25.1691
麗景社區管理委員會,D801000030,竿蓁里,新北市淡水區竿蓁里中正東路一段61號,3.0,1273.0,中山路派出所,,121.45302,25.16254
荷雅名人館社區管理委員會,D801000031,竿蓁里,新北市淡水區竿蓁里淡金路38巷46弄1號,4.0,575.0,中山路派出所,,121.45735,25.16095
蘊泉庄飯店,D801000032,竿蓁里,新北市淡水區竿蓁里淡金路79巷16號,2.0,1193.0,中山路派出所,,121.45454,25.16188
荷雅名人館社區管理委員會,D801000033,竿蓁里,新北市淡水區竿蓁里淡金路36號,4.0,683.0,中山路派出所,,121.45686,25.16066
水立方社區公寓大廈管理委員會,D801000035,竿蓁里,新北市淡水區竿蓁里淡金路27號,6.0,2204.0,中山路派出所,,121.45647,25.16038
盧卡小丘社區管理委員會,D801000036,竿蓁里,新北市淡水區竿蓁里淡金路16巷109號,3.0,791.0,中山路派出所,,121.45865,25.16146
淡大捷森堡公寓大廈管理委員會,D801000037,學府里,新北市淡水區學府里學府路136巷82號,3.0,751.0,中山路派出所,,121.45345,25.1726
山水悅公寓大廈管理委員會,D801000039,鄧公里,新北市淡水區鄧公里中正東路81巷6號,3.0,337.0,中山路派出所,,121.44795,25.16709
托斯卡尼百合別館社區管理委員會,D801000041,竿蓁里,新北市淡水區竿蓁里淡金路16巷37號,2.0,992.0,中山路派出所,,121.45845,25.16099
麗陽花園社區公寓大廈管理委員會,D801000046,鄧公里,新北市淡水區鄧公里鄧公路2巷1號,3.0,1108.0,中山路派出所,,121.44904,25.16869
麗陽花園社區公寓大廈管理委員會,D801000047,鄧公里,新北市淡水區鄧公里鄧公路6號,3.0,2767.0,中山路派出所,,121.44907,25.16971
福格大飯店,D801000048,幸福里,新北市淡水區幸福里學府路89號,3.0,1599.0,中山路派出所,,121.44873,25.17054
國泰霞關AB區管理委員會,D801000049,竿蓁里,新北市淡水區竿蓁里淡金路77巷1號,3.0,2062.0,中山路派出所,,121.45555,25.16169
國泰霞關D區管理委員會,D801000050,竿蓁里,新北市淡水區竿蓁里淡金路79巷2號,2.0,495.0,中山路派出所,,121.45484,25.16192
山河悅大廈管理委員會,D801000052,草東里,新北市淡水區草東里中正路53號2,1.0,417.0,中山路派出所,,121.44193,25.16934
莎莎亞公寓大廈管理委員會,D801000053,竿蓁里,新北市淡水區竿蓁里中正東路一段54號,2.0,563.0,中山路派出所,,121.45269,25.16187
觀海社區公寓大廈管理委員會,D801000054,鄧公里,新北市淡水區鄧公里學府路32巷31號,3.0,4719.0,中山路派出所,,121.44839,25.16795
國泰人壽淡水教育中心,D801000056,竿蓁里,新北市淡水區竿蓁里鄧公路266號,2.0,2070.0,中山路派出所,,121.45832,25.16872
學府觀景社區管理委員會,D801000057,學府里,新北市淡水區學府里學府路116號,3.0,1115.0,中山路派出所,,121.45028,25.17231
聖塔露琪亞春風區管理委員會,D801000058,竿蓁里,新北市淡水區竿蓁里淡金路77巷10號,1.0,650.0,中山路派出所,,121.4553,25.16189
淡江科學園區金鑽大樓管理委員會,D801000060,竿蓁里,新北市淡水區竿蓁里中正東路一段3巷11號,2.0,3477.0,中山路派出所,,121.45161,25.16544
海宴大廈管理委員會,D801000070,學府里,新北市淡水區學府里英專路172號,6.0,2040.0,中山路派出所,,121.44823,25.17297
淡江柏園二期AB區管理委員會,D801000071,鄧公里,新北市淡水區鄧公里鄧公路29巷2號,3.0,1172.0,中山路派出所,,121.4517,25.17002
榮星私人住宅大樓管理委員會,D801000080,竿蓁里,新北市淡水區竿蓁里中正東路一段23號,1.0,1276.0,中山路派出所,,121.45178,25.16353
綠波山莊管理委員會,D801000085,竿蓁里,新北市淡水區竿蓁里坪頂路70巷31號,2.0,760.0,中山路派出所,,121.46038,25.16231
美式家庭公寓大廈管理委員會,D801000087,竿蓁里,新北市淡水區竿蓁里坪頂路70巷41號,2.0,549.0,中山路派出所,,121.46038,25.16231
淡江大學,D801000093,中興里,新北市淡水區中興里英專路151號,1.0,2289.0,中山路派出所,,121.4471,25.17383
山海大地社區管理委員會,D801000096,竿蓁里,新北市淡水區竿蓁里淡金路18號,3.0,4444.0,中山路派出所,,121.45721,25.16004
新北市淡水區鄧公國小,D801000108,學府里,新北市淡水區學府里學府路99號,1.0,1224.0,中山路派出所,,121.44929,25.17131
學府名園社區管理委員會,D801000112,鄧公里,新北市淡水區鄧公里學府路32巷6號,1.0,694.0,中山路派出所,,121.44806,25.16845
雄關私人住宅大樓社區,D801000116,竿蓁里,新北市淡水區竿蓁里坪頂路33號,2.0,645.0,中山路派出所,,121.45679,25.16226
淡江柏園管理委員會,D801000124,鄧公里,新北市淡水區鄧公里鄧公路29巷16號,1.0,2301.0,中山路派出所,,121.45231,25.1701
淡江大學,D801000126,中興里,新北市淡水區中興里英專路151號,1.0,192.0,中山路派出所,,121.4471,25.17383
淡水小城管理委員會,D801000127,學府里,新北市淡水區學府里學府路102巷51弄1號,1.0,4501.0,中山路派出所,,121.45295,25.17203
淡水大學城管理委員會,D801000133,學府里,新北市淡水區學府里學府路128巷1號,1.0,316.0,中山路派出所,,121.45061,25.1725
青山麗緻社區管理委員會,D801000136,學府里,新北市淡水區學府里學府路113號,3.0,1750.0,中山路派出所,,121.45017,25.1725
新北市淡水區淡水國小,D801000137,協元里,新北市淡水區協元里中山路160號,1.0,730.0,中山路派出所,,121.44136,25.17338
新北市淡水區淡水國小,D801000141,協元里,新北市淡水區協元里中山路160號,1.0,99.0,中山路派出所,,121.44136,25.17338
新北市淡水區淡水國小,D801000142,協元里,新北市淡水區協元里中山路160號,1.0,420.0,中山路派出所,,121.44136,25.17338
佳億私人住宅大樓,D801000150,鄧公里,新北市淡水區鄧公里學府路28號,1.0,730.0,中山路派出所,,121.44774,25.16844
泰隆重劃別墅社區管理委員會,D801000151,鄧公里,新北市淡水區鄧公里鄧公路30巷1弄41號,1.0,1069.0,中山路派出所,,121.4538,25.16958
淡江大學,D801000156,中興里,新北市淡水區中興里英專路151號,1.0,468.0,中山路派出所,,121.4471,25.17383
新北市淡水區淡水國小,D801000157,協元里,新北市淡水區協元里中山路160號,1.0,703.0,中山路派出所,,121.44136,25.17338
台北雪梨社區管理委員會,D801000158,竿蓁里,新北市淡水區竿蓁里中正東路一段135號,3.0,1681.0,中山路派出所,,121.45626,25.15928
印象法藍社區管理委員會,D801000160,竿蓁里,新北市淡水區竿蓁里坪頂路52巷23號,3.0,1015.0,中山路派出所,,121.4581,25.16215
一方圓社區管理委員會,D801000161,竿蓁里,新北市淡水區竿蓁里坪頂路9-1號,4.0,289.0,中山路派出所,,121.45541,25.16017
淡江大學,D801000163,中興里,新北市淡水區中興里英專路151號,2.0,797.0,中山路派出所,,121.4471,25.17383
新北市政府消防局,D801000164,竿蓁里,新北市淡水區竿蓁里中正東路一段125號,2.0,470.0,中山路派出所,,121.45562,25.15954
米蘭晶鑽社區管理委員會,D801000165,竿蓁里,新北市淡水區竿蓁里坪頂路39號2,1.0,405.0,中山路派出所,,121.45709,25.16235
布拉諾花園社區管理委員會,D801000166,竿蓁里,新北市淡水區竿蓁里坪頂路56號,4.0,1500.0,中山路派出所,,121.45846,25.16246
好風光I社區管理委員會,D801000167,竿蓁里,新北市淡水區竿蓁里竿蓁里紅樹林路82號,1.0,194.0,中山路派出所,,121.45901,25.16158
合新里山紀管理委員會,D801000168,竿蓁里,新北市淡水區竿蓁里坪頂路76號,3.0,1892.0,中山路派出所,,121.46077,25.1633
湛然淡大龍邸社區管理負責人,D801000169,學府里,新北市淡水區學府里水源街2段120巷5號,1.0,555.0,中山路派出所,,121.45327,25.17388
好風光II社區,D801000171,竿蓁里,新北市淡水區竿蓁里紅樹林路57號3樓,7.0,1317.0,中山路派出所,,121.45948,25.16174
福容大飯店麗寶廣場,D802000001,沙崙里,新北市淡水區沙崙里觀海路91號,1.0,1006.0,中正路派出所,,121.41399,25.18243
台北灣第一期社區管理委員會,D802000002,大庄里,新北市淡水區大庄里新民街一段1號,3.0,6557.0,中正路派出所,,121.43368,25.18417
吉美悅洋社區管理委員會,D802000003,沙崙里,新北市淡水區沙崙里中正路二段16號,4.0,1064.0,中正路派出所,,121.42007,25.1819
承億文旅淡水吹風旅店,D802000005,沙崙里,新北市淡水區沙崙里沙崙路27號,3.0,381.0,中正路派出所,,121.42152,25.18174
淡水區三民立體停車場,D802000006,民安里,新北市淡水區民安里建設街6號,1.0,398.0,中正路派出所,,121.43919,25.17249
天生贏家大廈管理委員會,D802000008,油車里,新北市淡水區油車里淡海路72巷1號,1.0,847.0,中正路派出所,,121.42327,25.18106
福容大飯店淡水漁人碼頭,D802000009,沙崙里,新北市淡水區沙崙里觀海路79號,1.0,6025.0,中正路派出所,,121.41595,25.18185
淡水區中正市場機車停車場,D802000010,民安里,新北市淡水區民安里中正路115號,1.0,556.0,中正路派出所,,121.43975,25.17002
私立淡江高級中學,D802000011,文化里,新北市淡水區文化里真理街26號,1.0,63.0,中正路派出所,,121.43583,25.17506
幸福奇蹟社區管理委員會,D802000012,油車里,新北市淡水區油車里沙崙路216巷18號,1.0,869.0,中正路派出所,,121.42584,25.18379
台北灣觀海社區管理委員會,D802000013,大庄里,新北市淡水區大庄里新市一路一段2號,3.0,3332.0,中正路派出所,,121.42938,25.18685
農業部獸醫研究所,D802000014,文化里,新北市淡水區文化里中正路376號,1.0,1302.0,中正路派出所,,121.43225,25.17537
新天地社區管理委員會,D802000015,大庄里,新北市淡水區大庄里新市一路一段101號,3.0,430.0,中正路派出所,,121.43118,25.1871
真理大學,D802000016,文化里,新北市淡水區文化里真理街32號,2.0,1843.0,中正路派出所,,121.4346,25.17556
淡海市民活動中心,D802000018,大庄里,新北市淡水區大庄里淡海路111號,1.0,496.0,中正路派出所,,121.4217,25.18249
圓閣社區管理委員會,D802000019,大庄里,新北市淡水區大庄里新市一路一段99巷27號,3.0,1009.0,中正路派出所,,121.43076,25.18772
心之界社區管理委員會,D802000020,沙崙里,新北市淡水區沙崙里濱海路三段148巷36號,2.0,2219.0,中正路派出所,,121.42773,25.19177
江南社區管理委員會,D802000021,沙崙里,新北市淡水區沙崙里濱海路三段148巷1號,3.0,8880.0,中正路派出所,,121.42733,25.19298
聿品首璽管理委員會,D802000022,大庄里,新北市淡水區大庄里沙崙路151巷26弄2號,2.0,405.0,中正路派出所,,121.42295,25.18402
聿品首藏管理委員會,D802000023,大庄里,新北市淡水區大庄里沙崙路131巷13弄18號,2.0,484.0,中正路派出所,,121.4226,25.18355
淡水新都心私人住宅大樓管理委員會,D802000026,油車里,新北市淡水區油車里中正路一段156巷12號,1.0,1088.0,中正路派出所,,121.42168,25.18063
真理大學,D802000029,文化里,新北市淡水區文化里真理街32號,1.0,5354.0,中正路派出所,,121.4346,25.17556
