編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,備註,placemark_address
1.0,西興里,彰化市金馬路3段774號,住宅,地下室,1.0,17.0,JMA04002,,彰化市金馬路3段774號
2.0,西興里,彰化市西興里西興東路21巷7號,住宅,地下室,1.0,42.0,JMA04005,,彰化市西興里西興東路21巷7號
3.0,西興里,彰化市西興里西興東路21巷3號,住宅,地下室,1.0,126.0,JMA04006,,彰化市西興里西興東路21巷3號
4.0,西興里,彰化市西興里西興東路21巷9號,住宅,地下室,1.0,26.0,JMA04007,,彰化市西興里西興東路21巷9號
5.0,西興里,彰化市西興里豐國路16號,住宅,地下室,1.0,14.0,JMA04008,,彰化市西興里豐國路16號
6.0,西興里,彰化市西興里豐國路14號,住宅,地下室,1.0,14.0,JMA04009,,彰化市西興里豐國路14號
7.0,西興里,彰化市西興里豐國路12號,住宅,地下室,1.0,14.0,JMA04010,,彰化市西興里豐國路12號
8.0,西興里,彰化市西興里豐國路10號,住宅,地下室,1.0,14.0,JMA04011,,彰化市西興里豐國路10號
9.0,西興里,彰化市西興里豐國路8號,住宅,地下室,1.0,14.0,JMA04012,,彰化市西興里豐國路8號
10.0,西興里,彰化市西興里豐國路6號,住宅,地下室,1.0,10.0,JMA04013,,彰化市西興里豐國路6號
11.0,西興里,彰化市西興里豐國路55號,住宅,地下室,1.0,14.0,JMA04014,,彰化市西興里豐國路55號
12.0,西興里,彰化市西興里豐國路57號,住宅,地下室,1.0,14.0,JMA04015,,彰化市西興里豐國路57號
13.0,西興里,彰化市西興里彰草路50巷11號,住宅,地下室,1.0,54.0,JMA04016,,彰化市西興里彰草路50巷11號
14.0,西興里,彰化市西興里西興東路21巷4號,住宅,地下室,1.0,26.0,JMA04017,,彰化市西興里西興東路21巷4號
15.0,西興里,彰化市西興里西興東路21巷8號,住宅,地下室,1.0,26.0,JMA04018,,彰化市西興里西興東路21巷8號
