類別,里別,防空疏散避難設施地址,可容納人數
一般住宅,施厝村,麥寮鄉施厝村施厝65之1至3號,1778.0
不公開,海口村,臺西鄉海口村中山路503號,180.0
不公開,海南村,臺西鄉海南村民生路78號,133.0
臺西鄉禮儀館,海南村,臺西鄉海南村民族路299號,125.0
不公開,麥津村,"麥寮鄉麥津村中山路208號 ",250.0
麥寮鄉鄉民代表會,麥津村,"麥寮鄉麥津村中興路109號 ",20.0
拱範宮（香客大樓）,麥津村,"麥寮鄉麥津村中山路204號 ",174.0
麥寮中學,麥津村,"麥寮鄉麥津村中興路310號 ",61.0
一般住宅,麥豐村,"麥寮鄉麥豐村中正路24號 ",41.0
一般住宅,麥豐村,"麥寮鄉麥豐村光復南路266號 ",1733.0
不公開,麥豐村,"麥寮鄉麥豐村光復路343號 ",636.0
五星級商務套房,麥豐村,"麥寮鄉麥豐村西濱路2段151號 ",130.0
鶴祥建設公司,麥豐村,"麥寮鄉麥豐村中華路52號 ",1674.0
聚安旅社,麥豐村,"麥寮鄉麥豐村中正路25號 ",49.0
順利興飼料,麥豐村,"麥寮鄉麥豐村中山路667號 ",140.0
黃外科醫院,麥豐村,"麥寮鄉麥豐村新興路37號 ",275.0
不公開,麥豐村,"麥寮鄉麥豐村光復路24號 ",226.0
鶴祥建設公司,麥豐村,"麥寮鄉麥豐村光龍江街19號 ",890.0
鶴祥建設公司,麥豐村,"麥寮鄉麥豐村光龍江街22號 ",1397.0
不公開,麥豐村,"麥寮鄉麥豐村中華路85號 ",140.0
一般住宅,湖西村,"四湖鄉湖西村中正路410號 ",266.0
"四湖鄉公所
",湖西村,四湖鄉湖西村中山西路44號,506.0
不公開,湖西村,四湖鄉湖西村中山西路94號,56.0
"四湖
參天宮
",湖西村,四湖鄉湖西村關聖路87號,4012.0
"四湖零售市場
",湖西村,"四湖鄉湖西村新市街102號 ",162.0
臺西鄉公有市場,臺西村,臺西鄉臺西村中山路297號,777.0
不公開,臺西村,臺西鄉臺西村中山路122號,140.0
鍾慶工業有限公司,興華村,"麥寮鄉興華村忠興路61號 ",700.0
