類別,里別,防空疏散避難設施地址,可容納人數
台塑石化6100控制室(3路4道),三盛村,麥寮鄉三盛村工業園區路8號,132.0
台塑石化公司福利大樓(東環路),三盛村,麥寮鄉三盛村工業園區路8號,3856.0
台塑石化公司保養中心(3路),三盛村,麥寮鄉工業園區路15號,558.0
台塑石化公司三期單身宿舍(東環路),三盛村,麥寮鄉工業園區路10,1156.0
台塑石化公司開關室(2．5路2道),三盛村,麥寮鄉三盛村工業園區路1號,849.0
台塑石化公司碼槽控制室(5．2路8道),三盛村,麥寮鄉三盛村工業園區號8號,1140.0
台塑石化公司909控制室(北5路6．道),三盛村,麥寮鄉三盛村工業園區號8號,53.0
台塑石化8400操控室(南5路5．2道),三盛村,麥寮鄉三盛村工業園區路8號,106.0
"台塑石化壓縮機房(2．5路6道)
",三盛村,麥寮鄉三盛村工業園區路8號,45.0
台塑旭彈性纖維紡織重合(4．4道),三盛村,麥寮鄉三盛村工業園區路2號,254.0
南亞塑膠公司抗氧化劑(1路3道),三盛村,麥寮鄉三盛村工業園區號2號,206.0
台塑石化Ｋ9000煉油行政大樓(3路3道),三盛村,麥寮鄉三盛村工業園區路8號,833.0
麥寮工業專用港港務行政大樓(環港路),三盛村,麥寮鄉三盛村工業園區路22號,557.0
台灣石化０ＳＢＬ控制室,三盛村,麥寮鄉三盛村工業園區路17號,1822.0
台灣塑膠公司碳纖廠房(5．5路),三盛村,麥寮鄉三盛村工業園區路13號,353.0
台塑石化公司(東碼頭),三盛村,麥寮鄉三盛村工業園區路17號,1822.0
台塑石化公司汽三區控制室(3路8道),三盛村,麥寮鄉三盛村工業園區路17號,495.0
不公開,三盛村,麥寮鄉橋頭村仁德路236巷20號,133.0
台灣塑膠公司(3路2道),三盛村,麥寮鄉三盛村工業園區路1號,1728.0
麥寮汽電公司ＣＭ抽水站(南5路8道),三盛村,麥寮鄉三盛村工業園區號七號,9500.0
麥寮汽電公司保養倉庫(南5路8道),三盛村,麥寮鄉三盛村工業園區路7號,170.0
麥寮汽電公司輸儲煤開關室(5．5路8道),三盛村,麥寮鄉三盛村工業園區路7號,2433.0
麥寮汽電公司ＥＰ控制室(5．5路7道),三盛村,麥寮鄉三盛村工業園區路7號,477.0
台灣塑膠公司ＡＮ控制室(3路5道),三盛村,麥寮鄉三盛村工業園區路1號,829.0
台灣塑膠公司製粒機廠房(3路2道),三盛村,麥寮鄉三盛村工業園區路1號,325.0
南亞塑膠ＴＤ二公用廠房(2路1道),三盛村,麥寮鄉三盛村工業園區路2號,231.0
南亞塑膠丁二醇公用廠房(2路3道),三盛村,麥寮鄉三盛村工業園區路2號,309.0
南亞塑膠公司大豆公用廠房(2．6路1道),三盛村,麥寮鄉三盛村工業園區路2號,304.0
麥寮汽電公司發電廠控制室(北5路8．3道),三盛村,麥寮鄉三盛村工業園區路7號,478.0
麥寮汽電909Ｃ控制室(北5路8．3道),三盛村,麥寮鄉三盛村工業園區路7號,478.0
麥寮汽電909Ｂ控制室(北5路8．3道),三盛村,麥寮鄉三盛村工業園區路7號,478.0
麥寮汽電909Ｄ控制室(北5路8．3道),三盛村,麥寮鄉三盛村工業園區路7號,478.0
台塑石化ＭＴ-1控制室(3路4道),三盛村,麥寮鄉三盛村工業園區路1號,445.0
台塑重工公司重工工程大樓,三盛村,麥寮鄉三盛村許厝村31之205號,1120.0
"台塑石化公 司煉油廠變電所(3．5路6道)",三盛村,麥寮鄉工業園區路15號,909.0
台塑石化公司汽二區特高站(汔電3路),三盛村,麥寮鄉工業園區路15號,4610.0
台塑石化公司ＥＳＰ控制室(發電3路),三盛村,麥寮鄉工業園區路15號,495.0
台塑石化公司煉油廠操作室(3．2路3道),三盛村,麥寮鄉工業園區路15號,132.0
台塑石化Ｋ8200操作管理室(南5路6．2道),三盛村,麥寮鄉工業園區路15號,107.0
台塑石化Ｋ8900操作管理室(南5路7道),三盛村,麥寮鄉工業園區路15號,206.0
"台塑石化公司 410煉油大樓(南5路8道)",三盛村,麥寮鄉工業園區路15號,1489.0
台塑石化東一碼頭發貨庫(環港路),三盛村,麥寮鄉工業園區路15號,54.0
台塑石化東一貨淺查驗站(環港路),三盛村,麥寮鄉工業園區路15號,120.0
台塑石化公司煉油Ｋ二600(3．2路6道),三盛村,麥寮鄉工業園區路15號,132.0
台塑石化公司觸煤倉庫(3．7路2道),三盛村,麥寮鄉工業園區路15號,281.0
台塑石化公司煉油廠630(3路4道),三盛村,麥寮鄉工業園區路15號,132.0
台塑石化公司汽三區特高站(8道),三盛村,麥寮鄉工業園區路15號,4357.0
台塑石化公司ＯＬ二控制室(6道),三盛村,麥寮鄉三盛村工業園區號十七號,1753.0
台塑石化公司(6道),三盛村,麥寮鄉三盛村工業園區路17號,180.0
"台灣纖維公司Ｐ Ｐ控制室(6道)",三盛村,麥寮鄉三盛村工業園區路23號,677.0
台灣化學纖維公司(6道),三盛村,麥寮鄉三盛村工業園區路23號,1475.0
台灣化學纖維ＡＰ０二控制室(6道),三盛村,麥寮鄉三盛村工業園區路23號,369.0
台灣化學纖維ＡＰ０控制室(6道),三盛村,麥寮鄉三盛村工業園區路23號,1252.0
"台灣化學纖維海豐預製廠(6道)
",三盛村,麥寮鄉三盛村工業園區路23號,135.0
台灣塑膠公司ＩＥＭ控制室,三盛村,麥寮鄉三盛村工業園區路1號,873.0
台灣塑膠ＩＥＭ公用廠房(2路2道),三盛村,麥寮鄉三盛村工業園區路1號,722.0
台灣塑膠公司ＰＶＣ大樓(3路2道),三盛村,麥寮鄉三盛村工業園區路1號,1396.0
"台塑石化公司
行政大樓(東環)",三盛村,麥寮鄉工業園區路1之1號,5320.0
台灣化學纖維公司控制室(2．7路7道),三盛村,麥寮鄉三盛村工業園區路5號,1022.0
台塑石化Ｋ八三００控制室(3路7道),三盛村,麥寮鄉工業園區路15號,302.0
"南亞塑膠二EH控制室(2路4道) 
",三盛村,麥寮鄉三盛村工業園區路2號,410.0
南亞塑膠ＢＰＡ公用廠房(1道),三盛村,麥寮鄉三盛村工業園區路2號,166.0
"南亞塑膠公司EG控制室(1路1道)
",三盛村,麥寮鄉三盛村工業園區路2號,1256.0
台灣塑膠公司現場開關室(1路1道),三盛村,麥寮鄉三盛村工業園區路1號,541.0
"台塑重工公司
重工訓練大樓",三盛村,麥寮鄉許厝路31之205號,1120.0
台灣化學纖維556ＰＴＡ控制室(6道),三盛村,麥寮鄉許厝31之200號,752.0
台灣化學纖維552ＳＭ-1控制室(2路6道),三盛村,麥寮鄉三盛村31之200號,306.0
台灣化學纖維551ＡＲＯ控制室(5道),三盛村,麥寮鄉三盛村31之200號,853.0
台灣石化有限公司Ｈ棟宿舍(東環路),三盛村,麥寮鄉三盛村31之200號,3799.0
台塑石化705ＯＬ-1控制室(2路5道),三盛村,麥寮鄉三盛村31之200號,1197.0
台塑石化713汽電廠水處理區操作管理室(公用廠),三盛村,麥寮鄉三盛村31之200號,1087.0
台塑石化711汽電ＭＵ-1特定站(5道),三盛村,麥寮鄉三盛村31之200號,5460.0
台灣塑膠763ＭＶＣＭ控制室(2路2道),三盛村,麥寮鄉三盛村31之200號,1265.0
台灣塑膠761ＨＤＰＥ控制室(3路2道),三盛村,麥寮鄉三盛村31之200號,1229.0
台灣塑膠764ＨＤＰＥ自動倉儲(3路3道),三盛村,麥寮鄉三盛村31之200號,105.0
南亞塑膠公司(2路1道),三盛村,麥寮鄉三盛村31-200號,117.0
"南亞塑膠公司 824公用廠房(2路1道)",三盛村,麥寮鄉三盛村31之200號,317.0
"南亞塑膠公司 818公用廠房",三盛村,麥寮鄉三盛村31之200號,552.0
南亞塑膠801ＰＡ電控辦公室(4路1道),三盛村,麥寮鄉三盛村31之200號,302.0
麥寮汽電906發電廠345ＫＶ超高壓站(3路8道),三盛村,麥寮鄉三盛村31-200號,2942.0
台灣化學纖維三六七ＰＳ廠控制室(7道),三盛村,麥寮鄉三盛村工業園區路5號,366.0
"台塑石化公司七四三資材中心 (南5路)",三盛村,麥寮鄉工業園區路15號,89.0
"南亞塑膠公司ＢＰＡ公用廠房 ",三盛村,麥寮鄉三盛村工業園區路2號,131.0
台灣化學纖維ＰＣ廠中央控制室,三盛村,麥寮鄉三盛村工業園區路3-1號,881.0
台灣化學纖維甲基丁酚廠室,三盛村,麥寮鄉三盛村工業園區路3-1號,159.0
南亞塑膠公司ＥＧ3控制室,三盛村,麥寮鄉工業園區路52號,876.0
南亞塑膠公司,三盛村,麥寮鄉工業園區路52號,1066.0
行政院農業委員會水產試驗所海水繁養殖研究中心,五港村,臺西鄉五港村中央路271號,588.0
臺西鄉鄉立圖書館,五港村,臺西鄉五港村五港路505號,53.0
"四湖國民小學
",四湖村,"四湖鄉四湖村中山東路 37號",493.0
不公開,四湖村,四湖鄉四湖村中山東路5號,160.0
臺西鄉崙豐國小活動中心,永豐村,臺西鄉永豐村崙豐路47號,126.0
不公開,東北村,東勢鄉東北村東勢東路300號,116.0
不公開,東北村,東勢鄉東北村東勢東路349號,182.0
不公開,東南村,東勢鄉東南村民生路56號,456.0
"東勢惠安  診所
",東南村,東勢鄉東南村懷恩街46號,194.0
