類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
御龍花園大樓,CMA00001,富裕里,臺南市東區富裕里4鄰裕農路60號,"22.985201,120.226073",1.0,2005.0,
一般住宅,CMA00002,大同里,臺南市東區大同里16鄰大同路一段257號,"22.982703,120.211468",1.0,194.0,
大樓,CMA00003,龍山里,臺南市東區龍山里23鄰府東街43號,"22.985405,120.219823",1.0,540.0,
林森花鄉大樓,CMA00004,龍山里,臺南市東區龍山里22鄰府東街22號,"22.985346,120.220463",1.0,988.0,
長榮桂冠大樓,CMA00005,龍山里,臺南市東區龍山里11鄰光華街12號,"22.984504,120.219303",2.0,1960.0,
一般住宅,CMA00006,龍山里,臺南市東區龍山里23鄰東門路二段96號,"22.986090,120.220079",1.0,160.0,
皇后大道大樓,CMA00007,龍山里,臺南市東區龍山里12鄰長榮路一段246號,"22.985997,120.218781",2.0,2101.0,
大亞洲NO1大樓,CMA00008,龍山里,臺南市東區龍山里19鄰長榮路一段223號,"22.985498,120.21822",2.0,3173.0,
一般住宅,CMA00009,新東里,臺南市東區新東里5鄰裕農路43巷28號,"22.986571,120.225978",1.0,70.0,
一般住宅,CMA00010,新東里,臺南市東區新東里5鄰裕農路43巷1號,"22.985811,120.225922",1.0,308.0,
台南名家社區大樓,CMA00011,新東里,臺南市東區新東里5鄰裕農路43巷25號,"22.986332,120.225821",1.0,1953.0,
大樓,CMA00012,新東里,臺南市東區新東里5鄰裕農路43巷39號,"22.986933,120.225603",1.0,85.0,
一般住宅,CMA00014,龍山里,臺南市東區龍山里6鄰林森路一段339號,"22.984254,120.220667",1.0,370.0,
東南地政事務所,CMA00015,龍山里,臺南市東區龍山里8鄰林森路一段318號,"22.983059,120.220325",1.0,1641.0,
一般住宅,CMA00016,龍山里,臺南市東區龍山里17鄰崇學路221巷15號,"22.981338,120.223594",1.0,596.0,
公寓,CMA00017,龍山里,臺南市東區龍山里2鄰崇仁街83號,"22.983642,120.224129",1.0,342.0,
一般住宅,CMA00019,大同里,臺南市東區大同里16鄰大同路一段259號,"22.982659,120.211499",1.0,210.0,
一般住宅,CMA00020,大同里,臺南市東區大同里16鄰大同路一段261號,"22.982634,120.211522",1.0,192.0,
公寓,CMA00021,大同里,臺南市東區大同里16鄰大同路一段241巷6弄6號,"22.982973,120.211671",1.0,653.0,
公寓,CMA00022,大同里,臺南市東區大同里16鄰大同路一段241巷6弄2號,"22.983103,120.211703",1.0,250.0,
衛國里活動中心,CMA00024,衛國里,臺南市東區衛國里2鄰衛國街114巷28號,"22.987857,120.225343",1.0,296.0,
長榮森之林大樓,CMA00025,泉南里,臺南市東區泉南里24鄰長榮路一段15號,"22.982693,120.215998",1.0,3856.0,
