類別,電腦編號,村里別,地址,緯、經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註,"unnamed (1)"
公寓,EPA00001,明德里,8鄰衡陽街85號,"24.950582,121.23164",1,211,中壢分局,,普仁所,
透天,EPA00002,普強里,利民路42號,"24.951328,121.238282",1,511,中壢分局,V,普仁所,
大樓,EPA00007,仁義里,中華路二段330號,"24.964967,121.235731",2,2463,中壢分局,V,普仁所,
教育機構,EPA00009,明德里,21鄰廣州路25號,"24.94984,121.23001",1,1166,中壢分局,,普仁所,
公寓,EPA00010,龍昌里,27鄰龍昌路232號,"24.935794,121.249231",1,466,中壢分局,,龍興所,
公寓,EPA00011,龍昌里,8鄰龍昌路254號,"24.936073,121.249362",1,577,中壢分局,,龍興所,
大樓,EPA00014,龍興里,13鄰龍岡路二段407號,"24.940459,121.230859",1,666,中壢分局,,龍興所,
透天,EPA00016,龍東里,1鄰龍東路445巷309號,"24.935118,121.249495",1,138,中壢分局,V,龍興所,
大樓,EPA00017,龍昌里,27鄰龍昌路238巷50號,"24.936658,121.247719",1,933,中壢分局,,龍興所,
透天,EPA00020,普強里,國泰街131號,"24.950211,121.237413",1,200,中壢分局,,普仁所,
大樓,EPA00021,明德里,內江路18號,"24.947741,121.232461",1,2709,中壢分局,V,普仁所,
大樓,EPA00022,中興里,6鄰永福路780號,"24.961753,121.255499",1,569,中壢分局,V,自強所,
大樓,EPA00025,普忠里,新中北路36號,"24.95698,121.236019",2,798,中壢分局,V,普仁所,
公寓,EPA00029,普義里,17鄰四維路16號,"24.959371,121.230324",1,162,中壢分局,,普仁所,
大樓,EPA00031,明德里,惠州街80號,"24.947227,121.232373",1,662,中壢分局,V,普仁所,
透天,EPA00034,仁義里,10鄰延平路24號,"24.963888,121.232939",1,177,中壢分局,,普仁所,
透天,EPA00035,仁義里,10鄰延平路22號,"24.963851,121.233031",1,175,中壢分局,,普仁所,
透天,EPA00037,龍興里,20鄰龍岡路三段133號,"24.934164,121.23642",1,31,中壢分局,,龍興所,
透天,EPA00038,信義里,福州路125號,"24.951362,121.233844",1,32,中壢分局,,普仁所,
透天,EPA00039,明德里,龍岡路二段109號,"24.945842,121.229384",1,26,中壢分局,,普仁所,
公寓,EPA00041,明德里,南雄街25號,"24.948264,121.233233",1,28,中壢分局,,普仁所,
大樓,EPA00042,信義里,廣州路222號,"24.953097,121.233147",1,661,中壢分局,V,普仁所,
公寓,EPA00043,普忠里,新中一街12號,"24.959697,121.243564",1,316,中壢分局,V,普仁所,
透天,EPA00044,普強里,中山東路二段10號,"24.954597,121.236872",1,247,中壢分局,,普仁所,
公寓,EPA00045,普強里,民享街5號,"24.954141,121.236958",1,414,中壢分局,V,普仁所,
透天,EPA00047,信義里,20鄰衡陽街30號,"24.950409,121.230717",1,185,中壢分局,V,普仁所,
透天,EPA00048,信義里,17鄰成都路56號,"24.950449,121.231626",1,265,中壢分局,,普仁所,
透天,EPA00052,正義里,新興北街31號,"24.955145,121.230528",1,22,中壢分局,,普仁所,
透天,EPA00053,普仁里,新中北路34巷4號,"24.956426,121.235989",1,66,中壢分局,,普仁所,
透天,EPA00056,仁義里,普義路180號,"24.961037,121.232014",1,66,中壢分局,,普仁所,
