類別,電腦編號,里別,座落,緯度,經度,新計算容量(值),轄管分局
一般住宅,FMA00015,崇禮里,新竹市北區崇禮里9鄰中山路296巷1號-B1,24.8022375,120.9610473,103.0,第一分局
公有建築物,FMA00017,崇禮里,新竹市北區崇禮里10鄰中山路300號-B1,24.8019935,120.9612074,277.0,第一分局
供公眾使用建築物,FMA00019,崇禮里,"新竹市北區崇禮里14鄰北大路457號 B2",24.8020044,120.9601581,332.0,第一分局
一般住宅,FMA00022,崇禮里,新竹市北區崇禮里6鄰中山路252號B1,24.802684,120.9621669,233.0,第一分局
供公眾使用建築物,FMA00023,崇禮里,"新竹市北區崇禮里14鄰北大路471號 B1",24.8017471,120.960466,190.0,第一分局
一般住宅,FMA00025,潛園里,新竹市北區潛園里1鄰西大路417號B1,24.8038964,120.9640286,34.0,第一分局
一般住宅,FMA00035,潛園里,新竹市北區潛園里西大路469巷2號B1,24.8049883,120.9630843,145.0,第一分局
一般住宅,FMA00038,潛園里,新竹市北區潛園里西大路513號B1,24.8059613,120.9623336,72.0,第一分局
一般住宅,FMA00042,仁德里,新竹市北區仁德里仁德街50號,24.80673,120.9640636,135.0,第一分局
一般住宅,FMA00055,仁德里,新竹市北區仁德里長安街99號,24.8072929,120.9648883,135.0,第一分局
供公眾使用建築物,FMA00057,仁德里,新竹市北區仁德里9鄰北大路307號-B1,24.8062624,120.9627978,1147.0,第一分局
供公眾使用建築物,FMA00083,中央里,新竹市北區中央里西門街16號B1,24.8032288,120.9659548,287.0,第一分局
供公眾使用建築物,FMA00087,中央里,新竹市北區中央里西門街148號B1,24.8013259,120.962849,611.0,第一分局
一般住宅,FMA00100,石坊里,"新竹市北區石坊里中山路163號 B2",24.8030593,120.9634314,234.0,第一分局
一般住宅,FMA00101,石坊里,"新竹市北區石坊里中山路153號 B2",24.8032808,120.9636782,675.0,第一分局
供公眾使用建築物,FMA00105,興南里,新竹市北區興南里勝利路247號B1,24.8026204,120.9631516,124.0,第一分局
一般住宅,FMA00108,興南里,"新竹市北區興南里13鄰德成街6-1號 B1",24.8009101,120.9643953,1450.0,第一分局
一般住宅,FMA00110,興南里,新竹市北區興南里西門街129號B1,24.8012444,120.9632621,108.0,第一分局
供公眾使用建築物,FMA00111,興南里,新竹市北區興南里西門街165號B1,24.8007805,120.9631403,27.0,第一分局
供公眾使用建築物,FMA00113,興南里,"新竹市北區興南里西門街116號 B2",24.8017248,120.9635931,534.0,第一分局
供公眾使用建築物,FMA00119,興南里,"新竹市北區興南里5鄰西門街146號 B2",24.8014392,120.9631362,706.0,第一分局
供公眾使用建築物,FMA00122,興南里,新竹市北區興南里西門街120號,24.8016053,120.9634921,36.0,第一分局
一般住宅,FMA00128,興南里,新竹市北區興南里中山路239-6號,24.8014621,120.962028,235.0,第一分局
一般住宅,FMA00131,育英里,新竹市北區育英里中山路269號,24.8013112,120.961045,83.0,第一分局
一般住宅,FMA00133,育英里,"新竹市北區育英里四維路63號 B2",24.8004728,120.9610174,535.0,第一分局
一般住宅,FMA00137,育英里,"新竹市北區育英里3鄰四維路91號 B3",24.8010304,120.9605893,709.0,第一分局
公有建築物,FMA00146,育英里,新竹市北區育英里17鄰四維路47號B1,24.7997382,120.9616313,312.0,第一分局
一般住宅,FMA00147,育英里,新竹市北區育英里林森路242號B1,24.7982888,120.9625606,88.0,第一分局
一般住宅,FMA00150,育英里,新竹市北區育英里林森路248號B1,24.7981961,120.962411,135.0,第一分局
一般住宅,FMA00152,育英里,新竹市北區育英里林森路278號B1,24.7976748,120.961903,40.0,第一分局
一般住宅,FMA00154,育英里,新竹市北區育英里林森路302號B1,24.7973867,120.9614164,209.0,第一分局
一般住宅,FMA00155,育英里,新竹市北區育英里林森路310號B1,24.7972892,120.9612076,122.0,第一分局
一般住宅,FMA00156,育英里,新竹市北區育英里西門街201巷24-26號B1,24.7995295,120.9625572,148.0,第一分局
一般住宅,FMA00157,育英里,新竹市北區育英里四維路58號B1,24.7990634,120.962502,153.0,第一分局
一般住宅,FMA00158,育英里,新竹市北區育英里四維路21巷31-39號B1,24.797966,120.96184,195.0,第一分局
一般住宅,FMA00161,育英里,"新竹市北區育英里四維路50號 B2",24.7988529,120.9626332,511.0,第一分局
公有建築物,FMA00162,育英里,新竹市北區育英里17鄰四維路47號,24.7997382,120.9616313,141.0,第一分局
一般住宅,FMA00163,育英里,新竹市北區育英里林森路210巷8-3號B1,24.7990026,120.9630145,91.0,第一分局
一般住宅,FMA00164,育英里,新竹市北區育英里林森路210巷2-1號B1,24.7988426,120.9631704,72.0,第一分局
一般住宅,FMA00165,育英里,新竹市北區育英里林森路210巷8-1號B1,24.7989272,120.9630507,77.0,第一分局
一般住宅,FMA00166,育英里,新竹市北區育英里林森路210巷6-8號B1,24.7987504,120.9630955,57.0,第一分局
一般住宅,FMA00168,育英里,新竹市北區育英里四維路17號B1,24.7982114,120.9627237,100.0,第一分局
公有建築物,FMA00170,育英里,新竹市北區育英里17鄰四維路47號,24.7997382,120.9616313,131.0,第一分局
公有建築物,FMA00171,育英里,新竹市北區育英里17鄰四維路47號,24.7997382,120.9616313,125.0,第一分局
公有建築物,FMA00172,育英里,新竹市北區育英里17鄰四維路47號B1,24.7997382,120.9616313,108.0,第一分局
一般住宅,FMA00173,育英里,新竹市北區育英里林森路240號B1,24.798318,120.962603,88.0,第一分局
一般住宅,FMA00175,台溪里,"新竹市北區台溪里中山路451號 B1",24.7983143,120.9566474,450.0,第一分局
一般住宅,FMA00176,台溪里,"新竹市北區台溪里2鄰中華路三段42號 B3",24.7973161,120.9625993,1545.0,第一分局
一般住宅,FMA00177,台溪里,"新竹市北區台溪里中華路三段9號 B2",24.7969422,120.9634195,751.0,第一分局
一般住宅,FMA00178,台溪里,"新竹市北區台溪里四維路8號 B1",24.7976564,120.9635547,482.0,第一分局
一般住宅,FMA00179,台溪里,新竹市北區台溪里中華路三段228號B1,24.7967342,120.9564732,101.0,第一分局
一般住宅,FMA00180,台溪里,新竹市北區台溪里中華路三段224號B1,24.7967832,120.9565416,103.0,第一分局
一般住宅,FMA00183,台溪里,"新竹市北區台溪里中華路三段85號 B1",24.7967165,120.9615579,226.0,第一分局
一般住宅,FMA00184,台溪里,新竹市北區台溪里中華路三段50號,24.7971089,120.9622712,217.0,第一分局
一般住宅,FMA00185,台溪里,"新竹市北區台溪里中華路三段91號 B1",24.7967287,120.9613682,334.0,第一分局
一般住宅,FMA00187,台溪里,"新竹市北區台溪里中華路三段37號 B1",24.7968942,120.9626717,85.0,第一分局
一般住宅,FMA00189,台溪里,新竹市北區台溪里中華路三段68號B1,24.7970261,120.9618346,85.0,第一分局
一般住宅,FMA00190,台溪里,新竹市北區台溪里四維路15號B1,24.7982128,120.962726,93.0,第一分局
一般住宅,FMA00191,台溪里,新竹市北區台溪里中華路三段101號B1,24.7966051,120.961143,246.0,第一分局
一般住宅,FMA00192,台溪里,"新竹市北區台溪里中華路三段128號 B2",24.7969001,120.9599294,622.0,第一分局
一般住宅,FMA00195,曲溪里,"新竹市北區曲溪里崧嶺路181號 B1",24.7913331,120.9543941,660.0,第一分局
一般住宅,FMA00196,客雅里,"新竹市北區客雅里延平路一段 214巷34弄14-18號 B1",24.8057488,120.9543428,350.0,第一分局
一般住宅,FMA00197,客雅里,新竹市北區客雅里延平路一段244、246號B1,24.8051488,120.953302,151.0,第一分局
一般住宅,FMA00198,客雅里,新竹市北區客雅里經國路二段462號B1,24.8058724,120.9556744,141.0,第一分局
一般住宅,FMA00199,客雅里,"新竹市北區客雅里延平路一段 214巷34弄6號B1",24.8058832,120.9539278,172.0,第一分局
一般住宅,FMA00200,客雅里,新竹市北區客雅里經國路二段635號B1,24.8016882,120.9548371,84.0,第一分局
一般住宅,FMA00201,客雅里,"新竹市北區客雅里延平路一段 214巷34弄43號 B1",24.806381,120.953445,315.0,第一分局
一般住宅,FMA00202,客雅里,新竹市北區客雅里經國路二段637號B1,24.8016724,120.9548111,102.0,第一分局
一般住宅,FMA00203,客雅里,新竹市北區客雅里經國路二段639號B1,24.8015944,120.9547923,181.0,第一分局
一般住宅,FMA00206,中雅里,新竹市北區中雅里11鄰中和路117號-B1,24.8018964,120.9549459,761.0,第一分局
一般住宅,FMA00207,中雅里,新竹市北區中雅里經國路二段626號B1,24.801484,120.954033,38.0,第一分局
公有建築物,FMA00211,西雅里,新竹市北區西雅里1鄰北大路450號B1,24.8026949,120.9596744,1125.0,第一分局
供公眾使用建築物,FMA00216,西雅里,新竹市北區西雅里北新街3號B1,24.802009,120.9595695,64.0,第一分局
一般住宅,FMA00217,西雅里,新竹市北區西雅里北大路468號B1-B2,24.8017042,120.9600676,325.0,第一分局
一般住宅,FMA00218,西雅里,新竹市北區西雅里中和路20號B1,24.8007156,120.9576169,504.0,第一分局
一般住宅,FMA00219,西雅里,新竹市北區西雅里中山路344巷28弄1號B1,24.8013221,120.9584453,215.0,第一分局
供公眾使用建築物,FMA00220,西雅里,新竹市北區西雅里北新街41號B1,24.8024077,120.958163,25.0,第一分局
一般住宅,FMA00222,西雅里,新竹市北區西雅里6鄰中和路28號B1,24.8008732,120.9573875,103.0,第一分局
一般住宅,FMA00224,西雅里,"新竹市北區西雅里北新街23巷7號 B1",24.8018869,120.9586938,361.0,第一分局
公有建築物,FMA00228,西雅里,新竹市北區西雅里1鄰北大路450號B1,24.8026949,120.9596744,87.0,第一分局
一般住宅,FMA00231,西雅里,新竹市北區西雅里中和路68號B1,24.8014241,120.9565404,108.0,第一分局
一般住宅,FMA00238,西雅里,"新竹市北區西雅里中和路51號 B1",24.80102,120.9567739,353.0,第一分局
一般住宅,FMA00240,南勢里,新竹市北區南勢里延平路一段401巷2號,24.804931,120.9483492,134.0,第一分局
一般住宅,FMA00241,南勢里,"新竹市北區南勢里竹光路413號 B1",24.8057309,120.9518293,389.0,第一分局
公有建築物,FMA00243,曲溪里,"新竹市北區曲溪里崧嶺路40號 B1",24.7952804,120.9554086,416.0,第一分局
一般住宅,FMA00248,曲溪里,"新竹市北區曲溪里7鄰崧嶺路2號 B1",24.7960312,120.9558279,2431.0,第一分局
一般住宅,FMA00249,中雅里,"新竹市北區中雅里6鄰凌雲街110號 B1",24.8027746,120.9535888,18671.0,第一分局
供公眾使用建築物,FMA00251,育英里,"新竹市北區育英里中山路431巷36號 B1",24.799599,120.9587298,395.0,第一分局
一般住宅,FMA00252,育英里,新竹市北區育英里中山路431巷70號B1,24.8004999,120.9594187,91.0,第一分局
一般住宅,FMA00253,育英里,新竹市北區育英里中山路431巷39號B1,24.8002542,120.9588824,41.0,第一分局
一般住宅,FMA00255,育英里,新竹市北區育英里西門街299巷10號B1,24.798631,120.9596892,337.0,第一分局
一般住宅,FMA00258,育英里,新竹市北區育英里中山路319巷25弄6號B1,24.7998728,120.9599044,71.0,第一分局
一般住宅,FMA00259,育英里,新竹市北區育英里中山路393巷10弄7號B1,24.7994935,120.958889,134.0,第一分局
一般住宅,FMA00264,西門里,新竹市北區西門里江山街31號-B1,24.8044421,120.964217,24.0,第一分局
一般住宅,FMA00273,文雅里,"新竹市北區文雅里5鄰城北街107號 B1",24.8118462,120.963249,34.0,第一分局
一般住宅,FMA00278,湳中里,"新竹市北區湳中里7鄰湳中街30巷11之1號 B1",24.8207782,120.9663182,63.0,第一分局
一般住宅,FMA00279,湳中里,"新竹市北區湳中里7鄰湳中街30巷11之2號 B1",24.8207782,120.9663182,66.0,第一分局
一般住宅,FMA00280,湳中里,"新竹市北區湳中里7鄰湳中街30巷11之3號 B1",24.8207782,120.9663182,65.0,第一分局
一般住宅,FMA00281,湳中里,"新竹市北區湳中里7鄰湳中街30巷17號 B1",24.8209253,120.9664172,218.0,第一分局
一般住宅,FMA00282,湳中里,"新竹市北區湳中里7鄰湳中街30巷27號 B1",24.8211713,120.9667534,35.0,第一分局
一般住宅,FMA00283,湳中里,"新竹市北區湳中里1鄰湳中街35號 B1",24.8199343,120.9662329,250.0,第一分局
一般住宅,FMA00284,湳中里,"新竹市北區湳中里1鄰湳中街37號 B1",24.8200971,120.9662321,204.0,第一分局
一般住宅,FMA00285,湳中里,"新竹市北區湳中里6鄰湳中街42號 B1",24.8208497,120.9656015,413.0,第一分局
一般住宅,FMA00288,湳中里,"新竹市北區湳中里1鄰湳中街63-1號 B1",24.8204451,120.9657316,106.0,第一分局
一般住宅,FMA00290,湳中里,新竹市北區湳中里5鄰湳中街68巷20-22號B1,24.8218997,120.965347,97.0,第一分局
一般住宅,FMA00291,湳中里,新竹市北區湳中里5鄰湳中街68巷54-56號B1,24.8221149,120.9655406,63.0,第一分局
