類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
一般住宅,CRA00001,文南里,臺南市南區文南里13鄰長南街52號,"22.983032,120.189587",B01,1333.0,第六分局,
一般住宅,CRA00002,文南里,臺南市南區文南里13鄰文南路5號,"22.982202,120.189603",B01,192.0,第六分局,
一般住宅,CRA00003,文南里,臺南市南區文南里13鄰文南路7號,"22.98224,120.189603",B01,192.0,第六分局,
一般住宅,CRA00004,文南里,臺南市南區文南里13鄰文南路69號,"22.98366,120.189695",B01,177.0,第六分局,
一般住宅,CRA00005,文南里,臺南市南區文南里13鄰文南路15號,"22.982371,120.189609",B01,177.0,第六分局,
一般住宅,CRA00006,文南里,臺南市南區文南里13鄰文南路9號,"22.982278,120.189606",B01,177.0,第六分局,
一般住宅,CRA00007,文南里,臺南市南區文南里13鄰文南路11號,"22.982323,120.189608",B01,194.0,第六分局,
供公眾使用,CRA00008,文南里,臺南市南區文南里13鄰文南路67號,"22.98355,120.18968",B01,444.0,第六分局,
一般住宅,CRA00009,文華里,臺南市南區文華里16鄰文南路309號,"22.987182,120.189989",B01,103.0,第六分局,
一般住宅,CRA00010,文華里,臺南市南區文華里15鄰文南路285號,"22.986663,120.189947",B01,103.0,第六分局,
一般住宅,CRA00011,文南里,臺南市南區文南里11鄰建南路283號,"22.985137,120.186639",B01,103.0,第六分局,
一般住宅,CRA00012,文南里,臺南市南區文南里11鄰建南路279號,"22.98513,120.18682",B01,103.0,第六分局,
一般住宅,CRA00013,文華里,臺南市南區文華里15鄰文南路277號,"22.986502,120.189937",B01,103.0,第六分局,
一般住宅,CRA00014,文南里,臺南市南區文南里8鄰文南路18號,"22.982309,120.189865",B01,103.0,第六分局,
一般住宅,CRA00015,文南里,臺南市南區文南里8鄰文南路12號,"22.982226,120.189857",B01,103.0,第六分局,
一般住宅,CRA00016,文南里,臺南市南區文南里8鄰文南路40號,"22.982769,120.189897",B01,124.0,第六分局,
一般住宅,CRA00017,文南里,臺南市南區文南里9鄰文南路68號,"22.983506,120.18996",B01,62.0,第六分局,
一般住宅,CRA00018,文南里,臺南市南區文南里9鄰文南路66號,"22.983464,120.189956",B01,62.0,第六分局,
一般住宅,CRA00019,文南里,臺南市南區文南里8鄰文南路42號,"22.982837,120.189915",B01,78.0,第六分局,
一般住宅,CRA00020,文華里,臺南市南區文華里11鄰文南路124號,"22.985271,120.190098",B01,62.0,第六分局,
一般住宅,CRA00021,文南里,臺南市南區文南里13鄰文南路3號,"22.982157,120.189597",B01,192.0,第六分局,
一般住宅,CRA00022,文南里,臺南市南區文南里13鄰健康路二段280號,"22.981912,120.189403",B01,236.0,第六分局,
一般住宅,CRA00023,文南里,臺南市南區文南里13鄰健康路二段306號,"22.98194,120.18907",B01,236.0,第六分局,
一般住宅,CRA00024,文南里,臺南市南區文南里13鄰健康路二段306號,"22.98194,120.18907",B01,188.0,第六分局,
一般住宅,CRA00025,文南里,臺南市南區文南里8鄰健康路二段268號,"22.981849,120.189993",B01,188.0,第六分局,
一般住宅,CRA00026,文南里,臺南市南區文南里8鄰健康路二段264巷19號,"22.982464,120.190129",B01,72.0,第六分局,
一般住宅,CRA00027,文南里,臺南市南區文南里8鄰健康路二段264巷21號,"22.982506,120.190135",B01,72.0,第六分局,
一般住宅,CRA00028,文南里,臺南市南區文南里8鄰健康路二段252巷9號,"22.982316,120.190513",B01,73.0,第六分局,
一般住宅,CRA00029,文南里,臺南市南區文南里8鄰健康路二段252巷7號,"22.982271,120.190513",B01,75.0,第六分局,
一般住宅,CRA00030,文南里,臺南市南區文南里7鄰健康路二段234巷16號,"22.982251,120.191101",B01,106.0,第六分局,
一般住宅,CRA00031,文南里,臺南市南區文南里8鄰健康路二段264巷17號,"22.982422,120.190124",B01,65.0,第六分局,
一般住宅,CRA00032,文南里,臺南市南區文南里13鄰育南街69號,"22.983882,120.189127",B01,174.0,第六分局,
一般住宅,CRA00033,文南里,臺南市南區文南里13鄰育南街67號,"22.983837,120.189128",B01,174.0,第六分局,
一般住宅,CRA00034,文南里,臺南市南區文南里13鄰育南街51號,"22.983516,120.1891",B01,174.0,第六分局,
一般住宅,CRA00035,文南里,臺南市南區文南里23鄰永南四街6號,"22.984043,120.189556",B01,192.0,第六分局,
一般住宅,CRA00036,文南里,臺南市南區文南里23鄰永南四街8號,"22.984047,120.189518",B01,192.0,第六分局,
一般住宅,CRA00037,文南里,臺南市南區文南里23鄰永南四街12號,"22.984055,120.189426",B01,192.0,第六分局,
