類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納數
公寓,WUA02424,文林里,臺北市北投區自強街26號,1,220.0
大樓,WUA02426,文林里,臺北市北投區明德路17巷3弄2號,2,1390.0
大樓,WUA02359,文林里,臺北市北投區明德路5號,2,594.0
大樓,WUA02355,文林里,臺北市北投區明德路9號,2,1552.0
公寓,WUA01644,文林里,臺北市北投區致遠一路125巷2號,1,200.0
公寓,WUA01441,文林里,臺北市北投區明德路17巷1號,1,200.0
公寓,WUA01449,文林里,臺北市北投區明德路3巷2號,1,72.0
公寓,WUA01450,文林里,臺北市北投區明德路3巷7號,1,60.0
公寓,WUA01451,文林里,臺北市北投區明德路3巷9號,1,28.0
公寓,WUA01606,文林里,臺北市北投區建民路36巷2號,1,53.0
公寓,WUA01607,文林里,臺北市北投區建民路36巷6號,1,170.0
公寓,WUA01162,文林里,臺北市北投區自強街70號,1,494.0
大樓,WUA00637,文林里,臺北市北投區文林北路140號,1,60.0
公寓,WUA00641,文林里,臺北市北投區文林北路164號,1,104.0
公寓,WUA00642,文林里,臺北市北投區文林北路168號,1,438.0
公寓,WUA00643,文林里,臺北市北投區文林北路182號,1,73.0
公寓,WUA00644,文林里,臺北市北投區文林北路200號,1,101.0
大樓,WUA00645,文林里,臺北市北投區文林北路214號,2,1054.0
公寓,WUA00646,文林里,臺北市北投區文林北路230號,1,180.0
大樓,WUA00647,文林里,臺北市北投區文林北路252-262號,1,1106.0
公寓,WUA00648,文林里,臺北市北投區文林北路280號,1,220.0
公寓,WUA00657,文林里,臺北市北投區文林北路166巷2弄1號,1,373.0
公寓,WUA00659,文林里,臺北市北投區文林北路166巷5弄2號,1,109.0
大樓,WUA00660,文林里,臺北市北投區文林北路218巷1號,3,6076.0
公寓,WUA00661,文林里,臺北市北投區文林北路244巷19-2號,1,114.0
公寓,WUA00662,文林里,臺北市北投區文林北路244巷20號,1,534.0
公寓,WUA00663,文林里,臺北市北投區文林北路272巷12號,1,112.0
公寓,WUA01157,文林里,臺北市北投區自強街22號,1,84.0
公寓,WUA01212,文林里,臺北市北投區自強路80號,1,232.0
公寓,WUA01573,文林里,臺北市北投區建民路15號,1,48.0
公寓,WUA01577,文林里,臺北市北投區建民路21號,1,464.0
公寓,WUA01578,文林里,臺北市北投區建民路22號,1,354.0
公寓,WUA01648,文林里,臺北市北投區致遠一路一段113號,1,1329.0
公寓,WUA01650,文林里,臺北市北投區致遠一路一段127號,1,154.0
公寓,WUA01652,文林里,臺北市北投區致遠一路一段131號,1,68.0
公寓,WUA01653,文林里,臺北市北投區致遠一路一段19號,1,809.0
公寓,WUA01654,文林里,臺北市北投區致遠一路一段27號,1,702.0
公寓,WUA01655,文林里,臺北市北投區致遠一路一段49號,1,494.0
公寓,WUA01656,文林里,臺北市北投區致遠一路一段7號,1,209.0
公寓,WUA01658,文林里,臺北市北投區致遠一路一段11巷6號,1,116.0
