編號,類別,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度
34.0,住宅,公民里,臺中市西區公民里02鄰金山路18號之3,1.0,189.0,第一分局,"120.670139 "
35.0,住宅,公民里,臺中市西區公民里03鄰五廊街6號,1.0,368.0,第一分局,"120.670572 "
36.0,住宅,公民里,臺中市西區公民里04鄰忠仁街114號,1.0,109.0,第一分局,"120.669976 "
37.0,住宅,公民里,臺中市西區公民里06鄰五廊街29號之4,1.0,310.0,第一分局,"120.670573 "
38.0,住宅,公民里,臺中市西區公民里06鄰五廊街37號,1.0,722.0,第一分局,"120.670151 "
39.0,住宅,公民里,臺中市西區公民里07鄰自立街75號2,1.0,109.0,第一分局,"120.670700 "
40.0,住宅,公民里,臺中市西區公民里07鄰金山路31號,1.0,118.0,第一分局,"120.670430 "
41.0,住宅,公民里,臺中市西區公民里07鄰金山路31號1,1.0,110.0,第一分局,"120.670359 "
42.0,住宅,公民里,臺中市西區公民里08鄰金山路53號,1.0,189.0,第一分局,"120.669568 "
43.0,住宅,公民里,臺中市西區公民里08鄰金山路57之1號,1.0,117.0,第一分局,"120.669492 "
44.0,住宅,公民里,臺中市西區公民里09鄰公館路267號,1.0,109.0,第一分局,"120.666224 "
45.0,愛麗絲國際大飯店,公民里,臺中市西區公民里10鄰柳川西路二段77號,1.0,1487.0,第一分局,"120.667140 "
46.0,住宅,公民里,臺中市西區公民里11鄰柳川東路二段119號,1.0,816.0,第一分局,"120.668575 "
47.0,住宅,公民里,臺中市西區公民里13鄰五廊街105號,1.0,905.0,第一分局,120.6680529
48.0,住宅,公民里,臺中市西區公民里13鄰忠信街2號,1.0,222.0,第一分局,"120.667706 "
49.0,住宅,公民里,臺中市西區公民里14鄰自立街89號,1.0,924.0,第一分局,"120.669989 "
50.0,住宅,公民里,臺中市西區公民里16鄰自立街95巷17號,1.0,109.0,第一分局,120.669001
51.0,住宅,公民里,臺中市西區公民里16鄰自治街120號,1.0,221.0,第一分局,"120.668739 "
52.0,住宅,公民里,臺中市西區公民里16鄰忠仁街82號,1.0,124.0,第一分局,"120.668963 "
53.0,住宅,公民里,臺中市西區公民里16鄰忠仁街88號,1.0,117.0,第一分局,"120.669079 "
54.0,住宅,公民里,臺中市西區公民里16鄰忠仁街90號,1.0,129.0,第一分局,120.669192
55.0,住宅,公民里,臺中市西區公民里16鄰忠仁街98號,1.0,164.0,第一分局,"120.669287 "
56.0,住宅,公民里,臺中市西區公民里20鄰林森路155號,1.0,244.0,第一分局,120.670632
57.0,住宅,公民里,臺中市西區公民里20鄰林森路155號,1.0,1098.0,第一分局,"120.668572 "
58.0,住宅,公民里,臺中市西區公民里22鄰公館路234號,1.0,244.0,第一分局,"120.666774 "
59.0,住宅,公民里,臺中市西區公民里22鄰公館路238號,1.0,100.0,第一分局,"120.666415 "
60.0,住宅,公民里,臺中市西區公民里22鄰忠勤街60-1號,1.0,112.0,第一分局,"120.666655 "
